"formula_idx","wins","formula"
878,1,"Response ~  (Beta_optSqr+log10PeakFluxSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
980,1,"Response ~  (PhotonIndexSqr+Beta+Beta_opt+PhotonIndex)^2+log10NH+log10PeakFlux+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
1000,1,"Response ~  (log10PeakFluxSqr+log10NHSqr+Beta_opt+PhotonIndex)^2+log10NH+log10PeakFlux+Beta+Gamma+log10Ta+PhotonIndexSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
1043,1,"Response ~  (Beta_optSqr+log10PeakFluxSqr+Beta+PhotonIndex)^2+log10NH+log10PeakFlux+Beta_opt+Gamma+log10Ta+log10NHSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
1162,1,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Beta+Beta_opt)^2+log10NH+log10PeakFlux+PhotonIndex+Gamma+log10Ta+log10NHSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
1651,1,"Response ~  (GammaSqr+Beta_optSqr+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+Beta+Gamma+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
1906,1,"Response ~  (Beta_optSqr+log10PeakFluxSqr+Gamma+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Ta+log10NHSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
1972,1,"Response ~  (GammaSqr+BetaSqr+Beta_optSqr+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
2257,1,"Response ~  (Beta_optSqr+PhotonIndexSqr+Beta+PhotonIndex+log10PeakFlux)^2+log10NH+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+BetaSqr+GammaSqr+log10TaSqr"
2382,1,"Response ~  (GammaSqr+Beta_optSqr+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
2702,1,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Beta+Beta_opt+PhotonIndex)^2+log10NH+log10PeakFlux+Gamma+log10Ta+log10NHSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
2781,1,"Response ~  (Beta_optSqr+PhotonIndexSqr+log10PeakFluxSqr+Beta_opt+PhotonIndex)^2+log10NH+log10PeakFlux+Beta+Gamma+log10Ta+log10NHSqr+BetaSqr+GammaSqr+log10TaSqr"
3033,1,"Response ~  (BetaSqr+Beta_optSqr+Gamma+Beta+Beta_opt)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
3116,1,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+Gamma+Beta_opt)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10Ta+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
3117,1,"Response ~  (Beta_optSqr+log10PeakFluxSqr+log10NHSqr+Gamma+Beta_opt)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10Ta+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
3191,1,"Response ~  (GammaSqr+Beta_optSqr+log10PeakFluxSqr+log10NHSqr+Beta_opt)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+Gamma+log10Ta+PhotonIndexSqr+BetaSqr+log10TaSqr"
3261,1,"Response ~  (BetaSqr+Beta_optSqr+log10PeakFluxSqr+Gamma+Beta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta_opt+log10Ta+log10NHSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
3480,1,"Response ~  (GammaSqr+Beta+Beta_opt+PhotonIndex+log10PeakFlux+log10NH)^2+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+BetaSqr+log10TaSqr"
4424,1,"Response ~  (log10TaSqr+Beta_optSqr+log10PeakFluxSqr+Gamma+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Ta+log10NHSqr+PhotonIndexSqr+BetaSqr+GammaSqr"
5421,1,"Response ~  (GammaSqr+BetaSqr+Beta_optSqr+PhotonIndexSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+log10TaSqr"
6610,1,"Response ~  (Beta_optSqr+log10PeakFluxSqr+Gamma+Beta+PhotonIndex+log10PeakFlux+log10NH)^2+Beta_opt+log10Ta+log10NHSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
6726,1,"Response ~  (BetaSqr+Beta_optSqr+PhotonIndexSqr+Gamma+PhotonIndex+log10PeakFlux+log10NH)^2+Beta_opt+Beta+log10Ta+log10NHSqr+log10PeakFluxSqr+GammaSqr+log10TaSqr"
6866,1,"Response ~  (log10TaSqr+Beta_optSqr+log10NHSqr+Beta+Beta_opt+log10PeakFlux+log10NH)^2+PhotonIndex+Gamma+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr"
6872,1,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+Beta+Beta_opt+log10PeakFlux+log10NH)^2+PhotonIndex+Gamma+log10Ta+log10NHSqr+Beta_optSqr+BetaSqr+log10TaSqr"
7031,1,"Response ~  (BetaSqr+Beta_optSqr+log10Ta+Gamma+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
