"formula_idx","wins","formula"
1604,1,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
1754,1,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
1767,1,"Response ~  (log10T90Sqr+log10TaSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
1770,1,"Response ~  (AlphaSqr+log10FaSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr"
1818,1,"Response ~  (log10T90Sqr+log10FaSqr+Alpha+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
1986,1,"Response ~  (log10FaSqr+log10NHSqr+log10T90+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
2009,1,"Response ~  (AlphaSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
2037,1,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
2038,1,"Response ~  (AlphaSqr+log10FaSqr+log10NHSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr"
2109,1,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+AlphaSqr"
2250,1,"Response ~  (log10T90Sqr+log10NHSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
2258,1,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
2532,1,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
2728,1,"Response ~  (log10T90Sqr+log10NHSqr+log10T90+log10Ta+PhotonIndex)^2+log10NH+log10PeakFlux+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
2809,1,"Response ~  (PhotonIndexSqr+log10NHSqr+log10T90+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+Alpha+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
3191,1,"Response ~  (log10T90Sqr+log10TaSqr+log10PeakFluxSqr+log10NHSqr+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+log10Fa+log10T90+Alpha+PhotonIndexSqr+log10FaSqr+AlphaSqr"
