GRB	Fa	Fa_min	Fa_max	alpha	alpha_min	alpha_max	Ta	Ta_min	Ta_max
231129A	-9.98402383840266	-10.233523907687074	-9.734523769118246	1.0389565502271312	0.8957900804274797	1.1821230200267827	3.0922279528968937	2.7643027008986323	3.420153204895155
231205B	-10.115027918900633	-10.172311975657356	-10.05774386214391	1.4006213605829325	1.3390891103189162	1.4621536108469488	4.007460559643265	3.9478385338001565	4.067082585486373
231214A	-9.865362482866152	-10.258107290971921	-9.472617674760382	1.6913453454483756	1.276578561027721	2.10611212986903	3.248298525194027	2.90992686607541	3.586670184312644
231230A	-9.919547237755001	-10.051137754114889	-9.787956721395114	1.0237855481027747	0.936998664150608	1.1105724320549415	3.140656480276791	2.9424191185869466	3.3388938419666356
240101A	-10.341658755414516	-10.574349039406366	-10.108968471422665	1.3093332727619795	1.068451014367343	1.5502155311566161	2.953561874918054	2.685915639596592	3.221208110239516
240101B	-10.83930756242536	-11.8591800990685	-9.81943502578222	0.7314153657777375	0.46882871944374616	0.9940020121117288	3.2141704886777536	1.5747135919735775	4.853627385381929
240102A	-11.492745988885662	-11.944254159866661	-11.041237817904664	0.8768695767211411	0.3442043579505305	1.4095347954917516	3.725930530533803	3.000451487478179	4.4514095735894275
240112C	-10.009109905705047	-10.16702050219357	-9.851199309216526	1.2176282350174583	1.1651903791691174	1.2700660908657992	3.2678320646856194	3.125547700907146	3.4101164284640926
240123A	-11.010394136125148	-11.198918636663146	-10.82186963558715	0.9514368328417424	0.8311606044952105	1.0717130611882744	3.679684944651875	3.439630677897199	3.919739211406551
240204A	-10.629421959274275	-10.72970753929663	-10.52913637925192	0.955485120623618	0.8258956210145402	1.0850746202326957	3.8130729960857273	3.6478665677252655	3.978279424446189
