"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10Fa_native","log10Ta_native","Alpha_native","Beta_native","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10FaErr_native","log10TaErr_native","AlphaErr_native","BetaErr_native","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"140419A",1.976349979,-10.00568285,3.68383,1.36898,0.678,1.87322,-4.795880017,1.21,22.04094236,0.69019608,-8.76,6.41,1.95,1.01,3.817215769,0.023985,0.02442,0.017885,0.001,0,0.04,0.199999995656512,0.24,0.0991,0.53173,0.16,0.0175057628798656,0,0.017726305,3.956,0.695131297704026
"140423A",2.127104798,-10.85078089,3.90552,1.18974,0.77,2.06486,-5.026872146,1.33,21.81946365,0.322219295,-11.6955,5.199503,1.487567,0.41,23.01198296,0.05035,0.05495,0.045115,0.149849463,2.99999996198697e-07,0.06,0.199999999015796,0.24,0.384008,0.53173,0.06,0.0745819195938403,0.013860462,0.0413613789999999,3.26,0.629409599102719
"140430A",2.239549721,-11.36251027,4.14388,0.875171,1.03,2.15785,-5.958607315,2,21.67796993,0.397940009,-12.4311,2.56,2.09,0.9,3.69174647,0.0861,0.13071,0.0833725,0.035,1.9999999974143e-07,0.22,0.20000000272843,0.24,0.14528,0.53173,0.17,0.00923562857095551,0.0789626329999999,0.034743559,1.6,0.414973347970818
"140506A",2.045714059,-9.903089987,3.30686,0.948932,0.9,1.74751,-5.552841969,1.68,21.81764402,1.037426498,-12.7747,3.64,1.034879,0.41,9.556709938,0.05516,0.06882,0.01557,0.047966029,3.0000000213302e-07,0.16,0.899999989961908,0.2287,0.06,0.53173,0.15,0.0373575732732516,0.0465315520000001,0.035859177,0.889,0.276231957921834
"140509A",1.17092730333444,-11.09770006,3.58709,1.40649,0.86,1.93407,-5.920818754,1.59,20.90144742,0.204119983,-13.0735,3.061361,1.487567,0.32,5.171156949,0.08395,0.088715,0.10418,0.22,1.20999999272254e-07,0.121212121,0.431248681575114,0.015728,0.217775,0.53173,0.06837,0.151511196244019,0.04379136,0.117055576617339,2.4,0.531478917042255
"140512A",2.189770956,-9.504455662,3.53686,1.25134,0.871,1.84304,-4.853871964,1.45,21.32824297,0.832508913,-12.32,6.41,1.851865,0.44,4.787065924,0.01504,0.022285,0.02006,0.002482817,2.99999989697205e-07,0.04,0.300000005335443,0.24,0.050707,0.53173,0.05,0.0134302087658966,0.00930630999999999,0.019160051,0.725,0.236789099409293
"140518A",1.781755375,-11.31158018,3.77824,1.64981,0.94,1.93772,-6,0.92,22.46148952,0,-11.1733,3.061361,1.487567,0.53,2.429189161,0.09045,0.070125,0.18819,0,9.99999995617601e-08,0.61,0.0999999995617601,0.060832,0.384008,0.053103,0.04,0.0174377429302028,0.043429448,0.043429448,4.707,0.756407872548958
"140614A",2.857332496,-10.9589,3.70006,1.35595,0.83,1.77015,-5.886056648,1.5,22.56660835,-1.4317581319867,-13.66,5.96,2.09,0.97,160.0586725,0.1129,0.098945,0.093145,0.05,3.99999998655208e-07,0.46,0.0139155764362411,0.156279,0.02,0.025959,0.285,0.0965452754396361,0.133629071,0.163321606984504,4.233,0.718750734739665
"140629A",1.62324929,-9.847711656,2.85608,1.16056,0.815,1.95996,-5.619788758,1.86,21.74269921,0.62324929,-12.1854,4.749372,1.19,0.26,11.54148842,0.042785,0.06161,0.03501,0.001678552,2.00000001098398e-07,0.11,0.399999997420043,0.015728,0.17,0.53173,0.15,0.119342969960682,0.0361912069999999,0.041361379,2.275,0.515211304327802
"141004A",0.593286067,-10.61083392,3.30337,1.54959,1.08,1.79496,-6.173925197,1.86,21.49730845,0.785329835,-14.18,2.56,2.253787,0.57781,1.073372291,0.0853,0.081935,0.09774,0.005,3.00000006720731e-08,0.08,0.299999999829135,0.24,0.08,0.53173,0.09,0.118918281385487,0.019446022,0.021358745,0.573,0.196728722623287
"141121A",2.74028372,-12.65757732,5.76634,2.33322,0.82,1.93447,-5.27572413,1.73,21.59590717,-0.045757491,-14.18,3.061361,1.779596,0.9,37.82221354,0.1675,0.090095,0.2969,0.01,3.99999999996278e-07,0.13,0.299999999072581,0.24,0.006768,0.53173,0.08,0.0298708467389642,0.032776942,0.144764827,1.47,0.392696953259666
"141220A",0.857935265,-9.872830386,2.77561,1.42066,1.1,1.80565,-5.585026652,0.62,21.48574413,0.949390007,-8.76,3.22416,1.487567,0.9,0.473776348,0.042455,0.057375,0.050735,0.07,1.00000000489514e-07,0.38,0.700000001419048,0.015728,0.229803,0.03,0.07,0.0285379269708387,0.0167036340000001,0.034157993,1.3195,0.365394376854778
"150120B",2.01762288488796,-10.79048499,3.39431,1.17705,0.92,2.01678,-6.26760624,2.2,21.52664292,0.079181246,-12.9424,5.07,0.98,1.8,3.388285726,0.0711,0.090535,0.057705,0.005,4.84999994388101e-08,0.151515152,0.149789635521264,0.24,0.050707,0.53173,0.17,0.0141299769251024,0.039006078,0.054210676800265,3.5,0.653212513775344
"150314A",1.169968174,-8.609064893,2.49217,1.19079,0.73,1.84772,-4.657577319,1.08,22.01715025,1.58546073,-11.21,2.813159,1.095671,0.94,2.631341157,0.015025,0.015855,0.009925,0,2.99999975782245e-07,0.03,0.900000041974797,0.01,0.006768,0.53173,0.04,0.07726686575266,0.005922197,0.010152339,1.758,0.440594261839831
"150403A",1.611723308,-8.821023053,3.19694,1.24471,0.679,1.70996,-4.769551079,1.23,21.79039707,1.245512668,-11.4731,4.79,1.779596,0.9,12.01358912,0.005105,0.006975,0.00458,0,2.99999989213637e-07,0.04,0.600000012363867,0.06,0.050707,0.53173,0.06,0.127565659236116,0.00766401999999999,0.014805494,2.06,0.48572142648158
"150821A",2.23578087,-8.853871964,2.95174,1.82628,0.848,2.21622,-6.102372909,2.1,22.340573,-1.49776679460977,-12.9424,5.96,2.09,0.44,99.0437544,0.021105,0.015485,0.027365,5e-04,1.90000000606037e-07,0.37,0.0137888213670294,0.03,0.086722,0.53173,0.08,0.249936990327389,0.104450572,0.188398851647284,0.755,0.244277120801843
"151021A",2.042181595,-9.642065153,3.15765,1.33346,1.27,1.96079,-4.552841969,1.57,22.33647975,0.986771734,-8.76,3.47558,1.33,1.11,3.648780623,0.06282,0.05208,0.02141,0.04,9.99999985619271e-07,0.04,0.800000008437599,0.01,0.384008,0.53173,0.05,0.0143797213110485,0.015510517,0.035818102,2.33,0.52244423350632
"151027A",2.11290649,-9.935542011,3.99907,1.74508,0.9235,2.00612,-5.107905397,1.72,21.65076489,0.832508913,-11.21,4.79,0.82,0.74,5.47526252,0.02221,0.01731,0.02499,0.002440971,2.00000001108127e-07,0.05,0.599999995013308,0.06,0.006768,0.53173,0.05,0.0183350782696789,0.011135756,0.038320101,0.81,0.257678574869184
"151215A",1.250420002,-10.72815839,3.06337,1.07478,1.015,2.20942,-6.508638306,1.99,22.27837171,0.204119983,-11.6085,5.07,1.038298,1.1,1.003450114,0.093,0.11588,0.071395,0.35435971,7.00000000883578e-08,0.33,0.199999999281973,0.09442,0.137291,0.53173,0.04,0.0244827442519859,0.098066496,0.0542868100000001,2.59,0.555094448578319
"160117B",0.697062187810827,-11.74958,4.10299,0.973333,0.64,1.83834,-6.4710833,1.73,20.95374423,-0.705929807788426,-12.9424,6.41,1.248584,1.01,2.461495511,0.12265,0.162075,0.093958,0.015,4.38006934127586e-09,0.0041822719666068,0.0553767756856105,0.24,0.03,0.53173,0.08,0.214744065864423,0.005627928835757,0.122191721784807,0.87,0.271841606536499
"160121A",1.079181246,-11.17263073,3.8244,0.798663,1.02,2.2054,-6.214670165,1.77,20.9656645793766,0.079181246,-13.66,3.22416,2.09,1.8,2.383886728,0.0694,0.120385,0.106048,0.03,4.99999995033302e-08,0.13,0.200000000943656,0.24,0.384008,0.53173,0.12,0.0862757376305275,0.035597908,0.0723824139999999,1.96,0.471291711058939
"160203A",1.305351369,-11.36754271,3.66139836,1.146279559,0.61,1.75592,-5.920818754,1.93,22.0158332,0.113943352,-13.66,6.41,1.851865,1.8,3.236126049,0.08458679,0.087010427,0.0601909,0.25,1.00000000471828e-07,0.2,0.399999998655209,0.08165,0.14528,0.53173,0.16,0.0695758261024457,0.036191207,0.133629071,3.52,0.655138434811382
"160227A",2.500373714,-10.99567863,4.47751,1.10229,0.679,1.72551,-5.508638306,0.75,21.4198963,-0.22184875,-11.6085,3.67566,1.851865,0.42,75.36821526,0.03055,0.03885,0.03434,0.001,2.00000001272167e-07,0.51,0.100000000394457,0.238146,0.384008,0.035385,0.04,0.103418641469029,0.028018999,0.0723824140000001,2.38,0.528916700277655
"160327A",1.447158031,-11.22402567,3.76407,1.49693,0.78,1.93554,-5.853871964,1.84,20.72655851,0.255272505,-12.9424,4.79,1.36,0.32,9.225420765,0.0673,0.06033,0.1004,0.02,9.99999987148146e-08,0.11,0.199999998154912,0.015728,0.384008,0.53173,0.16,0.143091047665439,0.031021034,0.048254942,4.99,0.777426822389311
"160804A",2.15896526,-11.5214335,4.38419,0.948229,0.92,1.87827,-4.943095149,1.4,21.30214687,0.462397998,-12.13,5.250332,1.426558,0.26,19.22975247,0.05875,0.095375,0.070062,0.005,2.99999995689751e-07,0.23,0.299999997603786,0.060832,0.050707,0.53173,0.04,0.057915224642575,0.011428802,0.0449270149999999,0.736,0.239549720840473
"161108A",2.021602716,-11.81247928,4.69106,0.883711,0.84,2.00325,-5.958607315,1.85,21.16074757,-0.22184875,-12.9424,6.41,1.779596,0.32,11.8942948,0.13355,0.18179,0.0812555,0.005,1.00000001137137e-07,0.17,0.100000000394457,0.2287,0.14528,0.53173,0.15,0.0491496346156657,0.039481317,0.0723824140000001,1.159,0.334252642334231
"161117A",2.099335278,-10.74958,4.08464,1.141,1.375,1.92624,-4.698970004,1.19,21.87736847,0.832508913,-8.76,5.250332,1.95,0.52,1.095627703,0.03835,0.04019,0.02365,0.674290141,0,0.12,0.300000005335443,0.2287,0.384008,0.53173,0.0303,0.00378540226960351,0,0.019160051,1.549,0.406369835469268
"161129A",1.550595207,-10.43651891,3.70506,2.32574,0.71,1.74506,-5.443697499,1.57,21.51361441,0.531478917,-12.9876,6.41,1.36,1.8,2.093571159,0.10625,0.050725,0.10628,0.005,1.0000000329948e-07,0.06,0.199999998183027,0.2287,0.08,0.53173,0.0303,0.0255903856698547,0.012063736,0.025546734,0.645,0.216165902285993
"161219B",0.84135947,-10.13667714,4.0135,0.871656,0.73,1.86204,-5.823908741,1.29,21.16590877,0.72427587,-11.1691,3.37,1.358692,0.97,0.791979781,0.0277,0.03841,0.008668,0,9.99999983976464e-08,0.35,0.399999999996278,0.06,0.387989,0.53173,0.17,0.0495608716177928,0.028952965,0.032776942,0.1475,0.0597526942092988
"170202A",1.664641976,-10.65364703,3.77629,1.1958,1.04,1.99768,-5.48148606,1.68,21.7153121,0.672097858,-11.3914,3.16101,0.82,0.93,11.44830537,0.04485,0.068655,0.059155,0,1.00000001201687e-07,0.07,0.299999995966583,0.24,0.0975,0.53173,0.04,0.10761765896651,0.013160439,0.027720924,3.645,0.666985718329661
"170405A",2.216693599,-10.31069114,3.6300738,1.81152426,0.612,1.8473,-5.431798276,1.59,21.91211094,-0.0335186812736592,-13.54,3.576116,1.95,0.74,35.39093667,0.048255345,0.035670699,0.072401387,0.0475,2.99999999099519e-07,0.12,0.328159146016197,0.24,0.03,0.53173,0.11,0.0933217274509788,0.035213066,0.153952769308304,3.51,0.65417654187796
"170519A",2.335257256,-11.06348626,4.1513,1.37345,0.975,1.97351,-5.958607315,1.94,21.33992622,-0.15490196,-12.9424,6.41,1.487567,0.97,49.40433008,0.053,0.052235,0.066745,0.224423613,1.9999999974143e-07,0.26,0.100000000249253,0.06,0.08,0.53173,0.06,0.0991498519285518,0.0789626329999999,0.0620420690000001,0.818,0.259593878885949
"170531B",2.215187969,-11.39577395,3.80257,1.02082,0.99,2.06685,-5.698970004,1.95,22.49782636,-0.096910013,-14.1,6.41,0.938086,0.53,8.820503864,0.08415,0.11435,0.107427,0.035,1.99999999278262e-07,0.14,0.19999999912723,0.24,0.384008,0.53173,0.09,0.0233394026693868,0.0434294479999999,0.10857362,2.366,0.527114111639805
"170705A",2.337059726,-10.18641901,3.63746,0.774169,0.66,1.89159,-5.022276395,1.65,21.08891889,1.1430148,-11.1691,6.41,0.561833,0.94,18.07805176,0.04055,0.06603,0.027333,0.005,3.00000008847384e-07,0.05,0.400000001927405,0.015728,0.050707,0.53173,0.11,0.0361306862803674,0.013714563,0.012497683,2.01,0.478566495593843
"170903A",1.465382851,-11.26042766,4.41384,0.971187,1.14,2.20256,-5.619788758,1.94,21.73970839,0.591064607,-11.1733,2.56,2.09,1.1,3.59505881,0.04095,0.065935,0.051271,0.005,2.00000001098398e-07,0.12,0.500000002383462,0.24,0.02,0.53173,0.285,0.0534696645518069,0.0361912069999999,0.05567878,0.886,0.27554168840131
"171205A",2.277379975,-12.42945706,5.48376,1.13263,0.67,1.66173,-5.443697499,1.41,22.50004427,0,-13.2172,5.96,1.95,0.44,35.1681973,0.0719,0.109545,0.115455,0.01,3.00000001609135e-07,0.14,0.300000000987865,0.24,0.08,0.53173,0.05,0.0806407286915141,0.036191207,0.130288345,0.0368,0.0156949885265181
"171222A",2.242541428,-12.10957898,4.78231,0.718496,1.34,1.99001,-5.721246399,2.07,20.02880298,-0.15490196,-12.4453,5.199503,1.95,0.94,22.66456934,0.20975,0.378455,0.126956,0.015,2.00000001678087e-07,0.17,0.200000000498506,0.24,0.384008,0.53173,0.01,0.0563106258915239,0.045715209,0.124084138,2.409,0.532627001228891
"180205A",1.190331698,-10.30627305,3.21372,1.09633,1.03,1.88733,-6,2.04,21.4933967,0.531478917,-12.9424,3.47558,0.607458,0.97,3.123262328,0.06455,0.088815,0.042095,0.005,9.99999995617601e-08,0.13,0.29999999727454,0.24,0.387989,0.53173,0.27,0.0875106835560367,0.043429448,0.0383201009999999,1.409,0.381836799998343
"180329B",2.322219295,-11.14935376,4.02296,1.50063,0.77,1.86768,-5.48148606,0.97,21.41988474,0.146128036,-11.76,2.806841,1.19811,0.97,44.04594331,0.04825,0.04314,0.069665,0,3.00000003605061e-07,0.56,0.400000001306496,0.238146,0.384008,0,0.285,0.091090048181127,0.039481317,0.124084138,1.998,0.476831628512261
"180620B",2.29841638,-10.98296666,4.6659,1.09835,0.9,1.99236,-5,1.3,21.21643247,0.556302501,-8.76,4.79,1.487567,0.94,27.4443118,0.0437,0.067125,0.059445,0.005,2.9999998947494e-07,0.2,0.199999998309654,0.15766,0.14528,0.53173,0.04,0.0599542916300528,0.013028834,0.024127471,1.1175,0.325823419002744
"180624A",2.686993566,-11.54363397,4.171185481,1.243849338,0.95,2.06008,-5.236572006,1.91,21.1034582,0.146128036,-12.9876,6.247263,1.41,0.97,38.50431688,0.088149935,0.099379055,0.123366444,0,3.00000004513397e-07,0.1,0.200000000653248,0.24,0.384008,0.53173,0.07,0.0343795484387942,0.022463508,0.062042069,2.855,0.586024382386976
"180720B",3.06444019010425,-8.847711656,3.62033,1.34127,0.729,1.8461,-4.065501549,1.36,21.24271531,1.831869774,-11.91,6.41,1.13,0.57,3.688453378,0.004975,0.00614,0.005375,0,1.00000003189813e-06,0.03,2.60000001616931,0.03,0.024033,0.53173,0.04,0.00138098327707093,0.00504993600000002,0.016629833,0.654,0.218535505216528
"180728A",0.938519725,-9.42365865,3.8695,1.1986,0.8595,1.70111,-4.528708289,1.97,21.58733599,2.120573931,-11.21,6.41,2.09,0.94,0.297321378,0.009885,0.014745,0.0091,0.042486494,6.00000032288427e-07,0.03,2.89999994907512,0.0527,0.06,0.53173,0.16,0.0148761559757772,0.008803267,0.009541318,0.117,0.0480531731156091
"181010A",1.214843848,-9.928117993,3.15711,1.07011,1.115,1.76613,-6.161150909,1.52,22.27837171,0.146128036,-13.54,2.813159,2.09,0.67,2.192792779,0.034615,0.057805,0.033375,0.007041969,6.99999992750645e-08,0.15,0.200000000653248,0.015728,0.08,0.53173,0.04,0.0580681587793652,0.04405886,0.062042069,1.39,0.378397900948138
"181020A",2.376576957,-10.42365865,4.29043,2.64643,1.228,1.93674,-5.091514981,1.25,20.65703194,0.886490725,-8.76,4.036448,1.95,0.57781,11.5888181,0.1418,0.047555,0.091985,0.029531206,3.00000003604534e-07,0.06,0.299999995803032,0.2287,0.086722,0.53173,0.06,0.0211468897196027,0.016084981,0.016920564,2.938,0.595275711802099
"190114A",1.823474229,-10.75202673,3.74534,1.18375,0.86,1.83214,-6.096910013,2.06,21.6447605,-0.301029996,-13.04,5.96,2.09,1.1,10.18381229,0.03365,0.042215,0.04616,0,1.19999999476338e-07,0.22,0.20000000012007,0.01,0.03,0.53173,0.06,0.0664080102705681,0.0651441719999998,0.173717793,3.3765,0.641126932803509
"190719C",2.268811904,-11.257,4.88123,1.55953,0.915,1.5415,-5.292429824,1.64,20.95382587,0.740362689,-8.76,6.41,1.851865,1.1,9.689285646,0.2175,0.1943,0.21085,0.22,2.99999997236077e-07,0.09,0.300000000646454,0.015728,0.050707,0.53173,0.06,0.0226602223323686,0.025546734,0.02368879,2.469,0.54020429984206
"190829A",1.764922985,-9.56068,4.0838,1.03996,1.16,2.0913,-5.193820026,2.56,22.04910001,1.255272505,-12.091,6.41,0.82,1.8,8.854522046,0.013585,0.01916,0.009675,0.075,7.00000000642427e-07,0.21,2.69999998752527,0.115184,0.14528,0.53173,0.04,0.0660733687520347,0.047500959,0.065144172,0.0785,0.0328201494385639
"191011A",0.867467488,-10.8132081,3.15321333,1.30602449,0.94,1.81479,-6.48148606,1.94,21.65033473,0.255272505,-8.76,2.813159,0.733879,0.32,0.950286355,0.05719327,0.06597695,0.05756962,0.19,3.99999997208218e-08,0.17,0.199999998154912,0.018294,0.14528,0.53173,0.04,0.0559978453284278,0.052641755,0.048254942,1.722,0.434888120867316
"191221B",1.681241237,-8.11145684,1.95518066,1.15734724,1.39,1.843,-4.721246399,1.24,21.70173804,0.681241237,-8.76,4.204885,1.851865,0.44,16,0.06184721,0.05366691,0.00551831,0.175,9.99999986515876e-07,0.05,0.700000000011082,0.06,0.137291,0.53173,0.08,0.14476482742628,0.022857604,0.063334612,1.148,0.332034277027518
"200205B",2.660865478,-11.7337376,4.53640048,1.56884903,0.516,1.90881,-5.26760624,1.36,21.89473409,0.301029996,-11.1691,6.41,1.95,0.32,5.385164807,0.10035241,0.08886983,0.19267266,0.18,2.00000002428665e-07,0.22,0.199999999278263,0.24,0.03,0.53173,0.04,0.0051064352834946,0.016084981,0.0434294480000001,1.465,0.391816923613249
"200829A",1.115277591,-8.6381,2.97975,1.29833,0.64,1.88219,-4.292429824,0.83,21.08966848,1.994317153,-11.4731,5.96,1.095671,0.57781,2.91,0.00955,0.00926,0.00866,0.0195,9.99999990786924e-07,0.03,1.60000005522377,0.027168,0.384008,0.53173,0.0303,0.0969169435192129,0.008515578,0.007040235,1.25,0.352182518111362
"201104B",0.937517892,-9.38944702,2.72159651,1.19537497,0.605,1.55046,-5.744727495,1.47,21.73058526,0.612783857,-13.2172,4.79,1.851865,1.01,0.161839373,0.02110237,0.02972805,0.02348264,0.175,9.99999990774559e-08,0.07,0.300000000030173,0.24,0.384008,0.53173,0.04,0.00811616012140756,0.024127471,0.031777645,1.954,0.470410490975931
"210210A",0.819543936,-10.1403778,3.72413045,1.5451851,0.965,1.85188,-6.008773924,1.53,21.12319546,0.84509804,-11.8207,4.186609,0.6555,0.9,0.58931824,0.05799791,0.08857348,0.10645081,0.15,8.0000000581035e-08,0.58,0.499999993187216,0.238146,0.384008,0.053103,0.04,0.038778433249538,0.035452611,0.031021034,0.715,0.234264124378789
"210411C",1.10720997,-9.72925773,2.93128506,1.16829405,1.21,1.88408,-5.920818754,1.6,21.05996459,0.681241237,-12.4597,2.56,0.775179,0.53,0.597059548,0.05048963,0.05901459,0.03209979,0.14,1.00000000471828e-07,0.4,0.299999998425834,0.115184,0.13,0.533548,0.09,0.0202577864729536,0.036191207,0.027143405,2.826,0.582744965691277
"210517A",0.485721426,-10.8415194,3.057651,1.21043545,0.66,1.71079,-6.823908741,1.85,21.15768338,0.176091259,-8.76,2.56,1.51,0.97,1.409113169,0.25872455,0.32132806,0.08060357,0.22,2.99999998646817e-08,0.25,0.200000000249171,0.015728,0.03,0.53173,0.04,0.199990220376636,0.0868588960000001,0.0579059310000001,2.486,0.542327382773974
"210610B",1.841234296,-9.19036,2.89514,1.05139,0.78,1.91684,-4.443697499,0.98,21.03780485,1.130333768,-8.76,4.19971,1.851865,0.32,2.53,0.0226,0.02831,0.01291,0.029,1.0000000329948e-06,0.11,0.699999994983173,0.2287,0.384008,0.53173,0.09,0.015836913202155,0.012063736,0.022518973,1.13,0.328379603438738
"210619B",1.784617293,-8.55006175,2.91049117,1.12578835,0.745,1.92306,-4.022276395,1.41,21.83430305,2.06069784,-11.3914,6.247263,0.607458,0.41,0.277416677,0.01027813,0.01099582,0.00437126,0.07,1.00000002949128e-06,0.02,2.19999992870022,0.03,0.0991,0.53173,0.04,0.00197833385726092,0.00457152099999999,0.00830824199999999,1.937,0.4679039465228
"210722A",1.700703717,-10.3507,3.6504,1.43908,0.81,1.83712,-5.602059991,1.62,20.54058972,0.342422681,-12.9424,6.41,1.95,0.8,10.53830531,0.0364819,0.0395981,0.048071,0.09,2.0000000272843e-07,0.14,0.49999999847401,0.24,0.384008,0.53173,0.06,0.0911698774157967,0.034743559,0.098703291,1.145,0.331427296520743
"210822A",2.257198426,-8.20842,2.4985,1.267456,0.77,1.70788,-4.698970004,1.3,21.53322281,1.442479769,-11.21,6.247263,1.851865,0.52,42.72,0.017735,0.01621,0.008455,0.026,4.00000016977205e-07,0.4,0.700000012255762,0.25,0.13,0.292399,0.04,0.102616483810065,0.00868588999999999,0.010974951,1.736,0.437116093048079
"211024B",2.780677274,-8.56429146,3.43921565,1.92622006,1.07,2.08,-5.167491087,1.63,20.98677173,-0.045757491,-12.7747,6.41,1.95,0.97,20.65497765,0.01916437,0.01167528,0.00965772,0.055,3.00000005335443e-07,0.09,0.200000000072496,0.24,0.03,0.53173,0.16,0.014863865494915,0.019160051,0.0965098849999999,1.1137,0.325043347403704
"220101A",2.238948898,-8.69262974,3.04134881,1.20052929,0.491,1.62241,-4.602059991,1.13,21.90370028,0.86332286,-11.21,4.186609,2.121816,0.9,12.50116167,0.01431841,0.02317526,0.01255481,0.016,0,0.13,0.299999992615351,0.24,0.050707,0.53173,0.03,0.0313174061753508,0,0.017847718,4.618,0.749581734865559
"220117A",1.697316542,-10.1070569,3.43803362,1.68612083,1.2,1.78537,-5.795880017,1.84,21.99532933,0.278753601,-12.9424,6.41,2.09,1.09,3.431095393,0.05084186,0.04500955,0.06200239,0.55,1.99999999281973e-07,0.18,0.399999998981262,0.24,0.384008,0.53173,0.285,0.0299157959274313,0.0542868100000001,0.091430417,4.961,0.775319121829478
"220521A",1.131939295,-10.6276115,3.30131796,1.71067512,1.1,2.02179,-6.091514981,1.97,21.85427081,0.672097858,-12.1854,3.22416,1.151212,1.3,2.691501432,0.16334814,0.13206168,0.12291833,0.4,7.99999997178132e-08,0.18,0.39999999462211,0.24,0.050707,0.53173,0.16,0.0862659941342183,0.042893282,0.036961232,5.57,0.817565369559781
"230116D",1.612783857,-11.1278,3.79761,1.57289,0.84,1.76412,-6.090443971,1.38,20.9709310092468,-0.22184875,-12.9424,4.394018,0.98,0.53,11.18033989,0.1014,0.13824,0.23491,0.22,1.20000000816655e-07,0.22,0.199999999407363,0.01,0.03,0.53173,0.11,0.118428290656009,0.064181451,0.144764827,3.81,0.682145076373832
"230325A",1.580354661,-10.9066853,3.7823081,0.931411844,1.025,2.0855,-5.886056648,1.82,22.22918251,0.51851394,-11.3914,3.487381,0.859364,0.9,11.56039866,0.1875455,0.20042492,0.05714513,0.18,2.00000000824285e-07,0.18,0.399999997208217,0.24,0.14528,0.53173,0.04,0.131947893505177,0.0668145360000001,0.0526417549999999,1.664,0.425534220498263
"230506C",1.491361694,-11.4531,4.25859,1.14181,1.11,2.08995,-5.769551079,1.89,20.96124782,0.380211242,-12.8744,3.793643,2.09,1.09,6.32455532,0.1023,0.11841,0.11299,0.29,2.00000001942679e-07,0.17,0.499999999982894,0.24,0.050707,0.53173,0.06837,0.0886038540296678,0.051093469,0.0904780169999999,3.7,0.672097857935718
"230818A",0.992111488,-11.0883,3.9564,1.39195,1.02,2.00403,-5.721246399,1.36,21.31377445,0.826074803,-8.76,3.22416,0.733879,0.87,1.249953617,0.2044,0.12794,0.19715,0.29,9.99999986515876e-08,0.1,0.500000000916339,0.2287,0.192264,0.53173,0.103,0.0552798328138297,0.022857604,0.032410036,2.42,0.534026106056135
"231210B",0.873320602,-10.048,3.24045,1.60174,0.84,1.66432281,-5.853871964,1.08,21.82763844,0.591064607,-14.1,3.22416,2.09,1.8,0.647,0.05243,0.04808,0.060675,0.362,2.00000000653248e-07,0.19,0.700000003336847,0.24,0.14528,0.53173,0.05,0.037615599688349,0.0620420689999999,0.077950292,3.13,0.615950051656401
"100219A",1.274157849,-10.9429945497309,3.55933987825814,1.54431871198977,0.946730126211872,1.98232490681045,-5.9034977631759,1.56422733166515,20.5347839911061,0.245546959211156,-12.92,3.37,1.67,1.27,5.171156949,0.794043600816194,0.647076150375781,0.28851024862743,0.216267594019356,1.20071270071544e-06,0.392520950560915,2.00220526409856,0.1,0.07,0.18,0.08,0.119457709009036,0.417562201799725,0.494021614846916,4.67,0.753583058892907
"100316D",2.717570654,-10.8654049630652,4.66227972704874,1.75990194129664,0.919298873503942,1.92817610874986,-5.70867745785634,1.78733908888633,20.6223786377679,0.37108617532273,-12.9424,6.41,2.12,0.94,5.171156949,0.810411155482448,0.638904012293414,0.300433289296445,0.185283859326629,2.74733302275582e-06,0.33850747570482,1.80447929756152,0.105554,0.06,0.18,0.05,0.00430329755216147,0.610060737658563,0.333464832687209,0.06,0.0253058652647703
"100508A",1.716003344,-10.8332233000404,3.8381075428956,1.1679654099467,0.868303753826473,2.00786655775113,-5.61745286631118,1.71531539390388,20.968992738667,0.311980628482565,-12.8769,4.020463,0.875389,0.4,5.171156949,0.81515079813283,0.614442293918395,0.31912424343179,0.211314181475378,2.34359194855568e-06,0.353709834086147,2.47045758977882,0.15766,0.387989,0.292399,0.07,0.043188556271497,0.421812237215489,0.523095622409969,0.5201,0.181872159010334
"101225A",3.036628895,-11.392693880805,4.31844811447873,1.067697317774,0.886890745624236,2.02805487715068,-5.76788702537992,1.73404823881151,21.0372537433742,0.317013532489418,-14.1,5.38,0.7,0.7,5.171156949,0.82508211377356,0.653584889909425,0.285730089969694,0.196040325100106,2.14548714274085e-06,0.374296277724446,1.99065371485658,0.06,0.17,0.08,0.0303,0.00206415894290363,0.546005796097446,0.416645309980044,0.33,0.123851640967086
"110205A",2.409933123,-10.9370170261005,4.12148742458754,1.65691051637297,0.898163898425051,1.9868068350731,-5.63895466487725,1.59426077936304,20.1981590703873,0.26132841600354,-13.04,4.79,1.95,0.74,5.171156949,0.798032714305524,0.611202736546655,0.28589749268112,0.20650247328241,2.31939415755745e-06,0.366606887714674,1.70061649539096,0.06,0.03,0.11,0.04,0.00873854058256627,0.438645355248675,0.404633916452169,2.21,0.506505032404872
"110801A",2.58546073,-10.4083248683044,3.79401329843203,1.51171029190379,0.936824636414872,1.96132853768207,-5.45280670375565,1.48571453850809,21.1835013230368,0.61514939642631,-11.822,4.036448,1.59481,1,5.171156949,0.807034545502624,0.599455755164074,0.27932125100504,0.206518484544174,4.28826325471378e-06,0.302080989228599,4.48364841150204,0.034931,0.030996,0.044803,0.06,0.00583325954666165,0.528290077502442,0.472352767937713,1.858,0.456062224454951
