"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10Fa_native","log10Ta_native","Alpha_native","Beta_native","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10FaErr_native","log10TaErr_native","AlphaErr_native","BetaErr_native","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"080310A",2.560456622,-11.3990271,4.32608056,1.59590648,0.878,2.09352,-5.638272164,2.32,20.253070596552,0.113943352,-13.1407,4.020463,2.09,0.9,17.39875121,0.04247343,0.03798676,0.065276352,0.0375,2.00000002339038e-07,0.16,0.200000000824285,0.24,0.14528,0.53173,0.12,0.0207895824764161,0.0377647380000001,0.0668145360000001,2.42,0.534026106056135
"080411A",1.748188027,-10.11350927,4.20932562,1.28909841,0.91,1.97674,-4.578396073,1.75,21.57289018,1.635483747,-11.21,4.79,2.09,0.53,1.000967534,0.06043543,0.049275581,0.010296793,0,1.00000008802073e-07,0.03,0.900000029596629,0.0492,0.384008,0.53173,0.11,0.00776276208190557,0.001645055,0.009047802,1.03,0.307496037913213
"080516A",0.763427994,-11.12090412,3.77452827,0.94016916,1.48,2.3315,-6.585026652,1.82,22.03528962,0.255272505,-11.6955,6.41,2.09,0.9,0.213016433,0.077803665,0.111057696,0.084888358,0.03,4.00000001958054e-08,0.27,0.300000001377021,0.015728,0.08,0.53173,0.42,0.0159503209161228,0.066814536,0.072382414,3.2,0.6232492903979
"080607A",1.899984563,-10.0540393,3.46298403,1.7256074,1.06,2.03418,-4.619788758,1.31,22.38386741,1.36361198,-8.76,5.96,0.82,0.68,3.285061929,0.11042072,0.069659314,0.037637388,0.02,0,0.04,1.10000002078098,0.0492,0.384008,0.53173,0.103,0.0179615292332226,0,0.02068069,3.036,0.605951157564873
"080710A",2.077948999,-11.23284413,4.09266933,1.52133785,1.3,2.00149,-5.853871964,1.47,20.89722339,0,-12.717,3.16101,1.487567,0.74,17.43704666,0.06269498,0.054210787,0.06401643,0.150517844,2.00000000653248e-07,0.23,0.19999999912352,0.105554,0.050707,0.53173,0.15,0.063286086716648,0.0620420689999999,0.0868588959999999,0.845,0.265996370495079
"080810A",2.03666881,-9.931814138,3.2687548,1.44529526,1.079,2.11482,-5.337242168,1.34,21.45079548,0.301029996,-12.7747,2.64,1.426558,1.5,4.337190332,0.031830706,0.039738688,0.036139295,0.0015,2.0000000249378e-07,0.06,0.199999999278263,0.2287,0.384008,0.53173,0.0303,0.0173110727824034,0.018882369,0.0434294480000001,3.35,0.638489256954637
"080928A",2.368584372,-11.1260984,4.08450503,1.76031774,0.99,2.13864,-5.602059991,1.77,21.51035195,0.322219295,-11.91,3.487381,2.09,1.3,20.80043462,0.064484035,0.047916769,0.075970735,0,2.0000000272843e-07,0.12,0.100000001925613,0.015728,0.384008,0.53173,0.15,0.0386609346233468,0.034743559,0.0206806900000001,1.692,0.430075055551939
"081007A",0.958563883,-10.58502665,3.58176278,1.00469263,0.92,2.102,-6.148741651,2.51,21.69605744,0.414973348,-12.9424,5.12,0.733879,1.8,2.937133306,0.053161115,0.084284398,0.039134851,0.005,7.99999992176134e-08,0.2,0.400000001958054,0.24,0.14528,0.53173,0.11,0.140327919478768,0.048934589,0.066814536,0.5295,0.184549481320698
"081008A",2.268297087,-10.79317412,3.85550833,1.47398467,0.84,1.98207,-5.366531544,1.69,21.1376737,0.113943352,-12.61,6.41,1.851865,0.32,40.34414957,0.06052989,0.056285684,0.063988679,0.025,1.99999996784284e-07,0.07,0.100000000412142,0.2287,0.384008,0.53173,0.04,0.0944643171466364,0.020199743,0.0334072679999999,1.9685,0.472537053262077
"081029A",2.431283332,-11.86327943,4.48156171,2.51960373,0.87,1.95818,-5.677780705,1.43,21.49704581,-0.301029996,-12.61,6.41,1.851865,0.97,45.6827768,0.083250805,0.04285341,0.169198521,0.001,1.99999999015796e-07,0.18,0.20000000012007,0.06,0.14528,0.53173,0.0303,0.0734942688403521,0.0413613789999999,0.173717793,3.8479,0.685553652846326
