"","log10Ta","log10NH","log10PeakFlux","PhotonIndex","log10Fa","log10T90","Alpha","Beta","Gamma","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060223A",2.78682,22.49782636,0.130333768,1.74,-10.9636,1.053078443,1.1892,0.81,2.01015,-6.171984936,7.7663657124,506.152190924711,0.0169868910810778,3.0276,120.20052496,1.1089742071113,1.41419664,0.6561,4.0407030225,38.0933980502109,0.042104904450281,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.057905931,"060223A",4.41,0.73319726510657
"060306A",3.61496,21.61973178,0.775974331,1.8,-10.70553377,2.13255996245349,1.03794,0.76,2.28823,-5.671620397,13.0679358016,467.412802239142,0.602136162370898,3.24,114.60845330061,4.54781199345965,1.0773194436,0.5776,5.2359965329,32.1672779276664,0.011262218728324,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",1.559,0.408070285887185
"060418A",3.11887,21.65363309,0.814247596,1.7,-9.792961075,2.158362492,1.47655,0.98,1.94118,-5.079354999,9.7273500769,468.879825996343,0.662999147591779,2.89,95.9020866164651,4.65852864687245,2.1801999025,0.9604,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",1.489,0.396024896608593
"060502A",3.3865,21.45692297,0.227886705,1.46,-10.55284197,1.45331834,0.897152,0.87,2.02719,-5.63638802,11.46838225,460.399543340514,0.051932350315757,2.1316,111.362473643793,2.11213419738036,0.804881711104,0.7569,4.1094992961,31.7688699119995,0.150287880735964,0.05675,0.075085,0.0205255,0.015,0.019176639,0.08,0.053965586,"060502A",1.5026,0.398391440229475
"060510B",4.43617,22.00215742,-0.244125144,1.78,-12.2656,2.43964843,1.00735,1.38,2.1317,-5.390405591,19.6796042689,484.094931134461,0.0595970859330207,3.1684,150.44494336,5.95188446200147,1.0147540225,1.9044,4.54414489,29.0564724354841,0.0335971369822932,0.2206,0.31628,0.2313695,0.03,0.018780302,0.08,0.083811216,"060510B",4.9,0.770852011642144
"060512A",3.69044920854232,21.79196559,-0.055517328,2.48,-10.6811729318243,1.041392685,1.10130963994291,0.894032364450146,2.70163,-6.634512015,13.6194153608306,474.889764275744,0.00308217370825958,6.1504,114.087455199535,1.08449872437151,1.21288292303118,0.79929386868432,7.2988046569,44.0167496771794,0.181516258620399,0.797647275545397,0.619874432329896,0.281059008921809,0.198235761296611,0.074878359,0.3,0.098703291,"060512A",0.44,0.15836249209525
"060526A",3.8752,20.87872913,0.222716471,2.01,-11.3053948,2.47444938,1.05873,0.93,1.90677,-5.899629455,15.01717504,435.921330083911,0.0496026264546938,4.0401,127.811951583867,6.12289973418238,1.1209092129,0.8649,3.6357718329,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,"060526A",3.221,0.625415352154408
"060604A",4.45991,21.99003057,-0.468521083,2.01,-11.76955108,1.977723605,1.21596,1.02,2.1711,-6.395773947,19.8907972081,483.561444469534,0.219512005215493,4.0401,138.522332624729,3.9113906577742,1.4785587216,1.0404,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",2.1357,0.496334505996816
"060605A",4.04162,21.77333803,-0.337242168,1.55,-11.26121944,2.059904056,1.9179,0.835,2.02128,-6.156767222,16.3346922244,474.078248968644,0.11373227987734,2.4025,126.815063275834,4.24320471992525,3.67834041,0.697225,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",3.78,0.679427896612119
"060607A",3.63746374092671,21.79614607,0.146128036,1.47,-10.4018852481167,2.038222638,1.33973889780199,0.89755192666902,1.61002,-5.59345982,13.2311424665566,475.071983504776,0.0213534029052173,2.1609,108.199216714988,4.15435152205568,1.7949003142837,0.80559946106727,2.5921644004,31.2867927579544,0.740704337003765,0.792024854351577,0.599247262434035,0.279399418108646,0.205597503784803,0.019074895,0.08,0.040327345,"060607A",3.07,0.60959440922522
"060614A",5.03344,20.51216256,1.06069784,2.02,-11.78251606,2.036229544,1.9453,0.783,1.89544,-4.690369833,25.3355182336,420.748812887866,1.12507990778067,4.0804,138.827684704158,4.14623075585845,3.78419209,0.613089,3.5926927936,21.9995691703164,0.0132262962944593,0.0429,0.0289,0.05983,0.006,0.007727887,0.04,0.027945906,"060614A",0.125,0.0511525224473813
"060707A",3.5545,21.20847898,0.004321374,0.6,-10.9132,1.820857989,0.861995,1.12,2.09345,-5.795880017,12.63447025,449.799580645102,1.8674273247876e-05,0.36,119.09793424,3.31552381610512,0.743035380025,1.2544,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,"060707A",3.425,0.645913275033844
"060708A",3.50569,20.79066861,0.28780173,1.68,-10.86966623,1.008600172,1.12969,1.485,2.20484,-6.306273051,12.2898623761,432.251901250839,0.0828298357909929,2.8224,118.149643951602,1.01727430695843,1.2761994961,2.205225,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,"060708A",1.92,0.465382851448418
"060714A",3.73449,22.0125926,0.10720997,1.93,-10.86012091,2.060660074,1.20488,0.87,2.04425,-5.548213564,13.9464155601,484.554232973575,0.0114939776674009,3.7249,117.942226179819,4.24631994057768,1.4517358144,0.7569,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,"060714A",2.711,0.569490954348783
"060729A",5.1057,20.86562801,0.068185862,1.75,-11.15058059,2.062017599,1.35481,1.317,1.92492,-5.583359493,26.06817249,435.374432251696,0.00464931177668304,3.0625,124.335447494085,4.25191657858572,1.8355101361,1.734489,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,"060729A",0.54,0.187520720836463
"060814A",4.22387,22.00679538,0.861534411,1.53,-10.91009489,2.162265614,1.29504,0.97,2.11591,-4.835647144,17.8410777769,484.299042897189,0.742241541337117,2.3409,119.030170508804,4.6753925854868,1.6771286016,0.9409,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.007109341,0.03,0.017323989,"060814A",1.9229,0.465813957269479
"060904B",3.77773801015901,21.59122827,0.387389826,1.64,-10.5689234966,1.477121255,1.31133487476349,0.934595213688199,2.18877,-5.790484985,14.2713044734002,466.181138207247,0.15007087728831,2.6896,111.702143876983,2.18188720197277,1.71959915377099,0.87346821344889,4.7907141129,33.5297163615105,0.181516258620399,0.776287613652308,0.601423479138184,0.272407123592475,0.198820484142843,0.038335871,0.14,0.037377804,"060904B",0.7,0.230448921378274
"060906A",4.33479,22.41960057,0.294466226,2.03,-11.8827287,1.638489257,1.71887,1.06,2.07859,-5.655607726,18.7904043441,502.638489718344,0.0867103582546831,4.1209,141.199241357804,2.68464704530441,2.9545140769,1.1236,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,"060906A",3.686,0.670802284260944
"060908A",2.81918,21.80952201,0.481442629,1,-9.627087997,1.285557309,1.38309,1.185,2.13395,-5.552841969,7.9477758724,475.655250304674,0.231787005018432,1,92.6808233019815,1.65265759472332,1.9129379481,1.404225,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,"060908A",1.8836,0.459935016851525
"060912A",2.455171016,21.36738202,0.933487288,1.74,-10.1079054,0.698970004,1.045731532,0.63,1.8948,-5.869666232,6.02786471780647,456.565014388619,0.871398516857595,3.0276,102.169751575349,0.48855906649176,1.09355443701907,0.3969,3.59026704,34.4529816750811,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0.019945376,0.09,0.022271512,"060912A",0.937,0.287129620719111
"060926A",3.351,22.50004427,0.037426498,2.54,-10.84771166,0.903089987,1.45111,1.357,2.00443,-6.659555885,11.229201,506.25199215196,0.001400742752544,6.4516,117.6728482585,0.81557152461966,2.1057202321,1.841449,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,"060926A",3.2,0.6232492903979
