"","Redshift_crosscheck","T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","Gamma","log10Fa","log10Ta","Alpha","Beta","log10TaErr","BetaErr","AlphaErr","T90Err","FluenceErr","PeakFluxErr","PhotonIndexErr","log10FaErr"
"GRB090205",4.6497,8.8,-6.721246399,-0.301029996,2.15,21.81792086,2.03416,-11.3419886,3.70655,1.29089,1.01,0.114585,0.025,0.084185,1.7940791274129,1.81818181818182e-08,0.0606060606060606,0.139393939393939,0.13445
"GRB090423",8.26,10.3,-6.229147988,0.230448921,0.8,22.7516324,1.8158,-11.2798407,3.91521772,1.43267533,0.77,0.077643595,0.005,0.064053366,1.06172876136085,2.42424242424242e-08,0.121212121212121,0.303030303030303,0.08569564
"GRB090424",0.544,48,-4.677780705,1.851258349,1.19,21.63012977,1.96315,-9.050609993,2.99599056,1.1284106,0.924,0.013394814,0,0.00554688650000001,2.27250697020751,0,1.21212121212121,0.0909090909090909,0.0112570984999998
"GRB090426",2.609,1.2,-6.744727495,0.380211242,1.93,21.31103934,2.03664,-10.66550001,2.64657,1.00429,0.64,0.104665,0.0165,0.042666,0.257899207291378,1.81818181818182e-08,0.181818181818182,0.133333333333333,0.08725
"GRB090510",0.903,0.3,-6.468521083,0.986771734,0.98,20.64281656,1.75106,-10.11463878,3.17793555,2.00074629,0.6405,0.035002467,0.0084862475,0.071440408,1.68030471172121,2.42424242424242e-08,0.666666666666667,0.121212121212121,0.0422299950000005
"GRB090519",3.85,64,-5.920818754,-0.22184875,1.02,22.13069392,1.46604,-11.76000021,3.44619,1.42452,0.63,0.24029,0.03,0.3065,8.24011648989424,6.06060606060606e-08,0.121212121212121,0.121212121212121,0.21145
"GRB090529",2.625,100,-6.167491087,-0.397940009,2,13.51385525,2.22623,-12.1873998,4.472757799,0.8815438,0.64,0.21900534,0.125,0.113675222,10.5274431981955,1.03030303030303e-07,0.0606060606060606,0.181818181818182,0.11547934
"GRB090530",1.266,48,-5.958607315,0.397940009,1.61,20.90942658,2.03975,-11.16052195,3.6839464,0.88610581,1.09,0.115365029,0.035,0.0385142015,35.7770876399966,6.06060606060606e-08,0.181818181818182,0.103030303030303,0.0891756250000002
"GRB090618",0.54,113.2,-3.978810701,1.589949601,1.42,21.39200012,1.82831,-9.640164518,3.67275453,1.30942861,0.8945,0.014245613,0.0024826615,0.010591616,0.593538562159812,6.06060606060606e-07,0.484848484848485,0.0484848484848485,0.00969525450000042
"GRB090809",2.737,5.4,-6.468521083,0.041392685,1.34,21.91952315,1.94644,-11.8559,4.56066,1.6367,0.96,0.237865,0.01,0.319405,1.2162532625235,3.03030303030303e-08,0.121212121212121,0.145454545454545,0.338
"GRB090812",2.452,66.7,-5.236572006,0.556302501,1.24,21.77771022,1.88559,-10.16730017,3.52924,1.37252,0.53,0.13258,0.015,0.08412,14.6583733159175,1.21212121212121e-07,0.121212121212121,0.0303030303030303,0.10615
"GRB090927",1.37,2.2,-6.698970004,0.301029996,1.8,21.01785522,2.06549,-11.6716204,4.20121889,1.13087741,0.92,0.093241949,0.01,0.074843971,0.400898977948906,1.81818181818182e-08,0.121212121212121,0.121212121212121,0.076268475
"GRB091018",0.971,4.4,-5.853871964,1.012837225,1.77,21.19187281,1.98015,-9.627087997,2.89655535,1.18074867,0.91,0.034497878,0.002061639,0.016335114,0.601065703889731,6.06060606060606e-08,0.242424242424242,0.145454545454545,0.0242886034999996
"GRB091020",1.71,34.6,-5.431798276,0.62324929,1.53,21.70587483,2.08587,-9.71219827,2.95265011,1.17417264,0.895,0.045271255,0.00218288749999999,0.018244861,4.87503886377992,6.06060606060606e-08,0.181818181818182,0.0424242424242424,0.0344806870000003
"GRB091029",2.752,39.2,-5.619788758,0.255272505,1.46,21.45058625,2.11535,-11.34678749,4.30368998,1.12123368,1.064,0.034224003,0.002,0.0267820245,4.82961031431318,6.06060606060606e-08,0.0606060606060606,0.163636363636364,0.0256335199999995
"GRB091127",0.49,7.1,-5.045757491,1.667452953,2.05,20.87872913,1.80187,-9.844663963,3.98466812,1.39581701,0.758,0.021935207,0.00244132,0.0135873089999999,0.150359555029189,1.81818181818182e-07,1.63636363636364,0.0424242424242424,0.0185625155000002
"GRB050416A",0.6528,2.5,-6.435333936,0.688419822,3.08,21.75162856,2.06183,-10.5559552,2.99481,0.842217,0.9,0.070765,0.005,0.0149485,0.444072089685655,2.24242424242424e-08,0.290909090909091,0.133333333333333,0.0484
"GRB050820A",2.6147,26,-5.463441557,0.389166084,1.25,21.61964524,1.96878,-10.01818139,3.750945731,1.136499703,0.9,0.238477529,0.0405,0.0125257010000001,22.6761161724926,1.46666666666667e-07,0.139393939393939,0.0727272727272727,0.266741013
"GRB050922C",2.198,4.5,-5.790484985,0.860936621,1.37,21.44930866,2.2119,-9.477555766,2.52429,1.22035,1.064,0.034305,0.013,0.013275,0.450457545832013,3.27272727272727e-08,0.193939393939394,0.0363636363636364,0.0319400000000005
"GRB051016B",0.9364,4,-6.769551079,0.113943352,2.4,21.71466751,1.89482,-11.59006688,4.25742,1.14771,0.73,0.058175,0.005,0.04854,0.469570015426604,1.33333333333333e-08,0.096969696969697,0.139393939393939,0.04535
"GRB051109A",2.346,37.2,-5.657577319,0.595496222,1.51,21.97057233,2.06584,-10.51999306,3.91123,1.22299,1.06,0.04637,0.0547943805,0.019155,7.08958896788783,1.64848484848485e-07,0.418181818181818,0.121212121212121,0.0481500000000006
"GRB051109B",0.08,14.3,-6.591760035,-0.259637311,1.97,21.36742302,2.12549,-11.57511836,3.65548,1.251,1.06,0.126645,0.00999999999999998,0.12217,3.7781688614362,2.48484848484848e-08,0.0787878787878788,0.145454545454545,0.0922000000000001
"GRB051221A",0.5465,1.4,-5.93930216,1.079181246,1.39,21.27394758,2.0589,-11.69464863,4.20075,1.09586,0.89,0.085085,0.005,0.05576,0.204978044855436,2.12121212121212e-08,0.236363636363636,0.0363636363636364,0.0630000000000006
"GRB060223A",4.41,11.3,-6.171984936,0.130333768,1.74,22.49782636,2.01015,-10.9636,2.78682,1.1892,0.81,0.23477,0.045,0.18005,1.09553641512797,2.90909090909091e-08,0.109090909090909,0.0727272727272727,0.1982
"GRB060502A",1.5026,28.4,-5.63638802,0.227886705,1.46,21.45692297,2.02719,-10.55284197,3.3865,0.897152,0.87,0.075085,0.015,0.0205255,9.82783800045578,6.18181818181818e-08,0.127272727272727,0.0484848484848485,0.0567500000000001
"GRB060510B",4.9,275.2,-5.390405591,-0.244125144,1.78,22.00215742,2.1317,-12.2656,4.43617,1.00735,1.38,0.31628,0.03,0.2313695,21.2895454410942,1.06666666666667e-07,0.0666666666666667,0.0484848484848485,0.2206
"GRB060607A",3.0749,102.2,-5.59345982,0.146128036,1.47,21.79614607,1.61002,-11.02273379,4.37412,3.43151,0.564,0.02584,0.0120771535,0.163115,31.0697613299411,6.78787878787879e-08,0.0787878787878788,0.0484848484848485,0.0760999999999994
"GRB060904B",0.703,171.5,-5.790484985,0.387389826,1.64,21.59122827,2.18877,-11.11633856,3.87074,1.36265,1.58,0.081295,0.136141492,0.04215,11.3430592104484,8.66666666666667e-08,0.127272727272727,0.0848484848484849,0.0866499999999997
"GRB060912A",0.937,5,-5.869666232,0.933487288,1.74,21.36738202,1.8948,-10.1079054,2.455171016,1.045731532,0.63,0.156564864,0.0785,0.0289377854999999,0.579999999547827,3.75757575757576e-08,0.266666666666667,0.0545454545454545,0.147419953
"GRB061110A",0.7578,40.7,-5.974694135,-0.27572413,1.67,16.57386563,1.82722,-8.33235,2.24983,4.46435,1.98,0.03335,0.0015,0.11946,4.02450144817196,4.60606060606061e-08,0.0727272727272727,0.0727272727272727,0.2103
"GRB061222A",2.088,71.4,-5.097453221,0.930949031,1.35,22.56660835,1.92748,-9.954677021,3.92091,1.35061,0.86,0.024435,0.005,0.018075,16,9.57575757575758e-08,0.157575757575758,0.0242424242424242,0.02311
"GRB070714B",0.923,64,-6.142667504,0.431363764,1.36,21.64321572,2.07429,-10.74232143,3.22974,1.64623,0.93,0.0946,0.00499999999999999,0.108425,8.40879728265565,5.45454545454545e-08,0.121212121212121,0.115151515151515,0.0993500000000003
"GRB070721B",3.626,340,-5.443697499,0.176091259,1.34,21.89473409,1.52512,-10.50863831,3.94739,2.5054,0.52,0.10084,0,0.0914400000000002,21.3202068350191,1.21212121212121e-07,0.181818181818182,0.0666666666666667,0.3648
"GRB070810A",2.17,11,-6.161150909,0.278753601,2.04,21.93100401,2.17076,-10.77728353,3.36583,1.36994,1.02,0.07187,0.01,0.077915,4.9906412396737,3.63636363636364e-08,0.121212121212121,0.0848484848484849,0.06175
"GRB080319B",0.937,50,-4.091514981,1.394451681,1.04,20.8771334,1.81426,-12.15181088,5.36799912,1.42250979,0.73,0.087626454,0,0.075139905,0.179108908319785,6.06060606060606e-07,0.303030303030303,0.0121212121212121,0.0977794549999995
"GRB080319C",1.95,34,-5.443697499,0.716003344,1.37,21.75037415,1.61029,-8.91721463,3.19029,1.45203,1.94,0.04713,0.199995173,0.02854,8.88502944558435,6.06060606060606e-08,0.181818181818182,0.0424242424242424,0.0500400000000001
"GRB080905B",2.374,128,-5.744727495,-0.301029996,1.78,22.33533151,1.86248,-10.11125904,3.67820615,1.36946226,0.375,0.038825489,0.00558525,0.0333017515,28.0583333245587,1.21212121212121e-07,0.0606060606060606,0.0909090909090909,0.0323645699999995
"GRB080916A",0.6887,60,-5.397940009,0.431363764,1.17,21.7431239,1.88453,-10.75269955,3.60698,0.998947,0.83,0.073495,0.01,0.0260505,6.3258975691903,6.06060606060606e-08,0.121212121212121,0.127272727272727,0.0591999999999997
"GRB081028A",3.038,260,-5.431798276,-0.301029996,1.25,20.90308999,2.51,-11.3994,4.75426,2.20023,0.945,0.03025,5e-04,0.0547150000000001,32.5884964277169,1.21212121212121e-07,0.0606060606060606,0.23030303030303,0.0572000000000008
"GRB081203A",2.1,294,-5.113509275,0.462397998,1.54,21.66176916,2.03508,-10.9243983,4.02089,1.86904,0.82,0.03932,0.0325,0.064395,82.9698740507662,1.81818181818182e-07,0.121212121212121,0.0363636363636364,0.0569499999999996
"GRB090418A",1.608,56,-5.337242168,0.278753601,1.48,22.02365981,2.03408,-10.04720756,3.52813657,1.52909667,0.98,0.030759021,0.00353133200000001,0.0421545135,4.12921107301137,1.21212121212121e-07,0.181818181818182,0.0424242424242424,0.028659405
"GRB090429B",9.4,5.5,-6.508638306,0.204119983,0.47,21.03292483,2.00127,-10.92811799,3.19881,1.4371,0.74,0.148545,0.005,0.09107,1.01801767977434,1.81818181818182e-08,0.121212121212121,0.466666666666667,0.169750000000001
"GRB090516A",4.109,210,-5.045757491,0.204119983,1.84,21.19589965,2.09,-11.27490548,4.33113504,1.76098314,0.502,0.029715315,0.4790870845,0.0533515885,64,3.63636363636364e-07,0.121212121212121,0.0666666666666667,0.0377960499999999
"GRB091109A",3.076,48,-5.795880017,0.113943352,1.31,21.89596701,1.96352,-11.14630179,3.37933883,1.06152816,0.89,0.074268877,0.03,0.0337195714999999,16.7081067781536,1.21212121212121e-07,0.242424242424242,0.151515151515152,0.0594103399999995
"GRB091208B",1.063,14.9,-5.48148606,1.181843588,1.74,21.91211094,2.03333,-10.18045606,3.31388094,1.1606541,0.86,0.052928177,0.034663611,0.030502454,2.89772326829494,1.21212121212121e-07,0.606060606060606,0.0666666666666667,0.036806415
"GRB100219A",4.6667,18.8,-6.431798276,-0.397940009,1.34,18.42501386,1.58721,-12.13548892,4.7218991,3.69298474,0.46,0.103773463,0.005,0.7308534025,6.64771150189809,3.63636363636364e-08,0.0606060606060606,0.151515151515152,0.326395625
"GRB100316B",1.18,3.8,-6.698970004,0.113943352,2.23,21.41315218,2.23535,-11.1481304,3.5543767,1.36246063,1.08,0.207348761,0.02,0.13322096,0.445223531811273,1.21212121212121e-08,0.0606060606060606,0.109090909090909,0.10431242
