"","log10PeakFlux","Alpha","log10Ta","PhotonIndex","log10Fa","Beta","Gamma","log10Fluence","log10T90","log10NH","log10PeakFluxSqr","AlphaSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Sqr","log10NHSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"201015A",-0.060480747,1.00289648058488,3.94558933139601,1.42,-10.9024366751031,0.893838780739246,1.78537,-5.958607315,2.10720996964787,22.33533151,0.00365792075767801,1.00580135076954,15.567675172026,2.0164,118.863125454633,0.798947765953423,3.1875460369,35.5050011343715,4.44033385618337,498.867033661599,0.0503781599007772,0.792650306326744,0.600805602788199,0.296979692713115,0.206065891225627,0.0169812114071368,0.58,0.0363046589885454,"201015A",0.426,0.154119525515847
"230414B",-0.22184875,2.06160972,4.8792574,1.6,-11.9505263,0.37,2.02038,-6.327902142,1.41463914673701,21.69224395,0.0492168678765625,4.25023463759848,23.8071527754548,2.56,142.815078846992,0.1369,4.0819353444,40.0423455187282,2.00120391548081,470.553447586312,0.148027729903839,0.11074106,0.069549,0.21988187,2.19,0.0924030812423339,0.3,0.144764827428965,"230414B",3.568,0.659726095237792
"220611A",-0.045757491,2.26249671,5.53,1.87,-12.4941008,0.32,1.90103,-6.173925197,1.75587485567249,20.42473959,0.00209374798261508,5.11889136276082,30.5809,3.4969,156.102554800561,0.1024,3.6139150609,38.1173523381515,3.08309650878289,417.169987319313,0.0942443169455569,0.22640221,0.81046481,0.50304248,0.35,0.0842660934455674,0.29,0.144764827428965,"220611A",2.3608,0.526442668529935
"130427A",1.037426498,1.36724751813773,4.00187858366462,0.98,-10.2190202134316,0.882797687387776,1.91015,-4.443697499,2.29556709996248,21.85427081,1.07625373875254,1.86936577585378,16.0150321983935,0.9604,104.428374122524,0.779331756857206,3.6486730225,19.7464474626189,5.26962831043015,477.609152636818,0.0352171865714314,0.800209833289482,0.593750092235234,0.27821644439571,0.203869550972458,0.0142275014568467,0.58,0.0167116683635139,"130427A",0.34,0.127104798364808
"021004A",-0.301029996,1.38042366840006,4.34876045948434,1.94,-10.8821151665748,0.874453048844571,1.83562,-5.958607315,2.74028371968188,20.87872913,0.09061905849176,1.90556950427908,18.9117175339745,3.7636,118.420430498598,0.764668134633566,3.3695007844,35.5050011343715,7.50915486435356,435.921330083911,0.0414232995600016,0.801493294569613,0.604160238291539,0.282992347811121,0.205179875229975,0.0924030812423339,0.58,0.072170148569444,"021004A",2.34,0.523746466811564
"141121A",-0.045757491,2.33322,5.76634,1.73,-12.65757732,0.82,1.93447,-5.27572413,2.74028371968188,21.59590717,0.00209374798261508,5.4439155684,33.2506769956,2.9929,160.214263611778,0.6724,3.7421741809,27.8332650958643,7.50915486435356,466.383206495257,0.0298708467608446,0.1675,0.090095,0.2969,0.01,0.0198648133335181,0.078787879,0.0877362591468426,"141121A",1.47,0.392696953259666
"140430A",0.397940009,0.875171,4.14388,2,-11.36251027,1.03,2.15785,-5.958607315,2.23954972084047,21.67796993,0.15835625076292,0.765924279241,17.1717414544,4,129.106639635855,1.0609,4.6563166225,35.5050011343715,5.01558295211664,469.934380285984,0.00923562857434798,0.0861,0.13071,0.0833725,0.035,0.0478561412739919,0.133333333,0.0210567021001345,"140430A",1.6,0.414973347970818
"160227A",-0.22184875,1.10229,4.47751,0.75,-10.99567863,0.679,1.72551,-5.508638306,2.50037371435337,21.4198963,0.0492168678765625,1.2150432441,20.0480958001,0.5625,120.904948534239,0.461041,2.9773847601,30.3450959863305,6.25186871142929,458.811957502754,0.10341864138488,0.03055,0.03885,0.03434,0.001,0.0169812114071368,0.309090909,0.0438681298090717,"160227A",2.38,0.528916700277655
"081228A",-0.301029996,1.31860701254099,3.40557852842782,2.25,-10.9094598298686,0.903443707562994,1.91138,-6.080398976,2.50037371435337,20.87872913,0.09061905849176,1.73872445352227,11.5979651132886,5.0625,119.016313779516,0.816210532735169,3.6533735044,36.9712517073418,6.25186871142929,435.921330083911,0.0207018675137275,0.810123861422879,0.594215247239936,0.28247724006834,0.212135852060068,0.0169812114071368,0.048484848,0.0438681298090717,"081228A",3.44,0.64738297011462
"170607A",0.041392685,1.21421089008294,3.90179079171089,1.87,-10.4593996920456,0.893382325199956,1.8473,-6.008773924,1.69731654173238,22.27524914,0.00171335437150922,1.47430808559601,15.2239713822799,3.4969,109.399041917964,0.798131978979681,3.41251729,36.1053640697424,2.88088344283838,496.186724249071,0.0148638654800828,0.811183549253754,0.602189810265504,0.284403601331187,0.207895866668234,0.0169812114071368,0.58,0.0167116683635139,"170607A",0.557,0.19228861256812
"090809A",0.041392685,1.6367,4.56066,1.34,-11.8559,0.96,1.94644,-6.468521083,0.732393759822969,21.91952315,0.00171335437150922,2.67878689,20.7996196356,1.7956,140.56236481,0.9216,3.7886286736,41.8417650012155,0.536400619427624,480.465495123386,0.0978170519847638,0.338,0.237865,0.319405,0.01,0.0387071730789222,0.145454545,0.0478561411902437,"090809A",2.737,0.572523097849638
"020124A",0.255272505,1.67742731448473,4.0031773974993,1.73,-10.8612354636977,0.913953368684594,1.95818,-5.22184875,2.14488541828714,22.33966406,0.065164051808975,2.81376239537947,16.0254292758493,2.9929,117.966435797886,0.835310760129917,3.8344689124,27.2677043678766,4.60053345758081,499.060590313656,0.032307204598357,0.795057747814627,0.607557132488903,0.294807201093904,0.218614018289814,0.0169812114071368,0.58,0.0363046589885454,"020124A",3.198,0.623042434246382
"170405A",0.278753601,1.81152426,3.6300738,1.59,-10.31069114,0.612,1.8473,-5.431798276,2.21669359916975,22.33533151,0.0777035700704672,3.28162014456855,13.1774357934464,2.5281,106.310351784474,0.374544,3.41251729,29.5044325111566,4.91373051260016,498.867033661599,0.0933217274145018,0.048255345,0.035670699,0.072401387,0.0475,0.0213412521852701,0.072727273,0.025067502542057,"170405A",3.51,0.65417654187796
"120907A",0.462397998,1.05329104,3.2113827,1.73,-10.37675071,0.78,1.82021,-6.173925197,1.22788670461367,21.0438101,0.213811908554408,1.10942201494428,10.3129788458593,2.9929,107.676955297485,0.6084,3.3131644441,38.1173523381515,1.50770575936703,442.841943524862,0.0352171865714314,0.04130341,0.062296694,0.028647271,0.005,0.0432133812541372,0.151515152,0.0363046588123045,"120907A",0.97,0.294466226161593
"091127A",1.667452953,1.39581701,3.98466812,2.05,-9.844663963,0.758,1.80187,-5.045757491,0.851258348719075,20.87872913,2.78039935046842,1.94830512540534,15.8775800265443,4.2025,96.9174085443909,0.574564,3.2467354969,25.4596686579826,0.724640776263927,435.921330083911,0.00919722887858148,0.018562516,0.021935207,0.013587309,0.00244132,0.00877362590591064,0.042424242,0.0152830902649864,"091127A",0.49,0.173186268412274
"060418A",0.814247596,1.47655,3.11887,1.7,-9.792961075,0.98,1.94118,-5.079354999,2.01325866528352,21.65363309,0.662999147591779,2.1801999025,9.7273500769,2.89,95.9020866164651,0.9604,3.7681797924,25.7998472058663,4.05321045333917,468.879825996343,0.190629725370006,0.04904,0.057245,0.044705,0.005,0.0079942161609691,0.036363636,0.0141293054922338,"060418A",1.489,0.396024896608593
"210610A",0.380211242,1.0816785,3.15453451,1.41,-10.4044334,0.88,1.83562,-6,1.13417710757677,21.35337952,0.144560588543183,1.17002837736225,9.95108797478094,1.9881,108.252234375036,0.7744,3.3695007844,36,1.2863577113512,455.966816925155,0.100484314152503,0.85146569,1.28215864,0.07850685,0.195,0.0434294481903252,0.19,0.0723824136024763,"210610A",3.54,0.657055852857104
