"","log10PeakFlux","PhotonIndex","log10NH","log10Ta","Beta","log10Fa","log10T90","Alpha","Gamma","log10Fluence","log10PeakFluxSqr","PhotonIndexSqr","log10NHSqr","log10TaSqr","BetaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10PeakFlux_opt","PhotonIndex_opt","log10NH_opt","log10Ta_opt","Beta_opt","log10Fa_opt","log10T90_opt","Alpha_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"050904A",-0.207608311,1.25,22.39388568,5.539472,1,-14.18,2.259044094,2.332396,1.90813,-5.316052869,0.0431012107962727,1.5625,501.486115848909,30.685750038784,1,201.0724,5.10328021863628,5.440071100816,3.6409600969,28.2604181060031,0.0777158547080599,0.12808,0.069062,0.187665,0.09,0.016184888,0.07,0.119080745,"050904A",1,-0.05190207775,0.3125,5.59847142,1.384868,0.25,-3.545,0.5647610235,0.583099,0.4770325,-1.32901321725,6.295,0.86302529622947
"050922C",0.860936621,1.37,21.44930866,3.77,0.56,-11.65,0.653212514,1.25,2.2119,-5.790484985,0.741211865378898,1.8769,460.072841991951,14.2129,0.3136,135.7225,0.4266865884462,1.5625,4.89250161,33.5297163615105,0.0434736058796182,0.01,0.01,0.01,0.01,0.014476483,0.06,0.019142457,"050922C",0,0,0,0,0,0,0,0,0,0,0,2.2,0.505149978319906
"051016B",0.113943352,2.4,21.71466751,4.31791531705185,0.795866789323727,-12.5656220306218,0.602059991,1.04358723091147,1.89482,-6.769551079,0.0129830874649959,5.76,471.52678506985,18.644392685231,0.633403946348458,157.894857016448,0.36247623276292,1.08907430852147,3.5903428324,45.8268218111901,0.0509829166339321,0.794635541205342,0.564080332133073,0.341646081222064,0.209536103078179,0.056202815,0.23,0.053451629,"051016B",0,0,0,0,0,0,0,0,0,0,0,0.9364,0.286995073968852
"051028A",0.179466033655192,1.6783282458665,20.9024195385481,4.04085,1.1,-13.0714,1.204119983,1.02823,2.02921982175251,-6.17568341398607,0.0322080572359265,2.81678570087332,436.911142565477,16.3284687225,1.21,170.86149796,1.44990493345992,1.0572569329,4.11773308499329,38.1390656297826,0.0114965181711467,0.2287,0.246865,0.1334,0.18,0.0451414448022833,0.236991174642203,0.0749534429882672,"051028A",1,0.044866508413798,0.419582061466625,5.22560488463702,1.0102125,0.275,-3.26785,0.30102999575,0.2570575,0.507304955438127,-1.54392085349652,3.6,0.662757831681574
"051109A",0.595496222,1.51,21.97057233,3.74,0.96,-12.14,1.57054294,0.81,2.06584,-5.657577319,0.354615750416273,2.2801,482.706048507762,13.9876,0.9216,147.3796,2.46660512638384,0.6561,4.2676949056,32.0081811204632,0.0827679937346041,0.03,0.04,0.02,0.04,0.05369459,0.2,0.076056648,"051109A",0,0,0,0,0,0,0,0,0,0,0,2.35,0.525044807036845
"051111A",0.424881637,1.32,21.79196559,2.77,0.76,-10.91,1.776555911,1,2.23019,-5.389339837,0.1805244054598,1.7424,474.889764275744,7.6729,0.5776,119.0281,3.15615090490904,1,4.9737474361,29.0449838786752,0.0161841207996628,0.03,0.04,0.04,0.07,0.014263593,0.06,0.034286406,"051111A",1,0.10622040925,0.33,5.4479913975,0.6925,0.19,-2.7275,0.44413897775,0.25,0.5575475,-1.34733495925,1.55,0.406540180433955
"060115A",-0.060480747,1,21.43355223,4.09040904690609,0.829408661045971,-12.4071165100771,2.144885418,0.913003641592976,2.10553,-5.76700389,0.00365792075767801,1,459.397161196138,16.7314461710112,0.68791872701807,153.936540094628,4.60053345634903,0.833575649562035,4.4332565809,33.2583338672751,0.0469357822743554,0.79064590532704,0.559642089840169,0.341762637984366,0.223690650358895,0.038096007,0.303030303,0.059902687,"060115A",0,0,0,0,0,0,0,0,0,0,0,3.53,0.656098202012832
"060124A",-0.050609993,1.84,21.9172644,3.63,0.73,-11.66,1.134495856,0.88,2.00895,-6.336299075,0.00256137139146005,3.3856,480.366478779507,13.1769,0.5329,135.9556,1.28708084728117,0.7744,4.0358801025,40.1486859678459,0.0416381769095578,0.03,0.04,0,0.08,0.049929734,0.19,0.087834839,"060124A",0,0,0,0,0,0,0,0,0,0,0,2.3,0.518513939877887
"060206A",0.445604203,1.2,22.33966406,4.293881,0.77,-12.0107,0.880241776,1.255402,2.20424,-6.080398976,0.198563105731265,1.44,499.060590313656,18.437414042161,0.5929,144.25691449,0.774825584215634,1.576034181604,4.8586739776,36.9712517073418,0.110636974360534,0.004353,0.004134,0.00376,0.01,0.021949902,0.181818182,0.026462388,"060206A",0,0,0,0,0,0,0,0,0,0,0,4.05,0.703291378118661
"060210A",0.434568904,1.53,22.3877421,3.243171,0.99,-12.4544,2.40654018,1.327381,2.08163,-5.11577123,0.188850132323761,2.3409,501.210996336112,10.518158135241,0.9801,155.11207936,5.79143563795443,1.761940319161,4.3331834569,26.1711152776957,0.207740121229715,0.039346,0.035759,0.053451,0.03,0.023188831,0.09,0.044706785,"060210A",0,0,0,0,0,0,0,0,0,0,0,3.91,0.691081492122968
"060223A",0.130333768,1.74,22.49782636,3.64584293364106,0.803074127362611,-12.3159860506414,1.053078443,1.09587599814179,2.01015,-6.171984936,0.0169868910810778,3.0276,506.152190924711,13.2921706967805,0.644928054039219,151.683512399594,1.1089742071113,1.20094420330326,4.0407030225,38.0933980502109,0.042104904450281,0.763109096326692,0.62050827678341,0.363138682235164,0.21302661789445,0.030974941,0.12,0.057905931,"060223A",0,0,0,0,0,0,0,0,0,0,0,4.41,0.73319726510657
"060306A",0.775974331,1.8,21.61973178,4.00802095039777,0.79850902499872,-12.2640691791781,2.13255996245349,0.992795253030281,2.28823,-5.671620397,0.602136162370898,3.24,467.412802239142,16.0642319388274,0.637616663004406,150.407392831666,4.54781199345963,0.98564241443946,5.2359965329,32.1672779276664,0.0112622187283241,0.793811152658409,0.562741080700009,0.336670645798764,0.209993656682321,0.01457843,0.060606061,0.0488439909307915,"060306A",0,0,0,0,0,0,0,0,0,0,0,1.559,0.408070285887185
"060418A",0.814247596,1.7,21.65363309,2.578446,0.69,-10.4315,2.158362492,1.179912,1.94118,-5.079354999,0.662999147591779,2.89,468.879825996343,6.648383774916,0.4761,108.81619225,4.65852864687245,1.392192327744,3.7681797924,25.7998472058663,0.136485588124709,0.021082,0.02144,0.0063,0.11,0.013190457,0.06,0.023313354,"060418A",0,0,0,0,0,0,0,0,0,0,0,1.49,0.396199347095736
"060502A",0.227886705,1.46,21.45692297,3.87549052757824,0.814001697747025,-12.1634213335335,1.45331834,0.920023885955899,2.02719,-5.63638802,0.051932350315757,2.1316,460.399543340514,15.0194268293487,0.662598763935039,147.948818537058,2.11213419738036,0.846443950729393,4.1094992961,31.7688699119995,0.150287880735964,0.796941708103942,0.564237683520208,0.349691143145868,0.218661928813941,0.019176639,0.08,0.053965586,"060502A",0,0,0,0,0,0,0,0,0,0,0,1.5026,0.398391440229475
