"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
91,1795,0.4321,1795,1.4018,1795,-0.3863,17,9,2.9,"Response ~  (log10Ta_optSqr+Beta_optSqr+log10Ta_opt+log10NH+log10PeakFlux)^2+PhotonIndex+Beta_opt+log10Ta+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10TaSqr+GammaSqr"
92,5632,0.7368,5797,0.9667,5429,0.0276,17,9,2.9,"Response ~  (log10Ta_optSqr+log10TaSqr+Beta_optSqr+log10Ta+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+GammaSqr"
93,2716,0.449,2716,1.172,4917,-0.1781,17,9,2.8,"Response ~  (GammaSqr+log10Ta_optSqr+log10Ta+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10TaSqr"
94,5736,0.2967,1218,1.277,3108,0.0042,17,9,2.8,"Response ~  (GammaSqr+log10Ta_optSqr+PhotonIndexSqr+log10PeakFluxSqr+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Ta_opt+Gamma+log10NHSqr+Beta_optSqr+log10TaSqr"
95,5851,0.3692,1056,1.2379,5851,-0.0587,17,9,2.9,"Response ~  (GammaSqr+log10Ta_optSqr+Beta_optSqr+Gamma+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+log10Ta_opt+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10TaSqr"
96,3333,0.4677,3333,1.1264,5853,-0.2478,17,9,2.7,"Response ~  (log10Ta_optSqr+Beta_optSqr+log10NHSqr+PhotonIndexSqr+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+log10PeakFluxSqr+log10TaSqr+GammaSqr"
97,378,0.3577,229,1.2034,229,-0.249,17,9,2.7,"Response ~  (log10Ta_optSqr+log10NHSqr+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr+GammaSqr"
98,342,0.5528,617,1.2213,7763,-0.3932,17,9,2.7,"Response ~  (log10Ta_optSqr+log10NHSqr+Beta_opt)^2+log10PeakFlux+PhotonIndex+log10NH+log10Ta+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr+GammaSqr"
99,1013,0.3766,1013,1.188,791,-0.1801,17,9,2.9,"Response ~  (log10Ta_optSqr+log10NHSqr+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr+GammaSqr"
100,180,0.5796,129,1.3584,166,-0.4261,17,9,2.8,"Response ~  (GammaSqr+Beta_optSqr+log10PeakFlux)^2+PhotonIndex+log10NH+Beta_opt+log10Ta+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10TaSqr+log10Ta_optSqr"
