"formula_idx","wins","formula"
3232,2,"Response ~  (Beta_optSqr+log10NHSqr+Gamma+log10Ta_opt+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
3333,2,"Response ~  (log10Ta_optSqr+Beta_optSqr+log10NHSqr+PhotonIndexSqr+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+log10PeakFluxSqr+log10TaSqr+GammaSqr"
3634,2,"Response ~  (log10Ta_optSqr+log10TaSqr+Beta_optSqr+log10NH+PhotonIndex+log10PeakFlux)^2+Beta_opt+log10Ta+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+GammaSqr"
4112,2,"Response ~  (GammaSqr+Beta_optSqr+log10Ta_opt+log10Ta+log10NH+log10PeakFlux)^2+PhotonIndex+Beta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10TaSqr+log10Ta_optSqr"
4349,2,"Response ~  (log10TaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10Ta+Beta_opt+log10PeakFlux)^2+PhotonIndex+log10NH+log10Ta_opt+Gamma+log10NHSqr+Beta_optSqr+log10Ta_optSqr+GammaSqr"
4629,2,"Response ~  (log10Ta_optSqr+log10TaSqr+Beta_optSqr+log10NHSqr+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr"
4889,2,"Response ~  (Beta_optSqr+log10PeakFluxSqr+log10Ta_opt+log10Ta+log10NH+PhotonIndex)^2+log10PeakFlux+Beta_opt+Gamma+PhotonIndexSqr+log10NHSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
5637,2,"Response ~  (log10NHSqr+log10PeakFluxSqr+Gamma+log10Ta_opt+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+PhotonIndexSqr+Beta_optSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
5788,2,"Response ~  (Beta_optSqr+log10NHSqr+log10PeakFluxSqr+log10Ta_opt+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+Gamma+PhotonIndexSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
6077,2,"Response ~  (log10Ta_optSqr+log10NHSqr+log10PeakFluxSqr+Gamma+log10Ta+Beta_opt)^2+log10PeakFlux+PhotonIndex+log10NH+log10Ta_opt+PhotonIndexSqr+Beta_optSqr+log10TaSqr+GammaSqr"
6107,2,"Response ~  (log10Ta_optSqr+log10NHSqr+PhotonIndexSqr+log10PeakFluxSqr+log10Ta+Beta_opt)^2+log10PeakFlux+PhotonIndex+log10NH+log10Ta_opt+Gamma+Beta_optSqr+log10TaSqr+GammaSqr"
6120,2,"Response ~  (GammaSqr+log10Ta_optSqr+log10NHSqr+log10PeakFluxSqr+log10Ta+Beta_opt)^2+log10PeakFlux+PhotonIndex+log10NH+log10Ta_opt+Gamma+PhotonIndexSqr+Beta_optSqr+log10TaSqr"
6223,2,"Response ~  (log10Ta_optSqr+log10TaSqr+log10NHSqr+log10PeakFluxSqr+Gamma+Beta_opt)^2+log10PeakFlux+PhotonIndex+log10NH+log10Ta+log10Ta_opt+PhotonIndexSqr+Beta_optSqr+GammaSqr"
