"","log10Ta","log10NH","log10PeakFlux","PhotonIndex","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"080928A",4.08450503,21.51035195,0.322219295,1.77,-11.1260984,1.76031774,2.368584372,0.99,2.13864,-5.602059991,16.6831813400953,462.695241012869,0.103825274070297,3.1329,123.790065606483,3.09871854575871,5.61019192728263,0.9801,4.5737810496,31.3830761427629,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0.034743559,0.12,0.02068069,"080928A",1.692,0.430075055551939
"081007A",3.58176278,21.69605744,0.414973348,2.51,-10.58502665,1.00469263,0.958563883,0.92,2.102,-6.148741651,12.8290246121933,470.718908439779,0.172202879550329,6.3001,112.04278918121,1.00940728077632,0.918844717792038,0.8464,4.418404,37.8070238907422,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0.048934589,0.2,0.066814536,"081007A",0.5295,0.184549481320698
"081008A",3.85550833,21.1376737,0.113943352,1.69,-10.79317412,1.47398467,2.268297087,0.84,1.98207,-5.366531544,14.8649444826994,446.801249447672,0.0129830874649959,2.8561,116.492607584638,2.17263080739501,5.14517167489269,0.7056,3.9286014849,28.799660812747,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,0.020199743,0.07,0.033407268,"081008A",1.9685,0.472537053262077
"081029A",4.48156171,21.49704581,-0.301029996,1.43,-11.86327943,2.51960373,2.431283332,0.87,1.95818,-5.677780705,20.0843953605381,462.122978557239,0.09061905849176,2.0449,140.737398834261,6.34840295622991,5.91113864046102,0.7569,3.8344689124,32.2371937340703,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,0.041361379,0.18,0.173717793,"081029A",3.8479,0.685553652846326
"081221A",2.93195749,21.57331844,1.260071388,1.21,-9.354577731,1.23586126,1.531478917,0.991,2.4947,-4.742321425,8.5963747231671,465.408068513644,1.58777990285625,1.4641,87.5081245253211,1.52735305396879,2.34542767321549,0.982081,6.22352809,22.489612498014,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,0.007198251,0.13,0.011931167,"081221A",2.26,0.513217600067939
"081230A",3.66959365,20.67248024,-0.15490196,1.97,-11.32975415,0.99376498,0.907209226455443,1.02,2.08621,-6.086186148,13.4659175561203,427.35143927319,0.0239946172118416,3.8809,128.363329099442,0.9875688354744,0.823028580565884,1.0404,4.3522721641,37.0416618281071,0.740704337003765,0.0701444,0.08735027,0.040381418,0.02,0.02568693,0.096969697,0.142225970771007,"081230A",2.1,0.491361693834273
"090102A",3.15380077,21.72376179,0.740362689,1.36,-9.457174573,1.42487631,1.432006687,0.667,1.76997,-7.167491087,9.94645929685259,471.921826308664,0.548136911263311,1.8496,89.4381509041977,2.03027249879922,2.05064315161272,0.444889,3.1327938009,51.3729284822244,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,0.019160051,0.08,0.063170107,"090102A",1.547,0.406028944963615
"090205A",3.70655,21.81792086,-0.301029996,2.15,-11.3419886,1.29089,0.944482672,1.01,2.03416,-6.721246399,13.7385129025,476.021670653223,0.09061905849176,4.6225,128.64070540253,1.6663969921,0.89204751770826,1.0201,4.1378069056,45.1751531560705,0.0885407574117407,0.13445,0.114585,0.084185,0.025,0.068572813,0.23,0.086858896,"090205A",4.6497,0.752025387323213
"090423A",3.91521772,22.7516324,0.230448921,0.8,-11.2798407,1.43267533,0.989894564,0.77,1.8158,-6.229147988,15.328929795002,517.63677686473,0.0531067051900642,0.64,127.234806217376,2.05255860119061,0.97989124783675,0.5929,3.29712964,38.8022846564045,0.047195797531391,0.08569564,0.077643595,0.064053366,0.005,0.029443694,0.5,0.051093469,"090423A",8.26,0.966610986681934
"090424A",2.99599056,21.63012977,1.851258349,1.19,-9.050609993,1.1284106,1.681241237,0.924,1.96315,-4.677780705,8.97595943560911,467.86251386704,3.42715747474221,1.4161,81.9135412453915,1.27331048219236,2.82657209698929,0.853776,3.8539579225,21.8816323240703,0.0205611924585667,0.011257098,0.013394814,0.005546887,0,0,0.15,0.012233647,"090424A",0.544,0.188647295999717
