"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
40,6958,0.5769,6958,0.9144,10599,0.0277,15,8,4.3,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+Alpha+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
41,5585,0.3365,1975,1.1514,7862,-0.3358,17,9,4.5,"Response ~  (AlphaSqr+log10NHSqr+Alpha+Beta+log10Ta+PhotonIndex)^2+log10NH+log10PeakFlux+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr"
42,4509,0.725,4509,1.1408,5701,-0.3066,16,8,4.5,"Response ~  (PhotonIndexSqr+log10NHSqr+Alpha+log10Fa+Beta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10PeakFluxSqr+log10TaSqr+BetaSqr+log10FaSqr+AlphaSqr"
43,3554,0.3598,11478,1.3847,9034,-0.0228,13,7,4.7,"Response ~  (log10NHSqr+Alpha+log10Fa+PhotonIndex+log10PeakFlux+log10NH)^2+log10Ta+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr+AlphaSqr"
44,6920,0.3266,4206,1.3711,11134,-0.2456,17,9,4.8,"Response ~  (BetaSqr+log10TaSqr+log10NHSqr+log10Fa+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
45,4469,0.6336,4469,0.9386,9786,0.0061,15,8,5.8,"Response ~  (log10FaSqr+BetaSqr+log10TaSqr+Alpha+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
46,4508,0.4398,1142,1.1578,704,0.0102,17,9,6.1,"Response ~  (log10PeakFluxSqr+log10NHSqr+Alpha+log10Fa+Beta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr+AlphaSqr"
47,2585,0.6061,2585,1.0283,3657,-0.2003,14,7,6.1,"Response ~  (BetaSqr+log10TaSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
48,3920,0.3788,3920,1.26,3809,-0.0309,17,9,6.1,"Response ~  (log10FaSqr+BetaSqr+log10PeakFluxSqr+Alpha+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
49,3952,0.5264,3952,1.0724,5763,0.1544,17,9,6.1,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10NHSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
50,8866,0.5188,8866,1.0468,8866,9e-04,13,7,6.1,"Response ~  (log10FaSqr+BetaSqr+log10TaSqr+log10NHSqr+Alpha+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
51,3098,0.345,3098,1.3434,7890,-0.3276,17,9,6.1,"Response ~  (BetaSqr+log10NHSqr+Alpha+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
52,1589,0.5225,1589,1.1805,523,-0.0613,16,8,6.1,"Response ~  (BetaSqr+log10NHSqr+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
53,9329,0.4385,4130,1.2813,7310,-0.2678,15,8,6,"Response ~  (AlphaSqr+BetaSqr+log10TaSqr+log10NHSqr+Alpha+log10Ta+PhotonIndex)^2+log10NH+log10PeakFlux+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr"
54,5208,0.6155,5208,0.9774,8203,-0.0984,17,9,5.3,"Response ~  (AlphaSqr+BetaSqr+log10NHSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
55,1653,0.6713,1653,0.8705,1653,-0.0157,13,7,4.7,"Response ~  (log10FaSqr+BetaSqr+Alpha+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
56,1690,0.421,1690,1.3548,10592,-0.3192,16,8,3,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
57,5204,0.6553,5204,0.9526,4246,-0.1041,15,8,3.5,"Response ~  (BetaSqr+log10TaSqr+log10NHSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
58,3952,0.5166,1690,1.1919,1690,0.0095,17,9,4.4,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10NHSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
59,3758,0.5235,3758,1.2862,5362,0.0499,16,8,4.5,"Response ~  (log10NHSqr+Alpha+log10Fa+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr+AlphaSqr"
60,672,0.4103,672,1.1726,672,-0.2663,17,9,4.7,"Response ~  (log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr+AlphaSqr"
61,3022,0.5143,4100,1.0848,9312,-0.1899,16,8,5.4,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+Beta+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
62,5703,0.4858,5703,1.0106,714,-0.0192,16,8,6.2,"Response ~  (AlphaSqr+log10TaSqr+log10NHSqr+Alpha+log10Ta+PhotonIndex)^2+log10NH+log10PeakFlux+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10FaSqr"
63,12620,0.3737,12620,1.3824,12600,-0.0659,12,6,6.2,"Response ~  (AlphaSqr+BetaSqr+log10TaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+log10Ta+PhotonIndex)^2+log10NH+log10PeakFlux+Beta+log10Fa+Alpha+log10FaSqr"
64,633,0.5528,1902,1.088,555,-0.0138,17,9,6.2,"Response ~  (log10FaSqr+BetaSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
65,3250,0.6367,3250,0.959,4087,-0.0228,17,9,6.1,"Response ~  (AlphaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+Beta)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+log10TaSqr+BetaSqr+log10FaSqr"
66,3910,0.3956,2585,1.268,5207,-0.2086,17,9,6.1,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+Alpha+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
67,3735,0.4776,3735,1.2186,5164,-0.0424,17,9,6.1,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
68,8718,0.6627,2052,1.1375,2055,-0.038,16,8,6.1,"Response ~  (AlphaSqr+PhotonIndexSqr+log10NHSqr+Alpha+Beta+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10Fa+log10PeakFluxSqr+log10TaSqr+BetaSqr+log10FaSqr"
69,6617,0.4902,6617,1.2096,12193,-0.0655,14,7,6,"Response ~  (AlphaSqr+PhotonIndexSqr+log10Fa+Beta+PhotonIndex+log10PeakFlux+log10NH)^2+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+BetaSqr+log10FaSqr"
70,5204,0.337,5204,1.2459,9318,-0.1381,15,8,5.3,"Response ~  (BetaSqr+log10TaSqr+log10NHSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
71,4301,0.7632,3161,1.0357,5597,0.1035,17,9,4.7,"Response ~  (log10TaSqr+Alpha+log10Fa+Beta+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10FaSqr+AlphaSqr"
72,1938,0.6772,1938,1.0226,2483,-0.3692,17,9,2.9,"Response ~  (log10FaSqr+BetaSqr+Alpha+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
73,9660,0.5157,9660,1.1182,9970,0.0191,16,8,3.5,"Response ~  (AlphaSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+Alpha+Beta+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+log10Fa+log10PeakFluxSqr+BetaSqr+log10FaSqr"
74,3531,0.5868,3531,0.9838,7470,-0.0014,17,9,4.4,"Response ~  (log10FaSqr+Alpha+Beta+PhotonIndex+log10PeakFlux+log10NH)^2+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
75,8571,0.4298,8571,1.2768,10822,-0.0796,17,9,4.5,"Response ~  (AlphaSqr+BetaSqr+log10PeakFluxSqr+log10NHSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+Beta+Alpha+PhotonIndexSqr+log10TaSqr+log10FaSqr"
76,9720,0.6381,6256,1.3308,13631,-0.076,17,9,4.6,"Response ~  (log10FaSqr+BetaSqr+log10TaSqr+log10NHSqr+Alpha+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
77,6790,0.4382,6790,1.2005,1799,0.0137,17,9,4.8,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10NHSqr+PhotonIndex+log10PeakFlux+log10NH)^2+log10Ta+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
78,4225,0.7078,4225,1.1711,6439,-0.2547,16,8,6,"Response ~  (AlphaSqr+BetaSqr+log10TaSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Beta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr"
79,3735,0.6228,1187,1.4291,14757,0.001,17,9,6.1,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
80,2480,0.5625,2480,1.0678,3684,0.0436,17,9,6.1,"Response ~  (log10TaSqr+log10NHSqr+log10Fa+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10FaSqr+AlphaSqr"
81,6149,0.6844,6149,0.9139,1547,-0.0766,16,8,6.1,"Response ~  (BetaSqr+log10TaSqr+log10NHSqr+Alpha+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
82,6194,0.5959,3757,1.2732,4325,-0.0848,17,9,6.1,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10NHSqr+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
83,2063,0.4551,2063,1.0783,7936,-0.0022,17,9,6.1,"Response ~  (BetaSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
