"","log10NH","log10PeakFlux","log10Ta","PhotonIndex","log10Fa","Alpha","log10T90","log10Ta_opt","Beta","log10Fa_opt","Alpha_opt","Beta_opt","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","log10Ta_optSqr","BetaSqr","log10Fa_optSqr","Alpha_optSqr","Beta_optSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","log10Ta_opt","PhotonIndex_opt","log10Fa_opt","Alpha_opt","log10T90_opt","log10Ta_opt_opt","Beta_opt","log10Fa_opt_opt","Alpha_opt_opt","Beta_opt_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"050820A",21.61964524,0.389166084,3.750945731,1.25,-10.01818139,1.136499703,1.414973348,0,0.9,0,0,0,1.96878,-5.463441557,467.409060303455,0.151450240935895,14.0695938769071,1.5625,100.363958362942,1.29163157491909,2.00214957555033,0,0.81,0,0,0,3.8760946884,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.03,0,0.01,0,0.030552112,0.12,0.040770502,"050820A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6147,0.558072259099146
"050824A",20.9708274,-0.301029996,5.08558,2.76,-12.23882419,0.954481,1.353723938,0,0.86,0,0,0,1.94709,-6.575118363,439.775601840591,0.09061905849176,25.8631239364,7.6176,149.788817553729,0.911033979361,1.83256850031423,0,0.7396,0,0,0,3.7911594681,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0,0,0,0,0.084899673,0.38,0.130288345,"050824A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8278,0.261928672990642
"050904A",22.39388568,-0.207608311,3.84578074898733,1.25,-11.2265101298187,1.55096693041187,2.259044094,5.539472,0.818155616987025,-14.18,2.332396,1,1.90813,-5.316052869,501.486115848909,0.0431012107962727,14.7900295692815,1.5625,126.034529694922,2.40549841923122,5.10328021863628,30.685750038784,0.66937861360742,201.0724,5.440071100816,1,3.6409600969,28.2604181060031,0.378773543191014,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.12808,0.069062,0.187665,0.09,0.016184888,0.07,0.119080745,"050904A",1,5.59847142,-0.05190207775,0.961445187246832,0.3125,-2.80662753245467,0.387741732602968,0.5647610235,1.384868,0.204538904246756,-3.545,0.583099,0.25,0.4770325,-1.32901321725,6.295,0.86302529622947
"050908A",21.451745,-0.15490196,3.39276808697263,1.88,-10.7070692945506,1.01507278622451,1.239799818,3.26,1.04568170776823,-12.61,0.82,1.8,2.74883,-6.316052869,460.177363545025,0.0239946172118416,11.5108752919799,3.5344,114.641332878308,1.03037276133359,1.53710358871283,10.6276,1.09345023396108,159.0121,0.6724,3.24,7.5560663689,39.8925238440031,0.0692396240032236,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.08,0.13,0.08,0.09,0.045857181,0.17,0.086858896,"050908A",1,5.36293625,-0.03872549,0.848192021743158,0.47,-2.67676732363765,0.253768196556127,0.3099499545,0.815,0.261420426942058,-3.1525,0.205,0.45,0.6872075,-1.57901321725,3.34,0.637489729512511
"050922C",21.44930866,0.860936621,2.52429,1.37,-9.477555766,1.22035,0.653212514,0,1.064,0,0,0,2.2119,-5.790484985,460.072841991951,0.741211865378898,6.3720400041,1.8769,89.8240632976399,1.4892541225,0.4266865884462,0,1.132096,0,0,0,4.89250161,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0,0,0,0,0.014476483,0.06,0.019142456,"050922C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.198,0.504878459410216
"051016B",21.71466751,0.113943352,4.25742,2.4,-11.59006688,1.14771,0.602059991,0,0.73,0,0,0,1.89482,-6.769551079,471.52678506985,0.0129830874649959,18.1256250564,5.76,134.329650282873,1.3172382441,0.36247623276292,0,0.5329,0,0,0,3.5903428324,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0,0,0,0,0.056202815,0.23,0.053451629,"051016B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9364,0.286995073968852
"051028A",20.9024195385481,0.179466033655192,3.68911258975276,1.6783282458665,-10.8755198140656,1.10415742037089,1.204119983,4.04085,0.925518855523758,-13.0714,1.02823,1.1,2.02921982175251,-6.17568341398607,436.911142565477,0.0322080572359265,13.6095516998723,2.81678570087332,118.276931226133,1.2191636089601,1.44990493345992,16.3284687225,0.856585151930007,170.86149796,1.0572569329,1.21,4.11773308499329,38.1390656297826,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.2287,0.246865,0.1334,0.18,0.0451414448022833,0.236991174642203,0.0749534429882672,"051028A",1,5.22560488463702,0.044866508413798,0.92227814743819,0.419582061466625,-2.7188799535164,0.276039355092722,0.30102999575,1.0102125,0.23137971388094,-3.26785,0.2570575,0.275,0.507304955438127,-1.54392085349652,3.6,0.662757831681574
"051109A",21.97057233,0.595496222,3.91123,1.51,-10.51999306,1.22299,1.57054294,0,1.06,0,0,0,2.06584,-5.657577319,482.706048507762,0.354615750416273,15.2977201129,2.2801,110.670253982448,1.4957045401,2.46660512638384,0,1.1236,0,0,0,4.2676949056,32.0081811204632,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0,0,0.05679,0,0.05369459,0.2,0.076056648,"051109A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.346,0.524525936626376
"051111A",21.79196559,0.424881637,3.46050233929367,1.32,-10.0519857946106,1.41903368950997,1.776555911,2.77,0.922727407311059,-10.91,1,0.76,2.23019,-5.389339837,474.889764275744,0.1805244054598,11.975076440257,1.7424,101.042418415053,2.01365661196428,3.15615090490904,7.6729,0.851425868202989,119.0281,1,0.5776,4.9737474361,29.0449838786752,0.0692396240032236,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.03,0.04,0.04,0.07,0.014263593,0.06,0.034286406,"051111A",1,5.4479913975,0.10622040925,0.865125584823418,0.33,-2.51299644865265,0.354758422377492,0.44413897775,0.6925,0.230681851827765,-2.7275,0.25,0.19,0.5575475,-1.34733495925,1.55,0.406540180433955
"060115A",21.43355223,-0.060480747,3.69688,1,-11.29499204,0.889919,2.144885418,0,1,0,0,0,2.10553,-5.76700389,459.397161196138,0.00365792075767801,13.6669217344,1,127.576845183663,0.791955826561,4.60053345634903,0,1,0,0,0,4.4332565809,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0,0,0,0,0.038096007,0.303030303,0.059902687,"060115A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0.656098202012832
"060124A",21.9172644,-0.050609993,4.47599,1.84,-10.6893,1.3641,1.134495856,4.204885,0.99,-11.8207,1.26607,0.95,2.00895,-6.336299075,480.366478779507,0.00256137139146005,20.0344864801,3.3856,114.26113449,1.86076881,1.28708084728117,17.681057863225,0.9801,139.72894849,1.6029332449,0.9025,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0,0,0,0,0.049929734,0.19,0.087834839,"060124A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.296,0.517987203025078
"060206A",22.33966406,0.445604203,3.93814,1.2,-10.63078414,1.17565,0.880241776,2.813159,1.265,-12.2295,0.633623,0.74,2.20424,-6.080398976,499.060590313656,0.198563105731265,15.5089466596,1.44,113.013571431276,1.3821529225,0.774825584215634,7.913863559281,1.600225,149.56067025,0.401478106129,0.5476,4.8586739776,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0,0,0,0,0.021949902,0.181818182,0.026462388,"060206A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.048,0.703119346236078
"060210A",22.3877421,0.434568904,4.15028,1.53,-10.66756154,1.20511,2.40654018,0,0.979,0,0,0,2.08163,-5.11577123,501.210996336112,0.188850132323761,17.2248240784,2.3409,113.796869209687,1.4522901121,5.79143563795443,0,0.958441,0,0,0,4.3331834569,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.006123,0,0,0,0.023188831,0.09,0.044706785,"060210A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0.691081492122968
"060223A",22.49782636,0.130333768,2.78682,1.74,-10.9636,1.1892,1.053078443,0,0.81,0,0,0,2.01015,-6.171984936,506.152190924711,0.0169868910810778,7.7663657124,3.0276,120.20052496,1.41419664,1.1089742071113,0,0.6561,0,0,0,4.0407030225,38.0933980502109,0.042104904450281,0.1982,0.23477,0.18005,0.045,0,0,0,0,0.030974941,0.12,0.057905931,"060223A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0.73319726510657
"060306A",21.61973178,0.775974331,3.61496,1.8,-10.70553377,1.03794,2.13255996245349,0,0.76,0,0,0,2.28823,-5.671620397,467.412802239142,0.602136162370898,13.0679358016,3.24,114.60845330061,1.0773194436,4.54781199345963,0,0.5776,0,0,0,5.2359965329,32.1672779276664,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0,0,0,0,0.01457843,0.060606061,0.0488439909307915,"060306A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.559,0.408070285887185
"060418A",21.65363309,0.814247596,3.11887,1.7,-9.792961075,1.47655,2.158362492,0,0.98,0,0,0,1.94118,-5.079354999,468.879825996343,0.662999147591779,9.7273500769,2.89,95.9020866164651,2.1801999025,4.65852864687245,0,0.9604,0,0,0,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0,0,0,0,0.013190457,0.06,0.023313354,"060418A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.489,0.396024896608593
