"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
65,145,0.6419,145,0.1488,504,0.0834,17,5.8,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
66,648,0.5908,648,0.1729,7825,0.0927,17,5.7,"Response ~  (log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
67,463,0.5832,463,0.1568,368,0.1082,17,5.3,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr)^2+log10PeakFlux+log10Ta+PhotonIndex+log10NH+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+log10T90Sqr"
68,947,0.5659,947,0.1749,1861,0.11,17,5.4,"Response ~  (log10FaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+log10Fa+Alpha+log10T90+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
69,552,0.6368,552,0.1599,3234,0.0989,17,5.3,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
70,145,0.5699,145,0.1521,597,0.1117,17,5.2,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
71,552,0.5125,552,0.1778,1995,0.11,17,5.3,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
72,1598,0.6277,1598,0.1475,1598,0.0858,16,5.4,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
73,654,0.4262,654,0.1826,7825,0.1074,17,5.7,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
74,552,0.5708,552,0.1605,552,0.1132,17,5.9,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
75,260,0.3543,260,0.1817,497,0.1222,17,6.1,"Response ~  (Alpha+log10Fa+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
76,4366,0.4889,145,0.1785,1766,0.1379,17,6.7,"Response ~  (log10FaSqr+log10NHSqr+log10TaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
77,2041,0.589,2041,0.1543,145,0.0997,17,5.6,"Response ~  (log10FaSqr+PhotonIndexSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
78,1598,0.4005,2041,0.1824,1583,0.1266,17,4.6,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
79,145,0.7008,145,0.1251,41,0.0891,17,4.3,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
80,663,0.5818,663,0.1639,464,0.1196,16,4.2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
