"","Fbest","T_abest","F_min","F_max","T_amin","T_amax","logT90","logPeakFlux","errorlogPeakFlux","photon_index","errorphotonindex","logNH","T90_err","Gamma","Alpha","AlphaErr"
"GRB161004B",-9.39802,2.43837,-9.50943,-9.28661,2.32159,2.55514,1.20139712432045,"1.0043213737826426",0.0171997814615149,"1.21","0.13",22.0411324253148,0.716100569843843,1.9797,1.1167,1.116695
"GRB161113A",-11.9023,4.28684,-12.0034,-11.8011,4.1168,4.45688,1.62940959910272,"0.146128035678238",0.0620420688433217,"1.73","0.1",21.0732343096353,11.0991403470161,2.02591,0.867794,0.8677945
"GRB161214B",-11.3198,4.17771,-11.3842,-11.2554,4.08781,4.26762,1.39445168082622,"0.3424226808222063",0.0394813165366593,"1.76","0.09",21.0569238989224,3.13691890536705,1.98842,1.00484,1.0048465
"GRB161217A",-11.1373,3.1149,-11.2373,-11.0374,2.95427,3.27554,1.26007138798507,"-0.3979400086720376",0.108573620475813,"2.7","1.8394",20.4365059698313,5.81273637182669,1.8394,0.825749,0.8257485
"GRB170208B",-10.5809,3.45314,-10.6382,-10.5235,3.35042,3.55586,2.10744740952361,"0.9242792860618817",0.0103403448072203,"1.18","0.21",21.5925289373485,5.75414143681782,2.14664,0.902264,0.9022635
"GRB170317A",-10.7249,3.22899,-10.7726,-10.6772,3.17024,3.28775,1.07700432679335,"0.5440680443502757",0.037225241305993,"0.80","0.49",21.4027255290306,4.87496131951583,2.06523,1.17372,1.173725
"GRB170331A",-11.5069,3.79838,-11.6854,-11.3284,3.57528,4.02148,1.24477176149529,"0.07918124604762482",0.144764827301084,"0.37","1.19",21.7447181487789,2.57327802102363,2.48426,1.16101,1.16101
"GRB170711A",-10.9417,3.57249,-11.0094,-10.8739,3.43804,3.70694,1.49554433754645,"0.6812412373755872",0.0180956034126355,"1.75","0.1",21.8187186504044,7.63462009249035,2.11428,0.778258,0.778258
"GRB170803A",-10.1971,2.96196,-10.2438,-10.1505,2.91293,3.01099,0.582063362911709,"0.8129133566428556",0.020044360703227,"0.65","0.28",21.1269174279435,0.233649318060114,1.8674,1.18713,1.187125
"GRB170822A",-9.90552,3.747,-9.97167,-9.83938,3.71092,3.78308,1.80617997398389,"0.6232492903979004",0.072382413650542,"1.80","0.09",21.5500668388799,16,1.8366,1.9641,1.96413
"GRB171027A",-9.95031,3.26278,-10.0025,-9.89811,3.19565,3.32991,1.98497712641549,"0.47712125471966244",0.0289529654602168,"1.25","0.18",21.5085539579869,4.9988430358009,1.99755,1.19637,1.196375
"GRB171120A",-10.9086,4.53418,-10.9559,-10.8613,4.46604,4.60233,1.80617997398389,"1.0569048513364727",0.0190480035922479,"1.06","0.28",22.3825121262939,16,1.91761,0.969833,0.9698325
"GRB171123A",-11.4263,3.76961,-11.5427,-11.3098,3.58858,3.95065,1.76715586608218,"-0.09691001300805639",0.108573620475813,"1.35","0.34",21.0383852694924,27.0612413239722,2.2649,0.90234,0.9023425
"GRB171211A",-10.6388,2.93112,-10.863,-10.4146,2.60764,3.25461,0.3654879848909,"0.36172783601759284",0.0566471063352068,"1.77","0.21",21.2472485925937,0.455367963461657,1.66685,1.03336,1.0333555
"GRB180115A",-10.9141,3.62081,-10.9532,-10.875,3.57206,3.66955,1.61172330800734,"-0.2218487496163564",0.144764827301084,"1.66","0.22",20.6139738864907,3.11285851853654,1.9512,1.17047,1.17047
"GRB180224A",-10.5124,3.46482,-10.5902,-10.4346,3.39004,3.53959,1.03742649794062,"0.146128035678238",0.0620420688433217,"2.11","0.18",20.9645310148041,3.56897359184709,1.65422,1.84815,1.84815
"GRB180314A",-10.3733,3.19213,-10.4357,-10.311,3.11008,3.27418,1.70926996097583,"0.8976270912904415",0.0329843910306267,"0.83","0.25",8.86830403912083,22.2996266516377,1.76908,1.01924,1.0192345
"GRB180316A",-9.13278,2.70967,-9.28671,-8.97884,2.60196,2.81738,1.93951925261862,"0.5185139398778874",0.0658021942277654,"1.46","0.12",21.5124695967566,20.591260281974,2.03262,1.3171,1.31714
"GRB180331B",-11.3357,4.3889,-11.3804,-11.291,4.32621,4.45159,2.16731733474818,"0.4471580313422192",0.0465315516324913,"2.48","0.22",20.9903175391979,33.0605505096331,1.84737,1.09515,1.095145
"GRB180411A",-10.2597,3.9963,-10.3051,-10.2143,3.94838,4.04421,1.88930170250631,"0.785329835010767",0.0142391633410902,"1.46","0.03",22.2320177195751,1.00409571383667,1.95526,1.34166,1.341665
