"GRBID","InvZphot","pred_max","pred_min","Zphot"
"GRB110801A",0.501681937532166,0.681178254889918,0.453247856119099,2.17454828818696
"GRB110820A",0.455211131478941,0.672448723853688,0.336941445551453,1.85240462185115
"GRB111107A",0.528842209382498,0.624722998074757,0.474945745915266,2.37942030662473
"GRB111121A",0.38480711054567,0.532951772320248,0.334760208805451,1.42553256914731
"GRB111129A",0.401998614087572,0.568496261891438,0.324326905614608,1.52347271960878
"GRB120102A",0.359315533130362,0.558447671377822,0.321966550257419,1.28725999002002
"GRB120116A",0.448089713209573,0.513634799263165,0.390781348515988,1.80601322268904
"GRB120119A",0.472077278734859,0.674606424048239,0.433921067622604,1.96535900112056
"GRB120213A",0.411989493390641,0.813106736756153,0.278914299266271,1.58219772041672
"GRB120215A",0.520896104202418,1.00743891361903,0.383957534492481,2.31815068298204
"GRB120224A",0.449726002612487,0.746128889407113,0.318577468037736,1.81660536778422
"GRB120308A",0.412040780291219,0.697556560753247,0.325700348358178,1.58250267648512
"GRB120324A",0.524603490205393,0.767788507615642,0.478581804485315,2.34659756100299
"GRB120701A",0.501725883575318,0.634924722029681,0.465901345309651,2.17486953540636
"GRB120703A",0.325686537696166,0.428576792276775,0.301100680694923,1.11683270970143
"GRB120728A",0.518879514939572,0.753806549545754,0.467725880284102,2.30277900284174
"GRB120927A",0.621912043216379,0.909967590920702,0.551115678110171,3.18708756292013
"GRB121123A",0.492799226804779,0.735203273601676,0.42884166877144,2.11027813130342
"GRB121209A",0.478850211225948,0.694735998023215,0.442925785910323,2.01196701338395
"GRB121217A",0.473836534386314,0.665675088117145,0.426331362458055,1.97739554620913
"GRB130131A",0.51149818423735,0.655999427325888,0.42349894416043,2.24711884561457
"GRB130427B",0.469378428804456,0.831313042239951,0.364163769596994,1.94698841649314
"GRB130504A",0.710914116634343,1.08398131711759,0.597674245409765,4.13942007569381
"GRB130527A",0.391292952116553,0.820884773360607,0.304300660469034,1.46202779804485
"GRB130528A",0.479384037228266,0.609976169371772,0.42709965314441,2.01567153867797
"GRB130603A",0.503979564632377,0.631605007042529,0.44658685918217,2.19138768345997
"GRB130608A",0.334322717558421,0.434727355496099,0.240060864512429,1.15934839175218
"GRB130725B",0.375683864282123,0.467969011122855,0.327182312502849,1.37511074429042
"GRB130812A",0.304744838543364,0.394824057148638,0.269489271002658,1.01718085923584
"GRB130816A",0.498421812198556,0.608379421597386,0.417717676126043,2.15080707652969
"GRB131002A",0.511721763539031,0.639052011127308,0.468941457021496,2.248790926425
"GRB131018A",0.414953499745053,0.510250438135913,0.349231333784196,1.59988117692046
"GRB131024A",0.509348982657558,0.579955609782191,0.457272116530412,2.2310894603801
"GRB131229A",0.465230236727111,0.620370031013204,0.427669337477395,1.91897406779497
"GRB140108A",0.438358689276698,0.777006357393627,0.374365793776074,1.74383940784436
"GRB140114A",0.440623892464501,0.563061430448417,0.388910530265219,1.75818817658089
"GRB140215A",0.401088326848187,0.691470575101,0.335513273895972,1.51818902517722
"GRB140304A",0.59064632410211,1.09649511665927,0.472788070112373,2.89624559338207
"GRB140323A",0.44288598318448,0.64911371270736,0.386327303108078,1.77259211100617
"GRB140331A",0.426688456682745,0.795158532174897,0.29651348777507,1.67108960175372
"GRB140626A",0.522447949108222,0.690562934724691,0.413591258715151,2.33002848990208
"GRB140703A",0.475813912581209,0.67480622446406,0.415345813929984,1.99098277936962
"GRB140706A",0.462249565565248,0.592843488940499,0.411230628197304,1.89900901292962
"GRB140709A",0.552377003307058,0.646727717979571,0.488617677908306,2.56760696652225
"GRB140713A",0.485018519038417,0.616885989284481,0.418707766616371,2.05505138290587
"GRB140730A",0.451884769416283,0.553816011644155,0.378411215320139,1.83064084724363
"GRB140817A",0.394450776776354,0.582141518718027,0.348506687923358,1.47999483750907
"GRB140818B",0.536840671580023,0.968213558364433,0.413414446876872,2.44223623223483
"GRB140824A",0.414392104138738,0.515320152903494,0.338107046774341,1.59652258274686
"GRB140916A",0.390797620006723,1.20378581263342,0.226140496157857,1.45922134693931
"GRB140927A",0.528081343164854,0.823981398359742,0.446449536602656,2.37350488339551
"GRB141005A",0.447011419192066,0.714115852795984,0.360656379951842,1.79905491606907
"GRB141017A",0.426932836992033,0.533991597642256,0.370257771963593,1.67259306408467
"GRB141020A",0.537040666406113,0.765254764973715,0.477870025450322,2.44382176463805
"GRB141026A",0.36317521495524,0.491387243305552,0.29896011982944,1.30767802750624
"GRB141109B",0.510744026544546,0.563091382308635,0.470097070314693,2.24148507689546
"GRB141221A",0.434643807882629,0.614117650922651,0.400146554739543,1.72046916561658
"GRB150323A",0.392104572364089,0.530861048126875,0.343076164597452,1.46663319836696
"GRB150323C",0.449046720773044,0.612798145700156,0.356003317910904,1.81220334690046
"GRB150424A",0.309191345550596,0.390942400419768,0.269023165494863,1.03793977462115
