GRBID	Fbest	T_abest	F_min	F_max	T_amin	T_amax	logT90	logPeakFlux	errorlogPeakFlux	photon_index	errorphotonindex	logNH	T90_err
GRB160119A	-11.1805	4.32085	-11.2185	-11.1425	4.2805	4.3612	2.06445798922692	0.4623979978989561	0.0299513435795346	1.68	0.05	21.3074211530985	14.9228180919667
GRB160123A	-11.1607	3.26757	-11.3217	-10.9997	3.01619	3.51895	0.59659709562646	0.11394335230683679	0.0668145356774233	1.51	0.16	21.424523931121	0.623246350817473
GRB160127A	-10.5862	3.2676	-10.6558	-10.5165	3.20029	3.33492	0.789580712164425	0.146128035678238	0.0930631032649825	0.99	1.11	21.0155206996	0.936657860780595
GRB160412A	-11.7502	4.47886	-11.8268	-11.6736	4.35322	4.60451	1.4996870826184	0.2041199826559248	0.0542868102379065	1.88	0.08	21.4377605483086	4.05306009256854
GRB160417A	-11.4802	3.65811	-11.54	-11.4203	3.55329	3.76294	1.17609125905568	0.	0.130288344570976	1.93	0.24	20.4658328324811	3.1613668309559
GRB160504A	-11.5015	4.23844	-11.5498	-11.4532	4.1825	4.29437	1.73158876518674	-0.1549019599857432	0.0620420688433217	1.88	0.2	21.1438656208972	6.04395397582683
GRB160630A	-10.3254	3.54193	-10.3576	-10.2931	3.49939	3.58447	1.46982201597816	0.07918124604762482	0.072382413650542	1.32	0.14	21.6711930290683	5.51118136655692
GRB160705B	-11.9322	4.56399	-11.9945	-11.8698	4.43894	4.68903	1.73559889969818	-0.3010299956639812	0.173717792761301	1.79	0.27	20.9072667510385	12.4123823520011
GRB160815A	-10.3999	3.17448	-10.4747	-10.3251	3.06019	3.28876	0.934498451243568	0.6720978579357175	0.0369612325024044	0.96	0.41	21.4186081727097	1.8342955655889
GRB160824A	-10.3081	3.83339	-10.3566	-10.2596	3.77297	3.89381	1.99694924849538	0.11394335230683679	0.0668145356774233	1.64	0.11	22.0075655750078	7.84555718933669
GRB160905A	-8.9155	3.06527	-8.92382	-8.90718	3.056	3.07455	1.80617997398389	0.7993405494535817	0.0206806896144406	1.04	0.03	21.735938059795	16
GRB161001A	-10.0841	3.39412	-10.1413	-10.0268	3.31568	3.47256	0.414973347970818	0.5440680443502757	0.0248168275373287	1.14	0.09	21.8095661111736	0.40051963120828
GRB161004B	-9.39802	2.43837	-9.50943	-9.28661	2.32159	2.55514	1.20139712432045	1.0043213737826426	0.0171997814615149	1.21	0.13	22.0411324253148	0.716100569843843
GRB161113A	-11.9023	4.28684	-12.0034	-11.8011	4.1168	4.45688	1.62940959910272	0.146128035678238	0.0620420688433217	1.73	0.1	21.0732343096353	11.0991403470161
GRB161214B	-11.3198	4.17771	-11.3842	-11.2554	4.08781	4.26762	1.39445168082622	0.3424226808222063	0.0394813165366593	1.76	0.09	21.0569238989224	3.13691890536705
GRB161217A	-11.1373	3.1149	-11.2373	-11.0374	2.95427	3.27554	1.26007138798507	-0.3979400086720376	0.108573620475813	2.7	1.8394	20.4365059698313	5.81273637182669
GRB170208B	-10.5809	3.45314	-10.6382	-10.5235	3.35042	3.55586	2.10744740952361	0.9242792860618817	0.0103403448072203	1.18	0.21	21.5925289373485	5.75414143681782
GRB170317A	-10.7249	3.22899	-10.7726	-10.6772	3.17024	3.28775	1.07700432679335	0.5440680443502757	0.037225241305993	0.80	0.49	21.4027255290306	4.87496131951583
GRB170331A	-11.5069	3.79838	-11.6854	-11.3284	3.57528	4.02148	1.24477176149529	0.07918124604762482	0.144764827301084	0.37	1.19	21.7447181487789	2.57327802102363
GRB170711A	-10.9417	3.57249	-11.0094	-10.8739	3.43804	3.70694	1.49554433754645	0.6812412373755872	0.0180956034126355	1.75	0.1	21.8187186504044	7.63462009249035
GRB170803A	-10.1971	2.96196	-10.2438	-10.1505	2.91293	3.01099	0.582063362911709	0.8129133566428556	0.020044360703227	0.65	0.28	21.1269174279435	0.233649318060114
GRB170822A	-9.90552	3.747	-9.97167	-9.83938	3.71092	3.78308	1.80617997398389	0.6232492903979004	0.072382413650542	1.80	0.09	21.5500668388799	16
