"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux"
"GRB091127",0.851258348719075,-9.844663963,3.98466812,1.39581701,0.758,1.80187,-5.045757491,2.05,20.87872913,1.667452953
"GRB050820A",1.41497334797082,-10.01818139,3.750945731,1.136499703,0.9,1.96878,-5.463441557,1.25,21.61964524,0.389166084
"GRB051016B",0.602059991327962,-11.59006688,4.25742,1.14771,0.73,1.89482,-6.769551079,2.4,21.71466751,0.113943352
"GRB051109A",1.5705429398819,-10.51999306,3.91123,1.22299,1.06,2.06584,-5.657577319,1.51,21.97057233,0.595496222
"GRB051109B",1.15533603746506,-11.57511836,3.65548,1.251,1.06,2.12549,-6.591760035,1.97,21.36742302,-0.259637311
"GRB060223A",1.05307844348342,-10.9636,2.78682,1.1892,0.81,2.01015,-6.171984936,1.74,22.49782636,0.130333768
"GRB060502A",1.45331834004704,-10.55284197,3.3865,0.897152,0.87,2.02719,-5.63638802,1.46,21.45692297,0.227886705
"GRB060510B",2.43964842956347,-12.2656,4.43617,1.00735,1.38,2.1317,-5.390405591,1.78,22.00215742,-0.244125144
"GRB060607A",2.00945089579869,-11.02273379,4.37412,1.10818,0.564,1.61002,-5.59345982,1.47,21.79614607,0.146128036
"GRB060904B",2.23426412437879,-11.11633856,3.87074,1.36265,1.58,2.18877,-5.790484985,1.64,21.59122827,0.387389826
"GRB060912A",0.698970004336019,-10.1079054,2.455171016,1.045731532,0.63,1.8948,-5.869666232,1.74,21.36738202,0.933487288
"GRB061110A",1.60959440922522,-8.33235,2.24983,1.45203,1.98,1.82722,-5.974694135,1.67,20.92661714,-0.27572413
"GRB061222A",1.85369821177617,-9.954677021,3.92091,1.35061,0.86,1.92748,-5.097453221,1.35,22.56660835,0.930949031
"GRB070721B",2.53147891704225,-10.50863831,3.94739,2.5054,0.52,1.52512,-5.443697499,1.34,21.89473409,0.176091259
"GRB070810A",1.04139268515823,-10.77728353,3.36583,1.36994,1.02,2.17076,-6.161150909,2.04,21.93100401,0.278753601
"GRB080319B",1.69897000433602,-12.15181088,5.36799912,1.42250979,0.73,1.81426,-4.091514981,1.04,20.8771334,1.394451681
"GRB080319C",1.53147891704226,-8.91721463,3.19029,1.45203,1.94,1.61029,-5.443697499,1.37,21.75037415,0.716003344
"GRB080905B",2.10720996964787,-10.11125904,3.67820615,1.36946226,0.375,1.86248,-5.744727495,1.78,22.33533151,-0.301029996
"GRB080916A",1.77815125038364,-10.75269955,3.60698,0.998947,0.83,1.88453,-5.397940009,1.17,21.7431239,0.431363764
"GRB081028A",2.41497334797082,-11.3994,4.75426,2.20023,0.945,2.51,-5.431798276,1.25,20.90308999,-0.301029996
"GRB081203A",2.46834733041216,-10.9243983,4.02089,1.86904,0.82,2.03508,-5.113509275,1.54,21.66176916,0.462397998
"GRB090418A",1.7481880270062,-10.04720756,3.52813657,1.52909667,0.98,2.03408,-5.337242168,1.48,22.02365981,0.278753601
"GRB090516A",2.32221929473392,-11.27490548,4.33113504,1.76098314,0.502,2.09,-5.045757491,1.84,21.19589965,0.204119983
"GRB091109A",1.68124123737559,-11.14630179,3.37933883,1.06152816,0.89,1.96352,-5.795880017,1.31,21.89596701,0.113943352
"GRB091208B",1.17318626841227,-10.18045606,3.31388094,1.1606541,0.86,2.03333,-5.48148606,1.74,21.91211094,1.181843588
"GRB100219A",1.27415784926368,-12.13548892,4.7218991,0.998947,0.46,1.58721,-6.431798276,1.34,21.75351565,-0.397940009
"GRB100418A",0.845098040014257,-12.48811664,5.54363,1.81145,0.84,2.26662,-6.468521083,2.16,21.06857915,0
"GRB100425A",1.56820172406699,-11.50168945,3.60199415,0.86819371,1.46,2.17077,-6.327902142,2.42,20.53466438,0.146128036
"GRB100513A",1.92427928606188,-11.57186521,3.74522911,0.96306136,1.36,2.25722,-5.853871964,1.62,22.05240534,-0.22184875
"GRB100621A",1.80345711564841,-9.804100348,3.64164386,0.94079321,0.27,2.3024,-4.677780705,1.9,22.28454803,1.10720997
"GRB100704A",2.29556709996248,-10.35163999,3.62503495,1.01294211,1.29,2.11575,-5.22184875,1.73,21.52730245,0.633468456
"GRB100728A",2.29776051109913,-10.17587417,4.03148606,1.5588143,0.96,1.90402,-4.420216403,1.18,21.52592288,0.707570176
"GRB100814A",2.2417954312952,-11.49349497,5.22729477,1.76532941,1.1425,1.89414,-5.045757491,1.47,20.89608288,0.397940009
"GRB100901A",2.64246452024212,-11.34103516,4.91124,1.50754,1.075,1.98285,-5.677780705,1.52,21.53188109,-0.096910013
"GRB100906A",2.05842602445701,-10.4698003,3.94074768,1.71220056,0.87,2.02817,-4.920818754,1.78,21.96198081,1.004321374
"GRB101219B",1.53147891704226,-11.99567863,4.42003952,0.66918137,0.94,1.85684,-5.677780705,1.56,20.49692965,-0.22184875
"GRB110106B",1.39445168082622,-10.81530857,3.87203946,1.22519883,1.03,2.05121,-5.698970004,1.76,21.29748256,0.322219295
