"GRBID","InvZphot","pred_max","pred_min","Zphot","corrected_prediction","corrected_pred_max","corrected_pred_min","Linear_corrected_prediction","Linear_corrected_pred_max","Linear_corrected_pred_min"
"GRB110801A",0.499457977777467,0.681178254889918,0.451112373743555,2.15833343410617,0.519014197084634,0.805778258551145,0.442722316029241,2.3038034099213,5.39408283967194,1.77154743559017
"GRB110820A",0.450728244408257,0.672448723853688,0.336941445551453,1.8231128863893,0.44211613993228,0.792002603932821,0.262554645200143,1.76768168563977,5.19444789118402,0.830436406891491
"GRB111107A",0.531638592753971,0.648108461043312,0.474945745915266,2.40125029733833,0.569796883517814,0.753592401551573,0.480332618583278,2.71361505305073,4.67012197586346,2.02226553479385
"GRB111121A",0.392262114509325,0.595681399270231,0.334760208805451,1.46752814222004,0.349853541974259,0.67085976761716,0.259112540013849,1.23796629729724,3.68662028150482,0.815986183678691
"GRB111129A",0.399205575181295,0.568496261891438,0.253412693567292,1.50729581155261,0.360810684537359,0.627960205002892,0.130741924303926,1.29514794068884,3.24580657257728,0.351269344579815
"GRB120102A",0.357127776189486,0.558447671377822,0.321966550257419,1.27576689829108,0.294409726272279,0.612103005831249,0.238923480517869,0.969743727938628,3.09357739559266,0.733498541197537
"GRB120116A",0.448939624317493,0.516122128495824,0.376935569969007,1.81150994670448,0.439293604275841,0.545311094804688,0.325667456467087,1.74975249181932,2.51003215337508,1.1167397062574
"GRB120119A",0.469804751954595,0.674606424048239,0.42946213106013,1.94988273427501,0.472219862364968,0.795407567215115,0.408557105507397,1.96633272075786,5.24320459298364,1.56187010298488
"GRB120213A",0.404880547999799,0.813106736756153,0.276949835806291,1.54027391119047,0.369766087203508,1.01396827391009,0.167884760596177,1.34296654398863,9.32685963208426,0.471921878297601
"GRB120215A",0.520796760107273,1.00743891361903,0.383957534492481,2.31739174868369,0.552687906947283,1.32063457002377,0.336748482196423,2.57016186683883,19.9235114035421,1.17144324251148
"GRB120224A",0.459606701592859,0.783340501982735,0.308585222782489,1.88142089766741,0.456126807768966,0.966995605180834,0.217807048848828,1.85842504071333,8.26820444423292,0.651228017012047
"GRB120308A",0.407057109290268,0.697556560753247,0.325700348358178,1.55303700240258,0.373200814277469,0.831624078202864,0.244815608380997,1.361569951723,5.78615973809585,0.757177397757727
"GRB120324A",0.522519737674965,0.766355182936969,0.480275544343949,2.33057898672304,0.555406855283585,0.940191887113343,0.488743318085245,2.59258337050414,7.71348498406074,2.08136622606282
"GRB120701A",0.503453201985658,0.637542381365548,0.467124466877772,2.18752208125244,0.525318868960636,0.736918577527523,0.467990232921677,2.35211468768354,4.45655550813413,1.93758358634754
"GRB120703A",0.329207972904929,0.48450317894313,0.300733937542633,1.1340666203076,0.250350822596543,0.495414745662406,0.205417311837146,0.77971648251123,2.12906615878897,0.604786683189889
"GRB120728A",0.521577300855593,0.753806549545754,0.467725880284102,2.32335933017186,0.553919640899515,0.920389490075989,0.46893929459911,2.58030183335566,7.32510059766716,1.94401009321637
"GRB120927A",0.621158555037232,0.909967590920702,0.551115678110171,3.17982938707515,0.711064046294543,1.16681974639685,0.600532738596978,4.14119464239941,13.6831672738541,2.98595818691066
"GRB121123A",0.501903834698069,0.802243259560855,0.429821291353854,2.17617069714258,0.522873886688144,0.996825141114594,0.409123879156339,2.33329604246873,8.92716273111639,1.56521564017652
"GRB121209A",0.483834803142566,0.694735998023215,0.442925785910323,2.04673585234656,0.494360013839402,0.827173083317002,0.4298034540623,2.12147609851402,5.71696496883341,1.69031698844328
"GRB121217A",0.475009147812301,0.772552227116166,0.419191288859713,1.98544550253404,0.480432670078836,0.949971145576693,0.392349181598881,2.02296187571681,7.91191725597938,1.46802288032904
"GRB130131A",0.512803863270113,0.655999427325888,0.42349894416043,2.25689579363099,0.540074699459776,0.766044757315297,0.399146886010628,2.46796494965956,4.83505235781783,1.5069570064892
"GRB130427B",0.47175928649677,0.831313042239951,0.364163769596994,1.96318854754822,0.475304219666735,1.04269877216705,0.30551289031126,1.98747458719077,10.0331309348699,1.02075140910264
"GRB130504A",0.707040375029543,1.08398131711759,0.529711062207226,4.09378224191418,0.846590031057877,1.44142246915333,0.566755139927235,6.02408940947538,26.6326457335302,2.68769623519551
"GRB130527A",0.410617549288109,0.967972948405516,0.304300660469034,1.57405338206672,0.378819374025519,1.25835522148788,0.211045786373687,1.39232056737116,17.1282224392407,0.625720141548315
"GRB130528A",0.487243122585845,0.662679935493434,0.42709965314441,2.07074053993346,0.499738519429756,0.776586947131571,0.404828992316058,2.16037428509104,4.97842722716012,1.53997236974659
"GRB130603A",0.50519115536037,0.631605007042529,0.450473127942025,2.2003034180304,0.528061449900371,0.727549091621104,0.441713552861833,2.37335036039169,4.3400963334864,1.76511725844626
"GRB130608A",0.338325784163771,0.456883807030415,0.241686387244685,1.1793439849755,0.264739203628192,0.451829938338218,0.112237202208491,0.839666938967037,1.83028349227264,0.294902896166184
"GRB130725B",0.375294646114164,0.457586267997792,0.324804640873109,1.37298310470195,0.323077993163104,0.452938458329645,0.243402135320171,1.10415628262648,1.83751690980823,0.751467710932278
"GRB130812A",0.306405367123919,0.40837053716851,0.26852858501384,1.0249083307186,0.21436712309043,0.375273471874039,0.154595588258096,0.638200760054007,1.37286741156907,0.427564002566026
"GRB130816A",0.501594554115688,0.613268525300815,0.417717676126043,2.17390960871756,0.522385825821489,0.698613168449434,0.390023743957849,2.32955218286136,3.99589346232361,1.45484312438618
"GRB131002A",0.509652465827983,0.639052011127308,0.466855499270705,2.2333481212821,0.535101630168003,0.739300851914686,0.46756578802961,2.42848007745366,4.48656908319402,1.93471402821053
"GRB131018A",0.412961974106604,0.510250438135913,0.349231333784196,1.58798630670205,0.382518998489213,0.536045261612943,0.281948728901711,1.41278707919328,2.43593754933667,0.914029948835262
"GRB131024A",0.508016670947628,0.579955609782191,0.455098242490339,2.22119243849061,0.532520260652886,0.646043652789386,0.4490122244999,2.40816224146169,3.42632861042128,1.81197998076036
"GRB131229A",0.467510184265091,0.632682126845632,0.427669337477395,1.93433831378458,0.468598915047435,0.729248842767931,0.405727983863267,1.94170362079249,4.3610374713508,1.54523556961602
"GRB140108A",0.458003981446104,0.962909830563828,0.372517801517361,1.87080690036635,0.453597631906037,1.2503653578412,0.318695987768363,1.84182697228383,16.7977604819413,1.08303222082977
"GRB140114A",0.448435957932779,0.652442916073921,0.385996847287578,1.80825123102187,0.438498792489286,0.760432397332848,0.33996662399664,1.74472471204585,4.76013148859509,1.18759349854929
"GRB140215A",0.424842205121943,0.932668874998998,0.335513273895972,1.65975849784611,0.401266621766339,1.20264355497914,0.260300915947114,1.51922305277709,14.945698747825,0.820962138174449
"GRB140304A",0.599274627974814,1.09649511665927,0.474752289471652,2.97442794675713,0.67653006965212,1.46116989656193,0.48002733423984,3.74821165439411,27.9181094128833,2.02014180037284
"GRB140323A",0.449148449946916,0.696576778070975,0.386327303108078,1.81286215479199,0.439623141994929,0.830077930102127,0.340488100491875,1.75183976457097,5.76204303073801,1.19022181597888
"GRB140331A",0.421854883748751,0.795158532174897,0.29651348777507,1.64152596370681,0.396552473056605,0.985645072319501,0.198757222298471,1.49202544874508,8.6748685330272,0.580364342839449
"GRB140626A",0.520931333295944,0.690562934724691,0.411965209146967,2.31841985559856,0.552900270447719,0.820587772094407,0.38094605147034,2.5719080494416,5.61588232752337,1.40406414601271
"GRB140703A",0.47306349439855,0.672247124314218,0.409245672447659,1.972100524804,0.477362327660262,0.791684469360021,0.376654480922501,2.00166573515254,5.18991192192061,1.38042488053025
"GRB140706A",0.459476913795586,0.592843488940499,0.407370123086001,1.88055992104442,0.455921995865384,0.66638139731549,0.373694766349222,1.85707733432004,3.63854097481603,1.36425745073786
"GRB140709A",0.552303611758761,0.738093748967978,0.485395031647211,2.56700412654248,0.602407359763286,0.895593872425086,0.496822135678072,3.00320066137028,6.86310133123957,2.13922276899176
"GRB140713A",0.487179007085383,0.641765372210123,0.407265828293687,2.07028723568384,0.499637341830825,0.743582677018066,0.373530183735168,2.15963809835379,4.5409301706812,1.3633616485429
"GRB140730A",0.458448985330304,0.56542879762765,0.378411215320139,1.87375000696755,0.454299871211574,0.623119586637871,0.327996101684333,1.84642582627702,3.19874584072286,1.1281199434592
"GRB140817A",0.399782262965951,0.628903364939098,0.348506687923358,1.51062739267048,0.361720727896052,0.723285759677529,0.280805199992989,1.29996235608225,4.28793075757796,0.908996798219215
"GRB140818B",0.534507457338568,1.04278596048121,0.414859391033323,2.42379266623988,0.574324101245792,1.37641405088365,0.385513221219044,2.75252938050246,22.7910741674287,1.42947940149205
"GRB140824A",0.41282466201406,0.540456936611282,0.323073733450606,1.58716818522433,0.382302312855822,0.58371268939327,0.240670673259982,1.41158355045014,2.83453485179709,0.740486556951925
