"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","Gamma","log10Fa","log10T90","Alpha","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","GammaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","Response"
"GRB090927",0.301029996,21.01785522,1.8,4.20121889,2.06549,-11.6716204,0.342422680822206,1.13087741,0.09061905849176,441.750238048881,3.24,17.6502401616928,4.2662489401,136.226722761696,0.117253292341467,1.27888371644831,0.374748346010104
"GRB091018",1.012837225,21.19187281,1.77,2.89655535,1.98015,-9.627087997,0.643452676486187,1.18074867,1.0258392443457,449.095473195217,3.1329,8.39003289561362,3.9209940225,92.6808233019815,0.414031346877238,1.39416742170677,0.294686624279443
"GRB091020",0.62324929,21.70587483,1.53,2.95265011,2.08587,-9.71219827,1.53907609879278,1.17417264,0.388439677485504,471.145002135627,2.3409,8.71814267208301,4.3508536569,94.326795235791,2.36875523787519,1.37868138852457,0.432969290874406
"GRB091029",0.255272505,21.45058625,1.46,4.30368998,2.11535,-11.34678749,1.59328606702046,1.12123368,0.065164051808975,460.127650468689,2.1316,18.5217474439524,4.4747056225,128.74958634322,2.53856049136152,1.25716496516634,0.574262829707027
"GRB091127",1.667452953,20.87872913,2.05,3.98466812,1.80187,-9.844663963,0.851258348719075,1.39581701,2.78039935046842,435.921330083911,4.2025,15.8775800265443,3.2467354969,96.9174085443909,0.724640776263927,1.94830512540534,0.173186268412274
"GRB050416A",0.688419822,21.75162856,3.08,2.99481,2.06183,-10.5559552,0.397940008672038,0.842217,0.473921851322512,473.133345012208,9.4864,8.9688869361,4.2511429489,111.428190184407,0.158356250501901,0.709329475089,0.218220304175545
"GRB050820A",0.389166084,21.61964524,1.25,3.750945731,1.96878,-10.01818139,1.41497334797082,1.136499703,0.151450240935895,467.409060303455,1.5625,14.0695938769071,3.8760946884,100.363958362942,2.00214957546775,1.29163157491909,0.558072259099146
"GRB050922C",0.860936621,21.44930866,1.37,2.52429,2.2119,-9.477555766,0.653212513775344,1.22035,0.741211865378898,460.072841991951,1.8769,6.3720400041,4.89250161,89.8240632976399,0.426686588152704,1.4892541225,0.504878459410216
"GRB051016B",0.113943352,21.71466751,2.4,4.25742,1.89482,-11.59006688,0.602059991327962,1.14771,0.0129830874649959,471.52678506985,5.76,18.1256250564,3.5903428324,134.329650282873,0.362476233157826,1.3172382441,0.286995073968852
"GRB051109A",0.595496222,21.97057233,1.51,3.91123,2.06584,-10.51999306,1.5705429398819,1.22299,0.354615750416273,482.706048507762,2.2801,15.2977201129,4.2676949056,110.670253982448,2.46660512601287,1.4957045401,0.524525936626376
"GRB051109B",-0.259637311,21.36742302,1.97,3.65548,2.12549,-11.57511836,1.15533603746506,1.251,0.0674115332633107,456.566766515626,3.8809,13.3625340304,4.5177077401,133.983365048009,1.33480135946547,1.565001,0.0334237554869497
"GRB060223A",0.130333768,22.49782636,1.74,2.78682,2.01015,-10.9636,1.05307844348342,1.1892,0.0169868910810778,506.152190924711,3.0276,7.7663657124,4.0407030225,120.20052496,1.10897420812946,1.41419664,0.73319726510657
"GRB060502A",0.227886705,21.45692297,1.46,3.3865,2.02719,-10.55284197,1.45331834004704,0.897152,0.051932350315757,460.399543340514,2.1316,11.46838225,4.1094992961,111.362473643793,2.11213419751708,0.804881711104,0.398391440229475
"GRB060510B",-0.244125144,22.00215742,1.78,4.43617,2.1317,-12.2656,2.43964842956347,1.00735,0.0595970859330207,484.094931134461,3.1684,19.6796042689,4.54414489,150.44494336,5.95188445987152,1.0147540225,0.770852011642144
"GRB060607A",0.146128036,21.79614607,1.47,4.37412,1.61002,-11.02273379,2.00945089579869,1.14649063,0.0213534029052173,475.071983504776,2.1609,19.1329257744,2.5921644004,121.500660205208,4.03789290262617,1.3144407646778,0.610116955411928
"GRB060904B",0.387389826,21.59122827,1.64,3.87074,2.18877,-11.11633856,2.23426412437879,1.36265,0.15007087728831,466.181138207247,2.6896,14.9826281476,4.7907141129,123.572982980543,4.99193617748612,1.8568150225,0.231214647962601
"GRB060912A",0.933487288,21.36738202,1.74,2.455171016,1.8948,-10.1079054,0.698970004336019,1.045731532,0.871398516857595,456.565014388619,3.0276,6.02786471780647,3.59026704,102.169751575349,0.488559066961494,1.09355443701907,0.287129620719111
"GRB061110A",-0.27572413,21.12149747,1.67,2.24983,1.82722,-8.33235,1.60959440922522,1.33346,0.0760237958642569,446.117655375216,2.7889,5.0617350289,3.3387329284,69.4280565225,2.59079416220909,1.7781155716,0.244969460136198
"GRB061222A",0.930949031,22.56660835,1.35,3.92091,1.92748,-9.954677021,1.85369821177617,1.35061,0.866666098319839,509.25181242229,1.8225,15.3735352281,3.7151791504,99.0955945924254,3.43619706034219,1.8241473721,0.489677291663699
"GRB070714B",0.431363764,21.64321572,1.36,3.22974,2.07429,-10.74232143,1.80617997398389,1.64623,0.186074696892248,468.428786702455,1.8496,10.4312204676,4.3026790041,115.397469705437,3.26228609842043,2.7100732129,0.28397928423848
"GRB070721B",0.176091259,21.89473409,1.34,3.94739,1.52512,-10.50863831,2.53147891704225,2.5054,0.0310081314962051,479.379380871808,1.7956,15.5818878121,2.3259910144,110.4314791304,6.40838550742943,6.27702916,0.6652056284346
"GRB070810A",0.278753601,21.93100401,2.04,3.36583,2.17076,-10.77728353,1.04139268515823,1.36994,0.0777035700704672,480.968936886636,4.1616,11.3288115889,4.7121989776,116.149840286009,1.08449872470106,1.8767356036,0.501059262217751
"GRB080319B",1.394451681,20.8771334,1.04,5.36799912,1.81426,-12.15181088,1.69897000433602,1.42250979,1.94449549064373,435.854699001396,1.0816,28.8154145523208,3.2915393476,147.666507663286,2.88649907563353,2.02353410264584,0.287129620719111
"GRB080319C",0.716003344,21.75037415,1.37,3.19029,1.61029,-8.91721463,1.53147891704226,1.45203,0.512660788619182,473.078775664988,1.8769,10.1779502841,2.5930338841,79.516716757486,2.34542767334492,2.1083911209,0.469822015978163
"GRB080905B",-0.301029996,22.33533151,1.78,3.67820615,1.86248,-10.11125904,2.10720996964787,1.36946226,0.09061905849176,498.867033661599,3.1684,13.5292004818978,3.4688317504,102.237559373982,4.44033385618337,1.87542688156431,0.528145078253106
"GRB080916A",0.431363764,21.7431239,1.17,3.60698,1.88453,-10.75269955,1.77815125038364,0.998947,0.186074696892248,472.763436930751,1.3689,13.0103047204,3.5514533209,115.62054761257,3.16182186924092,0.997895108809,0.227552503379865
"GRB081028A",-0.301029996,20.90308999,1.25,4.75426,2.51,-11.3994,2.41497334797082,2.20023,0.09061905849176,436.939171130038,1.5625,22.6029881476,6.3001,129.94632036,5.83209627140938,4.8410120529,0.60616631460762
"GRB081203A",0.462397998,21.66176916,1.54,4.02089,2.03508,-10.9243983,2.46834733041216,1.86904,0.213811908554408,469.232243141127,2.3716,16.1675563921,4.1415506064,119.342478217043,6.09273854355282,3.4933105216,0.491361693834273
