GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
060206A,4.05,0.8802417758954804,-10.460909937625,3.919764721961,1.465642975432,0.8416939999999999,,,,,,,0.0020447849345000004,0.001435595807,0.003759985,0.01,,,
060210,3.91,2.406540180433955,-10.66756154,4.15028,1.20511,0.979,2.08163,-5.11577123,1.53,22.3877421,0.434568904,121.976522977757,0.0292000000000003,0.030365,0.02297,0.083622271,2.47878787878788e-07,0.0545454545454545,0.16969696969697
060210A,3.91,2.406540180433955,-10.669331679999999,3.5548532883000004,1.5161869382,0.923578,,,,,,,0.0184808162,0.0124191007,0.053451,0.03,,,
060218,0.0331,3.322219294733919,-11.82390874,5.07614,1.3185,3.17,3.52495,-5.804100348,2.26,21.59972155,-0.602059991,,0.160200000000001,0.14064,0.108235,0.02,9.21212121212121e-08,0.103030303030303,0.0666666666666667
060223A,4.41,1.0530784434834197,-10.9636,2.78682,1.1892,0.81,2.01015,-6.171984936,1.74,22.49782636,0.130333768,1.09553641512797,0.1982,0.23477,0.18005,0.045,2.90909090909091e-08,0.0727272727272727,0.109090909090909
060306,1.559,1.7867514221455612,-10.70553377,3.61496,1.03794,0.76,2.28823,-5.671620397,1.8,21.61973178,0.775974331,3.5188407189561,0.0349500000000003,0.04452,0.02498,0.01,7.15151515151515e-08,0.0606060606060606,0.193939393939394
060313A,1.1,0.3010299956639812,-10.8748724,3.671295685,0.8910969246,0.87147,,,,,,,0.06183600499999999,0.1341151045,0.0953835,0.06,,,
060418,1.489,2.0132586652835167,-9.792961075,3.11887,1.47655,0.98,1.94118,-5.079354999,1.7,21.65363309,0.814247596,45.254833995939,0.0490400000000006,0.057245,0.044705,0.005,1.53333333333333e-07,0.0363636363636364,0.212121212121212
060418A,1.49,2.1583624920952498,-9.71917555,3.3239942958,1.4126342064,0.811918,,,,,,,0.0099022154,0.007446112,0.0063,0.11,,,
060502A,1.5026,1.4533183400470377,-10.55284197,3.3865,0.897152,0.87,2.02719,-5.63638802,1.46,21.45692297,0.227886705,9.82783800045578,0.0567500000000001,0.075085,0.0205255,0.015,6.18181818181818e-08,0.0484848484848485,0.127272727272727
060510B,4.9,2.4396484295634737,-12.2656,4.43617,1.00735,1.38,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,21.2895454410942,0.2206,0.31628,0.2313695,0.03,1.06666666666667e-07,0.0484848484848485,0.0666666666666667
060512A,2.1,0.9289076902439527,-10.662568,3.692672,1.1037279999999998,0.808196,,,,,,,0.014091,0.017365000000000002,0.02,0.05,,,
060526,3.221,2.474507639116976,-11.3053948,3.8752,1.05873,0.93,1.90677,-5.899629455,2.01,16.11154478,0.222716471,23.0482186783306,0.06785,0.09216,0.0623145,0.0305,1e-07,0.145454545454545,0.109090909090909
060526A,3.21,2.474449379745783,-10.54984,3.883687,1.3705640000000001,0.79703,,,,,,,0.004697,0.003473,0.01,0.06,,,
060604,2.1357,1.9777236052888478,-11.76955108,4.45991,1.21596,1.02,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,17.0,0.0419499999999999,0.04994,0.0469499999999999,0.0,6.42424242424242e-08,0.254545454545455,0.0787878787878788
060605,3.78,1.8981764834976764,-11.26121944,4.04162,1.9179,0.835,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,35.0141649091828,0.0531499999999996,0.037375,0.085,0.10149311,5.45454545454545e-08,0.121212121212121,0.0727272727272727
060605A,3.78,2.0599040558844055,-10.15843899,3.5464458499,1.3014380276,0.904968,,,,,,,0.019372306800000003,0.0189542448,0.072783,0.5,,,
060607A,3.0749,2.009450895798694,-11.02273379,4.37412,3.43151,0.564,1.61002,-5.59345982,1.47,21.79614607,0.146128036,31.0697613299411,0.0760999999999994,0.02584,0.163115,0.0120771535,6.78787878787879e-08,0.0484848484848485,0.0787878787878788
060614,0.125,2.0362295440862948,-11.78251606,5.03344,1.9453,0.783,1.89544,-4.690369833,2.02,20.51216256,1.06069784,3.31042292001389,0.0429000000000004,0.0289,0.0598299999999999,0.006,2.2e-07,0.0242424242424242,0.448484848484848
060614A,0.13,2.0362295440862948,-10.949085,4.196257,2.09383,0.7300340000000001,,,,,,,0.018788,0.006946,0.02,0.04,,,
060707,3.425,1.8208579894397,-10.9132,3.5545,0.861995,1.12,2.09345,-5.795880017,0.6,21.20847898,0.004321374,6.31420049148106,0.0769500000000001,0.127895,0.0364485,0.035,9.15151515151515e-08,0.3636363636,0.139393939393939
060708,1.92,1.0086001717619175,-10.86966623,3.50569,1.12969,1.485,2.20484,-6.306273051,1.68,20.79066861,0.28780173,3.60124423553101,0.0611499999999996,0.062725,0.028525,0.3341015195,2.24242424242424e-08,0.0727272727272727,0.0848484848484849
060708A,1.92,1.0086001717619175,-10.26834879,3.524790653,1.1605935604,0.882636,,,,,,,0.01488949,0.028860629999999998,0.0336165,0.05,,,
060714,2.711,2.060697840353612,-10.86012091,3.73449,1.20488,0.87,2.04425,-5.548213564,1.93,22.0125926,0.10720997,9.12936538358046,0.0352000000000006,0.046765,0.0353049999999999,0.0049999999999999,1.01212121212121e-07,0.0666666666666667,0.0787878787878788
060714A,2.71,2.0606600739740144,-10.83602821,3.8936871562000004,1.3733503296,0.7188680000000001,,,,,,,0.0218513834,0.0257554207,0.054273,0.04,,,
060729,0.54,2.061829307294699,-11.15058059,5.1057,1.35481,1.317,1.92492,-5.583359493,1.75,20.86562801,0.068185862,33.90346061055,0.0116000000000005,0.012825,0.0134249999999999,0.077392286,1.27878787878788e-07,0.0848484848484849,0.0787878787878788
060729A,0.54,2.0620175988571123,-10.526354999999999,4.189311,1.4688720000000002,0.804474,,,,,,,0.014091,0.010419,0.06,0.07,,,
060814,1.9229,2.1622656142980214,-10.91009489,4.22387,1.29504,0.97,2.11591,-4.835647144,1.53,22.00679538,0.861534411,4.89845852373387,0.0352999999999994,0.034855,0.0245650000000001,0.0,1.44848484848485e-07,0.0181818181818182,0.175757575757576
060904B,0.703,2.2342641243787895,-11.11633856,3.87074,1.36265,1.58,2.18877,-5.790484985,1.64,21.59122827,0.387389826,11.3430592104484,0.0866499999999997,0.081295,0.04215,0.136141492,8.66666666666667e-08,0.0848484848484849,0.127272727272727
060906,3.686,1.6384892569546374,-11.8827287,4.33479,1.71887,1.06,2.07859,-5.655607726,2.03,22.41960057,0.294466226,8.16698720444148,0.0884499999999999,0.072145,0.169635,0.0049999999999999,8.24242424242424e-08,0.0666666666666667,0.16969696969697
060908,1.8836,1.2855573090077739,-9.627087997,2.81918,1.38309,1.185,2.13395,-5.552841969,1.0,21.80952201,0.481442629,1.33033529343473,0.045185,0.05993,0.04964,0.0034749535,6.72727272727273e-08,0.1818181818,0.151515151515152
060912A,0.937,0.6989700043360189,-10.1079054,2.455171016,1.045731532,0.63,1.8948,-5.869666232,1.74,21.36738202,0.933487288,0.579999999547827,0.147419953,0.156564864,0.0289377854999999,0.0785,3.75757575757576e-08,0.0545454545454545,0.266666666666667
060926,3.2,0.9030899869919435,-10.84771166,3.351,1.45111,1.357,2.00443,-6.659555885,2.54,22.50004427,0.037426498,1.21267967741496,0.0824499999999997,0.09927,0.11561,0.009157091,1.51515151515152e-08,0.139393939393939,0.0848484848484849
060927,5.47,1.3521825181113625,-10.77728353,3.15198,1.39098,0.83,1.94856,-5.946921557,0.9,22.10710478,0.431363764,1.29427663430184,0.0811500000000001,0.108435,0.118785,0.178498106,4.12121212121212e-08,0.2424242424,0.103030303030303
060927A,5.46,1.3529539117100877,-10.545143,3.5537520000000002,1.4688720000000002,0.875192,,,,,,,0.12212200000000001,0.079879,0.06,0.03,,,
061007A,1.26,1.8768526476013434,-8.934072,3.182141,1.8129499999999998,0.953354,,,,,,,0.032879000000000005,0.010419,0.01,0.19,,,
061021,0.3463,1.6646419755561255,-10.04095861,3.23849,1.01707,0.785,1.99282,-5.528708289,1.3,20.87141063,0.78604121,5.39883246764966,0.0263999999999998,0.03399,0.010415,0.0168000365,6.12121212121212e-08,0.0363636363636364,0.163636363636364
061021A,0.3463,1.6646419755561255,-10.652939149999998,4.1037616329,1.8033656707955998,0.882636,,,,,,,0.03179869,0.02344049255,0.108428584,0.03636,,,
061110A,0.7578,1.6095944092252201,-8.33235,2.24983,4.46435,1.98,1.82722,-5.974694135,1.67,16.57386563,-0.27572413,4.02450144817196,0.2103,0.03335,0.11946,0.0015,4.60606060606061e-08,0.0727272727272727,0.0727272727272727
061121,1.314,1.9100905455940682,-10.03011836,3.78753,1.35185,0.9485,1.90181,-4.863279433,1.41,21.75351565,1.324282455,46.1274845779442,0.0126499999999998,0.01703,0.0158499999999999,0.0023582105,1.20606060606061e-07,0.0181818181818182,0.278787878787879
061121A,1.31,1.909823369650912,-10.582719,3.765605,1.2863,0.856582,,,,,,,0.018788,0.017365000000000002,0.01,0.0363,,,
061126A,1.1588,2.2810333672477277,-10.59929941,3.67186873,1.231728527,0.860304,,,,,,,0.038351005,0.035155442499999995,0.025959,0.09,,,
061201,0.111,-0.11918640771920865,-10.4134127,3.49343,1.98937,0.145,1.65934,-6.476253533,0.81,21.16656331,0.586587305,0.0989545476206747,0.0936499999999993,0.093885,0.169505,0.061048094,1.63636363636364e-08,0.0909090909090909,0.187878787878788
061222A,2.088,1.8536982117761744,-9.954677021,3.92091,1.35061,0.86,1.92748,-5.097453221,1.35,22.56660835,0.930949031,16.0,0.02311,0.024435,0.018075,0.005,9.57575757575758e-08,0.0242424242424242,0.157575757575758
070110,2.352,1.9464522650130731,-11.04866248,4.26825,1.42725,1.186,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,14.4780330174947,0.0547500000000003,0.053995,0.046555,0.1216678795,6.54545454545455e-08,0.0727272727272727,0.0727272727272727
070110A,2.35,1.9465505105698553,-10.878630000000001,3.9705120000000003,1.2792780000000001,0.9273,,,,,,,0.028182,0.034730000000000004,0.05,0.14,,,
070125A,1.55,1.7781512503836436,-10.80573256,4.2519403036,1.8337323112,0.774698,,,,,,,0.0127608096,0.0060110684,0.052941,0.1,,,
070208,1.165,1.678518379040114,-10.86327943,3.44468,1.2125,1.14,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,22.6274169979695,0.161899999999999,0.14114,0.06357,0.015,6.12121212121212e-08,0.218181818181818,0.133333333333333
070208A,1.17,1.806179973983887,-10.79550305764,3.4188043271020003,0.9367769586279999,0.938466,,,,,,,0.020382096042,0.034941241752,0.01799407,0.11,,,
070223,1.6295,1.9469432706978254,-11.86327943,4.22335,0.991734,1.03,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,8.08530616043297,0.16615,0.203105,0.079308,0.06,7.27272727272727e-08,0.0727272727272727,0.0909090909090909
070306,1.4959,2.3211840273023143,-11.2737,4.86926,1.89982,0.831,1.94468,-5.269217724,1.66,22.44245468,0.609594409,64.7675716279367,0.0335000000000001,0.02824,0.06188,0.0009999999999999,1.73333333333333e-07,0.0606060606060606,0.127272727272727
070318A,0.836,1.8727388274726688,-10.06262019,3.474043177,1.2859243230000001,0.87147,,,,,,,0.03513356,0.035862198,0.1066565,0.5757,,,
070411A,2.95,2.089021500795006,-10.67182109,3.5812196096999998,1.518861618,0.960798,,,,,,,0.0541019248,0.0365515885,0.219221,0.11,,,
