"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","Gamma","log10Fa","log10T90","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","GammaSqr","log10FaSqr","log10T90Sqr","Alpha","Beta","log10Fluence","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"GRB090519",-0.22184875,22.13069392,1.02,3.44619,1.46604,-11.76000021,1.80617997398389,0.0492168678765625,489.767613380725,1.0404,11.8762255161,2.1492732816,138.2976049392,3.26228609842043,1.42452,0.63,-5.920818754,8.24011648989424,0.21145,0.24029,0.3065,0.03,6.06060606060606e-08,0.121212121212121,0.121212121212121,0.0559162050281416,0.0219340647449938,0.0877362590478575,3.85,0.685741738602264
"GRB090529",-0.397940009,21.94617755,2,4.472757799,2.22623,-12.1873998,2,0.15835625076292,481.634709056124,4,20.0055623285153,4.9561000129,148.53271388504,4,0.8815438,0.64,-6.167491087,10.5274431981955,0.11547934,0.21900534,0.113675222,0.125,1.03030303030303e-07,0.181818181818182,0.0606060606060606,0.0457201048952623,0.0658021941832558,0.0658021942774567,2.625,0.559308010907013
"GRB090530",0.397940009,20.90942658,1.61,3.6839464,2.03975,-11.16052195,1.68124123737559,0.15835625076292,437.204119904411,2.5921,13.571461078073,4.1605800625,124.557250196432,2.8265720982522,0.88610581,1.09,-5.958607315,35.7770876399966,0.0891756250000002,0.115365029,0.0385142015,0.035,6.06060606060606e-08,0.103030303030303,0.181818181818182,0.323703994596241,0.023928070636996,0.0315850532054756,1.266,0.355259905527378
"GRB090618",1.589949601,21.39200012,1.42,3.67275453,1.82831,-9.640164518,2.05384642685225,2.52793973372006,457.61766913408,2.0164,13.4891258376355,3.3427174561,92.9327719341062,4.21828514509377,1.30942861,0.8945,-3.978810701,0.593538562159812,0.00969525450000042,0.014245613,0.010591616,0.0024826615,6.06060606060606e-07,0.0484848484848485,0.484848484848485,0.00227712475567841,0.00250675025669951,0.00541303397652361,0.54,0.187520720836463
"GRB090809",0.041392685,21.91952315,1.34,4.56066,1.94644,-11.8559,0.732393759822969,0.00171335437150922,480.465495123386,1.7956,20.7996196356,3.7886286736,140.56236481,0.536400619427624,1.6367,0.96,-6.468521083,1.2162532625235,0.338,0.237865,0.319405,0.01,3.03030303030303e-08,0.145454545454545,0.121212121212121,0.0978170519464413,0.0387071730789222,0.0478561412739918,2.737,0.572523097849638
"GRB090812",0.556302501,21.77771022,1.24,3.52924,1.88559,-10.16730017,1.82412583391655,0.309472472618855,474.268662426292,1.5376,12.4555349776,3.5554496481,103.373992746882,3.32743505796175,1.37252,0.53,-5.236572006,14.6583733159175,0.10615,0.13258,0.08412,0.015,1.21212121212121e-07,0.0303030303030303,0.121212121212121,0.0954430381526363,0.00907616471193707,0.0146227098205568,2.452,0.538070787043172
"GRB090927",0.301029996,21.01785522,1.8,4.20121889,2.06549,-11.6716204,0.342422680822206,0.09061905849176,441.750238048881,3.24,17.6502401616928,4.2662489401,136.226722761696,0.117253292341467,1.13087741,0.92,-6.698970004,0.400898977948906,0.076268475,0.093241949,0.074843971,0.01,1.81818181818182e-08,0.121212121212121,0.121212121212121,0.0791400972381197,0.0394813165061122,0.0263208776707413,1.37,0.374748346010104
"GRB091018",1.012837225,21.19187281,1.77,2.89655535,1.98015,-9.627087997,0.643452676486187,1.0258392443457,449.095473195217,3.1329,8.39003289561362,3.9209940225,92.6808233019815,0.414031346877238,1.18074867,0.91,-5.853871964,0.601065703889731,0.0242886034999996,0.034497878,0.016335114,0.002061639,6.06060606060606e-08,0.145454545454545,0.242424242424242,0.0593271632865009,0.0188006269082896,0.0102217000672768,0.971,0.294686624279443
"GRB091020",0.62324929,21.70587483,1.53,2.95265011,2.08587,-9.71219827,1.53907609879278,0.388439677485504,471.145002135627,2.3409,8.71814267208301,4.3508536569,94.326795235791,2.36875523787519,1.17417264,0.895,-5.431798276,4.87503886377992,0.0344806870000003,0.045271255,0.018244861,0.00218288749999999,6.06060606060606e-08,0.0424242424242424,0.181818181818182,0.0611908230521248,0.00711375072842337,0.0188006269394438,1.71,0.432969290874406
"GRB091029",0.255272505,21.45058625,1.46,4.30368998,2.11535,-11.34678749,1.59328606702046,0.065164051808975,460.127650468689,2.1316,18.5217474439524,4.4747056225,128.74958634322,2.53856049136152,1.12123368,1.064,-5.619788758,4.82961031431318,0.0256335199999995,0.034224003,0.0267820245,0.002,6.06060606060606e-08,0.163636363636364,0.0606060606060606,0.0535069670726848,0.0109670323640116,0.0146227098318706,2.752,0.574262829707027
"GRB091127",1.667452953,20.87872913,2.05,3.98466812,1.80187,-9.844663963,0.851258348719075,2.78039935046842,435.921330083911,4.2025,15.8775800265443,3.2467354969,96.9174085443909,0.724640776263927,1.39581701,0.758,-5.045757491,0.150359555029189,0.0185625155000002,0.021935207,0.0135873089999999,0.00244132,1.81818181818182e-07,0.0424242424242424,1.63636363636364,0.00919722888036692,0.00877362590591064,0.0152830902683826,0.49,0.173186268412274
"GRB050416A",0.688419822,21.75162856,3.08,2.99481,2.06183,-10.5559552,0.397940008672038,0.473921851322512,473.133345012208,9.4864,8.9688869361,4.2511429489,111.428190184407,0.158356250501901,0.842217,0.9,-6.435333936,0.444072089685655,0.0484,0.070765,0.0149485,0.005,2.24242424242424e-08,0.133333333333333,0.290909090909091,0.0771432232470903,0.0265360347448561,0.0258893878930529,0.6528,0.218220304175545
"GRB050820A",0.389166084,21.61964524,1.25,3.750945731,1.96878,-10.01818139,1.41497334797082,0.151450240935895,467.409060303455,1.5625,14.0695938769071,3.8760946884,100.363958362942,2.00214957546775,1.136499703,0.9,-5.463441557,22.6761161724926,0.266741013,0.238477529,0.0125257010000001,0.0405,1.46666666666667e-07,0.0727272727272727,0.139393939393939,0.378773543258101,0.0185164313807078,0.0247093954042276,2.6147,0.558072259099146
"GRB050922C",0.860936621,21.44930866,1.37,2.52429,2.2119,-9.477555766,0.653212513775344,0.741211865378898,460.072841991951,1.8769,6.3720400041,4.89250161,89.8240632976399,0.426686588152704,1.22035,1.064,-5.790484985,0.450457545832013,0.0319400000000005,0.034305,0.013275,0.013,3.27272727272727e-08,0.0363636363636364,0.193939393939394,0.0434736058858943,0.0087736258877956,0.0116014887814568,2.198,0.504878459410216
"GRB051016B",0.113943352,21.71466751,2.4,4.25742,1.89482,-11.59006688,0.602059991327962,0.0129830874649959,471.52678506985,5.76,18.1256250564,3.5903428324,134.329650282873,0.362476233157826,1.14771,0.73,-6.769551079,0.469570015426604,0.04535,0.058175,0.04854,0.005,1.33333333333333e-08,0.139393939393939,0.096969696969697,0.0509829166417497,0.0340623123358059,0.0323949264119413,0.9364,0.286995073968852
"GRB051109A",0.595496222,21.97057233,1.51,3.91123,2.06584,-10.51999306,1.5705429398819,0.354615750416273,482.706048507762,2.2801,15.2977201129,4.2676949056,110.670253982448,2.46660512601287,1.22299,1.06,-5.657577319,7.08958896788783,0.0481500000000006,0.04637,0.019155,0.0547943805,1.64848484848485e-07,0.121212121212121,0.418181818181818,0.0827679937558025,0.0325421760411363,0.0460949380699723,2.346,0.524525936626376
"GRB051109B",-0.259637311,21.36742302,1.97,3.65548,2.12549,-11.57511836,1.15533603746506,0.0674115332633107,456.566766515626,3.8809,13.3625340304,4.5177077401,133.983365048009,1.33480135946547,1.251,1.06,-6.591760035,3.7781688614362,0.0922000000000001,0.126645,0.12217,0.00999999999999998,2.48484848484848e-08,0.145454545454545,0.0787878787878788,0.114743908267163,0.0421545307074316,0.0622129837043244,0.08,0.0334237554869497
"GRB060223A",0.130333768,22.49782636,1.74,2.78682,2.01015,-10.9636,1.05307844348342,0.0169868910810778,506.152190924711,3.0276,7.7663657124,4.0407030225,120.20052496,1.10897420812946,1.1892,0.81,-6.171984936,1.09553641512797,0.1982,0.23477,0.18005,0.045,2.90909090909091e-08,0.0727272727272727,0.109090909090909,0.0421049044083316,0.018772691379267,0.035094503628142,4.41,0.733197265106569
"GRB060502A",0.227886705,21.45692297,1.46,3.3865,2.02719,-10.55284197,1.45331834004704,0.051932350315757,460.399543340514,2.1316,11.46838225,4.1094992961,111.362473643793,2.11213419751708,0.897152,0.87,-5.63638802,9.82783800045578,0.0567500000000001,0.075085,0.0205255,0.015,6.18181818181818e-08,0.0484848484848485,0.127272727272727,0.150287880726656,0.0116222057308489,0.0327064160367775,1.5026,0.398391440229475
"GRB060510B",-0.244125144,22.00215742,1.78,4.43617,2.1317,-12.2656,2.43964842956347,0.0595970859330207,484.094931134461,3.1684,19.6796042689,4.54414489,150.44494336,5.95188445987152,1.00735,1.38,-5.390405591,21.2895454410942,0.2206,0.31628,0.2313695,0.03,1.06666666666667e-07,0.0484848484848485,0.0666666666666667,0.0335971370177898,0.0113820011696242,0.0507946762076893,4.9,0.770852011642144
"GRB060607A",0.146128036,21.79614607,1.47,4.37412,1.61002,-11.02273379,2.00945089579869,0.0213534029052173,475.071983504776,2.1609,19.1329257744,2.5921644004,121.500660205208,4.03789290262617,1.14649063,0.564,-5.59345982,31.0697613299411,0.0760999999999994,0.02584,0.163115,0.0120771535,6.78787878787879e-08,0.0484848484848485,0.0787878787878788,0.132029607628615,0.0115605423699981,0.0244408149807765,3.0749,0.610116955411928
"GRB060904B",0.387389826,21.59122827,1.64,3.87074,2.18877,-11.11633856,2.23426412437879,0.15007087728831,466.181138207247,2.6896,14.9826281476,4.7907141129,123.572982980543,4.99193617748612,1.36265,1.58,-5.790484985,11.3430592104484,0.0866499999999997,0.081295,0.04215,0.136141492,8.66666666666667e-08,0.0848484848484849,0.127272727272727,0.0287243616501434,0.0232338611473106,0.0226532144239483,0.703,0.231214647962601
"GRB060912A",0.933487288,21.36738202,1.74,2.455171016,1.8948,-10.1079054,0.698970004336019,0.871398516857595,456.565014388619,3.0276,6.02786471780647,3.59026704,102.169751575349,0.488559066961494,1.045731532,0.63,-5.869666232,0.579999999547827,0.147419953,0.156564864,0.0289377854999999,0.0785,3.75757575757576e-08,0.0545454545454545,0.266666666666667,0.0503781598615019,0.0120881068052489,0.0134978859907368,0.937,0.287129620719111
"GRB061110A",-0.27572413,21.12149747,1.67,2.24983,1.82722,-8.33235,1.60959440922522,0.0760237958642569,446.117655375216,2.7889,5.0617350289,3.3387329284,69.4280565225,2.59079416220909,1.33346,1.98,-5.974694135,4.02450144817196,0.2103,0.03335,0.11946,0.0015,4.60606060606061e-08,0.0727272727272727,0.0727272727272727,0.0429439501560867,0.0188715726956945,0.0595944400005545,0.7578,0.244969460136198
"GRB061222A",0.930949031,22.56660835,1.35,3.92091,1.92748,-9.954677021,1.85369821177617,0.866666098319839,509.25181242229,1.8225,15.3735352281,3.7151791504,99.0955945924254,3.43619706034219,1.35061,0.86,-5.097453221,16,0.02311,0.024435,0.018075,0.005,9.57575757575758e-08,0.0242424242424242,0.157575757575758,0.0973208923032497,0.00520487944706068,0.00802277632160302,2.088,0.489677291663699
"GRB070714B",0.431363764,21.64321572,1.36,3.22974,2.07429,-10.74232143,1.80617997398389,0.186074696892248,468.428786702455,1.8496,10.4312204676,4.3026790041,115.397469705437,3.26228609842043,1.64623,0.93,-6.142667504,8.40879728265565,0.0993500000000003,0.0946,0.108425,0.00499999999999999,5.45454545454545e-08,0.115151515151515,0.121212121212121,0.0570608478015689,0.0329010971465546,0.0194969464449939,0.923,0.28397928423848
"GRB070721B",0.176091259,21.89473409,1.34,3.94739,1.52512,-10.50863831,2.53147891704225,0.0310081314962051,479.379380871808,1.7956,15.5818878121,2.3259910144,110.4314791304,6.40838550742943,2.5054,0.52,-5.443697499,21.3202068350191,0.3648,0.10084,0.0914400000000002,0,1.21212121212121e-07,0.0666666666666667,0.181818181818182,0.02723308288672,0.0146227098205568,0.0526417553889616,3.626,0.665205628434601
"GRB070810A",0.278753601,21.93100401,2.04,3.36583,2.17076,-10.77728353,1.04139268515823,0.0777035700704672,480.968936886636,4.1616,11.3288115889,4.7121989776,116.149840286009,1.08449872470106,1.36994,1.02,-6.161150909,4.9906412396737,0.06175,0.07187,0.077915,0.01,3.63636363636364e-08,0.0848484848484849,0.121212121212121,0.197037086504463,0.0228877197175498,0.0277061870402603,2.17,0.501059262217751
"GRB080319B",1.394451681,20.8771334,1.04,5.36799912,1.81426,-12.15181088,1.69897000433602,1.94449549064373,435.854699001396,1.0816,28.8154145523208,3.2915393476,147.666507663286,2.88649907563353,1.42250979,0.73,-4.091514981,0.179108908319785,0.0977794549999995,0.087626454,0.075139905,0,6.06060606060606e-07,0.0121212121212121,0.303030303030303,0.00155572021085996,0.0032494910720681,0.00530662856463182,0.937,0.287129620719111
"GRB080319C",0.716003344,21.75037415,1.37,3.19029,1.61029,-8.91721463,1.53147891704226,0.512660788619182,473.078775664988,1.8769,10.1779502841,2.5930338841,79.516716757486,2.34542767334492,1.45203,1.94,-5.443697499,8.88502944558435,0.0500400000000001,0.04713,0.02854,0.199995173,6.06060606060606e-08,0.0424242424242424,0.181818181818182,0.11349174293427,0.00731135491027843,0.0151851217320997,1.95,0.469822015978163
"GRB080905B",-0.301029996,22.33533151,1.78,3.67820615,1.86248,-10.11125904,2.10720996964787,0.09061905849176,498.867033661599,3.1684,13.5292004818978,3.4688317504,102.237559373982,4.44033385618337,1.36946226,0.375,-5.744727495,28.0583333245587,0.0323645699999995,0.038825489,0.0333017515,0.00558525,1.21212121212121e-07,0.0909090909090909,0.0606060606060606,0.0951998385488904,0.0292454196637412,0.0526417554229419,2.374,0.528145078253106
"GRB080916A",0.431363764,21.7431239,1.17,3.60698,1.88453,-10.75269955,1.77815125038364,0.186074696892248,472.763436930751,1.3689,13.0103047204,3.5514533209,115.62054761257,3.16182186924092,0.998947,0.83,-5.397940009,6.3258975691903,0.0591999999999997,0.073495,0.0260505,0.01,6.06060606060606e-08,0.127272727272727,0.121212121212121,0.045788373456409,0.00658021942774567,0.0194969464449939,0.6887,0.227552503379865
"GRB081028A",-0.301029996,20.90308999,1.25,4.75426,2.51,-11.3994,2.41497334797082,0.09061905849176,436.939171130038,1.5625,22.6029881476,6.3001,129.94632036,5.83209627140938,2.20023,0.945,-5.431798276,32.5884964277169,0.0572000000000008,0.03025,0.0547150000000001,5e-04,1.21212121212121e-07,0.23030303030303,0.0606060606060606,0.0544346314310819,0.0142275014568467,0.0526417554229419,3.038,0.60616631460762
"GRB081203A",0.462397998,21.66176916,1.54,4.02089,2.03508,-10.9243983,2.46834733041216,0.213811908554408,469.232243141127,2.3716,16.1675563921,4.1415506064,119.342478217043,6.09273854355282,1.86904,0.82,-5.113509275,82.9698740507662,0.0569499999999996,0.03932,0.064395,0.0325,1.81818181818182e-07,0.0363636363636364,0.121212121212121,0.122562443756652,0.0102548874161921,0.0181523294379188,2.1,0.491361693834273
"GRB090418A",0.278753601,22.02365981,1.48,3.52813657,2.03408,-10.04720756,1.7481880270062,0.0777035700704672,485.041591426609,2.1904,12.4477476565714,4.1374814464,100.946379753721,3.05616137776783,1.52909667,0.98,-5.337242168,4.12921107301137,0.028659405,0.030759021,0.0421545135,0.00353133200000001,1.21212121212121e-07,0.0424242424242424,0.181818181818182,0.0320230997075472,0.0114438598573077,0.0415592805603905,1.608,0.416307587059883
"GRB090516A",0.204119983,21.19589965,1.84,4.33113504,2.09,-11.27490548,2.32221929473392,0.0416649674599203,449.26616197287,3.3856,18.7587307347158,4.3681,127.123493582934,5.3927024528345,1.76098314,0.502,-5.045757491,64,0.0377960499999999,0.029715315,0.0533515885,0.4790870845,3.63636363636364e-07,0.0666666666666667,0.121212121212121,0.13235641353242,0.0175472518118213,0.0329010970878163,4.109,0.708335902682263
"GRB091109A",0.113943352,21.89596701,1.31,3.37933883,1.96352,-11.14630179,1.68124123737559,0.0129830874649959,479.433371303008,1.7161,11.4199309279458,3.8554107904,124.240043593757,2.8265720982522,1.06152816,0.89,-5.795880017,16.7081067781536,0.0594103399999995,0.074268877,0.0337195714999999,0.03,1.21212121212121e-07,0.151515151515152,0.242424242424242,0.151171637016717,0.0329010970878164,0.0809873160298532,3.076,0.610234175334389
"GRB091208B",1.181843588,21.91211094,1.74,3.31388094,2.03333,-10.18045606,1.17318626841227,1.39675426649671,480.140605846868,3.0276,10.9818068844953,4.1344308889,103.641685589591,1.37636602039112,1.1606541,0.86,-5.48148606,2.89772326829494,0.036806415,0.052928177,0.030502454,0.034663611,1.21212121212121e-07,0.0666666666666667,0.606060606060606,0.084460753389473,0.0159520470810336,0.0173163668998415,1.063,0.314499227973151
"GRB100219A",-0.397940009,20.4247395876785,1.34,4.7218991,1.58721,-12.13548892,1.27415784926368,0.15835625076292,417.169987224481,1.7956,22.2963311105808,2.5192355841,147.270091327443,1.62347822484025,1.81152426,0.46,-6.431798276,6.64771150189809,0.326395625,0.103773463,0.7308534025,0.005,3.63636363636364e-08,0.151515151515152,0.0606060606060606,0.153567256519102,0.0426825043705403,0.0658021942774567,4.6667,0.753330221324521
"GRB100316B",0.113943352,21.41315218,2.23,3.5543767,2.23535,-11.1481304,0.57978359661681,0.0129830874649959,458.523086283839,4.9729,12.6335937255029,4.9967896225,124.280811415404,0.336149018905924,1.36246063,1.08,-6.698970004,0.445223531811273,0.10431242,0.207348761,0.13322096,0.02,1.21212121212121e-08,0.109090909090909,0.0606060606060606,0.0508837165997665,0.0263208776707414,0.0202468290074633,1.18,0.338456493604605
"GRB100418A",0,20.4247395876785,2.16,5.54363,2.26662,-12.48811664,0.845098040014257,0,417.169987224481,4.6656,30.7318335769,5.1375662244,155.953057214245,0.714190697235938,1.81145,0.84,-6.468521083,0.963279857831632,0.10745,0.075475,0.16786,0.01,3.03030303030303e-08,0.151515151515152,0.121212121212121,0.0597638752549752,0.0387071730789222,0.0526417553822122,0.6235,0.21045229296202
"GRB100425A",0.146128036,20.53466438,2.42,3.60199415,2.17077,-11.50168945,1.56820172406699,0.0213534029052173,421.672441199241,5.8564,12.9743618566342,4.7122423929,132.288860204241,2.4592566473667,0.86819371,1.46,-6.327902142,3.77353995290746,0.0708590650000005,0.115125536,0.0550768945,0.035,5.45454545454545e-08,0.193939393939394,0.121212121212121,0.0442926372645721,0.0504016806776366,0.0376012538165791,1.755,0.440121603187804
"GRB100513A",-0.22184875,22.05240534,1.62,3.74522911,2.25722,-11.57186521,1.92427928606188,0.0492168678765625,486.308581279661,2.6244,14.0267410863914,5.0950421284,133.908064438408,3.70285077076682,0.96306136,1.36,-5.853871964,14.8708607591715,0.0981768900000004,0.128616618,0.0615694365,0.025,6.06060606060606e-08,0.0848484848484849,0.0606060606060606,0.0768849139149974,0.0188006269082896,0.0438681295239288,4.772,0.761326322421457
"GRB100621A",1.10720997,22.28454803,1.9,3.64164386,2.3024,-9.804100348,1.80345711564841,1.2259139176674,496.601080901377,3.61,13.2615700030757,5.30104576,96.1203836336537,3.2524575679829,0.94079321,0.27,-4.677780705,1.68360084354133,0.0412824764999993,0.060455075,0.024177265,0.1506797915,0,0.0181818181818182,0.181818181818182,0.0114965181773217,0,0.00616895570385114,0.542,0.188084373714938
"GRB100704A",0.633468456,21.52730245,1.73,3.62503495,2.11575,-10.35163999,2.29556709996248,0.401282284747024,463.424750773776,2.9929,13.1408783887215,4.4763980625,107.156450482567,5.26962831043015,1.01294211,1.29,-5.22184875,23.2593145938513,0.0476344600000003,0.053639373,0.0181399595,0.01,1.21212121212121e-07,0.0363636363636364,0.121212121212121,0.051146288511197,0.00877362590478576,0.0122422686816868,3.6,0.662757831681574
"GRB100728A",0.707570176,21.52592288,1.18,4.03148606,1.90402,-10.17587417,2.29776051109913,0.500655553964671,463.365355835707,1.3924,16.2528798519743,3.6252921604,103.548415123673,5.27970336636655,1.5588143,0.96,-4.420216403,12.646583703569,0.0760750999999997,0.053762484,0.034265796,0.005,0,0.0121212121212121,0.121212121212121,0.0276692267878469,0,0.0103219128223693,1.567,0.409425868671443
"GRB100814A",0.397940009,20.89608288,1.47,5.22729477,1.89414,-11.49349497,2.2417954312952,0.15835625076292,436.646279727829,2.1609,27.3246106124694,3.5877663396,132.100426625415,5.02564675577603,1.76532941,1.1425,-5.045757491,9.46817490453253,0.0436263599999993,0.035347138,0.0840151685,0.01745135,1.21212121212121e-07,0.0242424242424242,0.121212121212121,0.0235643330357211,0.00584908393727375,0.0210567021369837,1.44,0.387389826338729
"GRB100816A",1.037426498,21.34783526,0.73,3.97801299,1.91138,-11.5559552,0.462397997898956,1.07625373875254,455.730070288099,0.5329,15.8245873486087,3.6533735044,133.540100584407,0.213811908460963,1.04455013,1.09,-5.698970004,0.621173085986678,0.0867492200000006,0.112014005,0.0471751539999999,0.015,6.06060606060606e-08,0.145454545454545,0.242424242424242,0.0930248426037339,0.0131604388353707,0.00965903768348901,0.804,0.256236533205923
"GRB100901A",-0.096910013,21.53188109,1.52,4.91124,1.98285,-11.34103516,2.64246452024212,0.00939155061966017,463.6219032739,2.3104,24.1202783376,3.9316941225,128.619078500356,6.98261874073842,1.50754,1.075,-5.677780705,22.5629902448915,0.0282999999999998,0.02425,0.036255,5e-04,1.81818181818182e-07,0.127272727272727,0.121212121212121,0.022321143869233,0.0376012538214001,0.0658021942265446,1.408,0.381656482585787
"GRB100906A",1.004321374,21.96198081,1.78,3.94074768,2.02817,-10.4698003,2.05842602445701,1.00866142227325,482.328601098808,3.1684,15.5294922774254,4.1134735489,109.61671832188,4.23711769816187,1.71220056,0.87,-4.920818754,1.59114548550629,0.0487430849999999,0.039933316,0.0593400839999999,0,0,0.0181818181818182,0.242424242424242,0.0060404344778029,0,0.0104241099714586,1.727,0.43568513794163
"GRB101219B",-0.22184875,20.49692965,1.56,4.42003952,1.85684,-11.99567863,1.53147891704226,0.0492168678765625,420.124125077049,2.4336,19.5367493583618,3.4478547856,143.896305794239,2.34542767334492,0.66918137,0.94,-5.677780705,5.42062428630735,0.0894462749999994,0.166829365,0.0393906275,0.105,2.42424242424242e-07,0.096969696969697,0.181818181818182,0.0692396240004128,0.0501350050952,0.131604388571787,0.55,0.190331698170291
"GRB110106B",0.322219295,21.29748256,1.76,3.87203946,2.05121,-10.81530857,1.39445168082622,0.103825274070297,453.582763393504,3.0976,14.9926895797971,4.2074624641,116.970899464315,1.94449549015906,1.22519883,1.03,-5.698970004,16.6266176856008,0.0455435550000001,0.058714404,0.049891228,0.005,6.06060606060606e-08,0.0666666666666667,0.181818181818182,0.291163238450461,0.0131604388353707,0.0376012538214001,0.618,0.208978517276253
"GRB110213A",0.204119983,21.56708403,1.83,3.84089,1.96436,-9.896196279,1.68124123737559,0.0416649674599203,465.139113557081,3.3489,14.7524359921,3.8587102096,97.9347007924934,2.8265720982522,1.8412,1.1905,-5.229147988,16,0.0358799999999997,0.023515,0.02785,0.2263626645,2.42424242424242e-07,0.0727272727272727,0.363636363636364,0.144764827301084,0.017844662826724,0.0987032912634493,1.46,0.390935107103379
"GRB110422A",1.487138375,22.02088312,0.86,3.50066971,1.89199,-9.681936665,1.41329976408125,2.21158054639764,484.919293384701,0.7396,12.2546884185115,3.5796261601,93.7398975850713,1.99741622315212,1.42239886,0.778,-4.387216143,0.566646277192499,0.0241374065000004,0.029472713,0.0227797160000001,0.005,6.06060606060606e-07,0.0606060606060606,0.606060606060606,0.00950159657821323,0.00641972626198059,0.00857357580456891,1.77,0.442479769064449
"GRB110503A",0.130333768,21.13638759,0.88,2.54166555,1.90907,-9.08249449,1,0.0169868910810778,446.746880354706,0.7744,6.4600637680568,3.6445482649,82.4917061608804,1,1.14649063,0.687,-5,3.40544507260987,0.0289980710000002,0.028887961,0.00628991400000001,0.001,2.42424242424242e-07,0.151515151515152,0.0363636363636364,0.147896600345909,0.0105283510764424,0.0116981678760474,1.613,0.417139409727326
"GRB110715A",1.731588765,22.0746007,1.25,2.61109719,1.85342,-9.075720714,1.11394335230684,2.99839965107422,487.287996064441,1.5625,6.8178285356259,3.4351656964,82.3687064785287,1.24086979214859,0.95853538,0.755,-4.928117993,4,0.0237765295000001,0.035600881,0.00955407599999997,0.0015,1.21212121212121e-07,0.0727272727272727,0.666666666666667,0.133629071354847,0.00446116571350155,0.00537160769437218,0.82,0.260071387985075
"GRB110731A",1.041392685,21.95954126,1.15,5.08952072,1.85145,-12.08512818,1.58883172559421,1.08449872437151,482.221452349642,1.3225,25.9032211593093,3.4278671025,146.05032312703,2.52438625225467,1.42351927,0.39,-5.22184875,11.6624637198907,0.0974184950000003,0.090702815,0.110855301,0.13,6.06060606060606e-08,0.0303030303030303,0.181818181818182,0.130539784508902,0.00438681295239289,0.0071784211910988,2.83,0.583198773968623
"GRB110808A",-0.397940009,22.16619025,2.32,4.50711,2.33721,-12.08440021,1.68124123737559,0.15835625076292,491.339990199195,5.3824,20.3140405521,5.4625505841,146.032728435448,2.8265720982522,0.807091,1.4,-6.48148606,22.6274169979695,0.0837000000000003,0.155655,0.0776,0.025,4.84848484848485e-08,0.260606060606061,0.121212121212121,0.204728382123792,0.0638081883241343,0.131604388554913,1.348,0.370698092575577
"GRB110818A",0.204119983,22.06812647,1.58,3.84627415,1.95985,-11.28316228,2.01283722470517,0.0416649674599203,487.002205895915,2.4964,14.7938248369582,3.8410120225,127.309751036815,4.05151369315882,1.37167718,0.83,-5.397940009,18.0548005975559,0.0551490499999998,0.059648416,0.0673381894999999,0.01,1.21212121212121e-07,0.0666666666666667,0.181818181818182,0.0761271871007967,0.0131604388554913,0.0493516456317247,3.36,0.639486489268586
"GRB111008A",0.806179974,22.17059025,1.86,3.98993393,1.94053,-10.66756154,1.80250006776439,0.649926150478641,491.535072033395,3.4596,15.9195727657652,3.7656566809,113.796869209687,3.24900649429064,1.21584288,0.829,-5.27572413,2.36485690984517,0.0285110849999999,0.035676696,0.0273512905000001,0.001,1.81818181818182e-07,0.0545454545454545,0.424242424242424,0.0161841208073831,0.0148986100001386,0.0287884599735793,4.9898,0.777412321496744
"GRB111123A",-0.045757491,21.35034301,1.68,4.42202873,2.55463,-11.60730305,2.46239799789896,0.00209374798261508,455.837146644656,2.8224,19.5543380889454,6.5261344369,134.729484094539,6.06340390005679,1.46723371,1.25,-5.13667714,88.090862182181,0.0730882700000004,0.070655771,0.1058841465,0.00499999999999999,1.81818181818182e-07,0.0424242424242424,0.0606060606060606,0.131921983971797,0.0108167990541397,0.0292454196863688,3.1516,0.618215503279417
"GRB111209A",-0.301029996,21.14009932,1.48,4.13326,1.81212,-9.057000407,3.14612803567824,0.09061905849176,446.903799259465,2.1904,17.0838382276,3.2837788944,82.0292563723982,9.89812161688061,2.77382,0.2529,-4.443697499,29.551808977086,0.0209899999999994,0.010455,0.0443499999999999,4.99999999999997e-05,6.06060606060606e-07,0.0181818181818182,0.0606060606060606,0.0091672768350053,0.00731135491027843,0.0526417554229419,0.677,0.224533062606086
"GRB111228A",1.093421685,21.41342718,2.27,4.10627835,2.03824,-10.65757732,2.00518051250378,1.19557098122824,458.534863593163,5.1529,16.8615218876787,4.1544222976,113.583954331778,4.02074888772492,1.15297662,0.99,-5.070581074,5.41590248878418,0.030118345,0.037264425,0.0232992715,0,1.21212121212121e-07,0.0363636363636364,0.303030303030303,0.0232420609229749,0.00619314768795071,0.0106132571374752,0.714,0.234010817587179
"GRB120118B",0.342422681,21.451745,2.08,3.68307,2.20884,-10.95467702,1.36660971039243,0.117253292463228,460.177363545025,4.3264,13.5650046249,4.8789741456,120.004948612516,1.86762210053888,1.0241,1.01,-5.744727495,19.6469605838771,0.1172,0.131765,0.077156,0.005,6.06060606060606e-08,0.0666666666666667,0.181818181818182,0.366834332233384,0.0146227098318706,0.0358921059277238,2.943,0.595826777073223
