"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","Gamma","log10Fa","log10T90","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","GammaSqr","log10FaSqr","log10T90Sqr","Alpha","Beta","log10Fluence","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"GRB050904",-0.207608311,22.39388568,1.25,4.6841,1.90813,-11.4544,2.24104815067164,0.0431012107962727,501.486115848909,1.5625,21.94079281,3.6409600969,131.20327936,5.0222968136288,1.81152426,0.848,-5.316052869,10.7562158769084,0.29485,0.098475,0.624745,0,1.09090909090909e-07,0.0424242424242424,0.103030303030303,0.0268161033381255,0.00980902273641476,0.0721701485906705,6.29,0.862727528317975
"GRB060115",-0.060480747,21.43355223,1,3.69688,2.10553,-11.29499204,2.14488541828714,0.00365792075767801,459.397161196138,1,13.6669217344,4.4332565809,127.576845183663,4.60053345758081,0.889919,1,-5.76700389,15.0870791029542,0.0811999999999999,0.123015,0.053884,0.085,9.09090909090909e-08,0.303030303,0.0727272727272727,0.0469357822525134,0.0230884892235729,0.0363046588524029,3.53,0.656098202012832
"GRB060124",-0.050609993,21.9172644,1.84,4.47599,2.00895,-10.6893,2.8750612633917,0.00256137139146005,480.366478779507,3.3856,20.0344864801,4.0358801025,114.26113449,8.26597726825548,1.3641,0.99,-6.336299075,1.30678232181628,0.0444500000000003,0.036665,0.01627,0.076380116,3.21212121212121e-08,0.115151515151515,0.109090909090909,0.000756704468551373,0.0302604450950157,0.0532332357362408,2.296,0.517987203025078
"GRB060206",0.445604203,22.33966406,1.2,3.93814,2.20424,-10.63078414,0.880813592280791,0.198563105731265,499.060590313656,1.44,15.5089466596,4.8586739776,113.013571431276,0.775832584346592,1.17565,1.265,-6.080398976,1.93356045365311,0.0705499999999999,0.07444,0.02867,0.0130418865,2.54545454545455e-08,0.1818181818,0.103030303030303,0.110491399401039,0.0133029706675924,0.0160378107896306,4.048,0.703119346236078
"GRB060210",0.434568904,22.3877421,1.53,4.15028,2.08163,-10.66756154,2.40654018043396,0.188850132323761,501.210996336112,2.3409,17.2248240784,4.3331834569,113.796869209687,5.79143564004309,1.20511,0.979,-5.11577123,121.976522977757,0.0292000000000003,0.030365,0.02297,0.083622271,2.47878787878788e-07,0.0545454545454545,0.16969696969697,0.207740120984255,0.0140538367709601,0.027095021154743,3.91,0.691081492122968
"GRB060218",-0.602059991,21.59972155,2.26,5.07614,2.25722,-11.82390874,3.32221929473392,0.36247623276292,466.547971037534,5.1076,25.7671972996,5.0950421284,139.804817891848,11.0371410423023,1.3185,0.95,-5.804100348,17.4370466608647,0.160200000000001,0.14064,0.108235,0.02,9.21212121212121e-08,0.103030303030303,0.0666666666666667,0.0036061014978586,0.0254826332026628,0.115811861753411,0.0331,0.0141423615450058
"GRB060306",0.775974331,21.61973178,1.8,3.61496,2.28823,-10.70553377,1.78675142214556,0.602136162370898,467.412802239142,3.24,13.0679358016,5.2359965329,114.60845330061,3.19248064453919,1.03794,0.76,-5.671620397,3.5188407189561,0.0349500000000003,0.04452,0.02498,0.01,7.15151515151515e-08,0.0606060606060606,0.193939393939394,0.0249708024009658,0.014581519111212,0.0141083431552143,1.559,0.408070285887185
"GRB060418",0.814247596,21.65363309,1.7,3.11887,1.94118,-9.792961075,2.01325866528352,0.662999147591779,468.879825996343,2.89,9.7273500769,3.7681797924,95.9020866164651,4.05321045333917,1.47655,0.98,-5.079354999,45.254833995939,0.0490400000000006,0.057245,0.044705,0.005,1.53333333333333e-07,0.0363636363636364,0.212121212121212,0.1906297253529,0.0079942161609691,0.0141293055003077,1.489,0.396024896608593
"GRB060526",0.222716471,20.842422,2.01,3.8752,1.90677,-11.3053948,2.47450763911698,0.0496026264546938,434.406554826084,4.0401,15.01717504,3.6357718329,127.811951583867,6.12318805604827,1.05873,0.93,-5.899629455,23.0482186783306,0.06785,0.09216,0.0623145,0.0305,1e-07,0.145454545454545,0.109090909090909,0.0335671166656554,0.034467816033398,0.0283698082994557,3.221,0.625415352154408
"GRB060604",-0.468521083,21.99003057,2.01,4.45991,2.1711,-11.76955108,1.97772360528885,0.219512005215493,483.561444469534,4.0401,19.8907972081,4.71367521,138.522332624729,3.91139065891672,1.21596,1.02,-6.395773947,17,0.0419499999999999,0.04994,0.0469499999999999,0,6.42424242424242e-08,0.254545454545455,0.0787878787878788,0.0777158546563714,0.0694033093482565,0.100638650005198,2.1357,0.496334505996816
"GRB060605",-0.337242168,21.77333803,1.55,4.04162,2.02128,-11.26121944,1.89817648349768,0.11373227987734,474.078248968644,2.4025,16.3346922244,4.0855728384,126.815063275834,3.6030739625036,1.9179,0.835,-6.156767222,35.0141649091828,0.0531499999999996,0.037375,0.085,0.10149311,5.45454545454545e-08,0.121212121212121,0.0727272727272727,0.192243471662561,0.0339867861224412,0.068663159143846,3.78,0.679427896612119
"GRB060614",1.06069784,20.51216256,2.02,5.03344,1.89544,-11.78251606,2.03622954408629,1.12507990778067,420.748812887866,4.0804,25.3355182336,3.5926927936,138.827684704158,4.14623075620988,1.9453,0.783,-4.690369833,3.31042292001389,0.0429000000000004,0.0289,0.0598299999999999,0.00600000000000001,2.2e-07,0.0242424242424242,0.448484848484848,0.0132262962918867,0.00468356794668692,0.0169369126150239,0.125,0.0511525224473813
