"","log10NH","log10PeakFlux","PhotonIndex","log10Fa","log10Ta","Beta","Alpha","log10T90","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10FaSqr","log10TaSqr","BetaSqr","AlphaSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060614A",20.51216256,1.06069784,2.02,-11.78251606,5.03344,0.783,1.9453,2.036229544,1.89544,-4.690369833,420.748812887866,1.12507990778067,4.0804,138.827684704158,25.3355182336,0.613089,3.78419209,4.14623075585845,3.5926927936,21.9995691703164,0.0132262962944593,0.0429,0.0289,0.05983,0.006,0.007727887,0.04,0.027945906,"060614A",0.125,0.0511525224473813
"060707A",21.20847898,0.004321374,0.6,-10.9132,3.5545,1.12,0.861995,1.820857989,2.09345,-5.795880017,449.799580645102,1.8674273247876e-05,0.36,119.09793424,12.63447025,1.2544,0.743035380025,3.31552381610512,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.0409865420000001,0.363636364,0.098898743,"060707A",3.425,0.645913275033844
"060708A",20.79066861,0.28780173,1.68,-10.86966623,3.50569,1.485,1.12969,1.008600172,2.20484,-6.306273051,432.251901250839,0.0828298357909929,2.8224,118.149643951602,12.2898623761,2.205225,1.2761994961,1.01727430695843,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.0313408390000001,"060708A",1.92,0.465382851448418
"060714A",22.0125926,0.10720997,1.93,-10.86012091,3.73449,0.87,1.20488,2.060660074,2.04425,-5.548213564,484.554232973575,0.0114939776674009,3.7249,117.942226179819,13.9464155601,0.7569,1.4517358144,4.24631994057768,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.0441080329999999,"060714A",2.711,0.569490954348783
"060729A",20.86562801,0.068185862,1.75,-11.15058059,5.1057,1.317,1.35481,2.062017599,1.92492,-5.583359493,435.374432251696,0.00464931177668304,3.0625,124.335447494085,26.06817249,1.734489,1.8355101361,4.25191657858572,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.0351096309999999,0.14,0.048254942,"060729A",0.54,0.187520720836463
"060814A",22.00679538,0.861534411,1.53,-10.91009489,4.22387,0.97,1.29504,2.162265614,2.11591,-4.835647144,484.299042897189,0.742241541337117,2.3409,119.030170508804,17.8410777769,0.9409,1.6771286016,4.6753925854868,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.00710934099999999,0.03,0.017323989,"060814A",1.9229,0.465813957269479
"060906A",22.41960057,0.294466226,2.03,-11.8827287,4.33479,1.06,1.71887,1.638489257,2.07859,-5.655607726,502.638489718344,0.0867103582546831,4.1209,141.199241357804,18.7904043441,1.1236,2.9545140769,2.68464704530441,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.0267258140000001,0.11,0.0617271349999999,"060906A",3.686,0.670802284260944
"060908A",21.80952201,0.481442629,1,-9.627087997,2.81918,1.185,1.38309,1.285557309,2.13395,-5.552841969,475.655250304674,0.231787005018432,1,92.6808233019815,7.9477758724,1.404225,1.9129379481,1.65265759472332,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.0358328779999999,"060908A",1.8836,0.459935016851525
"060926A",22.50004427,0.037426498,2.54,-10.84771166,3.351,1.357,1.45111,0.903089987,2.00443,-6.659555885,506.25199215196,0.001400742752544,6.4516,117.6728482585,11.229201,1.841449,2.1057202321,0.81557152461966,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.0557809430000001,"060926A",3.2,0.6232492903979
"060927A",22.10710478,0.431363764,0.9,-10.77728353,3.15198,0.83,1.39098,1.352953912,1.94856,-5.946921557,488.724081753899,0.186074696892248,0.81,116.149840286009,9.9349779204,0.6889,1.9348253604,1.8304842879961,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.0273444670000001,"060927A",5.47,0.8109042806687
"061021A",20.87141063,0.78604121,1.3,-10.04095861,3.23849,0.785,1.01707,1.664641976,1.99282,-5.528708289,435.615781686077,0.617860783818264,1.69,100.820849807733,10.4878174801,0.616225,1.0344313849,2.77103290826118,3.9713315524,30.5666153448573,0.0507507174713444,0.0264,0.03399,0.010415,0.016800037,0.014818832,0.06,0.019191409,"061021A",0.3463,0.129141845792285
"061121A",21.75351565,1.324282455,1.41,-10.03011836,3.78753,0.9485,1.35185,1.90982337,1.90181,-4.863279433,473.215443134795,1.75372402062083,1.9881,100.603274315609,14.3453835009,0.89965225,1.8274984225,3.64742530459816,3.6168812761,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.00946803099999999,"061121A",1.314,0.364363354615731
"070110A",21.3989672,-0.22184875,1.58,-11.04866248,4.26825,1.186,1.42725,1.946550511,2.08596,-5.790484985,457.915797226676,0.0492168678765625,2.4964,122.07294259696,18.2179580625,1.406596,2.0370425625,3.78905889187436,4.3512291216,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.0868588959999997,"070110A",2.352,0.525304009958239
"070208A",21.8647258,-0.045757491,1.94,-10.86327943,3.44468,1.14,1.2125,1.806179974,2.20341,-6.351639989,478.066234309186,0.00209374798261508,3.7636,118.010839974261,11.8658203024,1.2996,1.47015625,3.26228609847864,4.8550156281,40.3433305498639,0.153546286600926,0.1619,0.14114,0.06357,0.015,0.0985702079999999,0.36,0.106160873,"070208A",1.165,0.335457900689384
"070223A",21.70173804,-0.161150909,1.85,-11.86327943,4.22335,1.03,0.991734,1.9408513687054,2.25837,-5.769551079,470.965433956783,0.0259696154715263,3.4225,140.737398834261,17.8366852225,1.0609,0.983536326756,3.76690403540562,5.1002350569,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722849,"070223A",1.6295,0.419873175149476
"070306A",22.44245468,0.609594409,1.66,-11.2737,4.86926,0.831,1.89982,2.321184027,1.94468,-5.269217724,503.663772063854,0.371605343484059,2.7556,127.09631169,23.7096929476,0.690561,3.6093160324,5.38789528719994,3.7817803024,27.7646554229157,0.134263479640872,0.0335,0.02824,0.06188,0.001,0.02308703,0.1,0.022408315,"070306A",1.4959,0.397227181043161
"070508A",21.89306622,1.382017043,1.1,-9.161150909,3.02525,0.764,1.37377,1.320146286,1.82568,-4.707743929,479.306348513305,1.90997110714246,1.21,83.9266859774715,9.1521375625,0.583696,1.8872440129,1.74278621643959,3.3331074624,22.1628529010364,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0.006049102,0.060606061,0.010992516,"070508A",0.82,0.260071387985075
"070521A",22.27524914,0.814913181,1.1,-10.01233374,3.55243,0.98,1.44502,1.57863921,2.00022,-5.096367484,496.186724249071,0.664083492567539,1.21,100.246826921142,12.6197589049,0.9604,2.0880828004,2.49210175534942,4.0008800484,25.9729615319725,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0.00959676899999998,0.121212121,0.017957046,"070521A",2.0865,0.489466281303128
"070529A",22.56252244,0.155336037,1.34,-10.24641694,3.09323,0.76,1.21432,2.038222638,1.97999,-5.590066877,509.067418855503,0.0241292843908654,1.7956,104.989060108319,9.5680718329,0.5776,1.4745730624,4.15435152205568,3.9203604001,31.2488476893325,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0.041401614,0.16,0.109332877,"070529A",2.4996,0.544018407858776
"070802A",21.91375294,-0.397940009,1.79,-11.6716204,3.92184,0.78,1.16348,1.214843848,1.99014,-6.552841969,480.212567915359,0.15835625076292,3.2041,136.226722761696,15.3808289856,0.6084,1.3536857104,1.47584557502345,3.9606572196,42.9397378706878,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0.077552586,0.27,0.108573621,"070802A",2.45,0.537819095073274
"071003A",20.86974084,0.799340549,1.36,-11.67760082,4.78411,0.837,1.97901,2.170643023,1.91015,-5.080921908,435.546082728764,0.638945313275621,1.8496,136.366360911265,22.8877084921,0.700569,3.9164805801,4.71169113329858,3.6486730225,25.8157674351944,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0.015697391,0.07,0.027574253,"071003A",1.60435,0.415699348887829
"071020A",20.99642367,0.924279286,1.11,-9.169411331,2.311950854,0.844,1.119196934,0.62324929,1.59788,-5.638272164,440.849806930136,0.85429219852867,1.2321,84.0781041570712,5.34511675131133,0.712336,1.252601777075,0.388439677485504,2.5532204944,31.7901129953372,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0.018882369,0.05,0.015510517,"071020A",2.145,0.497620649781288
"071117A",22.04291793,1.053078443,1.57,-11.23542972,3.901990464,0.94,1.104952391,0.819543936,2.0457,-5.619788758,485.890230868716,1.1089742071113,2.4649,126.234880993059,15.2255295811469,0.8836,1.22091978637662,0.671652263034372,4.18488849,31.5820256845432,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0.018095603,0.06,0.015373256,"071117A",1.331,0.367542273520577
"080411A",21.57289018,1.635483747,1.75,-10.11350927,4.20932562,0.91,1.28909841,1.748188027,1.97674,-4.578396073,465.38959071834,2.67480708670116,3.0625,102.283069754376,17.7184221751884,0.8281,1.66177471066453,3.05616137774615,3.9075010276,20.9617106012618,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0.001645055,0.03,0.009047802,"080411A",1.03,0.307496037913213
"080516A",22.03528962,0.255272505,1.82,-11.12090412,3.77452827,1.48,0.94016916,0.763427994,2.3315,-6.585026652,485.55398863728,0.065164051808975,3.3124,123.674508446233,14.2470636610292,2.1904,0.883918049415106,0.582822302022864,5.43589225,43.3625760075503,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0.066814536,0.27,0.072382414,"080516A",3.2,0.6232492903979
"080607A",22.38386741,1.36361198,1.31,-10.0540393,3.46298403,1.06,1.7256074,1.899984563,2.03418,-4.619788758,501.03752022846,1.85943763199952,1.7161,101.083706245944,11.992258392035,1.1236,2.97772089893476,3.6099413396383,4.1378882724,21.3424481685432,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.02068069,"080607A",3.036,0.605951157564873
"080710A",20.89722339,0,1.47,-11.23284413,4.09266933,1.3,1.52133785,2.077948999,2.00149,-5.853871964,436.693945411563,0,2.1609,126.176787248875,16.7499422447226,1.69,2.31446885384262,4.3178720424451,4.0059622201,34.2678169709052,0.063286086716648,0.06269498,0.054210787,0.06401643,0.150517844,0.0620420689999999,0.23,0.0868588959999999,"080710A",0.845,0.265996370495079
"080810A",21.45079548,0.301029996,1.34,-9.931814138,3.2687548,1.079,1.44529526,2.03666881,2.11482,-5.337242168,460.136626724788,0.09061905849176,1.7956,98.6409320717767,10.684757942523,1.164241,2.08887838857847,4.14801984162682,4.4724636324,28.4861539598773,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0.018882369,0.06,0.0434294480000001,"080810A",3.35,0.638489256954637
"080928A",21.51035195,0.322219295,1.77,-11.1260984,4.08450503,0.99,1.76031774,2.368584372,2.13864,-5.602059991,462.695241012869,0.103825274070297,3.1329,123.790065606483,16.6831813400953,0.9801,3.09871854575871,5.61019192728263,4.5737810496,31.3830761427629,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0.034743559,0.12,0.0206806900000001,"080928A",1.692,0.430075055551939
"081007A",21.69605744,0.414973348,2.51,-10.58502665,3.58176278,0.92,1.00469263,0.958563883,2.102,-6.148741651,470.718908439779,0.172202879550329,6.3001,112.04278918121,12.8290246121933,0.8464,1.00940728077632,0.918844717792038,4.418404,37.8070238907422,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0.048934589,0.2,0.066814536,"081007A",0.5295,0.184549481320698
"081008A",21.1376737,0.113943352,1.69,-10.79317412,3.85550833,0.84,1.47398467,2.268297087,1.98207,-5.366531544,446.801249447672,0.0129830874649959,2.8561,116.492607584638,14.8649444826994,0.7056,2.17263080739501,5.14517167489269,3.9286014849,28.799660812747,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,0.020199743,0.07,0.0334072679999999,"081008A",1.9685,0.472537053262077
"081029A",21.49704581,-0.301029996,1.43,-11.86327943,4.48156171,0.87,2.51960373,2.431283332,1.95818,-5.677780705,462.122978557239,0.09061905849176,2.0449,140.737398834261,20.0843953605381,0.7569,6.34840295622991,5.91113864046102,3.8344689124,32.2371937340703,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,0.0413613789999999,0.18,0.173717793,"081029A",3.8479,0.685553652846326
"081221A",21.57331844,1.260071388,1.21,-9.354577731,2.93195749,0.991,1.23586126,1.531478917,2.4947,-4.742321425,465.408068513644,1.58777990285625,1.4641,87.5081245253211,8.5963747231671,0.982081,1.52735305396879,2.34542767321549,6.22352809,22.489612498014,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,0.00719825100000001,0.13,0.011931167,"081221A",2.26,0.513217600067939
"081230A",20.67248024,-0.15490196,1.97,-11.32975415,3.66959365,1.02,0.99376498,0.907209226455443,2.08621,-6.086186148,427.35143927319,0.0239946172118416,3.8809,128.363329099442,13.4659175561203,1.0404,0.9875688354744,0.823028580565883,4.3522721641,37.0416618281071,0.740704337003766,0.0701444,0.08735027,0.040381418,0.02,0.02568693,0.096969697,0.142225970771008,"081230A",2.1,0.491361693834273
"090102A",21.72376179,0.740362689,1.36,-9.457174573,3.15380077,0.667,1.42487631,1.432006687,1.76997,-7.167491087,471.921826308664,0.548136911263311,1.8496,89.4381509041977,9.94645929685259,0.444889,2.03027249879922,2.05064315161272,3.1327938009,51.3729284822244,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,0.019160051,0.08,0.063170107,"090102A",1.547,0.406028944963615
"090205A",21.81792086,-0.301029996,2.15,-11.3419886,3.70655,1.01,1.29089,0.944482672,2.03416,-6.721246399,476.021670653223,0.09061905849176,4.6225,128.64070540253,13.7385129025,1.0201,1.6663969921,0.89204751770826,4.1378069056,45.1751531560705,0.0885407574117407,0.13445,0.114585,0.084185,0.025,0.0685728129999999,0.23,0.086858896,"090205A",4.6497,0.752025387323213
"090423A",22.7516324,0.230448921,0.8,-11.2798407,3.91521772,0.77,1.43267533,0.989894564,1.8158,-6.229147988,517.63677686473,0.0531067051900642,0.64,127.234806217376,15.328929795002,0.5929,2.05255860119061,0.97989124783675,3.29712964,38.8022846564045,0.047195797531391,0.08569564,0.077643595,0.064053366,0.005,0.029443694,0.5,0.051093469,"090423A",8.26,0.966610986681934
"090424A",21.63012977,1.851258349,1.19,-9.050609993,2.99599056,0.924,1.1284106,1.681241237,1.96315,-4.677780705,467.86251386704,3.42715747474221,1.4161,81.9135412453915,8.97595943560911,0.853776,1.27331048219236,2.82657209698929,3.8539579225,21.8816323240703,0.0205611924585667,0.011257098,0.013394814,0.005546887,0,0,0.15,0.012233647,"090424A",0.544,0.188647295999717
"090519A",22.13069392,-0.22184875,1.02,-11.76000021,3.44619,0.63,1.42452,1.806179974,1.46604,-5.920818754,489.767613380725,0.0492168678765625,1.0404,138.2976049392,11.8762255161,0.3969,2.0292572304,3.26228609847864,2.1492732816,35.0560947177181,0.0559162050267847,0.21145,0.24029,0.3065,0.03,0.036191207,0.2,0.144764827,"090519A",3.85,0.685741738602264
"090530A",20.90942658,0.397940009,1.61,-11.16052195,3.6839464,1.09,0.88610581,1.681241237,2.03975,-5.958607315,437.204119904411,0.15835625076292,2.5921,124.557250196432,13.571461078073,1.1881,0.785183506515756,2.82657209698929,4.1605800625,35.5050011343715,0.323703994876218,0.089175625,0.115365029,0.038514202,0.035,0.039481317,0.17,0.052115338,"090530A",1.266,0.355259905527378
"090618A",21.39200012,1.589949601,1.42,-9.640164518,3.67275453,0.8945,1.30942861,2.05388479,1.82831,-3.978810701,457.61766913408,2.52793973372006,2.0164,92.9327719341062,13.4891258376355,0.80013025,1.71460328468653,4.21844273059334,3.3427174561,15.8309345943921,0.00227692361547263,0.009695255,0.014245613,0.010591616,0.002482662,0.00413613799999999,0.08,0.008931506,"090618A",0.54,0.187520720836463
"090809A",21.91952315,0.041392685,1.34,-11.8559,4.56066,0.96,1.6367,0.73239376,1.94644,-6.468521083,480.465495123386,0.00171335437150922,1.7956,140.56236481,20.7996196356,0.9216,2.67878689,0.536400619686938,3.7886286736,41.8417650012155,0.0978170519448906,0.338,0.237865,0.319405,0.01,0.063866836,0.24,0.0789626329999999,"090809A",2.737,0.572523097849638
"090812A",21.77771022,0.556302501,1.24,-10.16730017,3.52924,0.53,1.37252,1.824125834,1.88559,-5.236572006,474.268662426292,0.309472472618855,1.5376,103.373992746882,12.4555349776,0.2809,1.8838111504,3.3274350582662,3.5554496481,27.4216863740229,0.0954430381608785,0.10615,0.13258,0.08412,0.015,0.014975672,0.05,0.024127471,"090812A",2.452,0.538070787043172
"090927A",21.01785522,0.301029996,1.8,-11.6716204,4.20121889,0.92,1.13087741,0.342422681,2.06549,-6.698970004,441.750238048881,0.09061905849176,3.24,136.226722761696,17.6502401616928,0.8464,1.27888371644831,0.117253292463228,4.2662489401,44.8761991144918,0.0791400972158072,0.076268475,0.093241949,0.074843971,0.01,0.0651441720000001,0.2,0.0434294480000001,"090927A",1.37,0.374748346010104
"091018A",21.19187281,1.012837225,1.77,-9.627087997,2.89655535,0.91,1.18074867,0.639486489,1.98015,-5.853871964,449.095473195217,1.0258392443457,3.1329,92.6808233019815,8.39003289561362,0.8281,1.39416742170677,0.408942969613547,3.9209940225,34.2678169709052,0.0598714492362227,0.024288603,0.034497878,0.016335114,0.002061639,0.031021034,0.24,0.016865805,"091018A",0.971,0.294686624279443
"091020A",21.70587483,0.62324929,1.53,-9.71219827,2.95265011,0.895,1.17417264,1.590061231,2.08587,-5.431798276,471.145002135627,0.388439677485504,2.3409,94.326795235791,8.71814267208301,0.801025,1.37868138852457,2.52829471832924,4.3508536569,29.5044325111566,0.0544128110188212,0.034480687,0.045271255,0.018244861,0.002182887,0.0117376889999999,0.07,0.031021034,"091020A",1.71,0.432969290874406
"091029A",21.45058625,0.255272505,1.46,-11.34678749,4.30368998,1.064,1.12123368,1.593286067,2.11535,-5.619788758,460.127650468689,0.065164051808975,2.1316,128.74958634322,18.5217474439524,1.132096,1.25716496516634,2.53856049129633,4.4747056225,31.5820256845432,0.0535069670717355,0.02563352,0.034224003,0.026782025,0.002,0.018095603,0.27,0.024127471,"091029A",2.752,0.574262829707027
"091127A",20.87872913,1.667452953,2.05,-9.844663963,3.98466812,0.758,1.39581701,0.84260924,1.80187,-5.045757491,435.921330083911,2.78039935046842,4.2025,96.9174085443909,15.8775800265443,0.574564,1.94830512540534,0.709990331333378,3.2467354969,25.4596686579826,0.0093822306004846,0.018562516,0.021935207,0.013587309,0.00244132,0.014476483,0.07,0.025217099,"091127A",0.49,0.173186268412274
"050416A",21.75162856,0.688419822,3.08,-10.5559552,2.99481,0.9,0.842217,0.397940009,2.06183,-6.435333936,473.133345012208,0.473921851322512,9.4864,111.428190184407,8.9688869361,0.81,0.709329475089,0.15835625076292,4.2511429489,41.4135228678333,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,"050416A",0.6528,0.218220304175545
"050820A",21.61964524,0.389166084,1.25,-10.01818139,3.750945731,0.9,1.136499703,1.414973348,1.96878,-5.463441557,467.409060303455,0.151450240935895,1.5625,100.363958362942,14.0695938769071,0.81,1.29163157491909,2.00214957555033,3.8760946884,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,"050820A",2.6147,0.558072259099146
"050922C",21.44930866,0.860936621,1.37,-9.477555766,2.52429,1.064,1.22035,0.653212514,2.2119,-5.790484985,460.072841991951,0.741211865378898,1.8769,89.8240632976399,6.3720400041,1.132096,1.4892541225,0.4266865884462,4.89250161,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,"050922C",2.198,0.504878459410216
"051016B",21.71466751,0.113943352,2.4,-11.59006688,4.25742,0.73,1.14771,0.602059991,1.89482,-6.769551079,471.52678506985,0.0129830874649959,5.76,134.329650282873,18.1256250564,0.5329,1.3172382441,0.36247623276292,3.5903428324,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,"051016B",0.9364,0.286995073968852
