"","log10NH","log10PeakFlux","PhotonIndex","log10Ta","log10Fa","Gamma","Alpha","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","GammaSqr","AlphaSqr","Response"
"GRB060729",20.86562801,0.068185862,1.75,5.1057,-11.15058059,1.92492,1.35481,435.374432251696,0.00464931177668304,3.0625,26.06817249,124.335447494085,3.7053170064,1.8355101361,0.187520720836463
"GRB060814",22.00679538,0.861534411,1.53,4.22387,-10.91009489,2.11591,1.29504,484.299042897189,0.742241541337117,2.3409,17.8410777769,119.030170508804,4.4770751281,1.6771286016,0.465813957269479
"GRB060906",22.41960057,0.294466226,2.03,4.33479,-11.8827287,2.07859,1.71887,502.638489718344,0.0867103582546831,4.1209,18.7904043441,141.199241357804,4.3205363881,2.9545140769,0.670802284260944
"GRB060908",21.80952201,0.481442629,1,2.81918,-9.627087997,2.13395,1.38309,475.655250304674,0.231787005018432,1,7.9477758724,92.6808233019815,4.5537426025,1.9129379481,0.459935016851525
"GRB060927",22.10710478,0.431363764,0.9,3.15198,-10.77728353,1.94856,1.39098,488.724081753899,0.186074696892248,0.81,9.9349779204,116.149840286009,3.7968860736,1.9348253604,0.8109042806687
"GRB061021",20.87141063,0.78604121,1.3,3.23849,-10.04095861,1.99282,1.01707,435.615781686077,0.617860783818264,1.69,10.4878174801,100.820849807733,3.9713315524,1.0344313849,0.129141845792285
"GRB061121",21.75351565,1.324282455,1.41,3.78753,-10.03011836,1.90181,1.35185,473.215443134795,1.75372402062083,1.9881,14.3453835009,100.603274315609,3.6168812761,1.8274984225,0.364363354615731
"GRB070110",21.3989672,-0.22184875,1.58,4.26825,-11.04866248,2.08596,1.42725,457.915797226676,0.0492168678765625,2.4964,18.2179580625,122.07294259696,4.3512291216,2.0370425625,0.525304009958239
"GRB070208",21.8647258,-0.045757491,1.94,3.44468,-10.86327943,2.20341,1.2125,478.066234309186,0.00209374798261508,3.7636,11.8658203024,118.010839974261,4.8550156281,1.47015625,0.335457900689384
"GRB070223",21.70173804,-0.161150909,1.85,4.22335,-11.86327943,2.25837,0.991734,470.965433956783,0.0259696154715263,3.4225,17.8366852225,140.737398834261,5.1002350569,0.983536326756,0.419873175149476
"GRB070306",22.44245468,0.609594409,1.66,4.86926,-11.2737,1.94468,1.89982,503.663772063854,0.371605343484059,2.7556,23.7096929476,127.09631169,3.7817803024,3.6093160324,0.397227181043161
"GRB070508",21.89306622,1.382017043,1.1,3.02525,-9.161150909,1.82568,1.37377,479.306348513305,1.90997110714246,1.21,9.1521375625,83.9266859774715,3.3331074624,1.8872440129,0.260071387985075
"GRB070521",22.27524914,0.814913181,1.1,3.55243,-10.01233374,2.00022,1.44502,496.186724249071,0.664083492567539,1.21,12.6197589049,100.246826921142,4.0008800484,2.0880828004,0.489466281303128
"GRB070529",22.56252244,0.155336037,1.34,3.09323,-10.24641694,1.97999,1.21432,509.067418855503,0.0241292843908654,1.7956,9.5680718329,104.989060108319,3.9203604001,1.4745730624,0.544018407858776
"GRB070802",21.91375294,-0.397940009,1.79,3.92184,-11.6716204,1.99014,1.16348,480.212567915359,0.15835625076292,3.2041,15.3808289856,136.226722761696,3.9606572196,1.3536857104,0.537819095073274
"GRB071003",20.86974084,0.799340549,1.36,4.78411,-11.67760082,1.91015,1.97901,435.546082728764,0.638945313275621,1.8496,22.8877084921,136.366360911265,3.6486730225,3.9164805801,0.415699348887829
"GRB071117",22.04291793,1.053078443,1.57,3.901990464,-11.23542972,2.0457,1.104952391,485.890230868716,1.1089742071113,2.4649,15.2255295811469,126.234880993059,4.18488849,1.22091978637662,0.367542273520577
"GRB080310",21.96085591,0.113943352,2.32,4.32608056,-11.3990271,2.09352,1.59590648,482.279192299782,0.0129830874649959,5.3824,18.7149730116099,129.937818826534,4.3828259904,2.54691749290599,0.534026106056135
"GRB080411",21.57289018,1.635483747,1.75,4.20932562,-10.11350927,1.97674,1.28909841,465.389590718341,2.67480708670116,3.0625,17.7184221751884,102.283069754376,3.9075010276,1.66177471066453,0.307496037913213
"GRB080430",21.51787914,0.414973348,1.73,4.21762911,-11.17198494,2.03541,0.99269763,463.019122683647,0.172202879550329,2.9929,17.7883953095194,124.813247499587,4.1428938681,0.985448584607617,0.247236549506764
"GRB080516",22.03528962,0.255272505,1.82,3.77452827,-11.12090412,2.3315,0.94016916,485.55398863728,0.065164051808975,3.3124,14.2470636610292,123.674508446233,5.43589225,0.883918049415106,0.6232492903979
"GRB080607",22.38386741,1.36361198,1.31,3.46298403,-10.0540393,2.03418,1.7256074,501.03752022846,1.85943763199952,1.7161,11.992258392035,101.083706245944,4.1378882724,2.97772089893476,0.605951157564873
"GRB080710",20.89722339,0,1.47,4.09266933,-11.23284413,2.00149,1.52133785,436.693945411563,0,2.1609,16.7499422447226,126.176787248875,4.0059622201,2.31446885384262,0.265996370495079
"GRB080721",21.79728278,1.320146286,1.11,2.87876286,-8.714442691,1.9433,1.33437559,475.121536591284,1.74278621643959,1.2321,8.28727560411538,75.9415114147233,3.77641489,1.78055821518785,0.555215405126073
"GRB080810",21.45079548,0.301029996,1.34,3.2687548,-9.931814138,2.11482,1.44529526,460.136626724788,0.09061905849176,1.7956,10.684757942523,98.6409320717767,4.4724636324,2.08887838857847,0.638489256954637
"GRB080928",21.51035195,0.322219295,1.77,4.08450503,-11.1260984,2.13864,1.76031774,462.695241012869,0.103825274070297,3.1329,16.6831813400953,123.790065606483,4.5737810496,3.09871854575871,0.430075055551939
"GRB081007",21.69605744,0.414973348,2.51,3.58176278,-10.58502665,2.102,1.00469263,470.718908439779,0.172202879550329,6.3001,12.8290246121933,112.04278918121,4.418404,1.00940728077632,0.184549481320698
"GRB081008",21.1376737,0.113943352,1.69,3.85550833,-10.79317412,1.98207,1.47398467,446.801249447672,0.0129830874649959,2.8561,14.8649444826994,116.492607584638,3.9286014849,2.17263080739501,0.472537053262077
"GRB081029",21.49704581,-0.301029996,1.43,4.48156171,-11.86327943,1.95818,2.51960373,462.122978557239,0.09061905849176,2.0449,20.0843953605381,140.737398834261,3.8344689124,6.34840295622991,0.685553652846326
"GRB081221",21.57331844,1.260071388,1.21,2.93195749,-9.354577731,2.4947,1.23586126,465.408068513644,1.58777990285625,1.4641,8.5963747231671,87.5081245253211,6.22352809,1.52735305396879,0.513217600067939
"GRB081230",20.67248024,-0.15490196,1.97,3.66959365,-11.32975415,2.08621,0.99376498,427.35143927319,0.0239946172118416,3.8809,13.4659175561203,128.363329099442,4.3522721641,0.9875688354744,0.491361693834273
"GRB090102",21.72376179,0.740362689,1.36,3.15380077,-9.457174573,1.76997,1.42487631,471.921826308664,0.548136911263311,1.8496,9.94645929685259,89.4381509041977,3.1327938009,2.03027249879922,0.406028944963615
