"","log10NH","log10PeakFlux","PhotonIndex","log10Ta","log10Fa","Gamma","Alpha","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","GammaSqr","AlphaSqr","Response"
"GRB140423A",21.81946365,0.322219295,1.33,3.90552,-10.85078089,2.06486,1.18974,476.088993973671,0.103825274070297,1.7689,15.2530864704,117.739445922789,4.2636468196,1.4154812676,0.629409599102719
"GRB140430A",21.67796993,0.397940009,2,4.14388,-11.36251027,2.15785,0.875171,469.934380285984,0.15835625076292,4,17.1717414544,129.106639635855,4.6563166225,0.765924279241,0.414973347970818
"GRB140506A",21.81764402,1.037426498,1.68,3.30686,-9.903089987,1.74751,0.948932,476.009590583442,1.07625373875254,2.8224,10.9353230596,98.0711912906197,3.0537912001,0.900471940624,0.276231957921834
"GRB140509A",20.90144742,0.204119983,1.59,3.58709,-11.09770006,1.93407,1.40649,436.870504251025,0.0416649674599203,2.5281,12.8672146681,123.158946621724,3.7406267649,1.9782141201,0.531478917042255
"GRB140512A",21.32824297,0.832508913,1.45,3.53686,-9.504455662,1.84304,1.25134,454.893948187355,0.693071090224441,2.1025,12.5093786596,90.3346774309239,3.3967964416,1.5658517956,0.236789099409293
"GRB140518A",22.46148952,0,0.92,3.77824,-11.31158018,1.93772,1.64981,504.51851145707,0,0.8464,14.2750974976,127.951846168569,3.7547587984,2.7218730361,0.756407872548958
"GRB140614A",21.3989672,-0.420216403,1.5,3.70006,-10.9589,1.77015,1.35595,457.915797226676,0.176581825350258,2.25,13.6904440036,120.09748921,3.1334310225,1.8386004025,0.718750734739665
"GRB140629A",21.74269921,0.62324929,1.86,2.85608,-9.847711656,1.95996,1.16056,472.744968936535,0.388439677485504,3.4596,8.1571929664,96.9774248597183,3.8414432016,1.3468995136,0.515211304327802
"GRB141004A",21.49730845,0.785329835,1.86,3.30337,-10.61083392,1.79496,1.54959,462.134270594441,0.616742949741127,3.4596,10.9122533569,112.589796477823,3.2218814016,2.4012291681,0.196728722623287
"GRB141121A",21.59590717,-0.045757491,1.73,5.76634,-12.65757732,1.93447,2.33322,466.383206495257,0.00209374798261508,2.9929,33.2506769956,160.214263611778,3.7421741809,5.4439155684,0.392696953259666
"GRB141220A",21.48574413,0.949390007,0.62,2.77561,-9.872830386,1.80565,1.42066,461.63720081983,0.90134138539146,0.3844,7.7040108721,97.4727798307249,3.2603719225,2.0182748356,0.365394376854778
"GRB150120B",21.52664292,0.079181246,2.2,3.39431,-10.79048499,2.01678,1.17705,463.396355405186,0.00626966971811252,4.84,11.5213403761,116.434566319415,4.0674015684,1.3854467025,0.653212513775344
"GRB150314A",22.01715025,1.58546073,1.08,2.49217,-8.609064893,1.84772,1.19079,484.754905131075,2.51368572637213,1.1664,6.2109113089,74.1159983318851,3.4140691984,1.4179808241,0.440594261839831
"GRB150403A",21.79039707,1.245512668,1.23,3.19694,-8.821023053,1.70996,1.24471,474.821404468265,1.55130180614848,1.5129,10.2204253636,77.8104477015574,2.9239632016,1.5493029841,0.48572142648158
"GRB150821A",22.340573,-0.337242168,2.1,2.95174,-8.853871964,2.21622,1.82628,499.101201968329,0.11373227987734,4.41,8.7127690276,78.3910487549052,4.9116310884,3.3352986384,0.244277120801843
"GRB150910A",20.842422,0.041392685,1.42,3.85419,-9.970616222,1.78547,2.03808,434.406554826084,0.00171335437150922,2.0164,14.8547805561,99.4131878464096,3.1879031209,4.1537700864,0.372727940885595
"GRB151021A",22.33647975,0.986771734,1.57,3.15765,-9.642065153,1.96079,1.33346,498.91832762216,0.973718455021367,2.4649,9.9707535225,92.9694204146969,3.8446974241,1.7781155716,0.52244423350632
"GRB151027A",21.65076489,0.832508913,1.72,3.99907,-9.935542011,2.00612,1.74508,468.755620322057,0.693071090224441,2.9584,15.9925608649,98.7149950523459,4.0245174544,3.0453042064,0.257678574869184
"GRB151029A",21.55195354,0.255272505,0.49,2.7098,-10.76639985,2.307153,1.23481,464.486701390319,0.065164051808975,0.2401,7.34301604,115.91536573008,5.322954965409,1.5247557361,0.384353414137506
"GRB151031A",21.98623592,0.230448921,2.41,3.69323,-11.5214335,2.12551,0.897942,483.394569929898,0.0531067051900642,5.8081,13.6399478329,132.743429894922,4.5177927601,0.806299835364,0.335858911319818
"GRB151215A",21.45079548,0.204119983,1.99,3.06337,-10.72815839,2.20942,1.07478,460.136626724788,0.0416649674599203,3.9601,9.3842357569,115.093382440927,4.8815367364,1.1551520484,0.555094448578319
"GRB160117B",20.95374423,-0.096910013,1.73,4.10299,-11.74958,1.83834,0.973333,439.059397256258,0.00939155061966017,2.9929,16.8345269401,138.0526301764,3.3794939556,0.947377128889,0.271841606536499
"GRB160121A",21.79728278,0.079181246,1.77,3.8244,-11.17263073,2.2054,0.798663,475.121536591284,0.00626966971811252,3.1329,14.62603536,124.82767742894,4.86378916,0.637862587569,0.471291711058939
"GRB160203A",22.0158332,0.113943352,1.93,3.66139836,-11.36754271,1.75592,1.146279559,484.696911490222,0.0129830874649959,3.7249,13.4058379506107,129.221027263674,3.0832550464,1.31395682738123,0.655138434811382
"GRB160227A",21.4198963,-0.22184875,0.75,4.47751,-10.99567863,1.72551,1.10229,458.811957502754,0.0492168678765625,0.5625,20.0480958001,120.904948534239,2.9773847601,1.2150432441,0.528916700277655
"GRB160804A",21.30214687,0.462397998,1.4,4.38419,-11.5214335,1.87827,0.948229,453.781461271051,0.213811908554408,1.96,19.2211219561,132.743429894922,3.5278981929,0.899138236441,0.239549720840473
"GRB161108A",21.16074757,-0.22184875,1.85,4.69106,-11.81247928,2.00325,0.883711,447.777237721261,0.0492168678765625,3.4225,22.0060439236,139.534666740429,4.0130105625,0.780945131521,0.334252642334231
"GRB161117A",21.87736847,0.832508913,1.19,4.08464,-10.74958,1.92624,1.141,478.61925117215,0.693071090224441,1.4161,16.6842839296,115.5534701764,3.7104005376,1.301881,0.406369835469268
"GRB161129A",21.51361441,0.531478917,1.57,3.70506,-10.43651891,1.74506,2.32574,462.83560498216,0.282469839215493,2.4649,13.7274696036,108.920926958788,3.0452344036,5.4090665476,0.216165902285993
"GRB161219B",21.16590877,0.72427587,1.29,4.0135,-10.13667714,1.86204,0.871656,447.995694059963,0.524575535864257,1.6641,16.10818225,102.752223440599,3.4671929616,0.759784182336,0.0597526942092988
"GRB170202A",21.7153121,0.672097858,1.68,3.77629,-10.65364703,1.99768,1.1958,471.554779600406,0.451715530728188,2.8224,14.2603661641,113.500195039828,3.9907253824,1.42993764,0.666985718329661
"GRB170405A",21.67796993,0.462397998,1.59,3.6300738,-10.31069114,1.8473,1.81152426,469.934380285984,0.213811908554408,2.5281,13.1774357934464,106.310351784474,3.41251729,3.28162014456855,0.65417654187796
"GRB170519A",21.33992622,-0.15490196,1.94,4.1513,-11.06348626,1.97351,1.37345,455.392451075043,0.0239946172118416,3.7636,17.23329169,122.400728225209,3.8947417201,1.8863649025,0.259593878885949
"GRB170531B",22.04094236,-0.096910013,1.95,3.80257,-11.39577395,2.06685,1.02082,485.803140116842,0.00939155061966017,3.8025,14.4595386049,129.863663919499,4.2718689225,1.0420734724,0.527114111639805
"GRB170705A",21.08891889,1.1430148,1.65,3.63746,-10.18641901,1.89159,0.774169,444.742499948999,1.30648283301904,2.7225,13.2311152516,103.763132247289,3.5781127281,0.599337640561,0.478566495593843
"GRB170714A",21.06857915,-0.397940009,1.76,4.28080232,-10.075204,1.84715,1.45203,443.885027399815,0.15835625076292,3.0976,18.3252685029174,101.509735641616,3.4119631225,2.1083911209,0.253580289562183
"GRB170903A",21.73970839,0.591064607,1.94,4.41384,-11.26042766,2.20256,0.971187,472.614920882236,0.349357369648064,3.7636,19.4819835456,126.797231086093,4.8512705536,0.943204188969,0.27554168840131
"GRB171205A",20.842422,0,1.41,5.48376,-12.42945706,1.66173,1.13263,434.406554826084,0,1.9881,30.0716237376,154.491402806384,2.7613465929,1.2828507169,0.0156949885265181
"GRB171222A",20.02880298,-0.15490196,2.07,4.78231,-12.10957898,1.99001,0.718496,401.152948811657,0.0239946172118416,4.2849,22.8704889361,146.641903072858,3.9601398001,0.516236502016,0.532627001228891
"GRB180205A",21.4933967,0.531478917,2.04,3.21372,-10.30627305,1.88733,1.09633,461.966101703571,0.282469839215493,4.1616,10.3279962384,106.219264181156,3.5620145289,1.2019394689,0.381836799998343
"GRB180329B",21.41988474,0.146128036,0.97,4.02296,-11.14935376,1.86768,1.50063,458.811462274885,0.0213534029052173,0.9409,16.1842071616,124.308089265626,3.4882285824,2.2518903969,0.476831628512261
