"","log10PeakFlux","PhotonIndex","log10Ta","log10NH","log10Fa","log10T90","Alpha","Beta","log10Fluence","Gamma","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10NHSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","log10FluenceSqr","GammaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060906A",0.294466226,2.03,4.33479,22.41960057,-11.8827287,1.638489257,1.71887,1.06,-5.655607726,2.07859,0.0867103582546831,4.1209,18.7904043441,502.638489718344,141.199241357804,2.68464704530441,2.9545140769,1.1236,31.9858987503909,4.3205363881,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,"060906A",3.686,0.670802284260944
"060908A",0.481442629,1,2.81918,21.80952201,-9.627087997,1.285557309,1.38309,1.185,-5.552841969,2.13395,0.231787005018432,1,7.9477758724,475.655250304674,92.6808233019815,1.65265759472332,1.9129379481,1.404225,30.8340539326878,4.5537426025,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,"060908A",1.8836,0.459935016851525
"060926A",0.037426498,2.54,3.351,22.50004427,-10.84771166,0.903089987,1.45111,1.357,-6.659555885,2.00443,0.001400742752544,6.4516,11.229201,506.25199215196,117.6728482585,0.81557152461966,2.1057202321,1.841449,44.3496845854381,4.0177396249,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,"060926A",3.2,0.6232492903979
"060927A",0.431363764,0.9,3.15198,22.10710478,-10.77728353,1.352953912,1.39098,0.83,-5.946921557,1.94856,0.186074696892248,0.81,9.9349779204,488.724081753899,116.149840286009,1.8304842879961,1.9348253604,0.6889,35.3658760051113,3.7968860736,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.027344467,"060927A",5.47,0.8109042806687
"061021A",0.78604121,1.3,3.23849,20.87141063,-10.04095861,1.664641976,1.01707,0.785,-5.528708289,1.99282,0.617860783818264,1.69,10.4878174801,435.615781686077,100.820849807733,2.77103290826118,1.0344313849,0.616225,30.5666153448573,3.9713315524,0.0507507174713444,0.0264,0.03399,0.010415,0.016800037,0.014818832,0.06,0.019191409,"061021A",0.3463,0.129141845792285
"061121A",1.324282455,1.41,3.78753,21.75351565,-10.03011836,1.90982337,1.35185,0.9485,-4.863279433,1.90181,1.75372402062083,1.9881,14.3453835009,473.215443134795,100.603274315609,3.64742530459816,1.8274984225,0.89965225,23.6514868434408,3.6168812761,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.009468031,"061121A",1.314,0.364363354615731
"070110A",-0.22184875,1.58,4.26825,21.3989672,-11.04866248,1.946550511,1.42725,1.186,-5.790484985,2.08596,0.0492168678765625,2.4964,18.2179580625,457.915797226676,122.07294259696,3.78905889187436,2.0370425625,1.406596,33.5297163615105,4.3512291216,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.086858896,"070110A",2.352,0.525304009958239
"070208A",-0.045757491,1.94,3.44468,21.8647258,-10.86327943,1.806179974,1.2125,1.14,-6.351639989,2.20341,0.00209374798261508,3.7636,11.8658203024,478.066234309186,118.010839974261,3.26228609847864,1.47015625,1.2996,40.3433305498639,4.8550156281,0.153546286600926,0.1619,0.14114,0.06357,0.015,0.098570208,0.36,0.106160873,"070208A",1.165,0.335457900689384
"070223A",-0.161150909,1.85,4.22335,21.70173804,-11.86327943,1.9408513687054,0.991734,1.03,-5.769551079,2.25837,0.0259696154715263,3.4225,17.8366852225,470.965433956783,140.737398834261,3.76690403540562,0.983536326756,1.0609,33.2877196531901,5.1002350569,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722848,"070223A",1.6295,0.419873175149476
"070306A",0.609594409,1.66,4.86926,22.44245468,-11.2737,2.321184027,1.89982,0.831,-5.269217724,1.94468,0.371605343484059,2.7556,23.7096929476,503.663772063854,127.09631169,5.38789528719994,3.6093160324,0.690561,27.7646554229157,3.7817803024,0.134263479640872,0.0335,0.02824,0.06188,0.001,0.02308703,0.1,0.022408315,"070306A",1.4959,0.397227181043161
