"","log10Ta","PhotonIndex","log10PeakFlux","log10Fa","log10NH","Alpha","log10T90","Gamma","Beta","log10Fluence","log10TaSqr","PhotonIndexSqr","log10PeakFluxSqr","log10FaSqr","log10NHSqr","AlphaSqr","log10T90Sqr","GammaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10Ta_opt","PhotonIndex_opt","log10PeakFlux_opt","log10Fa_opt","log10NH_opt","Alpha_opt","log10T90_opt","Gamma_opt","Beta_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"061007A",3.14296941108163,1.03,1.164352856,-9.10523174742902,21.74186197,1.57892969444369,1.876852648,1.99824,0.928073957486507,-4.35261703,9.87825671899481,1.0609,1.35571757327536,82.9052451743893,472.708561922532,2.49301897999604,3.52257586230461,3.9929630976,0.861321270564667,18.945275009846,0.075913913084108,0.899163469145948,0.621114802501171,0.277519420208618,0.20147299475441,0.005497151,0.03,0.011006093,"061007A",1,0.785742352770407,0.2575,0.291088214,-2.27630793685725,5.4354654925,0.394732423610922,0.469213162,0.49956,0.232018489371627,-1.0881542575,1.26,0.354108439147401
"061021A",3.23849,1.3,0.78604121,-10.04095861,20.87141063,1.01707,1.664641976,1.99282,0.785,-5.528708289,10.4878174801,1.69,0.617860783818264,100.820849807733,435.615781686077,1.0344313849,2.77103290826118,3.9713315524,0.616225,30.5666153448573,0.0507507174713444,0.0264,0.03399,0.010415,0.016800037,0.014818832,0.06,0.019191409,"061021A",0,0,0,0,0,0,0,0,0,0,0,0.3463,0.129141845792285
"061121A",3.78753,1.41,1.324282455,-10.03011836,21.75351565,1.35185,1.90982337,1.90181,0.9485,-4.863279433,14.3453835009,1.9881,1.75372402062083,100.603274315609,473.215443134795,1.8274984225,3.64742530459816,3.6168812761,0.89965225,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.009468031,"061121A",0,0,0,0,0,0,0,0,0,0,0,1.314,0.364363354615731
"061126A",3.65299042410027,1.32,0.989449818,-10.6386654471995,21.38058204,1.17740133389325,2.281033367,1.9269241917552,0.907880031233399,-5.169411331,13.3443390385683,1.7424,0.979010942340233,113.181202497437,457.129288369171,1.3862739010536,5.20311322136736,3.71303684077143,0.824246151112358,26.7228135090712,0.378773543191014,0.794065553241146,0.609044933666888,0.273271776408165,0.201892045351954,0.0190994093843814,0.06,0.0246693811930976,"061126A",1,0.913247606025067,0.33,0.2473624545,-2.65966636179988,5.34514551,0.294350333473313,0.57025834175,0.4817310479388,0.22697000780835,-1.29235283275,1.1588,0.334212409393176
"061222A",3.92091,1.35,0.930949031,-9.954677021,22.56660835,1.35061,1.853698212,1.92748,0.86,-5.097453221,15.3735352281,1.8225,0.866666098319839,99.0955945924254,509.25181242229,1.8241473721,3.436197061172,3.7151791504,0.7396,25.9840293402833,0.0973208922530927,0.02311,0.024435,0.018075,0.005,0.008588051,0.04,0.013237581,"061222A",0,0,0,0,0,0,0,0,0,0,0,2.088,0.489677291663699
"070110A",4.26825,1.58,-0.22184875,-11.04866248,21.3989672,1.42725,1.946550511,2.08596,1.186,-5.790484985,18.2179580625,2.4964,0.0492168678765625,122.07294259696,457.915797226676,2.0370425625,3.78905889187436,4.3512291216,1.406596,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.086858896,"070110A",0,0,0,0,0,0,0,0,0,0,0,2.352,0.525304009958239
"070125A",4.24451839840402,1.66719216524827,0.461366700396796,-10.8126684459142,21.1168251059769,1.59249620245085,1.77815125,1.95142632719767,0.889330047938963,-5.49527903539734,18.0159364343902,2.77952971586521,0.212859232235027,116.913798921269,445.920302556416,2.53604415482038,3.16182186787656,3.80806471048019,0.790907934167118,30.1980916768775,0.14763173580347,0.787319542680458,0.618531451685565,0.279327091468035,0.202103038985769,0.0330719907495403,0.177142407809118,0.0593602352348791,"070125A",1,1.061129599601,0.416798041312067,0.115341675099199,-2.70316711147855,5.27920627649423,0.398124050612712,0.4445378125,0.487856581799417,0.222332511984741,-1.37381975884934,1.55,0.406540180433955
"070208A",3.44468,1.94,-0.045757491,-10.86327943,21.8647258,1.2125,1.806179974,2.20341,1.14,-6.351639989,11.8658203024,3.7636,0.00209374798261508,118.010839974261,478.066234309186,1.47015625,3.26228609847864,4.8550156281,1.2996,40.3433305498639,0.153546286600926,0.1619,0.14114,0.06357,0.015,0.098570208,0.36,0.106160873,"070208A",0,0,0,0,0,0,0,0,0,0,0,1.165,0.335457900689384
"070223A",4.22335,1.85,-0.161150909,-11.86327943,21.70173804,0.991734,1.9408513687054,2.25837,1.03,-5.769551079,17.8366852225,3.4225,0.0259696154715263,140.737398834261,470.965433956783,0.983536326756,3.76690403540562,5.1002350569,1.0609,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722848,"070223A",0,0,0,0,0,0,0,0,0,0,0,1.6295,0.419873175149476
"070306A",4.86926,1.66,0.609594409,-11.2737,22.44245468,1.89982,2.321184027,1.94468,0.831,-5.269217724,23.7096929476,2.7556,0.371605343484059,127.09631169,503.663772063854,3.6093160324,5.38789528719994,3.7817803024,0.690561,27.7646554229157,0.134263479640872,0.0335,0.02824,0.06188,0.001,0.02308703,0.1,0.022408315,"070306A",0,0,0,0,0,0,0,0,0,0,0,1.4959,0.397227181043161
"070411A",3.55030964494677,1.72,-0.040958608,-10.695200042142,22.32139542,1.37830478804716,2.089021501,2.2428,0.933591758675823,-5.568636236,12.6046985750021,2.9584,0.00167760756929766,114.387303941434,498.244693495997,1.89972408875373,4.36401083164029,5.03015184,0.871593571867416,31.0097095288922,0.378773543191014,0.78570244517466,0.613787783008954,0.29380035483798,0.20245281065366,0.02493172,0.1,0.062042069,"070411A",1,0.887577411236693,0.43,-0.010239652,-2.6738000105355,5.580348855,0.34457619701179,0.52225537525,0.5607,0.233397939668956,-1.392159059,2.95,0.59659709562646
"070508A",3.02525,1.1,1.382017043,-9.161150909,21.89306622,1.37377,1.320146286,1.82568,0.764,-4.707743929,9.1521375625,1.21,1.90997110714246,83.9266859774715,479.306348513305,1.8872440129,1.74278621643959,3.3331074624,0.583696,22.1628529010364,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0.006049102,0.060606061,0.010992516,"070508A",0,0,0,0,0,0,0,0,0,0,0,0.82,0.260071387985075
"070521A",3.55243,1.1,0.814913181,-10.01233374,22.27524914,1.44502,1.57863921,2.00022,0.98,-5.096367484,12.6197589049,1.21,0.664083492567539,100.246826921142,496.186724249071,2.0880828004,2.49210175534942,4.0008800484,0.9604,25.9729615319725,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0.009596769,0.121212121,0.017957046,"070521A",0,0,0,0,0,0,0,0,0,0,0,2.0865,0.489466281303128
"070529A",3.09323,1.34,0.155336037,-10.24641694,22.56252244,1.21432,2.038222638,1.97999,0.76,-5.590066877,9.5680718329,1.7956,0.0241292843908654,104.989060108319,509.067418855503,1.4745730624,4.15435152205568,3.9203604001,0.5776,31.2488476893325,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0.041401614,0.16,0.109332877,"070529A",0,0,0,0,0,0,0,0,0,0,0,2.4996,0.544018407858776
"070612A",4.2356048047746,1.69,0.178976947,-10.6605045530239,21.2559971173378,2.02205174685583,2.566790912,1.97567939099548,0.936277531147257,-4.974694135,17.9403480622297,2.8561,0.0320327475574408,113.646357325043,451.817413452273,4.08869326696271,6.58841558592579,3.90330905600427,0.876615615331203,24.7475817368034,0.378773543191014,0.804517038840586,0.622475890576284,0.403851520056797,0.207228454954471,0.024623678,0.1,0.109292651,"070612A",1,1.05890120119365,0.4225,0.04474423675,-2.66512613825597,5.31399927933445,0.505512936713957,0.641697728,0.49391984774887,0.234069382786814,-1.24367353375,0.671,0.222976449893391
"070721B",3.94739,1.34,0.176091259,-10.50863831,21.89473409,2.5054,2.531478917,1.52512,0.52,-5.443697499,15.5818878121,1.7956,0.0310081314962051,110.4314791304,479.379380871808,6.27702916,6.40838550721549,2.3259910144,0.2704,29.6338424606189,0.0272330828957319,0.3648,0.10084,0.09144,0,0.024127471,0.11,0.086858896,"070721B",0,0,0,0,0,0,0,0,0,0,0,3.626,0.6652056284346
"070802A",3.92184,1.79,-0.397940009,-11.6716204,21.91375294,1.16348,1.214843848,1.99014,0.78,-6.552841969,15.3808289856,3.2041,0.15835625076292,136.226722761696,480.212567915359,1.3536857104,1.47584557502345,3.9606572196,0.6084,42.9397378706878,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0.077552586,0.27,0.108573621,"070802A",0,0,0,0,0,0,0,0,0,0,0,2.45,0.537819095073274
"070810A",3.36583,2.04,0.278753601,-10.77728353,21.93100401,1.36994,1.041392685,2.17076,1.02,-6.161150909,11.3288115889,4.1616,0.0777035700704672,116.149840286009,480.968936886636,1.8767356036,1.08449872437151,4.7121989776,1.0404,37.9597805234715,0.197037086589132,0.06175,0.07187,0.077915,0.01,0.037764738,0.14,0.045715209,"070810A",0,0,0,0,0,0,0,0,0,0,0,2.17,0.501059262217751
"071003A",4.78411,1.36,0.799340549,-11.67760082,20.86974084,1.97901,2.170643023,1.91015,0.837,-5.080921908,22.8877084921,1.8496,0.638945313275621,136.366360911265,435.546082728764,3.9164805801,4.71169113329858,3.6486730225,0.700569,25.8157674351944,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0.015697391,0.07,0.027574253,"071003A",0,0,0,0,0,0,0,0,0,0,0,1.60435,0.415699348887829
"071010A",4.22153907655839,2.33,-0.096910013,-10.9895154238019,22.13954852,1.8230533026688,0.77815125,2.33496,0.888406786307459,-6.698970004,17.8213921749095,5.4289,0.00939155061966017,120.76944924998,490.159608669434,3.32352334437162,0.605519367876562,5.4520382016,0.789266617957147,44.8761991144918,0.0563106258915239,0.793959577162565,0.613177623292791,0.296319864037732,0.199693514510686,0.086858896,0.37,0.162860431,"071010A",1,1.0553847691396,0.5825,-0.02422750325,-2.74737885595047,5.53488713,0.4557633256672,0.1945378125,0.58374,0.222101696576865,-1.674742501,0.99,0.298853076409707
"071010B",3.50957660596362,1.53,0.886490725,-10.4208095316766,21.30047157,1.03582329155597,1.552668216,2.04061,0.893101278636516,-5.356547324,12.3171279531271,2.3409,0.785865805511026,108.593271295482,453.710089104378,1.07292989132984,2.41077858897662,4.1640891721,0.79762989390218,28.6925992342516,0.199990220376636,0.791791810316993,0.61645895838135,0.280712130682309,0.200470874407027,0.009870329,0.22,0.016920564,"071010B",1,0.877394151490905,0.3825,0.22162268125,-2.60520238291915,5.3251178925,0.258955822888992,0.388167054,0.5101525,0.223275319659129,-1.339136831,0.947,0.289365951520032
"071020A",2.311950854,1.11,0.924279286,-9.169411331,20.99642367,1.119196934,0.62324929,1.59788,0.844,-5.638272164,5.34511675131133,1.2321,0.85429219852867,84.0781041570712,440.849806930136,1.252601777075,0.388439677485504,2.5532204944,0.712336,31.7901129953372,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0.018882369,0.05,0.015510517,"071020A",0,0,0,0,0,0,0,0,0,0,0,2.145,0.497620649781288
"071025A",3.5691438522919,1.79,0.204119983,-10.7435838189401,21.07108335,1.41399582009461,2.376832349,1.97502660214106,0.921370656651558,-5.187086643,12.7387878383531,3.2041,0.0416649674599203,115.424593274592,443.990553542647,1.99938417924503,5.64933201525286,3.90073007916486,0.848923886938523,26.905867841989,0.0563106258915239,0.791428499655736,0.613998838197716,0.274658239472015,0.198421010369333,0.021297834433594,0.05,0.0778422962236166,"071025A",1,0.892285963072975,0.4475,0.05102999575,-2.68589595473503,5.2677708375,0.353498955023652,0.59420808725,0.493756650535265,0.23034266416289,-1.29677166075,5,0.778151250383644
"071112C",3.29629009250939,1.09,0.903089987,-10.3793919527182,20.5643192,1.18185143416542,1.176091259,1.67267,0.874242522377332,-5.522878745,10.8655283739756,1.1881,0.81557152461966,107.731777308151,422.891224159489,1.39677281243886,1.38319064949621,2.7978249289,0.76429998793268,30.5021896319728,0.378773543191014,0.789517861418124,0.619472645699884,0.272275665455412,0.202152172857425,0.057905931,0.07,0.05428681,"071112C",1,0.824072523127347,0.2725,0.22577249675,-2.59484798817955,5.1410798,0.295462858541355,0.29402281475,0.4181675,0.218560630594333,-1.38071968625,0.82,0.260071387985075
"071117A",3.901990464,1.57,1.053078443,-11.23542972,22.04291793,1.104952391,0.819543936,2.0457,0.94,-5.619788758,15.2255295811469,2.4649,1.1089742071113,126.234880993059,485.890230868716,1.22091978637662,0.671652263034372,4.18488849,0.8836,31.5820256845432,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0.018095603,0.06,0.015373256,"071117A",0,0,0,0,0,0,0,0,0,0,0,1.331,0.367542273520577
"080310A",4.32608056,2.32,0.113943352,-11.3990271,22.04910001,1.59590648,2.560456622,2.09352,0.878,-5.638272164,18.7149730116099,5.3824,0.0129830874649959,129.937818826534,486.162811250982,2.54691749290599,6.55593811314365,4.3828259904,0.770884,31.7901129953372,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,0.037764738,0.16,0.066814536,"080310A",0,0,0,0,0,0,0,0,0,0,0,2.42,0.534026106056135
"080319B",5.36799912,1.04,1.394451681,-12.15181088,20.8771334,1.42250979,1.68090255756894,1.81426,0.73,-4.091514981,28.8154145523208,1.0816,1.94449549064373,147.666507663286,435.854699001396,2.02353410264584,2.8254334080418,3.2915393476,0.5329,16.7404948397474,0.00162180613819455,0.097779455,0.087626454,0.075139905,0,0.00536166,0.02,0.008755937,"080319B",0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"080319C",3.52001201988252,1.37,0.716003344,-10.6382873387691,21.75037415,1.69361785659658,1.531478917,1.61029,0.921106151411543,-5.443697499,12.3904846201174,1.8769,0.512660788619182,113.173157502215,473.078775664988,2.86834144418279,2.34542767321549,2.5930338841,0.848436542168184,29.6338424606189,0.169579312058566,0.811557499830788,0.606277349855787,0.389549451169016,0.207945169900644,0.012063736,0.07,0.025055451,"080319C",1,0.88000300497063,0.3425,0.179000836,-2.65957183469227,5.4375935375,0.423404464149145,0.38286972925,0.4025725,0.230276537852886,-1.36092437475,1.95,0.469822015978163
"080330A",3.62641817400134,2.53,-0.045757491,-10.4824982653782,21.69090721,1.2788968145843,1.783188691,2.25433,0.871973041044518,-6.468521083,13.1509087727272,6.4009,0.00209374798261508,109.882769883657,470.49545559283,1.63557706235387,3.17976190771029,5.0820037489,0.760336984308425,41.8417650012155,0.378773543191014,0.794985109189265,0.60423198864964,0.273811450842144,0.203298294648504,0.102186937,0.45,0.096509885,"080330A",1,0.906604543500335,0.6325,-0.01143937275,-2.62062456634455,5.4227268025,0.319724203646075,0.44579717275,0.5635825,0.21799326026113,-1.61713027075,1.51,0.399673721481038
"080411A",4.20932562,1.75,1.635483747,-10.11350927,21.57289018,1.28909841,1.748188027,1.97674,0.91,-4.578396073,17.7184221751884,3.0625,2.67480708670116,102.283069754376,465.38959071834,1.66177471066453,3.05616137774615,3.9075010276,0.8281,20.9617106012618,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0.001645055,0.03,0.009047802,"080411A",0,0,0,0,0,0,0,0,0,0,0,1.03,0.307496037913213
"080413B",4.38638978469957,1.26,1.271841607,-11.1731675618723,21.31329763,1.83516772013769,0.903089987,1.93206,0.902968629765236,-5.494850022,19.2404153433167,1.5876,1.61758107329634,124.839673365675,454.256655864964,3.36784056103537,0.81557152461966,3.7328558436,0.815352346340108,30.1933767642734,0.199990220376636,0.804601373861806,0.623978971059655,0.291018791251908,0.199103169917752,0.013571703,0.27,0.018579443,"080413B",1,1.09659744617489,0.315,0.31796040175,-2.79329189046807,5.3283244075,0.458791930034422,0.22577249675,0.483015,0.225742157441309,-1.3737125055,1.1,0.322219294733919
"080516A",3.77452827,1.82,0.255272505,-11.12090412,22.03528962,0.94016916,0.763427994,2.3315,1.48,-6.585026652,14.2470636610292,3.3124,0.065164051808975,123.674508446233,485.55398863728,0.883918049415106,0.582822302022864,5.43589225,2.1904,43.3625760075503,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0.066814536,0.27,0.072382414,"080516A",0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"080603A",3.73173351788558,1.8144820875664,0.365016103959771,-10.6644526630363,20.9181675200872,1.20648726128049,1.77815125,2.0146549872069,0.913805347408734,-5.70558194498092,13.9258350485107,3.29234524609932,0.13323675614997,113.730550602142,437.569732398431,1.4556115116321,3.16182186787656,4.05883471747763,0.835040212952797,32.5536653308923,0.378773543191014,0.797387099205818,0.604761569453748,0.276377786257921,0.204512220511363,0.0419982454796969,0.181989441665926,0.0645822859728094,"080603A",1,0.932933379471395,0.4536205218916,0.0912540259899428,-2.66611316575908,5.2295418800218,0.301621815320122,0.4445378125,0.503663746801725,0.228451336852183,-1.42639548624523,1.69,0.429752280002408
"080603B",3.88118127765263,1.21,0.544068044,-10.612878786063,21.31611509,1.34218817738978,1.77815125,1.83449,0.89279441070083,-5.619788758,15.0635681100013,1.4641,0.296010036501986,112.633196127666,454.376762530126,1.8014691035249,3.16182186787656,3.3653535601,0.797081859778642,31.5820256845432,0.378773543191014,0.794275611570876,0.609597231529871,0.276140683734534,0.198704659881993,0.018095603,0.3,0.024816828,"080603B",1,0.970295319413157,0.3025,0.136017011,-2.65321969651575,5.3290287725,0.335547044347445,0.4445378125,0.4586225,0.223198602675207,-1.4049471895,2.6893,0.566943971856554
"080607A",3.46298403,1.31,1.36361198,-10.0540393,22.38386741,1.7256074,1.899984563,2.03418,1.06,-4.619788758,11.992258392035,1.7161,1.85943763199952,101.083706245944,501.03752022846,2.97772089893476,3.6099413396383,4.1378882724,1.1236,21.3424481685432,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.02068069,"080607A",0,0,0,0,0,0,0,0,0,0,0,3.036,0.605951157564873
"080710A",4.09266933,1.47,0,-11.23284413,20.89722339,1.52133785,2.077948999,2.00149,1.3,-5.853871964,16.7499422447226,2.1609,0,126.176787248875,436.693945411563,2.31446885384262,4.3178720424451,4.0059622201,1.69,34.2678169709052,0.063286086716648,0.06269498,0.054210787,0.06401643,0.150517844,0.062042069,0.23,0.086858896,"080710A",0,0,0,0,0,0,0,0,0,0,0,0.845,0.265996370495079
"080810A",3.2687548,1.34,0.301029996,-9.931814138,21.45079548,1.44529526,2.03666881,2.11482,1.079,-5.337242168,10.684757942523,1.7956,0.09061905849176,98.6409320717767,460.136626724788,2.08887838857847,4.14801984162682,4.4724636324,1.164241,28.4861539598773,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0.018882369,0.06,0.043429448,"080810A",0,0,0,0,0,0,0,0,0,0,0,3.35,0.638489256954637
"080905B",3.67820615,1.78,-0.301029996,-10.11125904,22.33533151,1.36946226,2.10720997,1.86248,0.375,-5.744727495,13.5292004818978,3.1684,0.09061905849176,102.237559373982,498.867033661599,1.87542688156431,4.4403338576674,3.4688317504,0.140625,33.001893991809,0.0951998384562338,0.03236457,0.038825489,0.033301752,0.00558525,0.048254942,0.15,0.086858896,"080905B",0,0,0,0,0,0,0,0,0,0,0,2.374,0.528145078253106
"080928A",4.08450503,1.77,0.322219295,-11.1260984,21.51035195,1.76031774,2.368584372,2.13864,0.99,-5.602059991,16.6831813400953,3.1329,0.103825274070297,123.790065606483,462.695241012869,3.09871854575871,5.61019192728263,4.5737810496,0.9801,31.3830761427629,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0.034743559,0.12,0.02068069,"080928A",0,0,0,0,0,0,0,0,0,0,0,1.692,0.430075055551939
"081007A",3.58176278,2.51,0.414973348,-10.58502665,21.69605744,1.00469263,0.958563883,2.102,0.92,-6.148741651,12.8290246121933,6.3001,0.172202879550329,112.04278918121,470.718908439779,1.00940728077632,0.918844717792038,4.418404,0.8464,37.8070238907422,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0.048934589,0.2,0.066814536,"081007A",0,0,0,0,0,0,0,0,0,0,0,0.5295,0.184549481320698
"081008A",3.85550833,1.69,0.113943352,-10.79317412,21.1376737,1.47398467,2.268297087,1.98207,0.84,-5.366531544,14.8649444826994,2.8561,0.0129830874649959,116.492607584638,446.801249447672,2.17263080739501,5.14517167489269,3.9286014849,0.7056,28.799660812747,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,0.020199743,0.07,0.033407268,"081008A",0,0,0,0,0,0,0,0,0,0,0,1.9685,0.472537053262077
"081028A",4.75426,1.25,-0.301029996,-11.3994,20.90308999,2.20023,2.414973348,2.51,0.945,-5.431798276,22.6029881476,1.5625,0.09061905849176,129.94632036,436.939171130038,4.8410120529,5.83209627155033,6.3001,0.893025,29.5044325111566,0.0544346314312377,0.0572,0.03025,0.054715,5e-04,0.023475377,0.38,0.086858896,"081028A",0,0,0,0,0,0,0,0,0,0,0,3.038,0.60616631460762
"081029A",4.48156171,1.43,-0.301029996,-11.86327943,21.49704581,2.51960373,2.431283332,1.95818,0.87,-5.677780705,20.0843953605381,2.0449,0.09061905849176,140.737398834261,462.122978557239,6.34840295622991,5.91113864046102,3.8344689124,0.7569,32.2371937340703,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,0.041361379,0.18,0.173717793,"081029A",0,0,0,0,0,0,0,0,0,0,0,3.8479,0.685553652846326
"081203A",4.02089,1.54,0.462397998,-10.9243983,21.66176916,1.86904,2.46834733,2.03508,0.82,-5.113509275,16.1675563921,2.3716,0.213811908554408,119.342478217043,469.232243141127,3.4933105216,6.09273854151813,4.1415506064,0.6724,26.147977105511,0.122562443871835,0.05695,0.03932,0.064395,0.0325,0.016920564,0.06,0.029951344,"081203A",0,0,0,0,0,0,0,0,0,0,0,2.1,0.491361693834273
"081221A",2.93195749,1.21,1.260071388,-9.354577731,21.57331844,1.23586126,1.531478917,2.4947,0.991,-4.742321425,8.5963747231671,1.4641,1.58777990285625,87.5081245253211,465.408068513644,1.52735305396879,2.34542767321549,6.22352809,0.982081,22.489612498014,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,0.007198251,0.13,0.011931167,"081221A",0,0,0,0,0,0,0,0,0,0,0,2.26,0.513217600067939
"081228A",3.37145690541835,2.1,-0.22184875,-10.9265341850558,21.16936021,1.30627017284479,0.477121255,2.11824052948599,0.948812901759482,-7.050609993,11.3667216650931,4.41,0.0492168678765625,119.389149297193,448.141811700731,1.70634176446396,0.227644691972775,4.48694294075709,0.900245922545248,49.7111012733915,0.204728382319217,0.803766733946937,0.61153959091333,0.275029492627108,0.21058051978834,0.0674679414874554,0.31,0.103319586082909,"081228A",1,0.842864226354587,0.525,-0.0554621875,-2.73163354626395,5.2923400525,0.326567543211198,0.11928031375,0.529560132371497,0.23720322543987,-1.76265249825,3.44,0.64738297011462
"081230A",3.66959365,1.97,-0.15490196,-11.32975415,20.67248024,0.99376498,0.907209226455443,2.08621,1.02,-6.086186148,13.4659175561203,3.8809,0.0239946172118416,128.363329099442,427.35143927319,0.9875688354744,0.823028580565883,4.3522721641,1.0404,37.0416618281071,0.740704337003766,0.0701444,0.08735027,0.040381418,0.02,0.02568693,0.096969697,0.142225970771007,"081230A",0,0,0,0,0,0,0,0,0,0,0,2.1,0.491361693834273
"090102A",3.15380077,1.36,0.740362689,-9.457174573,21.72376179,1.42487631,1.432006687,1.76997,0.667,-7.167491087,9.94645929685259,1.8496,0.548136911263311,89.4381509041977,471.921826308664,2.03027249879922,2.05064315161272,3.1327938009,0.444889,51.3729284822244,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,0.019160051,0.08,0.063170107,"090102A",0,0,0,0,0,0,0,0,0,0,0,1.547,0.406028944963615
"090205A",3.70655,2.15,-0.301029996,-11.3419886,21.81792086,1.29089,0.944482672,2.03416,1.01,-6.721246399,13.7385129025,4.6225,0.09061905849176,128.64070540253,476.021670653223,1.6663969921,0.89204751770826,4.1378069056,1.0201,45.1751531560705,0.0885407574117407,0.13445,0.114585,0.084185,0.025,0.068572813,0.23,0.086858896,"090205A",0,0,0,0,0,0,0,0,0,0,0,4.6497,0.752025387323213
"090313A",3.61735205955917,1.91,-0.096910013,-10.2750974013515,22.44115763,1.18760574958508,1.893872679,2.07619,0.923746981702793,-5.853871964,13.085235922797,3.6481,0.00939155061966017,105.57762660726,503.605555774507,1.41040741644754,3.58675372426264,4.3105649161,0.85330848620502,34.2678169709052,0.136485588124709,0.805742234111561,0.609346134235955,0.273610213696231,0.20178099399181,0.062042069,0.29,0.162860431,"090313A",1,0.904338014889792,0.4775,-0.02422750325,-2.56877435033788,5.6102894075,0.29690143739627,0.47346816975,0.5190475,0.230936745425698,-1.463467991,3.38,0.6414741105041
"090418A",3.52813657,1.48,0.278753601,-10.04720756,22.02365981,1.52909667,1.748188027,2.03408,0.98,-5.337242168,12.4477476565714,2.1904,0.0777035700704672,100.946379753721,485.041591426609,2.33813662620509,3.05616137774615,4.1374814464,0.9604,28.4861539598773,0.0320230997079162,0.028659405,0.030759021,0.042154514,0.003531332,0.018882369,0.07,0.068572813,"090418A",0,0,0,0,0,0,0,0,0,0,0,1.608,0.416307587059883
"090423A",3.91521772,0.8,0.230448921,-11.2798407,22.7516324,1.43267533,0.989894564,1.8158,0.77,-6.229147988,15.328929795002,0.64,0.0531067051900642,127.234806217376,517.63677686473,2.05255860119061,0.97989124783675,3.29712964,0.5929,38.8022846564045,0.047195797531391,0.08569564,0.077643595,0.064053366,0.005,0.029443694,0.5,0.051093469,"090423A",0,0,0,0,0,0,0,0,0,0,0,8.26,0.966610986681934
"090424A",2.99599056,1.19,1.851258349,-9.050609993,21.63012977,1.1284106,1.681241237,1.96315,0.924,-4.677780705,8.97595943560911,1.4161,3.42715747474221,81.9135412453915,467.86251386704,1.27331048219236,2.82657209698929,3.8539579225,0.853776,21.8816323240703,0.0205611924585667,0.011257098,0.013394814,0.005546887,0,0,0.15,0.012233647,"090424A",0,0,0,0,0,0,0,0,0,0,0,0.544,0.188647295999717
"090516A",4.33113504,1.84,0.204119983,-11.27490548,21.19589965,1.76098314,2.322219295,2.09,0.502,-5.045757491,18.7587307347158,3.3856,0.0416649674599203,127.123493582934,449.26616197287,3.10106161936426,5.3927024540703,4.3681,0.252004,25.4596686579826,0.132356413451328,0.03779605,0.029715315,0.053351589,0.479087085,0.028952965,0.11,0.05428681,"090516A",0,0,0,0,0,0,0,0,0,0,0,4.109,0.708335902682263
"090519A",3.44619,1.02,-0.22184875,-11.76000021,22.13069392,1.42452,1.806179974,1.46604,0.63,-5.920818754,11.8762255161,1.0404,0.0492168678765625,138.2976049392,489.767613380725,2.0292572304,3.26228609847864,2.1492732816,0.3969,35.0560947177181,0.0559162050267847,0.21145,0.24029,0.3065,0.03,0.036191207,0.2,0.144764827,"090519A",0,0,0,0,0,0,0,0,0,0,0,3.85,0.685741738602264
"090529A",4.472757799,2,-0.397940009,-12.1873998,21.77242733,0.8815438,1.837651558,2.22623,0.64,-6.167491087,20.0055623285153,4,0.15835625076292,148.53271388504,474.038591840131,0.77711947131844,3.37696324861983,4.9561000129,0.4096,38.0379463082244,0.0664439832683159,0.11547934,0.21900534,0.113675222,0.125,0.10857362,0.3,0.108573621,"090529A",0,0,0,0,0,0,0,0,0,0,0,2.625,0.559308010907013
"090530A",3.6839464,1.61,0.397940009,-11.16052195,20.90942658,0.88610581,1.681241237,2.03975,1.09,-5.958607315,13.571461078073,2.5921,0.15835625076292,124.557250196432,437.204119904411,0.785183506515756,2.82657209698929,4.1605800625,1.1881,35.5050011343715,0.323703994876218,0.089175625,0.115365029,0.038514202,0.035,0.039481317,0.17,0.052115338,"090530A",0,0,0,0,0,0,0,0,0,0,0,1.266,0.355259905527378
