GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
060512A,0.44,0.92890769,-12.44,3.64,0.74,0.68,2.70163,-6.634512015,2.48,16.36612399,-0.055517328,,0.03,0.05,0.02,0.05,0.074878359,0.3,0.098703291,1
060526A,3.21,2.47444938,-12.2,4.19,1.12,0.65,1.90677,-5.899629455,2.01,16.11154478,0.222716471,,0.01,0.01,0.01,0.06,0.056871896,0.24,0.046810184,0
060604A,2.1357,1.977723605,-12.551173380488153,4.4444236507435,1.1067965095855272,0.8345679079855858,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,,0.7795316106202232,0.5596932689429515,0.3221123812998176,0.2055830599013932,0.11451546,0.42,0.166053773,0
060605A,3.78,2.059904056,-11.3667,3.218963,1.021558,0.94,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,,0.041244,0.054576,0.072783,0.5,0.056078197,0.2,0.113294213,0
060607A,3.07,2.009450896,-11.78,3.53,1.25,0.72,1.61002,-5.59345982,1.47,21.79614607,0.146128036,,0.03,0.04,0.05,0.27,0.019074895,0.08,0.040327345,1
060614A,0.125,2.036229544,-12.580685468764958,4.757510211241566,1.5844357001088603,0.7833059994400665,1.89544,-4.690369833,2.02,20.51216256,1.06069784,,0.776056159216779,0.6125254349221496,0.35424057734572234,0.20384705912133805,0.007727887,0.04,0.027945906,0
060707A,3.425,1.820857989,-12.242709376906534,4.0076342524937925,0.8973960587714417,0.8597849003450218,2.09345,-5.795880017,0.6,21.20847898,0.004321374,,0.7924377971667171,0.5742873145364309,0.33966848999660276,0.21005655165750997,0.040986542,0.363636364,0.098898743,0
060708A,1.92,1.008600172,-11.6007,3.15661,0.820982,0.88,2.20484,-6.306273051,1.68,20.79066861,0.28780173,,0.0317,0.0831,0.033617,0.05,0.032528129,0.12,0.031340839,0
060714A,2.71,2.060660074,-12.8093,4.218794,1.123968,0.44,2.04425,-5.548213564,1.93,22.0125926,0.10720997,,0.046522,0.074159,0.054273,0.04,0.025627978,0.11,0.044108033,0
060729A,0.54,2.062017599,-12.15,5.07,1.26,0.67,1.92492,-5.583359493,1.75,20.86562801,0.068185862,,0.03,0.03,0.06,0.07,0.035109631,0.14,0.048254942,0
060814A,1.9229,2.162265614,-12.299076887488553,4.355630935213142,1.1459466846386843,0.8291624367736694,2.11591,-4.835647144,1.53,22.00679538,0.861534411,,0.787834757907091,0.5474432002710365,0.3372120285319401,0.20818467727148166,0.007109341,0.03,0.017323989,0
060904B,0.7,2.234264124,-12.1854,3.923904,1.19811,1.11,2.18877,-5.790484985,1.64,21.59122827,0.387389826,,0.018294,0.024033,0.027284,0.1,0.038335871,0.14,0.037377804,1
060906A,3.686,1.638489257,-12.63793272088361,4.4111172515816754,1.4185432017269841,0.8485512009302987,2.07859,-5.655607726,2.03,22.41960057,0.294466226,,0.7504356883643837,0.5111049841372577,0.3656084188618203,0.216172255531351,0.026725814,0.11,0.061727135,0
060908A,1.8836,1.285557309,-11.955163489057007,3.657096318427417,1.211329048127432,0.8784161413612348,2.13395,-5.552841969,1.0,21.80952201,0.481442629,,0.8011339715892385,0.5981368297486997,0.35343034085007036,0.21923505700325296,0.017216674,0.181818182,0.035832878,0
060912A,0.937,0.698970004,-12.078520008555051,3.4306110190997243,0.9943051836756358,0.7784836748879833,1.8948,-5.869666232,1.74,21.36738202,0.933487288,,0.7440419439518662,0.6693617200831976,0.3258027816597343,0.2045657246728389,0.019945376,0.09,0.022271512,0
060926A,3.2,0.903089987,-12.34929795529472,3.9019264753369853,1.24714526648582,0.8934716041385717,2.00443,-6.659555885,2.54,22.50004427,0.037426498,,0.8107706542426847,0.6087243210375974,0.33333505055519275,0.22072024396094164,0.049576996,0.23,0.055780943,0
060927A,5.46,1.352953912,-12.19,3.24,1.26,0.86,1.94856,-5.946921557,0.9,22.10710478,0.431363764,,0.26,0.23,0.06,0.03,0.026134535,0.242424242,0.027344467,0
061007A,1.26,1.876852648,-8.76,2.17,1.75,1.07,1.99824,-4.35261703,1.03,21.74186197,1.164352856,,0.07,0.03,0.01,0.19,0.005497151,0.03,0.011006093,1
061021A,4.6,1.664641976,-12.4195,4.823673,1.736351,0.88,1.99282,-5.528708289,1.3,20.87141063,0.78604121,,0.0677,0.067494,0.108429,0.03636,0.014818832,0.06,0.019191409,0
061121A,1.31,1.90982337,-12.27,3.85,1.0,0.81,1.90181,-4.863279433,1.41,21.75351565,1.324282455,,0.04,0.05,0.01,0.0363,0.006308365,0.03,0.009468031,0
061126A,1.1588,2.281033367,-12.3053,3.5801,0.922285,0.82,1.926924191755202,-5.169411331,1.32,21.38058204,0.989449818,,0.08165,0.101225,0.025959,0.09,0.0190994093843814,0.06,0.0246693811930976,1
061201A,0.111,-0.119186408,-12.186855951470939,3.96216884652548,1.5608558306265423,0.679563879324868,1.65934,-6.476253533,0.81,21.16656331,0.586587305,,0.7921299770120394,0.5453763859471712,0.37072761358585493,0.23111177766854585,0.035107638,0.15,0.034878572,0
061222A,2.088,1.853698212,-12.004311436664596,4.174173927029065,1.1773760793609551,0.8099047594908337,1.92748,-5.097453221,1.35,22.56660835,0.930949031,,0.810799043564919,0.5708438990936813,0.3481938191110929,0.2008118757358594,0.008588051,0.04,0.013237581,0
070110A,2.35,1.946550511,-12.9,4.44,0.99,1.0,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,,0.06,0.1,0.05,0.14,0.028952965,0.12,0.086858896,0
070125A,1.55,1.77815125,-12.7448,5.250332,1.779596,0.59,1.9514263271976688,-5.495279035397339,1.667192165248273,21.11682510597685,0.4613667003967956,,0.027168,0.017308,0.052941,0.1,0.0330719907495403,0.1771424078091182,0.0593602352348791,1
070208A,1.17,1.806179974,-12.723,2.851438,0.502246,1.03,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,,0.043394,0.100608,0.017994,0.11,0.098570208,0.36,0.106160873,0
070223A,1.6295,1.9408513687054,-12.652094025425132,4.3045231450587105,0.9575853729662349,0.8449204541270572,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,,0.7997534357587623,0.6282606362135952,0.35341488672013727,0.2032571553106594,0.018572476,0.072727273,0.1308440617228483,0
070306A,1.4959,2.321184027,-12.490177717576138,4.630708505682149,1.5064804716530316,0.8060400450427249,1.94468,-5.269217724,1.66,22.44245468,0.609594409,,0.7793441086573196,0.6027847713437442,0.33546694985032255,0.23147308863102023,0.02308703,0.1,0.022408315,0
070318A,0.836,1.872738827,-11.1627,3.01049,0.999465,0.85,1.97117,-5.605548319,1.42,21.87762816,0.245512668,,0.0748,0.10326,0.106657,0.5757,0.019613299,0.08,0.037013734,1
070411A,2.95,2.089021501,-12.4597,3.319089,1.33119,1.09,2.2428,-5.568636236,1.72,22.32139542,-0.040958608,,0.115184,0.105245,0.219221,0.11,0.02493172,0.1,0.062042069,1
070419A,0.97,2.062957834,-12.67,3.27,1.4,0.6,2.18444,-6.253365801,2.35,21.64791964,-0.698970004,,0.12,0.07,0.05,0.36,0.064599358,0.25,0.217147241,1
070508A,0.82,1.320146286,-11.784903170010262,3.7004819267852596,1.2083818245421978,0.8055711273024934,1.82568,-4.707743929,1.1,21.89306622,1.382017043,,0.7556923597567966,0.5795315913478913,0.34533682590131826,0.203578464741076,0.006049102,0.060606061,0.010992516,0
070521A,2.0865,1.57863921,-12.09132215837876,4.021806718574862,1.2540087787794856,0.8518984217603409,2.00022,-5.096367484,1.1,22.27524914,0.814913181,,0.7996636441211127,0.5743005942719754,0.3554705799586287,0.22579396577480865,0.009596769,0.121212121,0.017957046,0
070529A,2.4996,2.038222638,-12.107787164461767,3.766460657138622,1.1067933143022075,0.7719982535966978,1.97999,-5.590066877,1.34,22.56252244,0.155336037,,0.8161360781291584,0.5670303274837722,0.33223423564632515,0.21362722879798873,0.041401614,0.16,0.109332877,0
070612A,0.671,2.566790912,-12.376,5.2145,2.69428,1.1,1.9756793909954788,-4.974694135,1.69,21.255997117337785,0.178976947,,0.35375,0.14528,0.53173,0.3333,0.024623678,0.1,0.109292651,1
070714B,0.923,1.806179974,-12.273475315114336,3.845826727416087,1.3601092254074478,0.8373628167718324,2.07429,-6.142667504,1.36,21.64321572,0.431363764,,0.7360816446908274,0.5541029143861873,0.3659680330737952,0.21606896017227412,0.05428681,0.19,0.032169962,0
070721B,3.626,2.531478917,-12.190003059576277,4.173404809613059,1.89162283407329,0.7457539826613148,1.52512,-5.443697499,1.34,21.89473409,0.176091259,,0.8268688294373483,0.555827371101729,0.3887307974609434,0.22355870569173375,0.024127471,0.11,0.086858896,0
070802A,2.45,1.214843848,-12.571014712561343,4.184122574270132,1.0749459924818345,0.7879589467198114,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,,0.8248806154518311,0.6059095638837175,0.34783974103116455,0.21456044708586935,0.077552586,0.27,0.108573621,0
070809A,0.2187,1.161684284033457,-12.6884130341884,4.309687196246703,1.0467702510468195,0.7337935649095357,1.37246,-7.0,1.69,20.80619355,0.079181246,,0.8066552964772757,0.576931801185298,0.4126433044881808,0.22705524423983287,0.026318246,0.133333333,0.016256930519715,0
070810A,2.17,1.041392685,-12.45,3.77,1.5,1.01,2.17076,-6.161150909,2.04,21.93100401,0.278753601,,0.11,0.12,0.11,0.08,0.037764738,0.14,0.045715209,0
071003A,1.6,2.170643023,-13.16,5.51,2.17,0.35,1.91015,-5.080921908,1.36,20.86974084,0.799340549,,0.07,0.06,0.15,0.11,0.015697391,0.07,0.027574253,0
071010A,0.99,0.77815125,-13.1705,5.172418,2.253787,0.61,2.33496,-6.698970004,2.33,22.13954852,-0.096910013,,0.060832,0.033281,0.122333,0.12,0.086858896,0.37,0.162860431,1
071010B,0.947,1.552668216,-11.8207,3.16101,0.633623,0.68,2.04061,-5.356547324,1.53,21.30047157,0.886490725,,0.0527,0.19345,0.053512,0.14,0.009870329,0.22,0.016920564,1
071020A,2.145,0.62324929,-11.78426562089621,3.3879215349929077,1.0747046042816946,0.7993913864528908,1.59788,-5.638272164,1.11,20.99642367,0.924279286,,0.8074503338991175,0.6387243353434597,0.32034315442621475,0.21071531349514822,0.018882369,0.05,0.015510517,0
071025A,5.0,2.376832349,-12.58,3.37,1.41,0.93,1.975026602141059,-5.187086643,1.79,21.07108335,0.204119983,,0.03,0.02,0.01,0.05,0.021297834433594,0.05,0.0778422962236166,1
071031A,2.69,2.257414559,-12.3316,3.545649,0.783822,0.34,1.78089,-6.045757491,2.42,16.95097546,-0.301029996,,0.006784,0.012037,0.007754,0.3,0.062731425,0.29,0.086858896,1
