"formula_idx","wins","formula"
3759,2,"Response ~  (log10PeakFluxSqr+Alpha+log10Fa+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10NHSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr+AlphaSqr"
3837,2,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+BetaSqr"
3920,2,"Response ~  (log10FaSqr+BetaSqr+log10PeakFluxSqr+Alpha+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
4120,2,"Response ~  (log10FaSqr+log10NHSqr+Alpha+Beta+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
4126,2,"Response ~  (AlphaSqr+log10PeakFluxSqr+Alpha+Beta+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10NHSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr"
4225,2,"Response ~  (AlphaSqr+BetaSqr+log10TaSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Beta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr"
4296,2,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+PhotonIndexSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr"
4469,2,"Response ~  (log10FaSqr+BetaSqr+log10TaSqr+Alpha+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
4506,2,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+PhotonIndexSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr"
4509,2,"Response ~  (PhotonIndexSqr+log10NHSqr+Alpha+log10Fa+Beta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10PeakFluxSqr+log10TaSqr+BetaSqr+log10FaSqr+AlphaSqr"
4617,2,"Response ~  (AlphaSqr+log10FaSqr+log10TaSqr+log10NHSqr+Beta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr"
5208,2,"Response ~  (AlphaSqr+BetaSqr+log10NHSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
5475,2,"Response ~  (AlphaSqr+BetaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Beta+Alpha+log10PeakFluxSqr+log10TaSqr+log10FaSqr"
5744,2,"Response ~  (AlphaSqr+BetaSqr+log10TaSqr+log10NHSqr+log10Ta+PhotonIndex)^2+log10NH+log10PeakFlux+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr"
6018,2,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+Beta+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
6149,2,"Response ~  (BetaSqr+log10TaSqr+log10NHSqr+Alpha+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
6150,2,"Response ~  (log10FaSqr+log10TaSqr+log10NHSqr+Alpha+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+AlphaSqr"
6152,2,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+Alpha+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
6595,2,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10Ta+PhotonIndex+log10PeakFlux+log10NH)^2+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
6617,2,"Response ~  (AlphaSqr+PhotonIndexSqr+log10Fa+Beta+PhotonIndex+log10PeakFlux+log10NH)^2+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+BetaSqr+log10FaSqr"
6790,2,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10NHSqr+PhotonIndex+log10PeakFlux+log10NH)^2+log10Ta+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
6849,2,"Response ~  (BetaSqr+log10TaSqr+Alpha+Beta+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
6958,2,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+Alpha+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
7030,2,"Response ~  (AlphaSqr+PhotonIndexSqr+Alpha+log10Fa+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10NHSqr+log10PeakFluxSqr+log10TaSqr+BetaSqr+log10FaSqr"
7420,2,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+Alpha+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
7977,2,"Response ~  (AlphaSqr+BetaSqr+log10TaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Fa+Alpha+log10NHSqr+log10FaSqr"
8571,2,"Response ~  (AlphaSqr+BetaSqr+log10PeakFluxSqr+log10NHSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+Beta+Alpha+PhotonIndexSqr+log10TaSqr+log10FaSqr"
8866,2,"Response ~  (log10FaSqr+BetaSqr+log10TaSqr+log10NHSqr+Alpha+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
9628,2,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+Beta+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Alpha+log10PeakFluxSqr+log10TaSqr+BetaSqr"
9660,2,"Response ~  (AlphaSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+Alpha+Beta+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+log10Fa+log10PeakFluxSqr+BetaSqr+log10FaSqr"
10060,2,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+Alpha+log10Ta+PhotonIndex+log10PeakFlux+log10NH)^2+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
10102,2,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10NHSqr+log10Ta+PhotonIndex+log10PeakFlux+log10NH)^2+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
11466,2,"Response ~  (AlphaSqr+BetaSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+log10FaSqr"
12620,2,"Response ~  (AlphaSqr+BetaSqr+log10TaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+log10Ta+PhotonIndex)^2+log10NH+log10PeakFlux+Beta+log10Fa+Alpha+log10FaSqr"
633,1,"Response ~  (log10FaSqr+BetaSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
1187,1,"Response ~  (BetaSqr+log10NHSqr+log10Fa+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
1917,1,"Response ~  (log10FaSqr+BetaSqr+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
2052,1,"Response ~  (AlphaSqr+log10TaSqr+PhotonIndexSqr+Beta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+BetaSqr+log10FaSqr"
3022,1,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+Beta+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
3156,1,"Response ~  (log10TaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10Fa+log10PeakFluxSqr+BetaSqr+log10FaSqr+AlphaSqr"
3161,1,"Response ~  (log10FaSqr+log10TaSqr+log10NHSqr+Alpha+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+AlphaSqr"
3525,1,"Response ~  (AlphaSqr+log10Fa+Beta+PhotonIndex+log10PeakFlux+log10NH)^2+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr"
3554,1,"Response ~  (log10NHSqr+Alpha+log10Fa+PhotonIndex+log10PeakFlux+log10NH)^2+log10Ta+Beta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr+AlphaSqr"
3757,1,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
3767,1,"Response ~  (log10TaSqr+log10NHSqr+log10Fa+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10FaSqr+AlphaSqr"
3790,1,"Response ~  (log10FaSqr+log10NHSqr+Alpha+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
4130,1,"Response ~  (AlphaSqr+PhotonIndexSqr+Alpha+Beta+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+log10TaSqr+BetaSqr+log10FaSqr"
4135,1,"Response ~  (AlphaSqr+BetaSqr+Alpha+Beta+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
4206,1,"Response ~  (AlphaSqr+BetaSqr+log10NHSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
4241,1,"Response ~  (AlphaSqr+BetaSqr+log10NHSqr+Alpha+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
4301,1,"Response ~  (log10TaSqr+Alpha+log10Fa+Beta+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10FaSqr+AlphaSqr"
4314,1,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+Beta+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Alpha+log10NHSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
