,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
190719C,2.469,2.268811904,-12.4390800360703,4.62998207222266,1.3165106081497,0.809241434692305,1.5415,-5.292429824,1.64,20.95382587,0.740362689,9.689285646,0.832748555712131,0.609859547775042,0.361570648327088,0.219485087622789,0.025546734,0.09,0.02368879,0
190829A,0.0785,1.764922985,-11.9013667497615,4.25746274320334,0.970247676362115,0.865164886299708,2.0913,-5.193820026,2.56,22.04910001,1.255272505,8.854522046,0.802057858600915,0.547311307004275,0.338917114604851,0.218625743830725,0.047500959,0.21,0.065144172,0
191011A,1.722,0.867467488,-12.8184,3.303409,0.811693,0.9,1.81479,-6.48148606,1.94,21.65033473,0.255272505,0.950286355,0.089478,0.236045,0.140267,0.09,0.052641755,0.17,0.048254942,0
191221B,1.148,1.681241237,-11.4646858953794,3.23937682922451,1.0786320373318,0.912750452247464,1.843,-4.721246399,1.24,16.3283796,0.681241237,16.0,0.853365775686917,0.637786833072574,0.33506756050718,0.215581868007983,0.022857604,0.05,0.063334612,0
200205B,1.465,2.660865478,-12.6150757733419,4.45270859613172,1.30805635384365,0.762722495664443,1.90881,-5.26760624,1.36,16.75891189,0.301029996,5.385164807,0.76272068377327,0.569486058967395,0.361975829972428,0.213818203212913,0.016084981,0.22,0.043429448,0
200613A,1.2255,2.580924976,-12.785,5.199503,0.923123,0.9,2.00996423348564,-5.23247535249562,1.74656725545063,20.9938049880807,0.228369899911643,,0.113922,0.166694,0.132474,0.09,0.041388018888279,0.176273323751351,0.0694499683839808,1
200829A,1.25,1.115277591,-10.8633,3.317225,1.301598,0.9,1.88219,-4.292429824,0.83,21.08966848,1.994317153,2.91,0.026536,0.036463,0.022447,0.04,0.008515578,0.03,0.007040235,0
201014A,4.56,1.558708571,-13.7541,5.031584,1.038298,0.9,1.97336,-6.508638306,2.55,22.1524657,-0.522878745,,0.092274,0.110179,0.170451,0.15,0.098066496,0.37,0.289529655,1
201015A,0.426,0.990338855,-12.8744,4.275441,0.481067,1.1,2.1574,-6.698970004,3.03,21.35536147,0.255272505,,0.09442,0.229803,0.027144,0.24,0.130288345,0.68,0.096509885,1
201020A,2.903,1.15136985,-12.091,3.793643,0.728842,1.1,2.0761,-6.036212173,2.25,20.93258486,0.322219295,,0.128558,0.192264,0.056032,0.11,0.033044145,0.14,0.041361379,1
201021C,1.07,1.387033701,-11.1691,2.88042,1.034879,0.6,1.6168,-6.0,1.63,20.75199541,0.0,,0.102098,0.137291,0.035385,0.09,0.043429448,0.15,0.086858896,1
201104B,1.954,0.937517892,-11.8024325245041,3.61312275024669,1.07831860442733,0.75734788977753,1.55046,-5.744727495,1.47,21.73058526,0.612783857,0.161839373,0.793191321925617,0.585353440237596,0.349910202723781,0.217124111188883,0.024127471,0.07,0.031777645,0
210204A,0.876,2.301029996,-12.0073,4.489641,1.06783,0.73,1.98957333119557,-5.18451228666849,1.71047871175346,21.0584880674433,0.493025576197725,,0.017214,0.039841,0.028803,0.16,0.0338538542545085,0.143781575971085,0.0534933364415772,1
210210A,0.715,0.819543936,-11.7476,3.875593,1.44657,0.81,1.85188,-6.008773924,1.53,21.12319546,0.84509804,0.58931824,0.033076,0.03022,0.031618,0.07,0.035452611,0.58,0.031021034,0
210411C,2.826,1.10720997,-11.9291744809384,3.7088676640964,1.08383134498648,0.87343815249032,1.88408,-5.920818754,1.6,21.05996459,0.681241237,0.597059548,0.808901226293957,0.570682566540808,0.322200537766906,0.211497872002024,0.036191207,0.4,0.027143405,0
210517A,2.486,0.485721426,-12.3766183030766,3.73833279296009,1.09538284177117,0.783809780286881,1.71079,-6.823908741,1.85,21.15768338,0.176091259,1.409113169,0.779811153796872,0.624638463227268,0.33523836644846,0.229933374114567,0.086858896,0.25,0.057905931,0
210610B,1.13,1.841234296,-11.7208797750952,3.71411263377221,1.01786802012299,0.786554976569207,1.91684,-4.443697499,0.98,21.03780485,1.130333768,2.53,0.805212835953388,0.589416561142959,0.345052670583526,0.210229063498121,0.012063736,0.11,0.022518973,0
210619B,1.937,1.784617293,-11.5410940286875,3.69438712718933,1.05398210955699,0.790152478386323,1.92306,-4.022276395,1.41,21.83430305,2.06069784,0.277416677,0.796031098081983,0.579133583153472,0.342114361891394,0.224744836942176,0.004571521,0.02,0.008308242,0
210722A,1.145,1.700703717,-12.1427070752043,4.01891551952017,1.24691045036446,0.796184347085253,1.83712,-5.602059991,1.62,20.54058972,0.342422681,10.53830531,0.763175910429414,0.553825795184692,0.333856620235637,0.211424553333742,0.034743559,0.14,0.098703291,0
210822A,1.736,2.257198426,-11.4758614357519,3.49163935966275,1.11699029579329,0.791692979871663,1.70788,-4.698970004,1.3,21.53322281,1.442479769,42.72,0.808104712046275,0.588041783055609,0.31318263247218,0.214064803523531,0.00868589,0.4,0.010974951,0
211024B,1.1137,2.780677274,-11.5745500702315,3.93911459534797,1.53158127022064,0.858224773898708,2.08,-5.167491087,1.63,20.98677173,-0.045757491,20.65497765,0.815944777558417,0.532608494638407,0.35817478212292,0.210726612543786,0.019160051,0.09,0.096509885,0
220101A,4.618,2.238948898,-11.6372557744326,3.77496172918114,1.07923193961064,0.742591863412486,1.62241,-4.602059991,1.13,21.90370028,0.86332286,12.50116167,0.771865813721823,0.583722661802251,0.346506412357251,0.219245925587468,0.0,0.13,0.017847718,0
220117A,4.961,1.697316542,-12.0634505842077,3.9629125904605,1.40698597751599,0.872879012143357,1.78537,-5.795880017,1.84,21.99532933,0.278753601,3.431095393,0.772194006045221,0.538226064515552,0.337921821262401,0.250402629033303,0.05428681,0.18,0.091430417,0
230116D,3.81,1.612783857,-12.3619557473905,4.09356695665816,1.31976467686644,0.802657843617739,1.76412,-6.090443971,1.38,12.161368,-0.22184875,11.18033989,0.779907612493457,0.602779698007637,0.37902771806162,0.213885358645244,0.064181451,0.22,0.144764827,0
230325A,1.664,1.580354661,-12.3076648212819,4.08689320200434,0.934847794789766,0.839699526557922,2.0855,-5.886056648,1.82,22.22918251,0.51851394,11.56039866,0.781913896211101,0.592645090513427,0.345196763111726,0.212363824444481,0.066814536,0.18,0.052641755,0
230818A,2.42,0.992111488,-12.4306074846008,4.20989211345625,1.21602060789543,0.83506464815467,2.00403,-5.721246399,1.36,21.31377445,0.826074803,1.249953617,0.760327920243323,0.584400716937227,0.375080844929136,0.228681870733103,0.022857604,0.1,0.032410036,0
231210B,3.13,0.873320602,-12.0405439470091,3.83249665398071,1.34214315378315,0.811116391999161,1.66432281,-5.853871964,1.08,21.82763844,0.591064607,0.647,0.756952725922534,0.572714705071004,0.359266636519439,0.226622394487242,0.062042069,0.19,0.077950292,0
970508A,0.83,1.120573931,-13.8798,6.247263,1.487567,0.32,1.95905288678887,-6.01308853019273,1.89125935641635,20.9147184367958,0.329125184024259,,0.072147,0.067354,0.155485,0.15,0.0513926781795972,0.291747439511379,0.0729767332031779,1
