,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
070125A,1.55,1.77815125,-12.7448,5.250332,1.779596,0.59,1.95142632719767,-5.49527903539734,1.66719216524827,21.1168251059769,0.461366700396796,,0.027168,0.017308,0.052941,0.1,0.0330719907495403,0.177142407809118,0.0593602352348791,1
070208A,1.17,1.806179974,-12.723,2.851438,0.502246,1.03,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,22.627417,0.043394,0.100608,0.017994,0.11,0.098570208,0.36,0.106160873,0
070223A,1.6295,1.9408513687054,-12.6520940254251,4.30452314505871,0.957585372966235,0.844920454127057,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,8.08530616,0.799753435758762,0.628260636213595,0.353414886720137,0.203257155310659,0.018572476,0.072727273,0.130844061722848,0
070306A,1.4959,2.321184027,-12.4901777175761,4.63070850568215,1.50648047165303,0.806040045042725,1.94468,-5.269217724,1.66,22.44245468,0.609594409,64.76757163,0.77934410865732,0.602784771343744,0.335466949850323,0.23147308863102,0.02308703,0.1,0.022408315,0
070411A,2.95,2.089021501,-12.4597,3.319089,1.33119,1.09,2.2428,-5.568636236,1.72,22.32139542,-0.040958608,,0.115184,0.105245,0.219221,0.11,0.02493172,0.1,0.062042069,1
070508A,0.82,1.320146286,-11.7849031700103,3.70048192678526,1.2083818245422,0.805571127302493,1.82568,-4.707743929,1.1,21.89306622,1.382017043,0.735923906,0.755692359756797,0.579531591347891,0.345336825901318,0.203578464741076,0.006049102,0.060606061,0.010992516,0
070521A,2.0865,1.57863921,-12.0913221583788,4.02180671857486,1.25400877877949,0.851898421760341,2.00022,-5.096367484,1.1,22.27524914,0.814913181,2.819384324,0.799663644121113,0.574300594271975,0.355470579958629,0.225793965774809,0.009596769,0.121212121,0.017957046,0
070529A,2.4996,2.038222638,-12.1077871644618,3.76646065713862,1.10679331430221,0.771998253596698,1.97999,-5.590066877,1.34,22.56252244,0.155336037,19.9827799,0.816136078129158,0.567030327483772,0.332234235646325,0.213627228797989,0.041401614,0.16,0.109332877,0
070612A,0.671,2.566790912,-12.376,5.2145,2.69428,1.1,1.97567939099548,-4.974694135,1.69,21.2559971173378,0.178976947,,0.35375,0.14528,0.53173,0.3333,0.024623678,0.1,0.109292651,1
070714B,0.923,1.806179974,-12.2734753151143,3.84582672741609,1.36010922540745,0.837362816771832,2.07429,-6.142667504,1.36,21.64321572,0.431363764,8.408797283,0.736081644690827,0.554102914386187,0.365968033073795,0.216068960172274,0.05428681,0.19,0.032169962,0
070721B,3.626,2.531478917,-12.1900030595763,4.17340480961306,1.89162283407329,0.745753982661315,1.52512,-5.443697499,1.34,21.89473409,0.176091259,21.32020684,0.826868829437348,0.555827371101729,0.388730797460943,0.223558705691734,0.024127471,0.11,0.086858896,0
070802A,2.45,1.214843848,-12.5710147125613,4.18412257427013,1.07494599248183,0.787958946719811,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,3.019812592,0.824880615451831,0.605909563883718,0.347839741031165,0.214560447085869,0.077552586,0.27,0.108573621,0
070810A,2.17,1.041392685,-12.45,3.77,1.5,1.01,2.17076,-6.161150909,2.04,21.93100401,0.278753601,4.99064124,0.11,0.12,0.11,0.08,0.037764738,0.14,0.045715209,0
071003A,1.6,2.170643023,-13.16,5.51,2.17,0.35,1.91015,-5.080921908,1.36,20.86974084,0.799340549,4.494400066,0.07,0.06,0.15,0.11,0.015697391,0.07,0.027574253,0
