"formula_idx","wins","formula"
1044,3,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1598,3,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1886,3,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
1925,3,"Response ~  (log10T90Sqr+log10PeakFluxSqr+log10T90+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+log10Fa+Alpha+PhotonIndexSqr+log10TaSqr+log10NHSqr+log10FaSqr+AlphaSqr"
134,2,"Response ~  (log10TaSqr+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
195,2,"Response ~  (log10Fa+log10NH+PhotonIndex)^2+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
202,2,"Response ~  (log10FaSqr+log10NH+PhotonIndex)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
374,2,"Response ~  (AlphaSqr+PhotonIndexSqr+log10Fa)^2+log10PeakFlux+PhotonIndex+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+log10FaSqr+log10T90Sqr"
391,2,"Response ~  (AlphaSqr+log10T90+Alpha)^2+log10PeakFlux+PhotonIndex+log10Ta+log10NH+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr+log10FaSqr+log10T90Sqr"
451,2,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr)^2+log10PeakFlux+PhotonIndex+log10Ta+log10NH+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
552,2,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
853,2,"Response ~  (AlphaSqr+log10FaSqr+log10NH+PhotonIndex)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr+log10T90Sqr"
1008,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10NH+log10Ta)^2+log10PeakFlux+PhotonIndex+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1039,2,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Alpha+log10T90+PhotonIndexSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1248,2,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+log10T90Sqr"
1325,2,"Response ~  (log10NHSqr+log10TaSqr+PhotonIndexSqr+log10Fa)^2+log10PeakFlux+PhotonIndex+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
1327,2,"Response ~  (AlphaSqr+log10TaSqr+PhotonIndexSqr+log10Fa)^2+log10PeakFlux+PhotonIndex+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10FaSqr+log10T90Sqr"
1380,2,"Response ~  (log10T90Sqr+AlphaSqr+log10PeakFluxSqr+Alpha)^2+log10PeakFlux+PhotonIndex+log10Ta+log10NH+log10Fa+log10T90+PhotonIndexSqr+log10TaSqr+log10NHSqr+log10FaSqr"
1400,2,"Response ~  (log10T90Sqr+AlphaSqr+log10FaSqr+Alpha)^2+log10PeakFlux+PhotonIndex+log10Ta+log10NH+log10Fa+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr"
1532,2,"Response ~  (log10FaSqr+log10Fa+log10NH+PhotonIndex+log10PeakFlux)^2+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1883,2,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2016,2,"Response ~  (log10FaSqr+log10TaSqr+log10T90+log10Fa+log10PeakFlux)^2+PhotonIndex+log10Ta+log10NH+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2047,2,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+PhotonIndex+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+log10T90Sqr"
2704,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10NH+log10Ta)^2+log10PeakFlux+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
3276,2,"Response ~  (log10T90Sqr+AlphaSqr+log10FaSqr+Alpha+log10Fa)^2+log10PeakFlux+PhotonIndex+log10Ta+log10NH+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10NHSqr"
3312,2,"Response ~  (log10NHSqr+log10TaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10Fa)^2+log10PeakFlux+PhotonIndex+log10Ta+log10NH+Alpha+log10T90+log10FaSqr+AlphaSqr+log10T90Sqr"
6335,2,"Response ~  (log10T90Sqr+AlphaSqr+log10FaSqr+log10NHSqr+Alpha+log10Fa)^2+log10PeakFlux+PhotonIndex+log10Ta+log10NH+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
