"formula_idx","wins","formula"
185,3,"Response ~  (log10Fa+PhotonIndex+log10Ta)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
1766,3,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
2048,3,"Response ~  (log10T90Sqr+log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
4366,3,"Response ~  (log10FaSqr+log10NHSqr+log10TaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
67,2,"Response ~  (log10FaSqr+log10Fa)^2+log10PeakFlux+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
302,2,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10T90Sqr"
365,2,"Response ~  (log10TaSqr+log10PeakFluxSqr+log10Fa)^2+log10PeakFlux+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
463,2,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr)^2+log10PeakFlux+log10Ta+PhotonIndex+log10NH+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+log10T90Sqr"
648,2,"Response ~  (log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
666,2,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
772,2,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10Ta)^2+log10PeakFlux+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
883,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
