"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
78,1532,0.4106,1532,0.1589,772,0.1029,17,2.9,"Response ~  (log10FaSqr+log10Fa+log10NH+log10PeakFlux+log10Ta)^2+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
79,211,0.6754,211,0.1451,3679,0.1005,16,5.5,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
80,9007,0.6524,9007,0.141,5137,0.0976,17,2.7,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+PhotonIndexSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+AlphaSqr"
81,868,0.4355,868,0.1668,868,0.0834,17,2.7,"Response ~  (log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
82,883,0.5291,883,0.1515,2764,0.1005,17,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
83,2261,0.6343,2261,0.145,1487,0.1129,17,2.7,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
84,9007,0.5108,2514,0.1627,3548,0.1086,17,2.8,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+PhotonIndexSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+AlphaSqr"
85,2699,0.4779,2249,0.1767,2378,0.1213,17,2.8,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10NH+PhotonIndex)^2+log10Ta+log10PeakFlux+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
86,2054,0.5916,2054,0.1431,431,0.0977,16,2.7,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr"
87,463,0.4986,463,0.161,2862,0.0961,16,2.7,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr)^2+log10Ta+log10PeakFlux+PhotonIndex+log10NH+log10Fa+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+log10T90Sqr"
88,983,0.369,983,0.1773,79,0.1067,17,2.7,"Response ~  (AlphaSqr+log10Fa+log10NH+PhotonIndex)^2+log10Ta+log10PeakFlux+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+log10T90Sqr"
89,223,0.6007,223,0.1623,1266,0.119,14,2.7,"Response ~  (log10PeakFluxSqr+log10T90+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+log10Fa+Alpha+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
90,3665,0.4428,874,0.1664,8739,0.1165,17,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10NH+log10PeakFlux+log10Ta)^2+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
91,497,0.6057,868,0.1696,497,0.1232,16,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10Ta)^2+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
92,211,0.5165,211,0.1509,7104,0.0938,17,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
93,4923,0.5272,2511,0.1664,2511,0.0973,16,2.7,"Response ~  (log10FaSqr+log10NHSqr+log10T90+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
94,211,0.5755,211,0.1684,5381,0.1222,17,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
95,2514,0.4644,3479,0.1745,8137,0.1123,17,2.8,"Response ~  (log10FaSqr+log10NHSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
96,2848,0.2974,2848,0.1901,2848,0.1175,16,2.7,"Response ~  (log10T90Sqr+log10FaSqr+log10T90+log10Fa+PhotonIndex)^2+log10Ta+log10PeakFlux+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
97,2385,0.4809,2385,0.169,3115,0.1043,17,2.7,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
98,211,0.6513,211,0.1612,817,0.1044,16,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
99,5724,0.5112,5724,0.1597,3809,0.0956,17,2.8,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10T90+log10NH+PhotonIndex)^2+log10Ta+log10PeakFlux+log10Fa+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
100,497,0.5365,883,0.1512,2385,0.081,17,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10Ta)^2+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
