"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
11,1878,0.5344,22,1.3128,1878,-0.195,5,3,0.5,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+Gamma+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10Fluence+log10NHSqr+log10T90Sqr+log10FluenceSqr"
12,336,0.5205,336,1.3951,336,-0.5251,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
13,1870,0.4396,1870,1.1243,1870,-0.042,5,3,0.5,"Response ~  (log10FluenceSqr+log10PeakFluxSqr+log10NHSqr+Gamma+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10Fluence+PhotonIndexSqr+log10T90Sqr+GammaSqr"
14,459,0.5075,459,1.1114,1104,-0.3872,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr"
15,1446,0.2351,1446,1.0048,129,0.0673,5,3,0.5,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10T90+Gamma+log10Fluence+log10T90Sqr+log10FluenceSqr"
16,905,0.6307,905,1.1756,1652,-0.1152,5,3,0.5,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+log10T90Sqr+log10FluenceSqr"
17,336,0.4205,336,1.1621,336,-0.4466,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
18,869,0.3523,869,1.1746,864,0.0491,4,2,0.5,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Gamma+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+log10Fluence+log10NHSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
19,459,0.4385,459,1.1432,288,-0.2706,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr"
20,152,0.6343,152,1.0468,1531,-0.1,5,3,0.5,"Response ~  (log10NHSqr+Gamma+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+log10Fluence+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
