"","log10PeakFlux","PhotonIndex","log10NH","log10Ta","log10Fa","Alpha","Beta","log10T90","Gamma","log10Fluence","log10PeakFluxSqr","PhotonIndexSqr","log10NHSqr","log10TaSqr","log10FaSqr","AlphaSqr","BetaSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","Response"
"GRB080310",0.113943352,2.32,21.96085591,4.32608056,-11.3990271,1.59590648,0.878,2.56229286445647,2.09352,-5.638272164,0.0129830874649959,5.3824,482.279192299782,18.7149730116099,129.937818826534,2.54691749290599,0.770884,6.56534472324454,4.3828259904,31.7901129953372,0.534026106056135
"GRB080411",1.635483747,1.75,21.57289018,4.20932562,-10.11350927,1.28909841,0.91,1.7481880270062,1.97674,-4.578396073,2.67480708670116,3.0625,465.38959071834,17.7184221751884,102.283069754376,1.66177471066453,0.8281,3.05616137776783,3.9075010276,20.9617106012618,0.307496037913213
"GRB080430",0.414973348,1.73,21.51787914,4.21762911,-11.17198494,0.99269763,0.39,1.20951501454263,2.03541,-5.920818754,0.172202879550329,2.9929,463.019122683647,17.7883953095194,124.813247499587,0.985448584607617,0.1521,1.46292657040406,4.1428938681,35.0560947177181,0.247236549506764
"GRB080516",0.255272505,1.82,22.03528962,3.77452827,-11.12090412,0.94016916,1.48,0.763427993562937,2.3315,-6.585026652,0.065164051808975,3.3124,485.55398863728,14.2470636610292,123.674508446233,0.883918049415106,2.1904,0.582822301355532,5.43589225,43.3625760075503,0.6232492903979
"GRB080607",1.36361198,1.31,22.38386741,3.46298403,-10.0540393,1.7256074,1.06,1.89762709129044,2.03418,-4.619788758,1.85943763199952,1.7161,501.03752022846,11.992258392035,101.083706245944,2.97772089893476,1.1236,3.60098857759942,4.1378882724,21.3424481685432,0.605951157564873
"GRB080710",0,1.47,20.89722339,4.09266933,-11.23284413,1.52133785,1.3,2.07918124604762,2.00149,-5.853871964,0,2.1609,436.693945411563,16.7499422447226,126.176787248875,2.31446885384262,1.69,4.32299465391613,4.0059622201,34.2678169709052,0.265996370495079
"GRB080721",1.320146286,1.11,21.79728278,2.87876286,-8.714442691,1.33437559,0.735,1.20951501454263,1.9433,-4.920818754,1.74278621643959,1.2321,475.121536591284,8.28727560411538,75.9415114147233,1.78055821518785,0.540225,1.46292657040406,3.77641489,24.2144572097181,0.555215405126073
"GRB080810",0.301029996,1.34,21.45079548,3.2687548,-9.931814138,1.44529526,1.079,2.02530586526477,2.11482,-5.337242168,0.09061905849176,1.7956,460.136626724788,10.684757942523,98.6409320717767,2.08887838857847,1.164241,4.10186384787588,4.4724636324,28.4861539598773,0.638489256954637
"GRB080928",0.322219295,1.77,21.51035195,4.08450503,-11.1260984,1.76031774,0.99,2.44715803134222,2.13864,-5.602059991,0.103825274070297,3.1329,462.695241012869,16.6831813400953,123.790065606483,3.09871854575871,0.9801,5.98858243036273,4.5737810496,31.3830761427629,0.430075055551939
"GRB081007",0.414973348,2.51,21.69605744,3.58176278,-10.58502665,1.00469263,0.92,1,2.102,-6.148741651,0.172202879550329,6.3001,470.718908439779,12.8290246121933,112.04278918121,1.00940728077632,0.8464,1,4.418404,37.8070238907422,0.184549481320698
