"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","log10Fa","Alpha","log10T90","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","AlphaSqr","log10T90Sqr","Response"
"081008A",0.113943352,21.1376737,1.69,3.85550833,-10.79317412,1.47398467,2.268297087,0.0129830874649959,446.801249447672,2.8561,14.8649444826994,116.492607584638,2.17263080739501,5.14517167489269,0.472537053262077
"081028A",-0.301029996,20.90308999,1.25,4.75426,-11.3994,2.20023,2.414973348,0.09061905849176,436.939171130038,1.5625,22.6029881476,129.94632036,4.8410120529,5.83209627155033,0.60616631460762
"081029A",-0.301029996,21.49704581,1.43,4.48156171,-11.86327943,2.51960373,2.431283332,0.09061905849176,462.122978557239,2.0449,20.0843953605381,140.737398834261,6.34840295622991,5.91113864046102,0.685553652846326
"081203A",0.462397998,21.66176916,1.54,4.02089,-10.9243983,1.86904,2.46834733,0.213811908554408,469.232243141127,2.3716,16.1675563921,119.342478217043,3.4933105216,6.09273854151813,0.491361693834273
"081221A",1.260071388,21.57331844,1.21,2.93195749,-9.354577731,1.23586126,1.531478917,1.58777990285625,465.408068513644,1.4641,8.5963747231671,87.5081245253211,1.52735305396879,2.34542767321549,0.513217600067939
"081228A",-0.22184875,21.16936021,2.1,3.37295044056063,-10.9471344533445,1.31440794275622,0.477121255,0.0492168678765625,448.141811700731,4.41,11.3767946744781,119.839752739601,1.72766823998063,0.227644691972775,0.64738297011462
"081230A",-0.15490196,20.67248024,1.97,3.66959365,-11.32975415,0.99376498,0.907209226455443,0.0239946172118416,427.35143927319,3.8809,13.4659175561203,128.363329099442,0.9875688354744,0.823028580565884,0.491361693834273
"090102A",0.740362689,21.72376179,1.36,3.15380077,-9.457174573,1.42487631,1.432006687,0.548136911263311,471.921826308664,1.8496,9.94645929685259,89.4381509041977,2.03027249879922,2.05064315161272,0.406028944963615
"090205A",-0.301029996,21.81792086,2.15,3.70655,-11.3419886,1.29089,0.944482672,0.09061905849176,476.021670653223,4.6225,13.7385129025,128.64070540253,1.6663969921,0.89204751770826,0.752025387323213
"090313A",-0.096910013,22.44115763,1.91,3.60876566435634,-10.2800283838197,1.19138759227789,1.893872679,0.00939155061966017,503.605555774507,3.6481,13.0231896202373,105.678983572139,1.41940439503372,3.58675372426264,0.6414741105041
