GRB,InvZphot,InvZspec,Dlogz,Zphot,Zspec,Dz,normDz,SD,z_SD,pred_max,pred_min,linpred_max,linpred_min,InvZphot_corrected,Zphot_corrected,pred_max_corrected,pred_min_corrected,linpred_max_corrected,linpred_min_corrected
060908A,0.5227,0.4599,-0.0628000000000001,2.33196169489308,1.88336750678026,-0.448594188112821,-0.155579955402129,0,0,0.550930900495936,0.509058986538726,2.55574739464436,2.22893265048707,0.4593548745370256,1.8797505807840835,0.4901162095382563,0.4444911692542646,2.0911224516719464,1.7828587878971196
060912A,0.3537,0.2871,-0.0666,1.25787554622837,0.9368678929189,-0.321007653309468,-0.16573544044127,0,0,0.4011374759647,0.322396287468214,1.51847402481356,1.10085601016397,0.2752068125240421,0.8845463032675556,0.326896275634616,0.2410972385800189,1.1227374192074624,0.7421969077958774
060926A,0.5963,0.6232,0.0268999999999999,2.94729877659786,3.19952334664066,0.252224570042801,0.060060285233219,0,0,0.649512713773765,0.494725893871931,3.46182686185325,2.12410695625146,0.6205295502758381,3.1737799674310603,0.648821814840489,0.566524383470944,3.454734391633176,2.6857373485007203
060927A,0.6665,0.8109,0.1444,3.63980789982126,5.46993622808681,1.83012832826556,0.282866517342279,0,0,0.690934864410857,0.635450957972651,3.90834255194179,3.3196738562025,0.7683740963880807,4.866432748615375,0.7824690954148401,0.7504637773538223,5.059950761182151,4.629421628368404
061007A,0.4176,0.3541,-0.0635,1.61577268271911,1.25995608443438,-0.355816598284732,-0.157444032092237,0,0,0.431712429645934,0.401622010053291,1.702168516633,1.52128540636589,0.3448343933680046,1.2122509657700928,0.3602117695194443,0.3274242402109075,1.291984991950593,1.1253195649898298
061021A,0.3813,0.1291,-0.2522,1.40602424876737,0.346170285535609,-1.05985396323176,-0.78731047224837,0,0,0.398853860857052,0.371040838384619,1.50526609462013,1.34985377627029,0.3052806972078193,1.0196713144800422,0.324407972105285,0.2941019709986454,1.1106099058356254,0.9683483975585956
061126A,0.3969,0.3342,-0.0627,1.49402039140518,1.15873831601281,-0.335282075392368,-0.155313903915706,0,0,0.42636050683104,0.362008671827309,1.66907333671524,1.30148777218364,0.3222789798551716,1.1002886229802695,0.3543801351146762,0.2842602197128044,1.2614143053207667,0.924244348504572
061222A,0.5166,0.4897,-0.0268999999999999,2.28548886770972,2.08816146918451,-0.197327398525212,-0.0638980184469825,0,0,0.543842472929142,0.475758515322633,2.49818258115119,1.99060128320473,0.578154461206158,2.785772055717591,0.5926388052067946,0.5564397616962283,2.914162079845567,2.6011379777100707
070110A,0.4797,0.5253,0.0456,2.01786633200869,2.35196905022163,0.334102718212942,0.0996735689402774,0,0,0.502370096528281,0.443579971191666,2.1795824890854,1.77702616194031,0.558535379817561,2.618556681183869,0.5705886716570108,0.5393309954015939,2.7203917414746672,2.4620313431765477
070125A,0.3667,0.4065,0.0397999999999999,1.32648362451824,1.54976408779928,0.223280463281039,0.0875690674088024,0,0,0.389430104289036,0.355070673101069,1.45148987726234,1.26501286502563,0.2893720480635025,0.947027331808132,0.3141395312243248,0.2767003438566763,1.061292063998455,0.8910383826110404
070208A,0.5823,0.3355,-0.2468,2.82208199742682,1.16520987930793,-1.6568721181189,-0.765224717452558,0,0,0.603309380372558,0.569644306453077,3.01152386648123,2.71231060874393,0.5242970313179358,2.3442368752496,0.5471895560498894,0.5105069636250594,2.5252470355032552,2.2397161706401536
070223A,0.5567,0.4199,-0.1368,2.6032965012816,1.62966242003022,-0.973634081251377,-0.370250597124245,0,0,0.591098001063168,0.533830904270316,2.90029989271263,2.41846316237633,0.4964024136402293,2.136190346193693,0.5338836280361047,0.4714834807490418,2.418878192268235,1.9613073240616763
070306A,0.5932,0.3972,-0.196,2.91922322454977,1.49574379483157,-1.4234794297182,-0.570362804333552,0,0,0.63169947076376,0.567505105754835,3.28252069915714,2.69406987241979,0.5361740365010216,2.4369565078928916,0.5781243496943466,0.5081760188745383,2.785509580892516,2.2223745500218284
070411A,0.6372,0.5966,-0.0406,3.33710563500441,2.95002641597884,-0.387079219025578,-0.0979940836496045,0,0,0.666430715833727,0.620605298718431,3.63906775783314,3.17450801008111,0.642275361354256,3.3880883323764452,0.6578168191588318,0.6334522503769509,3.547961914423377,3.2998395534039826
070508A,0.4266,0.2601,-0.1665,1.6705456121919,0.820119908460103,-0.850425703731795,-0.467236086907752,0,0,0.43621589010517,0.416998051625914,1.73033470947066,1.61214963549352,0.3546410948953231,1.262773557033416,0.365118890915423,0.3441784902525027,1.318029138543757,1.2089123851690688
070529A,0.7118,0.544,-0.1678,4.14991427647867,2.49945167028357,-1.6504626061951,-0.471634633565707,0,0,0.728755951200334,0.69050495472075,4.35495654844718,3.90348616983647,0.6819388700694144,3.8077167177264784,0.6909540512786403,0.6706166688090496,3.908559404339985,3.6839976532115335
070612A,0.4423,0.223,-0.2193,1.76885364129124,0.671090614310708,-1.09776302698053,-0.656914123973663,0,0,0.461267543089755,0.404820799098168,1.89246120753909,1.53992445214315,0.3717483408929791,1.353685007025048,0.3924160113138437,0.3309097479233481,1.4684026916402677,1.1424453266791446
070721B,0.5571,0.6652,0.1081,2.6066167888196,3.6259400476616,1.01932325884201,0.220349431324185,0,0,0.605595822664577,0.531841973094861,3.03269914037124,2.40284347770763,0.705267836922105,4.073034746518675,0.7332421510728064,0.6906980051170384,4.410559172719776,3.905666327338534
