GRB,InvZphot,InvZspec,Dlogz,Zphot,Zspec,Dz,normDz,SD,z_SD,pred_max,pred_min,linpred_max,linpred_min,InvZphot_corrected,Zphot_corrected,pred_max_corrected,pred_min_corrected,linpred_max_corrected,linpred_min_corrected
051028A,0.4689,0.6628,0.1939,1.94374373371174,3.60044666393478,1.65670293022304,0.36011784316744,0,0,0.482788610875385,0.452219094146823,2.03940526105884,1.83282074505049,0.663361741565176,3.606400997353738,0.672432991420806,0.6524667236134102,3.703628264562081,3.4922790274072053
051111A,0.5,0.4065,-0.0935,2.16227766016838,1.54976408779928,-0.612513572369097,-0.240223625118888,0,0,0.54042241617774,0.473600673072478,2.47074267838394,1.97577898925132,0.42069765266375,1.6344966621273236,0.4648332247259378,0.3918733144332081,1.9163068955099711,1.465320087870801
060115A,0.5371,0.6561,0.119,2.44429229394315,3.5300187543224,1.08572646037925,0.239673723059818,0,0,0.549342960929287,0.525131212051081,2.54277002032864,2.35066656521343,0.7079060984994194,4.103946324586074,0.7159025035077209,0.7000887676714588,4.198792736702844,4.012896843204029
060124A,0.5412,0.518,-0.0232,2.47696244617813,2.29609712177458,-0.180865324403552,-0.0548725713234373,0,0,0.568492177764733,0.530094721330059,2.70247536677548,2.3891806743868,0.606015991342647,3.0366025604069327,0.6231568079869988,0.599041335560071,3.199105711015216,2.97229355421829
060206A,0.5939,0.7031,0.1092,2.92554535970109,4.04777513500947,1.12222977530838,0.222321665544294,0,0,0.62129783497094,0.549226095966623,3.18117008962998,2.5418168192105,0.7450046245091706,4.559101767516085,0.7628993303767813,0.7158261739679845,4.792944002040518,4.197879101822308
060210A,0.5925,0.6911,0.0986,2.91291127126853,3.91020924883086,0.99729797756233,0.203107021925754,0,0,0.627445668649621,0.57157436409293,3.24077927358525,2.72884528364824,0.7440902242201979,4.547409478338927,0.7669147452998829,0.7304227902770813,4.8467529749136515,4.375548570721579
060223A,0.655,0.7332,0.0781999999999999,3.51855944374922,4.41003406863468,0.891474624885453,0.164781702587399,0,0,0.684720022407444,0.632857892705425,3.83860335693659,3.29395899365753,0.7849116656921952,5.094129317127392,0.8043230921762259,0.7704497019003202,5.3726943943423535,4.894537051454135
060306A,0.3855,0.4081,0.0226,1.42940544202042,1.55917509090989,0.129769648889472,0.0507076086159204,0,0,0.415199270717179,0.358001471290772,1.60135288836469,1.28034979729298,0.2956798165477731,0.9755126570943498,0.3281072275458894,0.2656553051451464,1.1286645495518148,0.8435516312771283
060418A,0.397,0.396,-0.001,1.49459472694295,1.48885731828239,-0.0057374086605639,-0.0023052380778997,0,0,0.429786717893489,0.381220829131489,1.6902133151672,1.40558567614959,0.3082361931009062,1.0334626184932434,0.3440346605628186,0.2910075660468843,1.208180958469459,0.9543735035318583
060510B,0.5561,0.7709,0.2148,2.5983218003888,4.90065196995666,2.30233016956786,0.390182336001215,0,0,0.574860182925298,0.536177526043679,2.75716426401827,2.4369841238425,0.7203158167069066,4.25189236323588,0.7325689000555309,0.707303591033541,4.402178125721501,4.096870403169995
060512A,0.3666,0.1584,-0.2082,1.32594799353611,0.44012437117557,-0.885823622360544,-0.615102167625598,0,0,0.392184609689144,0.297074726435256,1.46708782287688,0.981868004557697,0.2750436846474066,0.8838385707942698,0.302978466666696,0.1991319007484056,1.0089931995708796,0.5817283573127208
060526A,0.5872,0.6254,0.0381999999999999,2.86544946598284,3.22085079179884,0.355401325816006,0.0842013478672485,0,0,0.619861280671692,0.557179511147038,3.16736251209218,2.60727715293222,0.6349062313387771,3.3142591746254064,0.6554191060602149,0.6160519024743594,3.5229220819642704,3.130968681906614
060604A,0.5345,0.4963,-0.0382,2.42373387626452,2.13545086914429,-0.288283007120233,-0.0919430790503534,0,0,0.553491797776312,0.50979704386425,2.57677645298936,2.23442469250597,0.6018080650823412,2.9976803463884503,0.613735838902246,0.5862934057046087,3.108997139279177,2.8573887159742495
060707A,0.533,0.6459,0.1129,2.41192911621929,3.42486474355665,1.01293562733736,0.228919003414143,0,0,0.560258780658473,0.504028956147163,2.63294464557837,2.19175065476678,0.6008659920389892,2.989017963436029,0.6179858336743185,0.5826707657379704,3.1494050739851964,2.825346377209246
060708A,0.4863,0.4654,-0.0209,2.06407929380605,1.92011530139416,-0.143963992411892,-0.049300790397954,0,0,0.513144622359052,0.467009986010691,2.25945224414921,1.93096063792739,0.405739186683061,1.5453012259491623,0.4350497246627925,0.3846772145643681,1.723013062338813,1.42480720920525
060714A,0.541,0.5695,0.0285,2.47536161443206,2.71107729492926,0.2357156804972,0.0635167801056791,0,0,0.563306119935962,0.519586335104662,2.65852578232661,2.30815869708118,0.6058903816035335,3.035435234322107,0.6198997111324988,0.5924415572986852,3.167731295842657,2.9123847489934622
060729A,0.4559,0.1875,-0.2684,1.8569326345837,0.539926526059492,-1.3170061085242,-0.855239575549285,0,0,0.465389821546352,0.445826815564955,1.92004686416737,1.79143047523249,0.3725466782295615,1.35801562326527,0.3829082236867816,0.3615481828508151,1.414950446499069,1.2990487633424483
060814A,0.4928,0.4658,-0.027,2.11028366868514,1.92280606593193,-0.187477602753213,-0.0641430182243161,0,0,0.504499703645136,0.461161142054755,2.19521218445126,1.8917526487575,0.4128362690826579,1.5872373314860022,0.4256106938242571,0.3782911026416509,1.664469135313893,1.3894123421286269
060906A,0.5907,0.6708,0.0801,2.896727173079,3.68597535308626,0.789248180007262,0.168427727535411,0,0,0.609437176377884,0.57138087524241,3.0685267557219,2.72718436157606,0.7429145667058044,4.532412663105489,0.7551526234875687,0.7302964143764895,4.690528771457051,4.373984560611579
060908A,0.5302,0.4599,-0.0703,2.39000235575617,1.88336750678026,-0.506634848975912,-0.175709425796246,0,0,0.542645623325707,0.516213971294637,2.48855539311408,2.28256981263553,0.453671789351108,1.8423122665483396,0.467260653082937,0.4384010204026328,1.9326528247267944,1.744106865703403
060912A,0.333,0.2871,-0.0459,1.15278173472437,0.9368678929189,-0.215913841805473,-0.111475771060506,0,0,0.351448749978376,0.310074636559787,1.24620169162464,1.04208886184158,0.238357227935644,0.7312398010605461,0.2585006585150435,0.213325967416275,0.8134294255480414,0.6342781240674786
060926A,0.5403,0.6232,0.0829,2.46976450528852,3.19952334664066,0.729758841352139,0.173771826256401,0,0,0.597096794192049,0.508936880320025,2.9545474796089,2.22802493152872,0.6054507475166359,3.031352250776221,0.6411219000213988,0.5857531811126832,3.376449283621594,2.852593442718513
060927A,0.6083,0.8109,0.2026,3.05788747591729,5.46993622808681,2.41204875216953,0.372808736769076,0,0,0.654660753560421,0.583985089629547,3.51503117730022,2.83694072129034,0.7544098846243188,4.680805035790382,0.7846900892333494,0.7385287695749698,5.091020893594359,4.476823806478788
061007A,0.409,0.3541,-0.0549,1.56448403651772,1.25995608443438,-0.304527952083342,-0.134749499860109,0,0,0.424973178634799,0.380761935561337,1.66056074254894,1.40304517694184,0.3213384990693928,1.095745291329591,0.338778955216262,0.290506519049959,1.1816192408190995,0.9521200364476916
061121A,0.3922,0.3644,-0.0278,1.4671752518516,1.31419526151125,-0.152979990340348,-0.0661050486467796,0,0,0.414728438669934,0.377296019876956,1.59853420962249,1.3839438379403,0.3029952707135115,1.0090709345417603,0.327593145417325,0.286722228403481,1.1261463020780558,0.9351838385121474
061126A,0.3923,0.3342,-0.0581,1.46774340535585,1.15873831601281,-0.309005089343038,-0.143141522550899,0,0,0.420997353944726,0.37400701339848,1.63631532332031,1.36595790490557,0.3031044565965822,1.0095760981358015,0.334437915919062,0.2831310976357037,1.15992124358311,0.9192480040830312
070110A,0.499,0.5253,0.0263,2.15500462337463,2.35196905022163,0.196964426847002,0.0587608130910333,0,0,0.51914439193109,0.477739550440912,2.30479398814983,2.0042740772665,0.5795123363896757,2.797627262012698,0.5921639954650082,0.5661597387769003,2.9098851046499794,2.682644008474971
070125A,0.4152,0.4065,-0.0087,1.60135725665313,1.54976408779928,-0.05159316885385,-0.0202344872220631,0,0,0.437579894042114,0.390104042673018,1.73892344803116,1.4552970536472,0.3281080238197776,1.1286684524371196,0.3525437087599517,0.3007067811972607,1.2518720408113824,0.9985120961133268
070208A,0.5101,0.3355,-0.1746,2.23668175701653,1.16520987930793,-1.0714718777086,-0.494858206563827,0,0,0.540650135591093,0.48911500301041,2.47256301634493,2.08400449952975,0.4317254268538928,1.7022493861193708,0.4650818621783307,0.4088127725784445,1.9179769851627897,1.5633787075936731
070223A,0.5015,0.4199,-0.0816,2.17321866383614,1.62966242003022,-0.54355624380592,-0.206701909593275,0,0,0.520636206166169,0.47581794464397,2.31616557174203,1.99101054828397,0.4223354409098107,1.644450492668112,0.4432294765985764,0.3942942619786178,1.7747858848015214,1.4791012365736065
070306A,0.6305,0.3972,-0.2333,3.27070919440746,1.49574379483157,-1.77496539957589,-0.711196959900955,0,0,0.682258161657921,0.598000769293925,3.81125263171228,2.96278736208992,0.5631852300710423,2.657507539738695,0.6196978359384153,0.5277006580334231,3.1657944394410453,2.37054909991264
070411A,0.6262,0.5966,-0.0296,3.22863305181499,2.95002641597884,-0.278606635836155,-0.0705328538333622,0,0,0.65279723028277,0.60921205480353,3.49569904156381,3.06641833426913,0.6594001304659307,3.5645727208521523,0.6761044862507473,0.6487308736449063,3.743560961465721,3.4538016686180235
070508A,0.4245,0.2601,-0.1644,1.65766354955431,0.820119908460103,-0.837543641094208,-0.460158496811787,0,0,0.439499350863494,0.401304104358499,1.75105549300654,1.51944048838622,0.3382623109453547,1.1790254917079448,0.3546394846405367,0.3129356674530187,1.262765167253329,1.0555860770727006
070521A,0.5973,0.4895,-0.1078,2.95639824004252,2.08673964568386,-0.869658594358658,-0.28174018355409,0,0,0.626537752332957,0.56115613671079,3.23192295360282,2.64045893677412,0.6412495231640143,3.3777355497589587,0.6596122553780694,0.6185494169724363,3.566802765516494,3.154793246084638
070529A,0.7203,0.544,-0.1763,4.25170109640413,2.49945167028357,-1.75224942612056,-0.500721138971629,0,0,0.761493709436152,0.681327368276925,4.77422508943278,3.8009520483052,0.7184995127188836,4.22997379375506,0.7443711681958678,0.6940228022023525,4.5509992441444975,3.943366409620312
070714B,0.4911,0.284,-0.2071,2.0981325884844,0.923091728910158,-1.17504085957424,-0.611016542741909,0,0,0.50422826921617,0.46316428625263,2.19321579799321,1.90512140489404,0.4109801090704557,1.5762031627584945,0.4253143257460327,0.3804782533232806,1.6626514879500591,1.401476014388919
070721B,0.5726,0.6652,0.0926,2.73766178317571,3.6259400476616,0.888278264485891,0.192021136316912,0,0,0.593564153149681,0.553680521877692,2.92251084632779,2.57833109077143,0.731092677255514,4.383846600736317,0.744785268468469,0.7187355513539054,4.556294652299058,4.2328170520876975
070802A,0.565,0.5378,-0.0272,2.67282300498085,2.44984831362751,-0.22297469135334,-0.0646331870513121,0,0,0.635494547264797,0.545868506655999,3.32010743522108,2.51454013064296,0.6209635502971664,3.1779530022454088,0.665237558751482,0.608948040858198,3.6263401265320105,3.0639470505370374
