"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10T90Sqr","log10FaSqr","log10TaSqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","PhotonIndexSqr","log10NHSqr","log10PeakFluxSqr","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","log10z","Redshift_crosscheck"
"GRB060124",2.8750612633917,-10.6893,4.47599,1.3641,0.99,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,8.26597726825548,114.26113449,20.0344864801,1.86076881,0.9801,4.0358801025,40.1486859678459,3.3856,480.366478779507,0.00256137139146005,1.30678232181628,0.0444500000000003,0.036665,0.01627,0.076380116,3.21212121212121e-08,0.115151515151515,0.109090909090909,0.000756704468551373,0.0302604450950157,0.0532332357362408,0.517987203025078,2.296
"GRB060210",2.40654018043396,-10.66756154,4.15028,1.20511,0.979,2.08163,-5.11577123,1.53,22.3877421,0.434568904,5.79143564004309,113.796869209687,17.2248240784,1.4522901121,0.958441,4.3331834569,26.1711152776957,2.3409,501.210996336112,0.188850132323761,121.976522977757,0.0292000000000003,0.030365,0.02297,0.083622271,2.47878787878788e-07,0.0545454545454545,0.16969696969697,0.207740120984255,0.0140538367709601,0.027095021154743,0.691081492122968,3.91
"GRB060218",3.32221929473392,-11.82390874,5.07614,1.3185,0.2529,1.87322,-5.804100348,2.26,21.59972155,-0.602059991,11.0371410423023,139.804817891848,25.7671972996,1.73844225,0.06395841,3.5089531684,33.6875808496537,5.1076,466.547971037534,0.36247623276292,0.213016433189357,0.160200000000001,0.14064,0.108235,0.02,9.21212121212121e-08,0.103030303030303,0.0666666666666667,4.40532673756431e-05,0.0254826332026628,0.115811861753411,0.0141423615450058,0.0331
"GRB060306",1.78675142214556,-10.70553377,3.61496,1.03794,0.76,2.28823,-5.671620397,1.8,21.61973178,0.775974331,3.19248064453919,114.60845330061,13.0679358016,1.0773194436,0.5776,5.2359965329,32.1672779276664,3.24,467.412802239142,0.602136162370898,3.5188407189561,0.0349500000000003,0.04452,0.02498,0.01,7.15151515151515e-08,0.0606060606060606,0.193939393939394,0.0249708024009658,0.014581519111212,0.0141083431552143,0.408070285887185,1.559
"GRB060418",2.01325866528352,-9.792961075,3.11887,1.47655,0.98,1.94118,-5.079354999,1.7,21.65363309,0.814247596,4.05321045333917,95.9020866164651,9.7273500769,2.1801999025,0.9604,3.7681797924,25.7998472058663,2.89,468.879825996343,0.662999147591779,45.254833995939,0.0490400000000006,0.057245,0.044705,0.005,1.53333333333333e-07,0.0363636363636364,0.212121212121212,0.1906297253529,0.0079942161609691,0.0141293055003077,0.396024896608593,1.489
"GRB060526",2.47450763911698,-11.3053948,3.8752,1.05873,0.93,1.90677,-5.899629455,2.01,21.67796993,0.222716471,6.12318805604827,127.811951583867,15.01717504,1.1209092129,0.8649,3.6357718329,34.8056277063036,4.0401,469.934380285984,0.0496026264546938,23.0482186783306,0.06785,0.09216,0.0623145,0.0305,1e-07,0.145454545454545,0.109090909090909,0.0335671166656554,0.034467816033398,0.0283698082994557,0.625415352154408,3.221
"GRB060604",1.97772360528885,-11.76955108,4.45991,1.21596,1.02,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,3.91139065891672,138.522332624729,19.8907972081,1.4785587216,1.0404,4.71367521,40.905924381124,4.0401,483.561444469534,0.219512005215493,17,0.0419499999999999,0.04994,0.0469499999999999,0,6.42424242424242e-08,0.254545454545455,0.0787878787878788,0.0777158546563714,0.0694033093482565,0.100638650005198,0.496334505996816,2.1357
"GRB060605",1.89817648349768,-11.26121944,4.04162,1.9179,0.835,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,3.6030739625036,126.815063275834,16.3346922244,3.67834041,0.697225,4.0855728384,37.9057826258936,2.4025,474.078248968644,0.11373227987734,35.0141649091828,0.0531499999999996,0.037375,0.085,0.10149311,5.45454545454545e-08,0.121212121212121,0.0727272727272727,0.192243471662561,0.0339867861224412,0.068663159143846,0.679427896612119,3.78
"GRB060614",2.03622954408629,-11.78251606,5.03344,1.9453,0.783,1.89544,-4.690369833,2.02,20.51216256,1.06069784,4.14623075620988,138.827684704158,25.3355182336,3.78419209,0.613089,3.5926927936,21.9995691703164,4.0804,420.748812887866,1.12507990778067,3.31042292001389,0.0429000000000004,0.0289,0.0598299999999999,0.00600000000000001,2.2e-07,0.0242424242424242,0.448484848484848,0.0132262962918867,0.00468356794668692,0.0169369126150239,0.0511525224473813,0.125
"GRB060707",1.8208579894397,-10.9132,3.5545,0.861995,1.12,2.09345,-5.795880017,0.6,21.20847898,0.004321374,3.31552381770639,119.09793424,12.63447025,0.743035380025,1.2544,4.3825329025,33.5922251714599,0.36,449.799580645102,1.8674273247876e-05,6.31420049148106,0.0769500000000001,0.127895,0.0364485,0.035,9.15151515151515e-08,0.3636363636,0.139393939393939,0.0414232995631575,0.0248403283013014,0.0599386323358868,0.645913275033844,3.425
"GRB060708",1.00860017176192,-10.86966623,3.50569,1.12969,1.485,2.20484,-6.306273051,1.68,20.79066861,0.28780173,1.01727430647817,118.149643951602,12.2898623761,1.2761994961,2.205225,4.8613194256,39.7690797937688,2.8224,432.251901250839,0.0828298357909929,3.60124423553101,0.0611499999999996,0.062725,0.028525,0.3341015195,2.24242424242424e-08,0.0727272727272727,0.0848484848484849,0.153333382301668,0.019714017700399,0.0189944478152724,0.465382851448418,1.92
"GRB060714",2.06069784035361,-10.86012091,3.73449,1.20488,0.87,2.04425,-5.548213564,1.93,22.0125926,0.10720997,4.24647558923804,117.942226179819,13.9464155601,1.4517358144,0.7569,4.1789580625,30.7826737517536,3.7249,484.554232973575,0.0114939776674009,9.12936538358046,0.0352000000000006,0.046765,0.0353049999999999,0.00499999999999999,1.01212121212121e-07,0.0666666666666667,0.0787878787878788,0.0344768087771092,0.0155321080197879,0.0267321413833549,0.569490954348783,2.711
"GRB060729",2.0618293072947,-11.15058059,5.1057,1.35481,1.317,1.92492,-5.583359493,1.75,20.86562801,0.068185862,4.25114009241934,124.335447494085,26.06817249,1.8355101361,1.734489,3.7053170064,31.1739032280732,3.0625,435.374432251696,0.00464931177668304,33.90346061055,0.0116000000000005,0.012825,0.0134249999999999,0.077392286,1.27878787878788e-07,0.0848484848484849,0.0787878787878788,0.12770239254628,0.0212785639737521,0.0292454196396911,0.187520720836463,0.54
