"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"060607A",2.009450896,-10.4192136506336,3.65888548653492,1.34228271777493,0.917414348937395,1.61002,-5.59345982,1.47,21.79614607,0.146128036,11.66246372,0.824348879996783,0.503454969471403,0.241737386058814,0.178557239723894,0.019074895,0.08,0.040327345,0.0495591353879173,3.07,0.60959440922522
"060614A",2.036229544,-11.78251606,5.03344,1.9453,0.783,1.89544,-4.690369833,2.02,20.51216256,1.06069784,3.31042292,0.0429,0.0289,0.05983,0.006,0.007727887,0.04,0.027945906,0.0132262962944593,0.125,0.0511525224473813
"060707A",1.820857989,-10.9132,3.5545,0.861995,1.12,2.09345,-5.795880017,0.6,21.20847898,0.004321374,6.314200491,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,0.0414232996019404,3.425,0.645913275033844
"060708A",1.008600172,-10.86966623,3.50569,1.12969,1.485,2.20484,-6.306273051,1.68,20.79066861,0.28780173,3.601244236,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,0.153333382237578,1.92,0.465382851448418
"060714A",2.060660074,-10.86012091,3.73449,1.20488,0.87,2.04425,-5.548213564,1.93,22.0125926,0.10720997,9.129365384,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,0.0344798070207195,2.711,0.569490954348783
"060729A",2.062017599,-11.15058059,5.1057,1.35481,1.317,1.92492,-5.583359493,1.75,20.86562801,0.068185862,33.90346061,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,0.127647038192483,0.54,0.187520720836463
"060814A",2.162265614,-10.91009489,4.22387,1.29504,0.97,2.11591,-4.835647144,1.53,22.00679538,0.861534411,4.898458524,0.0353,0.034855,0.024565,0,0.007109341,0.03,0.017323989,0.0146412491965932,1.9229,0.465813957269479
"060904B",2.234264124,-10.5849135242418,3.7518420743006,1.30299518838922,0.974845285889291,2.18877,-5.790484985,1.64,21.59122827,0.387389826,0.58,0.905427609653774,0.53027759129575,0.250366793428078,0.189465306923104,0.038335871,0.14,0.037377804,0.00146875101879641,0.7,0.230448921378274
"060906A",1.638489257,-11.8827287,4.33479,1.71887,1.06,2.07859,-5.655607726,2.03,22.41960057,0.294466226,8.166987204,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,0.0815374132437055,3.686,0.670802284260944
"060908A",1.285557309,-9.627087997,2.81918,1.38309,1.185,2.13395,-5.552841969,1,21.80952201,0.481442629,1.330335293,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,0.0299356101990356,1.8836,0.459935016851525
"060912A",0.698970004,-10.1079054,2.455171016,1.045731532,0.63,1.8948,-5.869666232,1.74,21.36738202,0.933487288,0.58,0.147419953,0.156564864,0.028937785,0.0785,0.019945376,0.09,0.022271512,0.0503781599397554,0.937,0.287129620719111
"060926A",0.903089987,-10.84771166,3.351,1.45111,1.357,2.00443,-6.659555885,2.54,22.50004427,0.037426498,1.212679677,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,0.0658325115034435,3.2,0.6232492903979
"060927A",1.352953912,-10.77728353,3.15198,1.39098,0.83,1.94856,-5.946921557,0.9,22.10710478,0.431363764,1.294276634,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.027344467,0.0249377639674928,5.47,0.8109042806687
"061007A",1.876852648,-9.09464464150133,3.14188154016111,1.56287403912179,1.00076199950335,1.99824,-4.35261703,1.03,21.74186197,1.164352856,11.66246372,0.969215146110917,0.529041883111729,0.266135644308382,0.181207609070461,0.005497151,0.03,0.011006093,0.0672545961272547,1.26,0.354108439147401
"061021A",1.664641976,-10.04095861,3.23849,1.01707,0.785,1.99282,-5.528708289,1.3,20.87141063,0.78604121,5.398832468,0.0264,0.03399,0.010415,0.016800037,0.014818832,0.06,0.019191409,0.0507507174713444,0.3463,0.129141845792285
"061121A",1.90982337,-10.03011836,3.78753,1.35185,0.9485,1.90181,-4.863279433,1.41,21.75351565,1.324282455,46.12748458,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.009468031,0.246558916936231,1.314,0.364363354615731
"061126A",2.281033367,-10.6129056086836,3.64424254520246,1.19082126112496,0.919960872864052,1.9269241917552,-5.169411331,1.32,21.38058204,0.989449818,0.297321378,0.87425662566814,0.492120401108809,0.284238599917496,0.166769272594933,0.0190994093843814,0.06,0.0246693811930976,0.000676047297858249,1.1588,0.334212409393176
"061222A",1.853698212,-9.954677021,3.92091,1.35061,0.86,1.92748,-5.097453221,1.35,22.56660835,0.930949031,16,0.02311,0.024435,0.018075,0.005,0.008588051,0.04,0.013237581,0.0973208922530927,2.088,0.489677291663699
"070110A",1.946550511,-11.04866248,4.26825,1.42725,1.186,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,14.47803302,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.086858896,0.0711120769415451,2.352,0.525304009958239
"070125A",1.77815125,-10.7818249279029,4.27199680345558,1.56710550827203,0.894685758869131,1.95142632719767,-5.49527903539734,1.66719216524827,21.1168251059769,0.461366700396796,3.693579286,0.844932447454705,0.493515184229057,0.260776495350556,0.18379041865902,0.0330719907495403,0.177142407809118,0.0593602352348791,0.0267350183966495,1.55,0.406540180433955
"070208A",1.806179974,-10.86327943,3.44468,1.2125,1.14,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,22.627417,0.1619,0.14114,0.06357,0.015,0.098570208,0.36,0.106160873,0.153546286600926,1.165,0.335457900689384
"070223A",1.9408513687054,-11.86327943,4.22335,0.991734,1.03,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,8.08530616,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722848,0.0402373538487879,1.6295,0.419873175149476
"070306A",2.321184027,-11.2737,4.86926,1.89982,0.831,1.94468,-5.269217724,1.66,22.44245468,0.609594409,64.76757163,0.0335,0.02824,0.06188,0.001,0.02308703,0.1,0.022408315,0.134263479640872,1.4959,0.397227181043161
"070411A",2.089021501,-10.7306891808701,3.52451102114162,1.35919354547361,0.994961151066193,2.2428,-5.568636236,1.72,22.32139542,-0.040958608,3.285061929,0.896206110556883,0.54388957631638,0.283380002578361,0.181071855274788,0.02493172,0.1,0.062042069,0.0116226824260834,2.95,0.59659709562646
"070508A",1.320146286,-9.161150909,3.02525,1.37377,0.764,1.82568,-4.707743929,1.1,21.89306622,1.382017043,0.735923906,0.010795,0.01189,0.013355,5e-04,0.006049102,0.060606061,0.010992516,0.0152922340458476,0.82,0.260071387985075
