"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"080928A",2.368584372,-11.1260984,4.08450503,1.76031774,0.99,2.13864,-5.602059991,1.77,21.51035195,0.322219295,20.80043462,0.064484035,0.047916769,0.075970735,0,0.034743559,0.12,0.02068069,0.0386609346233468,1.692,0.430075055551939
"081007A",0.958563883,-10.58502665,3.58176278,1.00469263,0.92,2.102,-6.148741651,2.51,21.69605744,0.414973348,2.937133306,0.053161115,0.084284398,0.039134851,0.005,0.048934589,0.2,0.066814536,0.140327919478768,0.5295,0.184549481320698
"081008A",2.268297087,-10.79317412,3.85550833,1.47398467,0.84,1.98207,-5.366531544,1.69,21.1376737,0.113943352,40.34414957,0.06052989,0.056285684,0.063988679,0.025,0.020199743,0.07,0.033407268,0.0944643171466364,1.9685,0.472537053262077
"081028A",2.414973348,-11.3994,4.75426,2.20023,0.945,2.51,-5.431798276,1.25,20.90308999,-0.301029996,32.58849643,0.0572,0.03025,0.054715,5e-04,0.023475377,0.38,0.086858896,0.0544346314312377,3.038,0.60616631460762
"081029A",2.431283332,-11.86327943,4.48156171,2.51960373,0.87,1.95818,-5.677780705,1.43,21.49704581,-0.301029996,45.6827768,0.083250805,0.04285341,0.169198521,0.001,0.041361379,0.18,0.173717793,0.0734942688403521,3.8479,0.685553652846326
"081203A",2.46834733,-10.9243983,4.02089,1.86904,0.82,2.03508,-5.113509275,1.54,21.66176916,0.462397998,82.96987405,0.05695,0.03932,0.064395,0.0325,0.016920564,0.06,0.029951344,0.122562443871835,2.1,0.491361693834273
"081221A",1.531478917,-9.354577731,2.93195749,1.23586126,0.991,2.4947,-4.742321425,1.21,21.57331844,1.260071388,0.8019177,0.0249855,0.031176651,0.012861856,5e-04,0.007198251,0.13,0.011931167,0.0102431891789539,2.26,0.513217600067939
"081228A",0.477121255,-10.9891499703571,3.36382937596547,1.28917055544911,0.995092940924542,2.11824052948599,-7.050609993,2.1,21.16936021,-0.22184875,4.129211073,0.878405434289974,0.503667680705283,0.268485160347039,0.179717846048839,0.0674679414874554,0.31,0.103319586082909,0.597764527486711,3.44,0.64738297011462
"081230A",0.907209226455443,-11.32975415,3.66959365,0.99376498,1.02,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,13.77430841,0.0701444,0.08735027,0.040381418,0.02,0.02568693,0.096969697,0.142225970771007,0.740704337003765,2.1,0.491361693834273
"090102A",1.432006687,-9.457174573,3.15380077,1.42487631,0.667,1.76997,-7.167491087,1.36,21.72376179,0.740362689,2.240000004,0.036239983,0.041590346,0.021786596,0.002673458,0.019160051,0.08,0.063170107,0.0359770577590371,1.547,0.406028944963615
"090205A",0.944482672,-11.3419886,3.70655,1.29089,1.01,2.03416,-6.721246399,2.15,21.81792086,-0.301029996,1.794079127,0.13445,0.114585,0.084185,0.025,0.068572813,0.23,0.086858896,0.0885407574117407,4.6497,0.752025387323213
"090313A",1.893872679,-10.2889662426282,3.63731127271404,1.16938612936099,0.964829832737286,2.07619,-5.853871964,1.91,22.44115763,-0.096910013,6.314200491,0.992010235318336,0.489210944527025,0.244730225662201,0.178848964983414,0.062042069,0.29,0.162860431,0.0350130545145328,3.38,0.6414741105041
"090418A",1.748188027,-10.04720756,3.52813657,1.52909667,0.98,2.03408,-5.337242168,1.48,22.02365981,0.278753601,4.129211073,0.028659405,0.030759021,0.042154514,0.003531332,0.018882369,0.07,0.068572813,0.0320230997079162,1.608,0.416307587059883
"090423A",0.989894564,-11.2798407,3.91521772,1.43267533,0.77,1.8158,-6.229147988,0.8,22.7516324,0.230448921,1.061728761,0.08569564,0.077643595,0.064053366,0.005,0.029443694,0.5,0.051093469,0.047195797531391,8.26,0.966610986681934
"090424A",1.681241237,-9.050609993,2.99599056,1.1284106,0.924,1.96315,-4.677780705,1.19,21.63012977,1.851258349,2.27250697,0.011257098,0.013394814,0.005546887,0,0,0.15,0.012233647,0.0205611924585667,0.544,0.188647295999717
"090519A",1.806179974,-11.76000021,3.44619,1.42452,0.63,1.46604,-5.920818754,1.02,22.13069392,-0.22184875,8.24011649,0.21145,0.24029,0.3065,0.03,0.036191207,0.2,0.144764827,0.0559162050267847,3.85,0.685741738602264
"090529A",1.837651558,-12.1873998,4.472757799,0.8815438,0.64,2.22623,-6.167491087,2,21.45079548,-0.397940009,10.5274432,0.11547934,0.21900534,0.113675222,0.125,0.10857362,0.3,0.108573621,0.0664439832683159,2.625,0.559308010907013
"090530A",1.681241237,-11.16052195,3.6839464,0.88610581,1.09,2.03975,-5.958607315,1.61,20.90942658,0.397940009,35.77708764,0.089175625,0.115365029,0.038514202,0.035,0.039481317,0.17,0.052115338,0.323703994876218,1.266,0.355259905527378
"090618A",2.05388479,-9.640164518,3.67275453,1.30942861,0.8945,1.82831,-3.978810701,1.42,21.39200012,1.589949601,0.593538562,0.009695255,0.014245613,0.010591616,0.002482662,0.004136138,0.08,0.008931506,0.00227692361547263,0.54,0.187520720836463
"090726A",1.773054693,-10.5716353024412,3.57860255698296,1.2435967866268,1.00752224635278,2.4288,-6.065501549,2.25,22.02689264,-0.15490196,11.18033989,0.857411683809568,0.488846041042127,0.278232380337431,0.194716650771685,0.050499358,0.19,0.124084138,0.0818812803389948,2.71,0.569373909615046
"090809A",0.73239376,-11.8559,4.56066,1.6367,0.96,1.94644,-6.468521083,1.34,21.91952315,0.041392685,1.216253263,0.338,0.237865,0.319405,0.01,0.063866836,0.24,0.078962633,0.0978170519448906,2.737,0.572523097849638
"090812A",1.824125834,-10.16730017,3.52924,1.37252,0.53,1.88559,-5.236572006,1.24,21.77771022,0.556302501,14.65837332,0.10615,0.13258,0.08412,0.015,0.014975672,0.05,0.024127471,0.0954430381608785,2.452,0.538070787043172
"090927A",0.342422681,-11.6716204,4.20121889,1.13087741,0.92,2.06549,-6.698970004,1.8,21.01785522,0.301029996,0.400898978,0.076268475,0.093241949,0.074843971,0.01,0.065144172,0.2,0.043429448,0.0791400972158072,1.37,0.374748346010104
"091018A",0.639486489,-9.627087997,2.89655535,1.18074867,0.91,1.98015,-5.853871964,1.77,21.19187281,1.012837225,0.601065704,0.024288603,0.034497878,0.016335114,0.002061639,0.031021034,0.24,0.016865805,0.0598714492362227,0.971,0.294686624279443
"091020A",1.590061231,-9.71219827,2.95265011,1.17417264,0.895,2.08587,-5.431798276,1.53,21.70587483,0.62324929,4.875038864,0.034480687,0.045271255,0.018244861,0.002182887,0.011737689,0.07,0.031021034,0.0544128110188212,1.71,0.432969290874406
"091024A",1.995196292,-10.096275104054,3.80420182122422,1.5020571322444,0.893865794780322,1.49013,-5.214670165,1.2,22.23512426,0.301029996,3.693579286,0.952528234075452,0.457649714170134,0.266184641273111,0.1753172578455,0.021358745,0.08,0.065144172,0.0162194246804257,1.09,0.320146286111054
"091029A",1.593286067,-11.34678749,4.30368998,1.12123368,1.064,2.11535,-5.619788758,1.46,21.45058625,0.255272505,4.829610314,0.02563352,0.034224003,0.026782025,0.002,0.018095603,0.27,0.024127471,0.0535069670717355,2.752,0.574262829707027
"091109A",1.681241237,-11.14630179,3.37933883,1.06152816,0.89,1.96352,-5.795880017,1.31,21.89596701,0.113943352,16.70810678,0.05941034,0.074268877,0.033719571,0.03,0.05428681,0.25,0.133629071,0.15117163716416,3.076,0.610234175334389
"091127A",0.84260924,-9.844663963,3.98466812,1.39581701,0.758,1.80187,-5.045757491,2.05,20.87872913,1.667452953,0.150359555,0.018562516,0.021935207,0.013587309,0.00244132,0.014476483,0.07,0.025217099,0.0093822306004846,0.49,0.173186268412274
"091208B",1.173186268,-10.18045606,3.31388094,1.1606541,0.86,2.03333,-5.48148606,1.74,21.91211094,1.181843588,2.897723268,0.036806415,0.052928177,0.030502454,0.034663611,0.026320878,0.11,0.028572005,0.0844607534610546,1.063,0.314499227973151
"100219A",1.274157849,-10.9647325843255,3.5805667731076,1.51792956955392,1.00630613803372,1.58721,-6.431798276,1.34,21.32824297,-0.397940009,0.566646277,0.882812902609974,0.505704741300952,0.272889771037184,0.189009584969612,0.070426132,0.25,0.10857362,0.0130899655022093,4.67,0.753583058892907
"100316B",0.579783597,-11.1481304,3.5543767,1.36246063,1.08,2.23535,-6.698970004,2.23,21.41315218,0.113943352,0.445223532,0.10431242,0.207348761,0.13322096,0.02,0.043429448,0.18,0.033407268,0.0508837165764397,1.18,0.338456493604605
"100316D",2.717570654,-10.9302982760122,4.68316568569275,1.71661639365782,0.950473635346895,2.49431,-6.522878745,2.29,21.60728985,-1,3.69174647,0.925870296956188,0.529629897352384,0.283870036296854,0.174187016753165,0.115811862,0.41,0,0.00307217199250236,0.06,0.0253058652647703
"100418A",0.84509804,-12.48811664,5.54363,1.81145,0.84,2.26662,-6.468521083,2.16,21.56675205,0,0.963279858,0.10745,0.075475,0.16786,0.01,0.063866836,0.25,0.086858896,0.059763875267383,0.6235,0.21045229296202
"100425A",1.568201724,-11.50168945,3.60199415,0.86819371,1.46,2.17077,-6.327902142,2.42,20.53466438,0.146128036,3.773539953,0.070859065,0.115125536,0.055076895,0.035,0.083162773,0.32,0.062042069,0.0442926372724909,1.755,0.440121603187804
"100508A",1.716003344,-10.9288571887265,3.78609955496326,1.14702407161294,0.84439641533873,1.9368495003839,-6.15490196,1.23,20.84356974,-0.397940009,22.67611617,0.894308174889362,0.506164954848845,0.300575590774394,0.184090250292119,0.0580980942149184,0.25,0.101108910335356,0.189386771448976,0.5201,0.181872159010334
"100513A",1.924279286,-11.57186521,3.74522911,0.96306136,1.36,2.25722,-5.853871964,1.62,22.05240534,-0.22184875,14.87086076,0.09817689,0.128616618,0.061569437,0.025,0.031021034,0.14,0.072382414,0.0768849139302361,4.772,0.761326322421457
"100704A",2.2955671,-10.35163999,3.62503495,1.01294211,1.29,2.11575,-5.22184875,1.73,21.52730245,0.633468456,23.25931459,0.04763446,0.053639373,0.01813996,0.01,0.014476483,0.06,0.020199743,0.0511462884983093,3.6,0.662757831681574
"100728A",2.297760511,-10.17587417,4.03148606,1.5588143,0.96,1.90402,-4.420216403,1.18,21.52592288,0.707570176,12.6465837,0.0760751,0.053762484,0.034265796,0.005,0,0.02,0.017031156,0.0276692267863542,1.567,0.409425868671443
"100814A",2.241795431,-11.49349497,5.22729477,1.76532941,1.1425,1.89414,-5.045757491,1.47,20.89608288,0.397940009,9.468174905,0.04362636,0.035347138,0.084015169,0.01745135,0.009650988,0.04,0.034743559,0.0235643330529017,1.44,0.387389826338729
"100816A",0.462397998,-11.5559552,3.97801299,1.04455013,1.09,1.91138,-5.698970004,0.73,21.34783526,1.037426498,0.621173086,0.08674922,0.112014005,0.047175154,0.015,0.021714724,0.24,0.015937412,0.0930248425840856,0.804,0.256236533205923
"100901A",2.64246452,-11.34103516,4.91124,1.50754,1.075,1.98285,-5.677780705,1.52,21.53188109,-0.096910013,22.56299024,0.0283,0.02425,0.036255,5e-04,0.062042069,0.21,0.10857362,0.0223211438768381,1.408,0.381656482585787
"100906A",2.058426024,-10.4698003,3.94074768,1.71220056,0.87,2.02817,-4.920818754,1.78,21.96198081,1.004321374,1.591145486,0.048743085,0.039933316,0.059340084,0,0,0.03,0.017199781,0.00604043448603348,1.727,0.43568513794163
"101219B",1.531478917,-11.99567863,4.42003952,0.66918137,0.94,1.85684,-5.677780705,1.56,20.49692965,-0.22184875,5.420624286,0.089446275,0.166829365,0.039390628,0.105,0.082722758,0.16,0.217147241,0.0692396240032236,0.55,0.190331698170291
"101225A",3.036628895,-11.5102171205519,4.29934453883877,1.07001589183888,0.90080201298378,1.81612,-5.721246399,1.82,21.11770968,-0.338610804708651,19.64696058,0.933679656641209,0.518033195586701,0.280397892684128,0.172520154610933,0.091430417,0.32,0.109322034911467,0.00784243251211404,0.33,0.123851640967086
"110205A",2.409933123,-10.9973041332778,4.08313927989514,1.64590376081688,0.922573974366095,1.93577,-4.769551079,1.8,21.37042981,0.556302501,4.559271868,0.920397426623016,0.489082421595586,0.299150805282709,0.178961028787031,0,0.04,0.024127471,0.00770453935906456,2.21,0.506505032404872
"110213A",1.681241237,-9.896196279,3.84089,1.8412,1.1905,1.96436,-5.229147988,1.83,21.56708403,0.204119983,16,0.03588,0.023515,0.02785,0.226362665,0.029443694,0.12,0.162860431,0.14476482742628,1.46,0.390935107103379
"110422A",1.413299764,-9.681936665,3.50066971,1.42239886,0.778,1.89199,-4.387216143,0.86,22.02088312,1.487138375,0.566646277,0.024137407,0.029472713,0.022779716,0.005,0.010592548,0.1,0.0141464,0.00950159657676303,1.77,0.442479769064449
"110503A",1,-9.08249449,2.54166555,1.14649063,0.687,1.90907,-5,0.88,21.13638759,0.130333768,3.405445073,0.028998071,0.028887961,0.006289914,0.001,0.017371779,0.25,0.019301977,0.147896600362852,1.613,0.417139409727326
"110715A",1.113943352,-9.075720714,2.61109719,0.95853538,0.755,1.85342,-4.928117993,1.25,22.0746007,1.731588765,4,0.02377653,0.035600881,0.009554076,0.0015,0.007360923,0.12,0.008863153,0.133629071449258,0.82,0.260071387985075
"110731A",1.588831726,-12.08512818,5.08952072,1.42351927,0.39,1.85145,-5.22184875,1.15,21.95954126,1.041392685,11.66246372,0.097418495,0.090702815,0.110855301,0.13,0.007238241,0.05,0.011844395,0.130539784388153,2.83,0.583198773968623
"110801A",2.58546073,-10.4153029865327,3.86437245382987,1.47924713914048,0.957697922828296,2.04784,-5.327902142,1.84,21.39050236,0.041392685,3.817215769,0.925203808814901,0.49782435475061,0.264959346956789,0.18162945217054,0.027720924,0.1,0.078962633,0.00430596296840161,1.858,0.456062224454951
"110808A",1.681241237,-12.08440021,4.50711,0.807091,1.4,2.33721,-6.48148606,2.32,20.02880298,-0.397940009,22.627417,0.0837,0.155655,0.0776,0.025,0.105283511,0.43,0.217147241,0.204728382319217,1.348,0.370698092575577
"110818A",2.012837225,-11.28316228,3.84627415,1.37167718,0.83,1.95985,-5.397940009,1.58,22.06812647,0.204119983,18.0548006,0.05514905,0.059648416,0.067338189,0.01,0.021714724,0.11,0.081430215,0.0761271870594219,3.36,0.639486489268586
"111008A",1.802500068,-10.66756154,3.98993393,1.21584288,0.829,1.94053,-5.27572413,1.86,22.17059025,0.806179974,2.36485691,0.028511085,0.035676696,0.027351291,0.001,0.024582707,0.09,0.047500959,0.0161841207996628,4.9898,0.777412321496744
"111107A",1.424881637,-10.821365262736,3.49557204558687,1.09236171725508,0.956123041497418,2.11569,-6.055517328,1.49,21.56675205,0.079181246,3.285061929,0.858516134793337,0.523399300760038,0.265824307377374,0.177477882085533,0.039481317,0.14,0.072382414,0.0536347468895934,2.893,0.590284403718162
"111123A",2.462397998,-11.60730305,4.42202873,1.46723371,1.25,2.55463,-5.13667714,1.68,21.35034301,-0.045757491,88.09086218,0.07308827,0.070655771,0.105884147,0.005,0.017847718,0.07,0.048254942,0.131921983937837,3.1516,0.618215503279417
"111209A",2.505149978,-9.057000407,4.13326,2.77382,0.2529,1.81212,-4.443697499,1.48,21.14009932,-0.301029996,29.55180898,0.02099,0.010455,0.04435,5e-05,0.012063736,0.03,0.086858896,0.0401068361866461,0.677,0.224533062606086
"111228A",2.005180513,-10.65757732,4.10627835,1.15297662,0.99,2.03824,-5.070581074,2.27,21.41342718,1.093421685,5.415902489,0.030118345,0.037264425,0.023299272,0,0.010218694,0.06,0.017511874,0.023242060897345,0.714,0.234010817587179
"120118B",1.36660971,-10.95467702,3.68307,1.0241,1.01,2.20884,-5.744727495,2.08,21.451745,0.342422681,19.64696058,0.1172,0.131765,0.077156,0.005,0.024127471,0.11,0.059221975,0.366834332492466,2.943,0.595826777073223
"120119A",2.404491618,-10.4283580250057,3.58577583814059,1.44136241821136,0.936882627875648,1.61077,-4.769551079,1.38,22.02202812,1.012837225,1.824859447,0.843015866073275,0.525437486976948,0.274097028299203,0.17793496575532,0,0.04,0.012649354,0.00312264140126381,3.1,0.612783856719735
"120327A",1.798650645,-10.15181088,3.48517215,1.44859414,0.63,1.75797,-5.443697499,1.52,22.16619025,0.591064607,7.52171255,0.04362492,0.051679097,0.058002882,0.02,0.012063736,0.06,0.022271512,0.051933835584684,2.813,0.581266805273671
"120404A",1.587710965,-11.02687215,3.79948,1.90651,0.69,1.89579,-5.795880017,1.85,21.70983536,0.079181246,16,0.11705,0.068285,0.121385,0.005,0.027143405,0.13,0.072382414,0.179553274179706,2.876,0.588383768378728
"120422A",0.728353782,-12.73992861,5.23266697,0.86153199,1.1,2.32199,-6.638272164,1.19,21.95954126,-0.22184875,2.236067977,0.11830242,0.217818621,0.214451933,0.035,0.075529475,0.24,0.144764827,0.181516258620399,0.283,0.108226656374928
"120711A",2.06069784,-10.9775293037282,3.96484830905556,1.24754278907783,0.881304344539759,1.96823823014476,-5.59956740196432,1.73945067928945,20.8890204759374,0.15298088503652,5.171156949,0.926905138285815,0.468713903802307,0.275367963414248,0.186385229212624,0.0445850499081247,0.1906576904457,0.0796645497755468,0.0195287385203038,1.405,0.381115080709851
"120729A",1.854306042,-10.29756946,3.52138487,2.26312734,0.645,1.8831,-5.619788758,1.62,21.34792103,0.462397998,36.74353317,0.06906832,0.047294772,0.130088482,0.013331067,0.018095603,0.08,0.029951344,0.223182009707008,0.8,0.255272505103306
"120802A",1.698970004,-11.17198494,3.53838419,0.54215516,0.91,2.03526,-5.721246399,1.21,22.12127744,0.477121255,31.02460027,0.07803221,0.220557212,0.11816229,0.055,0.068572813,0.47,0.028952965,0.2694762542188,3.796,0.680879174426811
"120811C",1.428134794,-10.14327111,3.15909591,1.01613299,0.65,1.92121,-5.522878745,1.4,21.91722026,0.612783857,3.693579286,0.05294686,0.084200302,0.03800099,0.090734018,0.043429448,0.3,0.021185097,0.0598545187495629,2.671,0.564784384503987
"120815A",0.986771734,-10.7197092586034,3.53709577481769,1.04705006586476,0.923458216334377,1.84293,-6.30980392,2.29,21.77242733,0.342422681,2.093571159,0.964733489741411,0.525512123969266,0.261710418035244,0.169387857652375,0.062042069,0.23,0.059221975,0.0937346806580307,2.36,0.526339277389844
"120907A",1.227886705,-10.37675071,3.2113827,1.05329104,0.78,1.82021,-6.173925197,1.73,21.0438101,0.462397998,1.370430613,0.04130341,0.062296694,0.028647271,0.005,0.071302079,0.25,0.059902687,0.035217186540104,0.97,0.294466226161593
"120922A",2.238046103,-10.59516628,3.59799,1.06622,1.17,2.06954,-5.207608311,1.58,21.0163605,0.301029996,30.24009631,0.16365,0.133375,0.03563,0.005,0.049033248,0.36,0.043429448,0.075913913084108,3.1,0.612783856719735
"121024A",1.838849091,-11.31158018,4.17178823,1.30353551,0.87,2.00683,-5.958607315,1.41,21.94617755,0.113943352,32.06243908,0.063305895,0.065435085,0.06666149,0,0.039481317,0.22,0.066814536,0.201804932759115,2.298,0.5182506513085
"121027A",1.796574333,-11.92081875,5.40919042,1.50995764,1.16,2.37144,-5.698970004,1.82,22.07736427,0.113943352,4.820058467,0.041584155,0.037953731,0.058939694,0,0.021714724,0.09,0.066814536,0.03343969322178,1.773,0.442949869577862
"121128A",1.367355921,-9.617982957,3.23392922,1.54546584,0.9455,1.98504,-5.161150909,1.32,22.04029767,1.11058971,1.63061216,0.028690024,0.029795568,0.032445001,0.010337721,0.025176492,0.18,0.013466496,0.0303933846890459,2.2,0.505149978319906
"121211A",2.260071388,-11.2823295,4.20933518,1.15615612,0.95,2.0682,-5.886056648,2.36,21.66138196,0,39.28730733,0.054250775,0.063247159,0.074602829,0.005,0.089197405,0.26,0.130288345,0.0937486856135703,1.023,0.305995882770805
"121217A",2.890979597,-10.6422817019628,3.66458852477363,1.09343517071653,0.956912826195707,1.96847804960143,-5.207608311,1.53,21.6003032,0.255272505,64.76757163,0.78759623785103,0.512055209890111,0.276094391846562,0.168134486325527,0.0302144713479088,0.08,0.0649371985063369,0.0361544973836951,3.1,0.612783856719735
"130215A",1.81756537,-11.2249361366128,4.53415732893443,1.70191785189239,0.945470835992579,1.95045663425091,-5.26760624,1.59,21.1575730258515,0.397940009,4.820058467,0.922962198861618,0.520206715498847,0.363146504625364,0.187878001516483,0.040212452,0.14,0.121602455,0.0318618689885428,0.6,0.204119982655925
"130408A",1.447158031,-10.32975415,3.58393,1.39277,0.945,2.03183,-5.638272164,1.28,20.06405721,0.69019608,13.06603535,0.077,0.070305,0.0643,0.117120218,0.075529475,0.26,0.088631527,0.202660966333188,3.757,0.677333151419902
"130418A",2.07200023240372,-9.247183569,2.59006,1.28449,0.198,1.68684,-5.744727495,2.07,21.12149747,-0.22184875,46.08809848,0.06047,0.06867,0.031625,0.003,0.048254942,0.17,0.144764827,0.169579312058568,1.218,0.345961541813141
"130420A",2.091666958,-10.8728952,3.56731,0.914676,1.17,2.29559,-5.148741651,1.52,20.79265849,0.531478917,11.73673073,0.05505,0.08535,0.0286905,0.005,0.018350471,0.25,0.025546734,0.0412728533350444,1.297,0.361160995195026
"130427A",2.211734423,-10.1244464594679,3.97188596219001,1.31400229376294,0.894118313122697,1.78644,-3.508638306,1.21,20.99021494,2.519827994,33.90346061,0.880367112681647,0.497875261093644,0.250384052681783,0.187045419372587,0.00420285,0.02,0.006035512,0.0904261245233935,0.34,0.127104798364808
"130511A",0.73479983,-10.51570016,2.65954,1.16497,0.65,2.06879,-6.657577319,1.35,21.01365445,0.113943352,2.212184473,0.0838,0.089385,0.04916,0.01,0.078962633,0.31,0.066814536,0.176931769551824,1.3033,0.362350507594848
"130514A",2.309630167,-10.7212464,3.68772,1.17745,0.65,2.0604,-5.040958608,1.8,21.19799139,0.447158031,12.81269759,0.078,0.078365,0.04188,0.08,0.009544934,0.05,0.046531552,0.0272768817014167,3.6,0.662757831681574
"130604A",1.57634135,-8.316052869,2.071571247,1.742079764,0.98,2.08823,-5.853871964,1.51,21.35024026,-0.096910013,4.559271868,0.166441725,0.100184013,0.041653571,0.015,0.031021034,0.12,0.10857362,0.0525216608675702,1.06,0.313867220369153
"130606A",2.441820772,-10.18045606,3.30222,1.37571,0.44,1.86465,-5.537602002,1.52,20.24962877,0.414973348,19.31096766,0.06815,0.07782,0.05186,0.045,0.029951344,0.12,0.033407268,0.0303226795160044,5.913,0.839666556882433
"130702A",1.770852012,-10.4762346490241,4.15573773871293,1.40679002767476,0.871806633092792,1.95922507826468,-5.28621275756824,1.7069931932884,21.1002489320261,0.697313985603386,0.581982802,0.814397881201069,0.517880073925525,0.271686771166078,0.18159495697948,0.0328032555071814,0.171786515728631,0.043879736569635,0.00428393083496486,0.15,0.0606978403536116
"130831A",1.511883361,-9.89279003,3.31959,1.28481,1.01,1.79449,-5.187086643,1.93,20.8771334,1.133538908,1.864331486,0.054815,0.089045,0.06727,0.009011148,0.001336291,0.05,0.019160051,0.0249128885159663,0.4791,0.16999753706657
"131030A",1.613841822,-9.294136288,2.84594,1.11188,0.693,2.09466,-4.537602002,1.3,20.84178667,1.44870632,4.042662472,0.025175,0.027575,0.00815,0.0075,0,0.03,0.010818724,0.0427179076225292,1.295,0.36078268987328
"131105A",2.050379756,-10.91009489,3.9488,1.19347,0.94,2.24976,-5.148741651,1.45,21.32749584,0.544068044,4.086802216,0.03335,0.047885,0.04544,0.005,0.030584118,0.11,0.074450483,0.0158047698317659,1.686,0.429106008332697
"140206A",1.971275849,-9.730487056,3.59073,1.22509,0.672,1.88134,-4.795880017,1.04,22.00531353,1.28780173,13.75282388,0.012995,0.021325,0.015545,0.021902336,0.008143022,0.15,0.011193157,0.063811704252879,2.73,0.571708831808688
"140213A",1.77815125,-10.12551818,3.829176603,1.108879519,0.83,1.96657,-4.920818754,1.8,20.99187128,1.371067862,2.62312486,0.06303582,0.068643889,0.021746292,0.005,0,0.04,0.014784493,0.0189868108841264,1.2076,0.343920385393226
"140419A",1.976349979,-10.00568285,3.68383,1.36898,0.678,1.87322,-4.795880017,1.21,22.04094236,0.69019608,3.817215769,0.023985,0.02442,0.017885,0.001,0,0.04,0.017726305,0.0175057628798656,3.956,0.695131297704026
"140423A",2.127104798,-10.85078089,3.90552,1.18974,0.77,2.06486,-5.026872146,1.33,21.81946365,0.322219295,23.01198296,0.05035,0.05495,0.045115,0.149849463,0.013860462,0.06,0.041361379,0.0745819195938403,3.26,0.629409599102719
"140430A",2.239549721,-11.36251027,4.14388,0.875171,1.03,2.15785,-5.958607315,2,21.67796993,0.397940009,3.69174647,0.0861,0.13071,0.0833725,0.035,0.078962633,0.22,0.034743559,0.00923562857095551,1.6,0.414973347970818
"140506A",2.045714059,-9.903089987,3.30686,0.948932,0.9,1.74751,-5.552841969,1.68,21.81764402,1.037426498,9.556709938,0.05516,0.06882,0.01557,0.047966029,0.046531552,0.16,0.035859177,0.0373575732732516,0.889,0.276231957921834
"140509A",1.17092730333444,-11.09770006,3.58709,1.40649,0.86,1.93407,-5.920818754,1.59,20.90144742,0.204119983,5.171156949,0.08395,0.088715,0.10418,0.22,0.04379136,0.121212121,0.117055576617339,0.151511196244018,2.4,0.531478917042255
"140512A",2.189770956,-9.504455662,3.53686,1.25134,0.871,1.84304,-4.853871964,1.45,21.32824297,0.832508913,4.787065924,0.01504,0.022285,0.02006,0.002482817,0.00930631,0.04,0.019160051,0.0134302087658966,0.725,0.236789099409293
"140518A",1.781755375,-11.31158018,3.77824,1.64981,0.94,1.93772,-6,0.92,22.46148952,0,2.429189161,0.09045,0.070125,0.18819,0,0.043429448,0.61,0.043429448,0.0174377429302028,4.707,0.756407872548958
"140614A",2.857332496,-10.9589,3.70006,1.35595,0.83,1.77015,-5.886056648,1.5,21.25883595,-1.4317581319867,160.0586725,0.1129,0.098945,0.093145,0.05,0.133629071,0.46,0.163321606984505,0.0965452754396361,4.233,0.718750734739665
"140629A",1.62324929,-9.847711656,2.85608,1.16056,0.815,1.95996,-5.619788758,1.86,21.74269921,0.62324929,11.54148842,0.042785,0.06161,0.03501,0.001678552,0.036191207,0.11,0.041361379,0.119342969960682,2.275,0.515211304327802
"140801A",0.84509804,-10.8620383431697,3.87228261972414,1.16645598571669,0.886640515719006,2.01128440967262,-6.05905855564194,1.83370502309806,20.8744034307407,0.574153872694756,3.693579286,0.91190650873744,0.470304600656835,0.271027605941784,0.187743491206528,0.0466131295127891,0.249571169609986,0.0548014009952138,0.229157300347802,1.32,0.3654879848909
"140907A",1.898725182,-10.693177248983,3.88797059352679,1.20860374302872,0.991388739038812,2.00735,-5.366531544,1.72,21.4811071,0.397940009,0.179108908,0.916867796079355,0.517347832944523,0.270810207272367,0.173986177643916,0.020199743,0.07,0.034743559,0.00098214659508323,1.21,0.344392273685111
"141004A",0.593286067,-10.61083392,3.30337,1.54959,1.08,1.79496,-6.173925197,1.86,21.49730845,0.785329835,1.073372291,0.0853,0.081935,0.09774,0.005,0.019446022,0.08,0.021358745,0.118918281385487,0.573,0.196728722623287
"141121A",2.74028372,-12.65757732,5.76634,2.33322,0.82,1.93447,-5.27572413,1.73,21.59590717,-0.045757491,37.82221354,0.1675,0.090095,0.2969,0.01,0.032776942,0.13,0.144764827,0.0298708467389642,1.47,0.392696953259666
"141220A",0.857935265,-9.872830386,2.77561,1.42066,1.1,1.80565,-5.585026652,0.62,21.48574413,0.949390007,0.473776348,0.042455,0.057375,0.050735,0.07,0.016703634,0.38,0.034157993,0.0285379269708387,1.3195,0.365394376854778
"141221A",1.567026366,-10.1552877183051,3.33342492745527,1.35028767009492,0.835662048157606,2.22288,-5.677780705,1.74,21.46788768,0.491361694,33.90346061,0.85107997743659,0.507880271285933,0.270649566657754,0.183413730505718,0.02068069,0.08,0.028018999,0.399026717228725,1.45,0.389166084364532
