"","log10Ta","PhotonIndex","log10Fa","log10PeakFlux","Alpha","log10NH","Beta","log10T90","Gamma","log10Fluence","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10PeakFluxSqr","AlphaSqr","log10NHSqr","BetaSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10Ta_opt","PhotonIndex_opt","log10Fa_opt","log10PeakFlux_opt","Alpha_opt","log10NH_opt","Beta_opt","log10T90_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"060926A",3.351,2.54,-10.84771166,0.037426498,1.45111,22.50004427,1.357,0.903089987,2.00443,-6.659555885,11.229201,6.4516,117.6728482585,0.001400742752544,2.1057202321,506.25199215196,1.841449,0.81557152461966,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.0557809430000001,"060926A",0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"060927A",3.15198,0.9,-10.77728353,0.431363764,1.39098,22.10710478,0.83,1.352953912,1.94856,-5.946921557,9.9349779204,0.81,116.149840286009,0.186074696892248,1.9348253604,488.724081753899,0.6889,1.8304842879961,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.0273444670000001,"060927A",0,0,0,0,0,0,0,0,0,0,0,5.47,0.8109042806687
"061021A",3.23849,1.3,-10.04095861,0.78604121,1.01707,20.87141063,0.785,1.664641976,1.99282,-5.528708289,10.4878174801,1.69,100.820849807733,0.617860783818264,1.0344313849,435.615781686077,0.616225,2.77103290826118,3.9713315524,30.5666153448573,0.0507507174713444,0.0264,0.03399,0.010415,0.016800037,0.014818832,0.06,0.019191409,"061021A",0,0,0,0,0,0,0,0,0,0,0,0.3463,0.129141845792285
"061121A",3.78753,1.41,-10.03011836,1.324282455,1.35185,21.75351565,0.9485,1.90982337,1.90181,-4.863279433,14.3453835009,1.9881,100.603274315609,1.75372402062083,1.8274984225,473.215443134795,0.89965225,3.64742530459816,3.6168812761,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.00946803099999999,"061121A",0,0,0,0,0,0,0,0,0,0,0,1.314,0.364363354615731
"070110A",4.26825,1.58,-11.04866248,-0.22184875,1.42725,21.3989672,1.186,1.946550511,2.08596,-5.790484985,18.2179580625,2.4964,122.07294259696,0.0492168678765625,2.0370425625,457.915797226676,1.406596,3.78905889187436,4.3512291216,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.0868588959999997,"070110A",0,0,0,0,0,0,0,0,0,0,0,2.352,0.525304009958239
"070208A",3.44468,1.94,-10.86327943,-0.045757491,1.2125,21.8647258,1.14,1.806179974,2.20341,-6.351639989,11.8658203024,3.7636,118.010839974261,0.00209374798261508,1.47015625,478.066234309186,1.2996,3.26228609847864,4.8550156281,40.3433305498639,0.153546286600926,0.1619,0.14114,0.06357,0.015,0.0985702079999999,0.36,0.106160873,"070208A",0,0,0,0,0,0,0,0,0,0,0,1.165,0.335457900689384
"070223A",4.22335,1.85,-11.86327943,-0.161150909,0.991734,21.70173804,1.03,1.9408513687054,2.25837,-5.769551079,17.8366852225,3.4225,140.737398834261,0.0259696154715263,0.983536326756,470.965433956783,1.0609,3.76690403540562,5.1002350569,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722849,"070223A",0,0,0,0,0,0,0,0,0,0,0,1.6295,0.419873175149476
"070306A",4.86926,1.66,-11.2737,0.609594409,1.89982,22.44245468,0.831,2.321184027,1.94468,-5.269217724,23.7096929476,2.7556,127.09631169,0.371605343484059,3.6093160324,503.663772063854,0.690561,5.38789528719994,3.7817803024,27.7646554229157,0.134263479640872,0.0335,0.02824,0.06188,0.001,0.02308703,0.1,0.022408315,"070306A",0,0,0,0,0,0,0,0,0,0,0,1.4959,0.397227181043161
"070508A",3.02525,1.1,-9.161150909,1.382017043,1.37377,21.89306622,0.764,1.320146286,1.82568,-4.707743929,9.1521375625,1.21,83.9266859774715,1.90997110714246,1.8872440129,479.306348513305,0.583696,1.74278621643959,3.3331074624,22.1628529010364,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0.006049102,0.060606061,0.010992516,"070508A",0,0,0,0,0,0,0,0,0,0,0,0.82,0.260071387985075
"070521A",3.55243,1.1,-10.01233374,0.814913181,1.44502,22.27524914,0.98,1.57863921,2.00022,-5.096367484,12.6197589049,1.21,100.246826921142,0.664083492567539,2.0880828004,496.186724249071,0.9604,2.49210175534942,4.0008800484,25.9729615319725,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0.00959676899999998,0.121212121,0.017957046,"070521A",0,0,0,0,0,0,0,0,0,0,0,2.0865,0.489466281303128
"070529A",3.09323,1.34,-10.24641694,0.155336037,1.21432,22.56252244,0.76,2.038222638,1.97999,-5.590066877,9.5680718329,1.7956,104.989060108319,0.0241292843908654,1.4745730624,509.067418855503,0.5776,4.15435152205568,3.9203604001,31.2488476893325,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0.041401614,0.16,0.109332877,"070529A",0,0,0,0,0,0,0,0,0,0,0,2.4996,0.544018407858776
"070802A",3.92184,1.79,-11.6716204,-0.397940009,1.16348,21.91375294,0.78,1.214843848,1.99014,-6.552841969,15.3808289856,3.2041,136.226722761696,0.15835625076292,1.3536857104,480.212567915359,0.6084,1.47584557502345,3.9606572196,42.9397378706878,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0.077552586,0.27,0.108573621,"070802A",0,0,0,0,0,0,0,0,0,0,0,2.45,0.537819095073274
"071003A",4.78411,1.36,-11.67760082,0.799340549,1.97901,20.86974084,0.837,2.170643023,1.91015,-5.080921908,22.8877084921,1.8496,136.366360911265,0.638945313275621,3.9164805801,435.546082728764,0.700569,4.71169113329858,3.6486730225,25.8157674351944,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0.015697391,0.07,0.027574253,"071003A",0,0,0,0,0,0,0,0,0,0,0,1.60435,0.415699348887829
"071020A",2.311950854,1.11,-9.169411331,0.924279286,1.119196934,20.99642367,0.844,0.62324929,1.59788,-5.638272164,5.34511675131133,1.2321,84.0781041570712,0.85429219852867,1.252601777075,440.849806930136,0.712336,0.388439677485504,2.5532204944,31.7901129953372,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0.018882369,0.05,0.015510517,"071020A",0,0,0,0,0,0,0,0,0,0,0,2.145,0.497620649781288
"071117A",3.901990464,1.57,-11.23542972,1.053078443,1.104952391,22.04291793,0.94,0.819543936,2.0457,-5.619788758,15.2255295811469,2.4649,126.234880993059,1.1089742071113,1.22091978637662,485.890230868716,0.8836,0.671652263034372,4.18488849,31.5820256845432,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0.018095603,0.06,0.015373256,"071117A",0,0,0,0,0,0,0,0,0,0,0,1.331,0.367542273520577
"080310A",4.32608056,2.32,-11.3990271,0.113943352,1.59590648,20.3953838182082,0.878,2.560456622,2.09352,-5.638272164,18.7149730116099,5.3824,129.937818826534,0.0129830874649959,2.54691749290599,415.971681092029,0.770884,6.55593811314365,4.3828259904,31.7901129953372,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,0.0377647380000001,0.16,0.0668145360000001,"080310A",0,0,0,0,0,0,0,0,0,0,0,2.42,0.534026106056135
"080411A",4.20932562,1.75,-10.11350927,1.635483747,1.28909841,21.57289018,0.91,1.748188027,1.97674,-4.578396073,17.7184221751884,3.0625,102.283069754376,2.67480708670116,1.66177471066453,465.38959071834,0.8281,3.05616137774615,3.9075010276,20.9617106012618,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0.001645055,0.03,0.009047802,"080411A",0,0,0,0,0,0,0,0,0,0,0,1.03,0.307496037913213
"080516A",3.77452827,1.82,-11.12090412,0.255272505,0.94016916,22.03528962,1.48,0.763427994,2.3315,-6.585026652,14.2470636610292,3.3124,123.674508446233,0.065164051808975,0.883918049415106,485.55398863728,2.1904,0.582822302022864,5.43589225,43.3625760075503,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0.066814536,0.27,0.072382414,"080516A",0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"080607A",3.46298403,1.31,-10.0540393,1.36361198,1.7256074,22.38386741,1.06,1.899984563,2.03418,-4.619788758,11.992258392035,1.7161,101.083706245944,1.85943763199952,2.97772089893476,501.03752022846,1.1236,3.6099413396383,4.1378882724,21.3424481685432,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.02068069,"080607A",0,0,0,0,0,0,0,0,0,0,0,3.036,0.605951157564873
"080710A",4.09266933,1.47,-11.23284413,0,1.52133785,20.89722339,1.3,2.077948999,2.00149,-5.853871964,16.7499422447226,2.1609,126.176787248875,0,2.31446885384262,436.693945411563,1.69,4.3178720424451,4.0059622201,34.2678169709052,0.063286086716648,0.06269498,0.054210787,0.06401643,0.150517844,0.0620420689999999,0.23,0.0868588959999999,"080710A",0,0,0,0,0,0,0,0,0,0,0,0.845,0.265996370495079
