"","log10PeakFlux","log10Ta","log10NH","log10Fa","PhotonIndex","log10T90","Alpha","log10PeakFluxSqr","log10TaSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","log10T90Sqr","AlphaSqr","Beta","Gamma","log10Fluence","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"62",0.814913181,3.55243,22.27524914,-10.01233374,1.1,1.57863920996807,1.44502,0.664083492567539,12.6197589049,496.186724249071,100.246826921142,1.21,2.49210175524862,2.0880828004,0.98,2.00022,-5.096367484,2.81938432428048,0.04901,0.04844,0.0562,0.147518075,1.07272727272727e-07,0.1212121212,0.163636363636364,0.032307204601571,0.00581622391039878,0.0108830581640121,"070521",2.0865,0.489466281303128
"63",0.155336037,3.09323,22.56252244,-10.24641694,1.34,2.03822263836872,1.21432,0.0241292843908654,9.5680718329,509.067418855503,104.989060108319,1.7956,4.15435152355874,1.4745730624,0.76,1.97999,-5.590066877,19.9827798950972,0.0552000000000001,0.068045,0.03501,0.015,1.48484848484848e-07,0.096969696969697,0.218181818181818,0.0794726285854208,0.0250918873122187,0.066262349503112,"070529",2.4996,0.544018407858776
"66",-0.397940009,3.92184,21.91375294,-11.6716204,1.79,1.2148438480477,1.16348,0.15835625076292,15.3808289856,480.212567915359,136.226722761696,3.2041,1.47584557513934,1.3536857104,0.78,1.99014,-6.552841969,3.01981259231406,0.17395,0.236245,0.2088785,0.045,3.03030303030303e-08,0.163636363636364,0.0606060606060606,0.0799687771478019,0.0470015673425834,0.0658021942774567,"070802",2.45,0.537819095073274
"67",0.278753601,3.36583,21.93100401,-10.77728353,2.04,1.04139268515823,1.36994,0.0777035700704672,11.3288115889,480.968936886636,116.149840286009,4.1616,1.08449872470106,1.8767356036,1.02,2.17076,-6.161150909,4.9906412396737,0.06175,0.07187,0.077915,0.01,3.63636363636364e-08,0.0848484848484849,0.121212121212121,0.197037086504463,0.0228877197175498,0.0277061870402603,"070810A",2.17,0.501059262217751
"68",0.799340549,4.78411,20.86974084,-11.67760082,1.36,2.17609125905568,1.97901,0.638945313275621,22.8877084921,435.546082728764,136.366360911265,1.8496,4.73537316773854,3.9164805801,0.837,1.91015,-5.080921908,4.49440006564942,0.135899999999999,0.098505,0.183105,0.032,1.81818181818182e-07,0.0424242424242424,0.242424242424242,0.0130126209865144,0.00951357025803561,0.0167116683927593,"071003",1.60435,0.415699348887829
"72",0.924279286,2.311950854,20.99642367,-9.169411331,1.11,0.6232492903979,1.119196934,0.85429219852867,5.34511675131133,440.849806930136,84.0781041570712,1.2321,0.388439677981486,1.252601777075,0.844,1.59788,-5.638272164,0.581982801632249,0.0350998220000003,0.039262062,0.0111532090000001,0.001,6.06060606060606e-08,0.0303030303030303,0.181818181818182,0.0601790284074954,0.0114438598661619,0.00940031346244879,"071020",2.145,0.497620649781288
"74",1.053078443,3.901990464,22.04291793,-11.23542972,1.57,0.819543935541869,1.104952391,1.1089742071113,15.2255295811469,485.890230868716,126.234880993059,2.4649,0.671652262283455,1.22091978637662,0.94,2.0457,-5.619788758,1.82485944742003,0.101024385,0.117162967,0.089387802,0.01,6.06060606060606e-08,0.0363636363636364,0.242424242424242,0.120079755797505,0.0109670323640116,0.00931712485678028,"071117",1.331,0.367542273520577
"75",0.113943352,4.32608056,21.70983536,-11.3990271,2.32,2.56229286445647,1.59590648,0.0129830874649959,18.7149730116099,471.316951358306,129.937818826534,5.3824,6.56534472324456,2.54691749290599,0.878,2.09352,-5.638272164,17.3987512074303,0.0424734299999994,0.03798676,0.0652763515,0.0375,1.21212121212121e-07,0.096969696969697,0.121212121212121,0.0207018675106699,0.0228877197323238,0.0404936580149266,"080310",2.42,0.534026106056135
"77",1.394451681,5.36799912,20.8771334,-12.15181088,1.04,1.69897000433602,1.42250979,1.94449549064373,28.8154145523208,435.854699001396,147.666507663286,1.0816,2.88649907563353,2.02353410264584,0.73,1.81426,-4.091514981,0.179108908319785,0.0977794549999995,0.087626454,0.075139905,0,6.06060606060606e-07,0.0121212121212121,0.303030303030303,0.00155572021085996,0.0032494910720681,0.00530662856463182,"080319B",0.937,0.287129620719111
"78",0.716003344,3.19029,21.75037415,-8.91721463,1.37,1.53147891704226,1.45203,0.512660788619182,10.1779502841,473.078775664988,79.516716757486,1.8769,2.34542767334492,2.1083911209,1.94,1.61029,-5.443697499,8.88502944558435,0.0500400000000001,0.04713,0.02854,0.199995173,6.06060606060606e-08,0.0424242424242424,0.181818181818182,0.11349174293427,0.00731135491027843,0.0151851217320997,"080319C",1.95,0.469822015978163
