"","log10PeakFlux","log10Ta","log10NH","log10Fa","PhotonIndex","log10T90","Alpha","log10PeakFluxSqr","log10TaSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","log10T90Sqr","AlphaSqr","Beta","Gamma","log10Fluence","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"212",0.113943352,4.20449,20.48730103,-11.62342304,1.95,1.54654266347813,1.17089,0.0129830874649959,17.6777361601,419.729503493839,135.103963166803,3.8025,2.39179420995803,1.3709833921,0.72,1.62007,-5.886056648,87.9465810827809,0.0661000000000005,0.1242,0.10229,0.065,6.06060606060606e-08,0.0727272727272727,0.121212121212121,1.08507712688945,0.0202468290074633,0.0404936580149266,"180404A",1,0.301029995663981
"213",0.556302501,4.6659,21.21643247,-10.98296666,1.3,2.29841638006129,1.09835,0.309472472618855,21.77062281,450.13700675407,120.625556654672,1.69,5.28271785613406,1.2063727225,0.9,1.99236,-5,27.4443117973296,0.0437000000000003,0.067125,0.0594450000000001,0.005,1.81818181818182e-07,0.121212121212121,0.121212121212121,0.0599542916157573,0.00789626330733186,0.0146227098205568,"180620B",1.1175,0.325823419002744
"214",1.831869774,3.62033,21.24271531,-8.847711656,1.36,1.68928221447305,1.34127,3.35574686889481,13.1067893089,451.252953741708,78.2820015477183,1.8496,2.85367440013496,1.7990052129,0.729,1.8461,-4.065501549,3.6884533781446,0.0049749999999999,0.00614,0.0053749999999999,0,6.06060606060606e-07,0.0181818181818182,1.57575757575758,0.0327601887413463,0.00306056717510092,0.0100786866039877,"180720B",0.654,0.218535505216528
"215",2.120573931,3.8695,21.58733599,-9.42365865,1.97,0.938519725176492,1.1986,4.49683379683679,14.97303025,466.013075145149,88.8053423517198,3.8809,0.880819274545358,1.43664196,0.8595,1.70111,-4.528708289,0.297321378474679,0.0098849999999997,0.014745,0.0091,0.0424864935,3.63636363636364e-07,0.0181818181818182,1.75757575757576,0.0148761559934817,0.00533531304621856,0.00578261707124149,"180728A",0.117,0.0480531731156091
"216",0.146128036,3.15711,22.27837171,-9.928117993,1.52,1.2148438480477,1.07011,0.0213534029052173,9.9673435521,496.325846048928,98.5675268829304,2.3104,1.47584557513934,1.1451354121,1.115,1.76613,-6.161150909,2.19279277929316,0.0346150000000005,0.057805,0.033375,0.007041969,4.24242424242424e-08,0.0909090909090909,0.121212121212121,0.058068158780751,0.0267023396704747,0.0376012538165791,"181010A",1.39,0.378397900948138
"217",0.568201724,3.7664,20.88432911,-10.39577395,2.02,2.14113609012074,1.92336,0.322853199156572,14.18576896,436.155202374793,108.072116019499,4.0804,4.58446375641752,3.6993136896,1.7505,1.76057,-5.004364805,10.9277832336458,0.0907,0.05473,0.07443,0.141485526,1.81818181818182e-07,0.0303030303030303,0.181818181818182,0.0342910112558327,0.00797602353536826,0.0213412521852701,"181110A",1.505,0.398807730203264
"219",0.740362689,4.19124,21.61973178,-10.43297363,1.43,1.88536122003151,1.26841,0.548136911263311,17.5664927376,467.412802239142,108.846938764275,2.0449,3.55458692999871,1.6088639281,1.9365,1.94587,-5.22184875,2.25272455297137,0.0285500000000001,0.031095,0.0270050000000001,0.225510462,1.21212121212121e-07,0.127272727272727,0.181818181818182,0.0127388781588989,0.00877362590478576,0.0143568423933057,"190106A",1.859,0.456214155357989
"232",0.181843588,3.73997,20.93735437,-10.70553377,2.02,2.1832698436828,0.863159,0.0330670904967137,13.9873756009,438.372808014958,114.60845330061,4.0804,4.76666721033474,0.745043459281,0.971,2.01045,-5.882728704,10.9553911899328,0.0416499999999997,0.06193,0.034558,0.0089999999999999,8.96969696969697e-08,0.115151515151515,0.127272727272727,0.0311991209237988,0.0297365640854658,0.036364370489667,"050319",3.24,0.627365856592733
"234",1.029383778,3.12435,22.12570242,-9.653647026,1.4,1.52244423350632,0.984108,1.05963096240955,9.7615629225,489.546707578394,93.1929009025986,1.96,2.31783644413664,0.968468555664,0.9995,1.78711,-5.085128182,0.62535750013415,0.0194550000000007,0.02833,0.0260615,0.0174145,1.85454545454545e-07,0.0424242424242424,0.557575757575758,0.00815583518093314,0.0097982829257281,0.022631035007725,"050401",2.9,0.591064607026499
"238",0.267171728,4.270583544,22.23063027,-11.04817696,1.41,1.7701152947871,1.462094791,0.071380732242506,18.2378838062836,494.20092220144,122.062214139475,1.9881,3.13330815683923,2.13772117786933,0.973,2.01835,-5.603800653,6.83897067866905,0.0327217700000002,0.030067592,0.035926291,5e-04,1.08484848484848e-07,0.0727272727272727,0.187878787878788,0.0504266082791869,0.018921434167657,0.0441052545503497,"050505",4.27,0.721810615212547
"240",-0.259637311,4.05018,21.73850309,-10.09854168,1.53,2.19451434188247,2.38763,0.0674115332633107,16.4039580324,472.562516593939,101.980544062697,2.3409,4.81589319672784,5.7007770169,0.5615,1.6177,-5.623423043,18.0332990692667,0.0266000000000002,0.017795,0.0538000000000001,0.0002104915,9.21212121212121e-08,0.0666666666666667,0.0848484848484849,0.0500432094331858,0.0168099723091123,0.0669985978354264,"050730",3.967,0.696094159995223
"242",-0.017728767,4.21721,21.34755638,-10.86012091,1.38,1.94398887507377,1.52234,0.000314309179340289,17.7848601841,455.718163397279,117.942226179819,1.9044,3.77909274641059,2.3175190756,1.218,2.11696,-5.66756154,10.4381272282503,0.0489000000000006,0.04766,0.0486949999999999,0.2248562595,8.18181818181818e-08,0.0666666666666667,0.0666666666666667,0.0515724807353036,0.0165270627330643,0.030159339023807,"050803",3.5,0.653212513775344
"243",0.389166084,3.750945731,21.61964524,-10.01818139,1.25,1.41497334797082,1.136499703,0.151450240935895,14.0695938769071,467.409060303455,100.363958362942,1.5625,2.00214957546775,1.29163157491909,0.9,1.96878,-5.463441557,22.6761161724926,0.266741013,0.238477529,0.0125257010000001,0.0405,1.46666666666667e-07,0.0727272727272727,0.139393939393939,0.378773543258101,0.0185164313807078,0.0247093954042276,"050820A",2.6147,0.558072259099146
"244",-0.207608311,4.6841,22.39388568,-11.4544,1.25,2.24104815067164,1.3641,0.0431012107962727,21.94079281,501.486115848909,131.20327936,1.5625,5.0222968136288,1.86076881,0.848,1.90813,-5.316052869,10.7562158769084,0.29485,0.098475,0.624745,0,1.09090909090909e-07,0.0424242424242424,0.103030303030303,0.0268161033381255,0.00980902273641476,0.0721701485906705,"050904",6.29,0.862727528317975
"248",-0.060480747,3.69688,21.43355223,-11.29499204,1,2.14488541828714,0.889919,0.00365792075767801,13.6669217344,459.397161196138,127.576845183663,1,4.60053345758081,0.791955826561,1,2.10553,-5.76700389,15.0870791029542,0.0811999999999999,0.123015,0.053884,0.085,9.09090909090909e-08,0.303030303,0.0727272727272727,0.0469357822525134,0.0230884892235729,0.0363046588524029,"060115",3.53,0.656098202012832
"249",0.445604203,3.93814,22.33966406,-10.63078414,1.2,0.880813592280791,1.17565,0.198563105731265,15.5089466596,499.060590313656,113.013571431276,1.44,0.775832584346592,1.3821529225,1.265,2.20424,-6.080398976,1.93356045365311,0.0705499999999999,0.07444,0.02867,0.0130418865,2.54545454545455e-08,0.1818181818,0.103030303030303,0.110491399401039,0.0133029706675924,0.0160378107896306,"060206",4.048,0.703119346236078
"251",0.434568904,4.15028,22.3877421,-10.66756154,1.53,2.40654018043396,1.20511,0.188850132323761,17.2248240784,501.210996336112,113.796869209687,2.3409,5.79143564004309,1.4522901121,0.979,2.08163,-5.11577123,121.976522977757,0.0292000000000003,0.030365,0.02297,0.083622271,2.47878787878788e-07,0.0545454545454545,0.16969696969697,0.207740120984255,0.0140538367709601,0.027095021154743,"060210",3.91,0.691081492122968
"253",0.130333768,2.78682,22.49782636,-10.9636,1.74,1.05307844348342,1.1892,0.0169868910810778,7.7663657124,506.152190924711,120.20052496,3.0276,1.10897420812946,1.41419664,0.81,2.01015,-6.171984936,1.09553641512797,0.1982,0.23477,0.18005,0.045,2.90909090909091e-08,0.0727272727272727,0.109090909090909,0.0421049044083317,0.018772691379267,0.035094503628142,"060223A",4.41,0.73319726510657
"254",-0.244125144,4.43617,22.00215742,-12.2656,1.78,2.43964842956347,1.00735,0.0595970859330207,19.6796042689,484.094931134461,150.44494336,3.1684,5.95188445987152,1.0147540225,1.38,2.1317,-5.390405591,21.2895454410942,0.2206,0.31628,0.2313695,0.03,1.06666666666667e-07,0.0484848484848485,0.0666666666666667,0.0335971370177898,0.0113820011696242,0.0507946762076893,"060510B",4.9,0.770852011642144
"255",0.222716471,3.8752,20.67248024,-11.3053948,2.01,2.47450763911698,1.05873,0.0496026264546938,15.01717504,427.35143927319,127.811951583867,4.0401,6.12318805604827,1.1209092129,0.93,1.90677,-5.899629455,23.0482186783306,0.06785,0.09216,0.0623145,0.0305,1e-07,0.145454545454545,0.109090909090909,0.0335671166656554,0.034467816033398,0.0283698082994557,"060526",3.221,0.625415352154408
"257",-0.337242168,4.04162,21.77333803,-11.26121944,1.55,1.89817648349768,1.9179,0.11373227987734,16.3346922244,474.078248968644,126.815063275834,2.4025,3.6030739625036,3.67834041,0.835,2.02128,-6.156767222,35.0141649091828,0.0531499999999996,0.037375,0.085,0.10149311,5.45454545454545e-08,0.121212121212121,0.0727272727272727,0.192243471662561,0.0339867861224412,0.068663159143846,"060605",3.78,0.679427896612119
"259",0.146128036,4.37412,21.79614607,-11.02273379,1.47,2.00945089579869,2.07276695635913,0.0213534029052173,19.1329257744,475.071983504776,121.500660205208,2.1609,4.03789290262617,4.29636285537427,0.564,1.61002,-5.59345982,31.0697613299411,0.0760999999999994,0.02584,0.163115,0.0120771535,6.78787878787879e-08,0.0484848484848485,0.0787878787878788,0.132029607628615,0.0115605423699981,0.0244408149807765,"060607A",3.0749,0.610116955411928
"260",0.004321374,3.5545,21.20847898,-10.9132,0.6,1.8208579894397,0.861995,1.8674273247876e-05,12.63447025,449.799580645102,119.09793424,0.36,3.31552381770639,0.743035380025,1.12,2.09345,-5.795880017,6.31420049148106,0.0769500000000001,0.127895,0.0364485,0.035,9.15151515151515e-08,0.3636363636,0.139393939393939,0.0414232995631575,0.0248403283013014,0.0599386323358868,"060707",3.425,0.645913275033844
"261",0.10720997,3.73449,22.0125926,-10.86012091,1.93,2.06069784035361,1.20488,0.0114939776674009,13.9464155601,484.554232973575,117.942226179819,3.7249,4.24647558923804,1.4517358144,0.87,2.04425,-5.548213564,9.12936538358046,0.0352000000000006,0.046765,0.0353049999999999,0.0049999999999999,1.01212121212121e-07,0.0666666666666667,0.0787878787878788,0.0344768087771092,0.0155321080197879,0.0267321413833549,"060714",2.711,0.569490954348783
"263",0.294466226,4.33479,22.41960057,-11.8827287,2.03,1.63848925695464,1.71887,0.0867103582546831,18.7904043441,502.638489718344,141.199241357804,4.1209,2.68464704515576,2.9545140769,1.06,2.07859,-5.655607726,8.16698720444148,0.0884499999999999,0.072145,0.169635,0.0049999999999999,8.24242424242424e-08,0.0666666666666667,0.16969696969697,0.0815374132566298,0.0161974631827828,0.0374103845495022,"060906",3.686,0.670802284260944
"264",0.037426498,3.351,22.50004427,-10.84771166,2.54,0.903089986991944,1.45111,0.001400742752544,11.229201,506.25199215196,117.6728482585,6.4516,0.815571524605109,2.1057202321,1.357,2.00443,-6.659555885,1.21267967741496,0.0824499999999997,0.09927,0.11561,0.009157091,1.51515151515152e-08,0.139393939393939,0.0848484848484849,0.0658325115271916,0.0300466640198818,0.0338066318922116,"060926",3.2,0.6232492903979
"265",0.431363764,3.15198,22.10710478,-10.77728353,0.9,1.35218251811136,1.39098,0.186074696892248,9.9349779204,488.724081753899,116.149840286009,0.81,1.82839756228599,1.9348253604,0.83,1.94856,-5.946921557,1.29427663430184,0.0811500000000001,0.108435,0.118785,0.178498106,4.12121212121212e-08,0.2424242424,0.103030303030303,0.0249820977926045,0.0158391122565265,0.0165724044782448,"060927",5.47,0.8109042806687
"268",0.176091259,3.94739,21.89473409,-10.50863831,1.34,2.53147891704225,2.5054,0.0310081314962051,15.5818878121,479.379380871808,110.4314791304,1.7956,6.40838550742943,6.27702916,0.52,1.52512,-5.443697499,21.3202068350191,0.3648,0.10084,0.0914400000000002,0,1.21212121212121e-07,0.0666666666666667,0.181818181818182,0.02723308288672,0.0146227098205568,0.0526417553889616,"070721B",3.626,0.6652056284346
"271",0.255272505,3.77452827,22.03528962,-11.12090412,1.82,0.763427993562937,0.94016916,0.065164051808975,14.2470636610292,485.55398863728,123.674508446233,3.3124,0.582822301355532,0.883918049415106,1.48,2.3315,-6.585026652,0.213016433189357,0.0778036650000002,0.111057696,0.084888358,0.03,2.42424242424242e-08,0.163636363636364,0.181818181818182,0.0159503209463535,0.0404936579835962,0.0438681294956119,"080516",3.2,0.6232492903979
"273",1.36361198,3.46298403,22.38386741,-10.0540393,1.31,1.89762709129044,1.7256074,1.85943763199952,11.992258392035,501.03752022846,101.083706245944,1.7161,3.60098857759942,2.97772089893476,1.06,2.03418,-4.619788758,3.28506192878632,0.11042072,0.069659314,0.0376373875,0.02,0,0.0242424242424242,0.666666666666667,0.0180592945364855,0,0.0125337512783664,"080607",3.036,0.605951157564873
"275",1.320146286,2.87876286,21.79728278,-8.714442691,1.11,1.20951501454263,1.33437559,1.74278621643959,8.28727560411538,475.121536591284,75.9415114147233,1.2321,1.46292657040406,1.78055821518785,0.735,1.9433,-4.920818754,144,0.0070192985000003,0.007554816,0.0064356729999999,0,6.06060606060606e-07,0.0484848484848485,1.09090909090909,3.86039539469557,0.0219340647449938,0.0226686984957445,"080721",2.591,0.555215405126073
"276",0.301029996,3.2687548,21.45079548,-9.931814138,1.34,2.02530586526477,1.44529526,0.09061905849176,10.684757942523,460.136626724788,98.6409320717767,1.7956,4.10186384787588,2.08887838857847,1.079,2.11482,-5.337242168,4.33719033229347,0.031830706,0.039738688,0.036139295,0.0015,1.21212121212121e-07,0.0363636363636364,0.121212121212121,0.0177699795120678,0.0114438598573077,0.0263208776707413,"080810",3.35,0.638489256954637
"279",-0.301029996,4.75426,20.90308999,-11.3994,1.25,2.41497334797082,2.20023,0.09061905849176,22.6029881476,436.939171130038,129.94632036,1.5625,5.83209627140938,4.8410120529,0.945,2.51,-5.431798276,32.5884964277169,0.0572000000000008,0.03025,0.0547150000000001,5e-04,1.21212121212121e-07,0.23030303030303,0.0606060606060606,0.0544346314310819,0.0142275014568467,0.0526417554229419,"081028A",3.038,0.60616631460762
"280",-0.301029996,4.48156171,21.49704581,-11.86327943,1.43,2.43136376415899,2.51960373,0.09061905849176,20.0843953605381,462.122978557239,140.737398834261,2.0449,5.91152975366536,6.34840295622991,0.87,1.95818,-5.677780705,45.6827768024956,0.0832508050000005,0.04285341,0.169198521,0.001,1.21212121212121e-07,0.109090909090909,0.121212121212121,0.0734806588271915,0.0250675025476,0.105283510845884,"081029",3.8479,0.685553652846326
"282",-0.301029996,3.70655,21.81792086,-11.3419886,2.15,0.944482672150169,1.29089,0.09061905849176,13.7385129025,476.021670653223,128.64070540253,4.6225,0.892047517991923,1.6663969921,1.01,2.03416,-6.721246399,1.7940791274129,0.13445,0.114585,0.084185,0.025,1.81818181818182e-08,0.139393939393939,0.0606060606060606,0.0885407574015026,0.0415592805603905,0.0526417554229419,"090205",4.6497,0.752025387323213
"284",0.230448921,3.91521772,22.7516324,-11.2798407,0.8,1.01283722470517,1.43267533,0.0531067051900642,15.328929795002,517.63677686473,127.234806217376,0.64,1.02583924374848,2.05255860119061,0.77,1.8158,-6.229147988,1.06172876136085,0.08569564,0.077643595,0.064053366,0.005,2.42424242424242e-08,0.303030303030303,0.121212121212121,0.0447672759550477,0.017844662826724,0.0309657384870962,"090423",8.26,0.966610986681934
"286",0.204119983,3.19881,21.03292483,-10.92811799,0.47,0.740362689494244,1.4371,0.0416649674599203,10.2323854161,442.38392690443,119.423762803362,0.2209,0.54813691199515,2.06525641,0.74,2.00127,-6.508638306,1.01801767977434,0.169750000000001,0.148545,0.09107,0.005,1.81818181818182e-08,0.466666666666667,0.121212121212121,0.0803853565101723,0.0254718171107053,0.0329010970878163,"090429B",9.4,1.01703333929878
"287",0.204119983,4.33113504,21.19589965,-11.27490548,1.84,2.32221929473392,1.76098314,0.0416649674599203,18.7587307347158,449.26616197287,127.123493582934,3.3856,5.3927024528345,3.10106161936426,0.502,2.09,-5.045757491,64,0.0377960499999999,0.029715315,0.0533515885,0.4790870845,3.63636363636364e-07,0.0666666666666667,0.121212121212121,0.13235641353242,0.0175472518118213,0.0329010970878163,"090516A",4.109,0.708335902682263
"288",-0.22184875,3.44619,22.13069392,-11.76000021,1.02,1.80617997398389,1.42452,0.0492168678765625,11.8762255161,489.767613380725,138.2976049392,1.0404,3.26228609842043,2.0292572304,0.63,1.46604,-5.920818754,8.24011648989424,0.21145,0.24029,0.3065,0.03,6.06060606060606e-08,0.121212121212121,0.121212121212121,0.0559162050281416,0.0219340647449938,0.0877362590478575,"090519",3.85,0.685741738602264
"289",-0.397940009,4.472757799,21.70587483,-12.1873998,2,2,0.8815438,0.15835625076292,20.0055623285153,471.145002135627,148.53271388504,4,4,0.77711947131844,0.64,2.22623,-6.167491087,10.5274431981955,0.11547934,0.21900534,0.113675222,0.125,1.03030303030303e-07,0.181818181818182,0.0606060606060606,0.0457201048952623,0.0658021941832558,0.0658021942774567,"090529",2.625,0.559308010907013
"292",0.041392685,4.56066,21.91952315,-11.8559,1.34,0.732393759822969,1.6367,0.00171335437150922,20.7996196356,480.465495123386,140.56236481,1.7956,0.536400619427624,2.67878689,0.96,1.94644,-6.468521083,1.2162532625235,0.338,0.237865,0.319405,0.01,3.03030303030303e-08,0.145454545454545,0.121212121212121,0.0978170519464413,0.0387071730789222,0.0478561412739918,"090809",2.737,0.572523097849638
"293",0.255272505,4.30368998,21.45058625,-11.34678749,1.46,1.59328606702046,1.12123368,0.065164051808975,18.5217474439524,460.127650468689,128.74958634322,2.1316,2.53856049136152,1.25716496516634,1.064,2.11535,-5.619788758,4.82961031431318,0.0256335199999995,0.034224003,0.0267820245,0.002,6.06060606060606e-08,0.163636363636364,0.0606060606060606,0.0535069670726848,0.0109670323640116,0.0146227098318706,"091029",2.752,0.574262829707027
"295",0.113943352,3.37933883,21.89596701,-11.14630179,1.31,1.68124123737559,1.06152816,0.0129830874649959,11.4199309279458,479.433371303008,124.240043593757,1.7161,2.8265720982522,1.12684203447299,0.89,1.96352,-5.795880017,16.7081067781536,0.0594103399999995,0.074268877,0.0337195714999999,0.03,1.21212121212121e-07,0.151515151515152,0.242424242424242,0.151171637016717,0.0329010970878164,0.0809873160298532,"091109A",3.076,0.610234175334389
"296",-0.397940009,4.7218991,21.3989672,-12.13548892,1.34,1.27415784926368,1.3641,0.15835625076292,22.2963311105808,457.915797226676,147.270091327443,1.7956,1.62347822484025,1.86076881,0.46,1.58721,-6.431798276,6.64771150189809,0.326395625,0.103773463,0.7308534025,0.005,3.63636363636364e-08,0.151515151515152,0.0606060606060606,0.153567256519102,0.0426825043705403,0.0658021942774567,"100219A",4.6667,0.753330221324521
"297",-0.22184875,3.74522911,22.05240534,-11.57186521,1.62,1.92427928606188,0.96306136,0.0492168678765625,14.0267410863914,486.30858127966,133.908064438408,2.6244,3.70285077076682,0.92748718312505,1.36,2.25722,-5.853871964,14.8708607591715,0.0981768900000004,0.128616618,0.0615694365,0.025,6.06060606060606e-08,0.0848484848484849,0.0606060606060606,0.0768849139149974,0.0188006269082896,0.0438681295239288,"100513A",4.772,0.761326322421457
"298",0.633468456,3.62503495,21.52730245,-10.35163999,1.73,2.29556709996248,1.01294211,0.401282284747024,13.1408783887215,463.424750773776,107.156450482567,2.9929,5.26962831043015,1.02605171821125,1.29,2.11575,-5.22184875,23.2593145938513,0.0476344600000003,0.053639373,0.0181399595,0.01,1.21212121212121e-07,0.0363636363636364,0.121212121212121,0.051146288511197,0.00877362590478576,0.0122422686816868,"100704A",3.6,0.662757831681574
"299",1.041392685,5.08952072,21.95954126,-12.08512818,1.15,1.58883172559421,1.42351927,1.08449872437151,25.9032211593093,482.221452349642,146.05032312703,1.3225,2.52438625225467,2.02640711206133,0.39,1.85145,-5.22184875,11.6624637198907,0.0974184950000003,0.090702815,0.110855301,0.13,6.06060606060606e-08,0.0303030303030303,0.181818181818182,0.130539784508902,0.00438681295239289,0.0071784211910988,"110731A",2.83,0.583198773968623
"300",0.204119983,3.84627415,22.06812647,-11.28316228,1.58,2.01283722470517,1.37167718,0.0416649674599203,14.7938248369582,487.002205895915,127.309751036815,2.4964,4.05151369315882,1.88149828613275,0.83,1.95985,-5.397940009,18.0548005975559,0.0551490499999998,0.059648416,0.0673381894999999,0.01,1.21212121212121e-07,0.0666666666666667,0.181818181818182,0.0761271871007967,0.0131604388554913,0.0493516456317247,"110818A",3.36,0.639486489268586
"301",0.806179974,3.98993393,22.17059025,-10.66756154,1.86,1.80250006776439,1.21584288,0.649926150478641,15.9195727657652,491.535072033395,113.796869209687,3.4596,3.24900649429064,1.47827390884669,0.829,1.94053,-5.27572413,2.36485690984517,0.0285110849999999,0.035676696,0.0273512905000001,0.001,1.81818181818182e-07,0.0545454545454545,0.424242424242424,0.0161841208073831,0.0148986100001386,0.0287884599735793,"111008A",4.9898,0.777412321496744
"303",-0.045757491,4.42202873,21.35034301,-11.60730305,1.68,2.46239799789896,1.46723371,0.00209374798261508,19.5543380889454,455.837146644656,134.729484094539,2.8224,6.06340390005679,2.15277475976036,1.25,2.55463,-5.13667714,88.090862182181,0.0730882700000004,0.070655771,0.1058841465,0.0049999999999999,1.81818181818182e-07,0.0424242424242424,0.0606060606060606,0.131921983971797,0.0108167990541397,0.0292454196863688,"111123A",3.1516,0.618215503279417
"304",0.342422681,3.68307,21.451745,-10.95467702,2.08,1.36660971039243,1.0241,0.117253292463228,13.5650046249,460.177363545025,120.004948612516,4.3264,1.86762210053888,1.04878081,1.01,2.20884,-5.744727495,19.6469605838771,0.1172,0.131765,0.077156,0.005,6.06060606060606e-08,0.0666666666666667,0.181818181818182,0.366834332233384,0.0146227098318706,0.0358921059277238,"120118B",2.943,0.595826777073223
"305",0.591064607,3.48517215,22.16619025,-10.15181088,1.52,1.79865064544527,1.44859414,0.349357369648064,12.1464249151356,491.339990199195,103.059264143286,2.3104,3.23514414436068,2.09842498244234,0.63,1.75797,-5.443697499,7.52171254966162,0.0436249200000001,0.051679097,0.058002882,0.02,6.06060606060606e-08,0.0363636363636364,0.121212121212121,0.0519338355291014,0.00731135491027843,0.0134978859962626,"120327A",2.813,0.581266805273671
"306",0.079181246,3.79948,21.70983536,-11.02687215,1.85,1.58771096501891,1.90651,0.00626966971811252,14.4360482704,471.316951358306,121.591909412446,3.4225,2.52082610844128,3.6347803801,0.69,1.89579,-5.795880017,16,0.11705,0.068285,0.121385,0.005,6.06060606060606e-08,0.0787878787878788,0.121212121212121,0.179553274171887,0.0164505485439082,0.0438681294899875,"120404A",2.876,0.588383768378728
"307",0.477121255,3.53838419,22.12127744,-11.17198494,1.21,1.69897000433602,0.54215516,0.227644691972775,12.520162676042,489.350915577453,124.813247499587,1.4641,2.88649907563353,0.293932217514626,0.91,2.03526,-5.721246399,31.0246002714191,0.0780322099999999,0.220557212,0.11816229,0.055,1.81818181818182e-07,0.284848484848485,0.121212121212121,0.269476254022629,0.0415592805603905,0.017547251782744,"120802A",3.796,0.680879174426811
"308",0.612783857,3.15909591,21.91722026,-10.14327111,1.4,1.42813479402879,1.01613299,0.375504055399796,9.97988696857873,480.364543925354,102.885948810961,1.96,2.03956898991565,1.03252625336634,0.65,1.92121,-5.522878745,3.69357928575403,0.0529468600000005,0.084200302,0.03800099,0.090734018,1.81818181818182e-07,0.181818181818182,0.121212121212121,0.0598545187416093,0.026320877674116,0.0128394525239612,"120811C",2.671,0.564784384503987
"309",0.301029996,3.59799,21.0163605,-10.59516628,1.58,2.2380461031288,1.06622,0.09061905849176,12.9455320401,441.68740866596,112.257548500849,2.4964,5.00885035972999,1.1368250884,1.17,2.06954,-5.207608311,30.2400963128712,0.16365,0.133375,0.0356299999999999,0.0049999999999999,4.24242424242424e-07,0.218181818181818,0.121212121212121,0.0759139130688025,0.0297171200079232,0.0263208776707413,"120922A",3.1,0.612783856719735
"312",-1,4.70907,22.13069392,-12.35951856,2.43,2,0.900754,1,22.1753402649,489.767613380725,152.757699034984,5.9049,4,0.811357768516,0.99,2.18362,-6.337242168,39.5546314794679,0.2624,0.38724,0.4243565,0.12,7.87878787878788e-08,0.278787878787879,0,0.171783581852496,0.0743850890724999,0,"121229A",2.707,0.569022586029564
"313",0.69019608,3.58393,20.06405721,-10.32975415,1.28,1.44715803134222,1.39277,0.476370628847366,12.8445542449,402.566391726153,106.703820799442,1.6384,2.09426636767829,1.9398082729,0.945,2.03183,-5.638272164,13.0660353517987,0.077,0.070305,0.0643,0.117120218,2.42424242424242e-07,0.157575757575758,0.606060606060606,0.202660966201392,0.0457754394646476,0.0537160769241516,"130408A",3.757,0.677333151419902
"314",0.447158031,3.68772,21.19799139,-10.7212464,1.8,2.3096301674259,1.17745,0.199950304687797,13.5992787984,449.354838970514,114.945124369513,3.24,5.33439151028379,1.3863885025,0.65,2.0604,-5.040958608,12.8126975867004,0.0780000000000003,0.078365,0.04188,0.08,1.21212121212121e-07,0.0303030303030303,0.181818181818182,0.0272768816676426,0.00578480828803656,0.0282009404055501,"130514A",3.6,0.662757831681574
"315",0.414973348,3.30222,20.24962877,-10.18045606,1.52,2.44182077228928,1.37571,0.172202879550329,10.9046569284,410.047465322812,103.641685589591,2.3104,5.96248868398343,1.8925780041,0.44,1.86465,-5.537602002,19.3109676637375,0.0681500000000002,0.07782,0.05186,0.045,1.21212121212121e-07,0.0727272727272727,0.121212121212121,0.0303226795016752,0.0181523294379188,0.0202468289917981,"130606A",5.913,0.839666556882433
"316",-0.15490196,2.87134,22.01669496,-10.838632,1.97,1.04139268515823,0.951056,0.0239946172118416,8.2445933956,484.734856961689,117.475943631424,3.8809,1.08449872470106,0.904507515136,0.86,2.15896,-6.602059991,3.16227766016838,0.0823,0.12461,0.0362555000000001,0.025,2.42424242424242e-08,0.854545454545454,0.0606060606060606,0.124850885277914,0.0421134042739674,0.0376012538456717,"131117A",4.042,0.702602841340427
"317",1.28780173,3.59073,22.00531353,-9.730487056,1.04,1.97127584873811,1.22509,1.65843329579099,12.8933419329,484.233823553601,94.6823783469835,1.0816,3.88592847181814,1.5008455081,0.672,1.88134,-4.795880017,13.7528238777123,0.0129950000000001,0.021325,0.0155449999999999,0.0219023355,1.81818181818182e-07,0.0909090909090909,0.303030303030303,0.063811704280745,0.00493516456317247,0.00678373136259728,"140206A",2.73,0.571708831808688
"318",0.69019608,3.68383,22.04094236,-10.00568285,1.21,1.97634997900327,1.36898,0.476370628847366,13.5706034689,485.803140116842,100.113689294784,1.4641,3.90595923950624,1.8741062404,0.678,1.87322,-4.795880017,3.81721576852457,0.0239850000000006,0.02442,0.017885,0.001,0,0.0242424242424242,0.121212121212121,0.0175057628775533,0,0.0107432153848303,"140419A",3.956,0.695131297704026
"319",0.322219295,3.90552,21.81946365,-10.85078089,1.33,2.12710479836481,1.18974,0.103825274070297,15.2530864704,476.088993973671,117.739445922789,1.7689,4.52457482322659,1.4154812676,0.77,2.06486,-5.026872146,23.0119829578041,0.0503499999999999,0.05495,0.045115,0.149849463,1.81818181818182e-07,0.0363636363636364,0.121212121212121,0.0745819195240745,0.00840028010644005,0.0250675025476,"140423A",3.26,0.629409599102719
"320",0,3.77824,22.46148952,-11.31158018,0.92,1.78175537465247,1.64981,0,14.2750974976,504.51851145707,127.951846168569,0.8464,3.17465221510296,2.7218730361,0.94,1.93772,-6,2.42918916112475,0.0904500000000006,0.070125,0.18819,0,6.06060606060606e-08,0.36969696969697,0.0606060606060606,0.0174377429450524,0.0263208776911062,0.0263208776911062,"140518A",4.707,0.756407872548958
