"","log10NH","log10PeakFlux","log10T90","log10Fa","log10Ta","Alpha","Beta","log10NHSqr","log10PeakFluxSqr","log10T90Sqr","log10FaSqr","log10TaSqr","AlphaSqr","BetaSqr","Gamma","log10Fluence","PhotonIndex","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"060418",21.65363309,0.814247596,1.6556649761519,-9.792961075,3.11887,1.47655,0.98,468.879825996343,0.662999147591779,2.74122651325606,95.9020866164651,9.7273500769,2.1801999025,0.9604,1.94118,-5.079354999,1.7,45.254833995939,0.0490400000000006,0.057245,0.044705,0.005,1.53333333333333e-07,0.0363636363636364,0.212121212121212,0.434294481903252,0.0079942161609691,0.0141293055003077,1.489,0.396024896608593
"060502A",21.45692297,0.227886705,0.992457989068932,-10.55284197,3.3865,0.897152,0.87,460.399543340514,0.051932350315757,0.984972860066749,111.362473643793,11.46838225,0.804881711104,0.7569,2.02719,-5.63638802,1.46,9.82783800045578,0.0567500000000001,0.075085,0.0205255,0.015,6.18181818181818e-08,0.0484848484848485,0.127272727272727,0.434294481903252,0.0116222057308489,0.0327064160367775,1.5026,0.398391440229475
"060510B",22.00215742,-0.244125144,1.32816638879708,-12.2656,4.43617,1.00735,1.38,484.094931134461,0.0595970859330207,1.76402595633029,150.44494336,19.6796042689,1.0147540225,1.9044,2.1317,-5.390405591,1.78,21.2895454410942,0.2206,0.31628,0.2313695,0.03,1.06666666666667e-07,0.0484848484848485,0.0666666666666667,0.434294481903252,0.0113820011696242,0.0507946762076893,4.9,0.770852011642144
"060604",21.99003057,-0.468521083,1.23044892137827,-11.76955108,4.45991,1.21596,1.02,483.561444469534,0.219512005215493,1.51400454812096,138.522332624729,19.8907972081,1.4785587216,1.0404,2.1711,-6.395773947,2.01,17,0.0419499999999999,0.04994,0.0469499999999999,0,6.42424242424242e-08,0.254545454545455,0.0787878787878788,0.434294481903252,0.0694033093482565,0.100638650005198,2.1357,0.496334505996816
"060605",21.77333803,-0.337242168,1.54424377284712,-11.26121944,4.04162,1.9179,0.835,474.078248968644,0.11373227987734,2.38468882997711,126.815063275834,16.3346922244,3.67834041,0.697225,2.02128,-6.156767222,1.55,35.0141649091828,0.0531499999999996,0.037375,0.085,0.10149311,5.45454545454545e-08,0.121212121212121,0.0727272727272727,0.434294481903252,0.0339867861224412,0.068663159143846,3.78,0.679427896612119
"060614",20.51216256,1.06069784,0.519883480209376,-11.78251606,5.03344,1.9453,0.783,420.748812887866,1.12507990778067,0.270278832994613,138.827684704158,25.3355182336,3.78419209,0.613089,1.89544,-4.690369833,2.02,3.31042292001389,0.0429000000000004,0.0289,0.0598299999999999,0.006,2.2e-07,0.0242424242424242,0.448484848484848,0.434294481903252,0.00468356794668692,0.0169369126150239,0.125,0.0511525224473813
"060707",21.20847898,0.004321374,0.800318367698976,-10.9132,3.5545,0.861995,1.12,449.799580645102,1.8674273247876e-05,0.640509489676353,119.09793424,12.63447025,0.743035380025,1.2544,2.09345,-5.795880017,0.6,6.31420049148106,0.0769500000000001,0.127895,0.0364485,0.035,9.15151515151515e-08,0.3636363636,0.139393939393939,0.434294481903252,0.0248403283013014,0.0599386323358868,3.425,0.645913275033844
"060708",20.79066861,0.28780173,0.556452576118993,-10.86966623,3.50569,1.12969,1.485,432.251901250839,0.0828298357909929,0.309639469469464,118.149643951602,12.2898623761,1.2761994961,2.205225,2.20484,-6.306273051,1.68,3.60124423553101,0.0611499999999996,0.062725,0.028525,0.3341015195,2.24242424242424e-08,0.0727272727272727,0.0848484848484849,0.434294481903252,0.019714017700399,0.0189944478152724,1.92,0.465382851448418
"060714",22.0125926,0.10720997,0.960440589145661,-10.86012091,3.73449,1.20488,0.87,484.554232973575,0.0114939776674009,0.922446125278464,117.942226179819,13.9464155601,1.4517358144,0.7569,2.04425,-5.548213564,1.93,9.12936538358046,0.0352000000000006,0.046765,0.0353049999999999,0.0049999999999999,1.01212121212121e-07,0.0666666666666667,0.0787878787878788,0.434294481903252,0.0155321080197879,0.0267321413833549,2.711,0.569490954348783
"060729",20.86562801,0.068185862,1.5302440299836,-11.15058059,5.1057,1.35481,1.317,435.374432251696,0.00464931177668304,2.34164679130046,124.335447494085,26.06817249,1.8355101361,1.734489,1.92492,-5.583359493,1.75,33.90346061055,0.0116000000000005,0.012825,0.0134249999999999,0.077392286,1.27878787878788e-07,0.0848484848484849,0.0787878787878788,0.434294481903252,0.0212785639737521,0.0292454196396911,0.54,0.187520720836463
