"","log10Ta","log10PeakFlux","log10NH","log10Fa","Alpha","PhotonIndex","log10T90","Gamma","Beta","log10Fluence","log10TaSqr","log10PeakFluxSqr","log10NHSqr","log10FaSqr","AlphaSqr","PhotonIndexSqr","log10T90Sqr","GammaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"040924A",3.64512997787827,0.155336037,20.42473959,-10.6148476480732,1.4411582739319,1.79,1.64836001098093,2.06183,0.86577156598306,-5.853871964,13.2869725556268,0.0241292843908654,417.169987319313,112.674990591805,2.07693717052236,3.2041,2.71709072580106,4.2511429489,0.74956040446476,34.2678169709052,0.00919722887858148,2.08111957398595,0.730382386465975,0.48020824949429,0.254977959402724,0.00382325157840621,0.07,0.0198648132987547,"040924A",0.86,0.269512944217916
"041006A",3.86074210076767,0.113943352,21.45692297,-10.7153030345813,1.41302897101926,1.64,1.13417710757677,1.8557,0.82259135471859,-6.229147988,14.90532956864,0.0129830874649959,460.399543340514,114.817719122907,1.99665087293976,2.6896,1.2863577113512,3.44362249,0.676656536857765,38.8022846564045,0.0202577864893789,2.09927251112267,0.748201805933201,0.478528000901494,0.241174833492959,0.00940031346851669,0.018181818,0.0438681298090717,"041006A",0.72,0.235528446907549
"050315A",4.86356,0.285557309,21.91683806,-11.3757179,1.10818,2.11,1.9804578922761,1.99544,0.856,-5.492144128,23.6542158736,0.0815429767233215,480.347790548265,129.40695774038,1.2280629124,4.4521,3.92221346307869,3.9817807936,0.732736,30.1636471227249,0.0636907468358741,0.03245,0.04512,0.049165,0.001,0.0119343109944412,0.054545455,0.0300030729412981,"050315A",1.949,0.469674772551798
"050318A",4.132084541,0.499687083,20.92661714,-11.15490196,1.874408221,1.9,1.50514997831991,1.98053,0.95,-5.966576245,17.0741226539712,0.249687180917049,437.923304924142,124.431837737212,3.51340617895238,3.61,2.26547645723641,3.9224990809,0.9025,35.6000320873983,0.148833498099688,0.06181969,0.043780336,0.085906519,0.037,0.0187658109674778,0.060606061,0.0166587833050111,"050318A",1.44,0.387389826338729
"050319A",3.73997,0.181843588,20.93735437,-10.70553377,0.863159,2.02,2.1832698436828,2.01045,0.971,-5.882728704,13.9873756009,0.0330670904967137,438.372808014958,114.60845330061,0.745043459281,4.0804,4.76666721033474,4.0419092025,0.942841,34.6064970048655,0.0311991209239902,0.04165,0.06193,0.034558,0.009,0.0297365640854658,0.115151515,0.0363643704117435,"050319A",3.24,0.627365856592733
"050401A",3.12435,1.029383778,22.12570242,-9.653647026,0.984108,1.4,1.52244423350632,1.78711,0.9995,-5.085128182,9.7615629225,1.05963096240955,489.546707578394,93.1929009025986,0.968468555664,1.96,2.31783644413664,3.1937621521,0.99900025,25.8585286273706,0.00815583517918357,0.019455,0.02833,0.0260615,0.0174145,0.0097982829257281,0.042424242,0.0226310350249442,"050401A",2.9,0.591064607026499
"050408A",3.96483071181773,0.204119983,21.95954126,-11.0367602714071,1.22081206778294,1.68,1.61278385671974,2.03333,0.809797218047636,-5.698970004,15.7198825733731,0.0416649674599203,482.221452349642,121.81007728851,1.49038210484446,2.8224,2.60107176849578,4.1344308889,0.65577153435769,32.4782591064918,0.0611908230548872,2.15881971533614,0.757787337400702,0.470013546050917,0.240052315066275,0.00382325157840621,0.181818182,0.0382849130607791,"050408A",1.24,0.350248018334163
"050416A",2.99481,0.688419822,21.75162856,-10.5559552,0.842217,3.08,0.397940008672038,2.06183,0.9,-6.435333936,8.9688869361,0.473921851322512,473.133345012208,111.428190184407,0.709329475089,9.4864,0.158356250501901,4.2511429489,0.81,41.4135228678333,0.0771432233016977,0.0484,0.070765,0.0149485,0.005,0.0265360347448561,0.133333333,0.0258893879011433,"050416A",0.6528,0.218220304175545
"050502A",3.72691388656045,-0.397940009,21.03780485,-10.7755762664861,1.50210509690927,1.5,2.40654018043396,2.00022,0.88656203807336,-5.677780705,13.8898871178371,0.15835625076292,442.589232906684,116.113043874859,2.2563197221608,2.25,5.79143564004309,4.0008800484,0.785992247352791,32.2371937340703,0.0611908230548872,2.1103074900048,0.736828260174759,0.483939885819305,0.248358933577633,0.00797602353536826,0.066666667,0.0329010970302395,"050502A",3.79,0.680335513414563
"050502B",3.673425771629,-0.244125144,21.41988474,-10.7134164824227,1.46867449868755,1.73,1.51188336097887,1.82831,0.90895177724753,-6.091514981,13.4940568996681,0.0595970859330207,458.811462274885,114.777292725845,2.15700478309512,2.9929,2.28579129720478,3.3427174561,0.826193333361444,37.1065547637474,0.20601598202985,2.09947491299988,0.734292151173842,0.490663899590106,0.252133725053043,0.0152584798116998,0.018181818,0.037601253750777,"050502B",5.2,0.792391689498254
"050505A",4.270583544,0.267171728,22.23063027,-11.04817696,1.462094791,1.41,1.7701152947871,2.01835,0.973,-5.603800653,18.2378838062836,0.071380732242506,494.20092220144,122.062214139475,2.13772117786933,1.9881,3.13330815683923,4.0737367225,0.946729,31.4025817585632,0.0504266082816271,0.03272177,0.030067592,0.035926291,5e-04,0.018921434167657,0.072727273,0.0441052545788047,"050505A",4.27,0.721810615212547
