"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
45,377,0.5658,377,1.1262,3829,-6e-04,17,9,2.6,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
46,1986,0.4036,1986,1.2892,13715,-0.1205,17,9,2.5,"Response ~  (log10FaSqr+log10NHSqr+log10T90+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
47,2037,0.6827,2037,1.1626,2037,-0.392,17,9,2.5,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
48,3432,0.5504,3432,1.0724,145,-0.1253,17,9,2.6,"Response ~  (AlphaSqr+log10T90Sqr+PhotonIndexSqr+log10NHSqr+Alpha)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10TaSqr+log10FaSqr"
49,7299,0.4989,7299,1.2038,4511,-0.2644,17,9,2.6,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
50,30,0.6097,30,1.0439,6355,-0.0492,17,9,2.6,"Response ~  (log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
51,12310,0.351,3115,1.2435,12310,-0.1065,17,9,2.5,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10T90+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
52,2261,0.4826,264,1.1736,1830,-0.0113,17,9,2.5,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
53,7995,0.4756,7995,1.3247,6115,-0.2033,17,9,2.6,"Response ~  (AlphaSqr+log10FaSqr+log10NHSqr+Alpha+log10T90+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr"
54,2496,0.6419,2496,1.2457,3264,-0.2249,17,9,2.6,"Response ~  (log10T90Sqr+log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
