"","log10NH","log10PeakFlux","PhotonIndex","log10Ta","log10T90","log10Fa","Alpha","Beta","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10T90Sqr","log10FaSqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"061121A",21.75351565,1.324282455,1.41,3.78753,1.90982337,-10.03011836,1.35185,0.9485,1.90181,-4.863279433,473.215443134795,1.75372402062083,1.9881,14.3453835009,3.64742530459816,100.603274315609,1.8274984225,0.89965225,3.6168812761,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.009468031,"061121A",1.314,0.364363354615731
"070110A",21.3989672,-0.22184875,1.58,4.26825,1.946550511,-11.04866248,1.42725,1.186,2.08596,-5.790484985,457.915797226676,0.0492168678765625,2.4964,18.2179580625,3.78905889187436,122.07294259696,2.0370425625,1.406596,4.3512291216,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.086858896,"070110A",2.352,0.525304009958239
"070208A",21.8647258,-0.045757491,1.94,3.44468,1.806179974,-10.86327943,1.2125,1.14,2.20341,-6.351639989,478.066234309186,0.00209374798261508,3.7636,11.8658203024,3.26228609847864,118.010839974261,1.47015625,1.2996,4.8550156281,40.3433305498639,0.153546286600926,0.1619,0.14114,0.06357,0.015,0.098570208,0.36,0.106160873,"070208A",1.165,0.335457900689384
"070223A",21.70173804,-0.161150909,1.85,4.22335,1.9408513687054,-11.86327943,0.991734,1.03,2.25837,-5.769551079,470.965433956783,0.0259696154715263,3.4225,17.8366852225,3.76690403540562,140.737398834261,0.983536326756,1.0609,5.1002350569,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722848,"070223A",1.6295,0.419873175149476
"070306A",22.44245468,0.609594409,1.66,4.86926,2.321184027,-11.2737,1.89982,0.831,1.94468,-5.269217724,503.663772063854,0.371605343484059,2.7556,23.7096929476,5.38789528719994,127.09631169,3.6093160324,0.690561,3.7817803024,27.7646554229157,0.134263479640872,0.0335,0.02824,0.06188,0.001,0.02308703,0.1,0.022408315,"070306A",1.4959,0.397227181043161
"070508A",21.89306622,1.382017043,1.1,3.02525,1.320146286,-9.161150909,1.37377,0.764,1.82568,-4.707743929,479.306348513305,1.90997110714246,1.21,9.1521375625,1.74278621643959,83.9266859774715,1.8872440129,0.583696,3.3331074624,22.1628529010364,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0.006049102,0.060606061,0.010992516,"070508A",0.82,0.260071387985075
"070521A",22.27524914,0.814913181,1.1,3.55243,1.57863921,-10.01233374,1.44502,0.98,2.00022,-5.096367484,496.186724249071,0.664083492567539,1.21,12.6197589049,2.49210175534942,100.246826921142,2.0880828004,0.9604,4.0008800484,25.9729615319725,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0.009596769,0.121212121,0.017957046,"070521A",2.0865,0.489466281303128
"070529A",22.56252244,0.155336037,1.34,3.09323,2.038222638,-10.24641694,1.21432,0.76,1.97999,-5.590066877,509.067418855503,0.0241292843908654,1.7956,9.5680718329,4.15435152205568,104.989060108319,1.4745730624,0.5776,3.9203604001,31.2488476893325,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0.041401614,0.16,0.109332877,"070529A",2.4996,0.544018407858776
"070802A",21.91375294,-0.397940009,1.79,3.92184,1.214843848,-11.6716204,1.16348,0.78,1.99014,-6.552841969,480.212567915359,0.15835625076292,3.2041,15.3808289856,1.47584557502345,136.226722761696,1.3536857104,0.6084,3.9606572196,42.9397378706878,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0.077552586,0.27,0.108573621,"070802A",2.45,0.537819095073274
"071003A",20.86974084,0.799340549,1.36,4.78411,2.170643023,-11.67760082,1.97901,0.837,1.91015,-5.080921908,435.546082728764,0.638945313275621,1.8496,22.8877084921,4.71169113329858,136.366360911265,3.9164805801,0.700569,3.6486730225,25.8157674351944,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0.015697391,0.07,0.027574253,"071003A",1.60435,0.415699348887829
"071020A",20.99642367,0.924279286,1.11,2.311950854,0.62324929,-9.169411331,1.119196934,0.844,1.59788,-5.638272164,440.849806930136,0.85429219852867,1.2321,5.34511675131133,0.388439677485504,84.0781041570712,1.252601777075,0.712336,2.5532204944,31.7901129953372,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0.018882369,0.05,0.015510517,"071020A",2.145,0.497620649781288
"071117A",22.04291793,1.053078443,1.57,3.901990464,0.819543936,-11.23542972,1.104952391,0.94,2.0457,-5.619788758,485.890230868716,1.1089742071113,2.4649,15.2255295811469,0.671652263034372,126.234880993059,1.22091978637662,0.8836,4.18488849,31.5820256845432,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0.018095603,0.06,0.015373256,"071117A",1.331,0.367542273520577
"080310A",20.89722339,0.113943352,2.32,4.32608056,2.560456622,-11.3990271,1.59590648,0.878,2.09352,-5.638272164,436.693945411563,0.0129830874649959,5.3824,18.7149730116099,6.55593811314365,129.937818826534,2.54691749290599,0.770884,4.3828259904,31.7901129953372,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,0.037764738,0.16,0.066814536,"080310A",2.42,0.534026106056135
"080411A",21.57289018,1.635483747,1.75,4.20932562,1.748188027,-10.11350927,1.28909841,0.91,1.97674,-4.578396073,465.38959071834,2.67480708670116,3.0625,17.7184221751884,3.05616137774615,102.283069754376,1.66177471066453,0.8281,3.9075010276,20.9617106012618,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0.001645055,0.03,0.009047802,"080411A",1.03,0.307496037913213
"080516A",22.03528962,0.255272505,1.82,3.77452827,0.763427994,-11.12090412,0.94016916,1.48,2.3315,-6.585026652,485.55398863728,0.065164051808975,3.3124,14.2470636610292,0.582822302022864,123.674508446233,0.883918049415106,2.1904,5.43589225,43.3625760075503,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0.066814536,0.27,0.072382414,"080516A",3.2,0.6232492903979
"080607A",22.38386741,1.36361198,1.31,3.46298403,1.899984563,-10.0540393,1.7256074,1.06,2.03418,-4.619788758,501.03752022846,1.85943763199952,1.7161,11.992258392035,3.6099413396383,101.083706245944,2.97772089893476,1.1236,4.1378882724,21.3424481685432,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.02068069,"080607A",3.036,0.605951157564873
"080710A",20.89722339,0,1.47,4.09266933,2.077948999,-11.23284413,1.52133785,1.3,2.00149,-5.853871964,436.693945411563,0,2.1609,16.7499422447226,4.3178720424451,126.176787248875,2.31446885384262,1.69,4.0059622201,34.2678169709052,0.063286086716648,0.06269498,0.054210787,0.06401643,0.150517844,0.062042069,0.23,0.086858896,"080710A",0.845,0.265996370495079
"080810A",21.45079548,0.301029996,1.34,3.2687548,2.03666881,-9.931814138,1.44529526,1.079,2.11482,-5.337242168,460.136626724788,0.09061905849176,1.7956,10.684757942523,4.14801984162682,98.6409320717767,2.08887838857847,1.164241,4.4724636324,28.4861539598773,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0.018882369,0.06,0.043429448,"080810A",3.35,0.638489256954637
"080928A",21.51035195,0.322219295,1.77,4.08450503,2.368584372,-11.1260984,1.76031774,0.99,2.13864,-5.602059991,462.695241012869,0.103825274070297,3.1329,16.6831813400953,5.61019192728263,123.790065606483,3.09871854575871,0.9801,4.5737810496,31.3830761427629,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0.034743559,0.12,0.02068069,"080928A",1.692,0.430075055551939
"081007A",21.69605744,0.414973348,2.51,3.58176278,0.958563883,-10.58502665,1.00469263,0.92,2.102,-6.148741651,470.718908439779,0.172202879550329,6.3001,12.8290246121933,0.918844717792038,112.04278918121,1.00940728077632,0.8464,4.418404,37.8070238907422,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0.048934589,0.2,0.066814536,"081007A",0.5295,0.184549481320698
"081008A",21.1376737,0.113943352,1.69,3.85550833,2.268297087,-10.79317412,1.47398467,0.84,1.98207,-5.366531544,446.801249447672,0.0129830874649959,2.8561,14.8649444826994,5.14517167489269,116.492607584638,2.17263080739501,0.7056,3.9286014849,28.799660812747,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,0.020199743,0.07,0.033407268,"081008A",1.9685,0.472537053262077
"081029A",21.49704581,-0.301029996,1.43,4.48156171,2.431283332,-11.86327943,2.51960373,0.87,1.95818,-5.677780705,462.122978557239,0.09061905849176,2.0449,20.0843953605381,5.91113864046102,140.737398834261,6.34840295622991,0.7569,3.8344689124,32.2371937340703,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,0.041361379,0.18,0.173717793,"081029A",3.8479,0.685553652846326
"081221A",21.57331844,1.260071388,1.21,2.93195749,1.531478917,-9.354577731,1.23586126,0.991,2.4947,-4.742321425,465.408068513644,1.58777990285625,1.4641,8.5963747231671,2.34542767321549,87.5081245253211,1.52735305396879,0.982081,6.22352809,22.489612498014,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,0.007198251,0.13,0.011931167,"081221A",2.26,0.513217600067939
"081230A",20.67248024,-0.15490196,1.97,3.66959365,0.907209226455443,-11.32975415,0.99376498,1.02,2.08621,-6.086186148,427.35143927319,0.0239946172118416,3.8809,13.4659175561203,0.823028580565884,128.363329099442,0.9875688354744,1.0404,4.3522721641,37.0416618281071,0.740704337003765,0.0701444,0.08735027,0.040381418,0.02,0.02568693,0.096969697,0.142225970771007,"081230A",2.1,0.491361693834273
"090102A",21.72376179,0.740362689,1.36,3.15380077,1.432006687,-9.457174573,1.42487631,0.667,1.76997,-7.167491087,471.921826308664,0.548136911263311,1.8496,9.94645929685259,2.05064315161272,89.4381509041977,2.03027249879922,0.444889,3.1327938009,51.3729284822244,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,0.019160051,0.08,0.063170107,"090102A",1.547,0.406028944963615
"090205A",21.81792086,-0.301029996,2.15,3.70655,0.944482672,-11.3419886,1.29089,1.01,2.03416,-6.721246399,476.021670653223,0.09061905849176,4.6225,13.7385129025,0.89204751770826,128.64070540253,1.6663969921,1.0201,4.1378069056,45.1751531560705,0.0885407574117407,0.13445,0.114585,0.084185,0.025,0.068572813,0.23,0.086858896,"090205A",4.6497,0.752025387323213
"090423A",22.7516324,0.230448921,0.8,3.91521772,0.989894564,-11.2798407,1.43267533,0.77,1.8158,-6.229147988,517.63677686473,0.0531067051900642,0.64,15.328929795002,0.97989124783675,127.234806217376,2.05255860119061,0.5929,3.29712964,38.8022846564045,0.047195797531391,0.08569564,0.077643595,0.064053366,0.005,0.029443694,0.5,0.051093469,"090423A",8.26,0.966610986681934
"090424A",21.63012977,1.851258349,1.19,2.99599056,1.681241237,-9.050609993,1.1284106,0.924,1.96315,-4.677780705,467.86251386704,3.42715747474221,1.4161,8.97595943560911,2.82657209698929,81.9135412453915,1.27331048219236,0.853776,3.8539579225,21.8816323240703,0.0205611924585667,0.011257098,0.013394814,0.005546887,0,0,0.15,0.012233647,"090424A",0.544,0.188647295999717
"090519A",22.13069392,-0.22184875,1.02,3.44619,1.806179974,-11.76000021,1.42452,0.63,1.46604,-5.920818754,489.767613380725,0.0492168678765625,1.0404,11.8762255161,3.26228609847864,138.2976049392,2.0292572304,0.3969,2.1492732816,35.0560947177181,0.0559162050267847,0.21145,0.24029,0.3065,0.03,0.036191207,0.2,0.144764827,"090519A",3.85,0.685741738602264
"090529A",20.95374423,-0.397940009,2,4.472757799,1.837651558,-12.1873998,0.8815438,0.64,2.22623,-6.167491087,439.059397256258,0.15835625076292,4,20.0055623285153,3.37696324861983,148.53271388504,0.77711947131844,0.4096,4.9561000129,38.0379463082244,0.0664439832683159,0.11547934,0.21900534,0.113675222,0.125,0.10857362,0.3,0.108573621,"090529A",2.625,0.559308010907013
"090530A",20.90942658,0.397940009,1.61,3.6839464,1.681241237,-11.16052195,0.88610581,1.09,2.03975,-5.958607315,437.204119904411,0.15835625076292,2.5921,13.571461078073,2.82657209698929,124.557250196432,0.785183506515756,1.1881,4.1605800625,35.5050011343715,0.323703994876218,0.089175625,0.115365029,0.038514202,0.035,0.039481317,0.17,0.052115338,"090530A",1.266,0.355259905527378
"090618A",21.39200012,1.589949601,1.42,3.67275453,2.05388479,-9.640164518,1.30942861,0.8945,1.82831,-3.978810701,457.61766913408,2.52793973372006,2.0164,13.4891258376355,4.21844273059334,92.9327719341062,1.71460328468653,0.80013025,3.3427174561,15.8309345943921,0.00227692361547263,0.009695255,0.014245613,0.010591616,0.002482662,0.004136138,0.08,0.008931506,"090618A",0.54,0.187520720836463
"090809A",21.91952315,0.041392685,1.34,4.56066,0.73239376,-11.8559,1.6367,0.96,1.94644,-6.468521083,480.465495123386,0.00171335437150922,1.7956,20.7996196356,0.536400619686938,140.56236481,2.67878689,0.9216,3.7886286736,41.8417650012155,0.0978170519448906,0.338,0.237865,0.319405,0.01,0.063866836,0.24,0.078962633,"090809A",2.737,0.572523097849638
"090812A",21.77771022,0.556302501,1.24,3.52924,1.824125834,-10.16730017,1.37252,0.53,1.88559,-5.236572006,474.268662426292,0.309472472618855,1.5376,12.4555349776,3.3274350582662,103.373992746882,1.8838111504,0.2809,3.5554496481,27.4216863740229,0.0954430381608785,0.10615,0.13258,0.08412,0.015,0.014975672,0.05,0.024127471,"090812A",2.452,0.538070787043172
"090927A",21.01785522,0.301029996,1.8,4.20121889,0.342422681,-11.6716204,1.13087741,0.92,2.06549,-6.698970004,441.750238048881,0.09061905849176,3.24,17.6502401616928,0.117253292463228,136.226722761696,1.27888371644831,0.8464,4.2662489401,44.8761991144918,0.0791400972158072,0.076268475,0.093241949,0.074843971,0.01,0.065144172,0.2,0.043429448,"090927A",1.37,0.374748346010104
"091018A",21.19187281,1.012837225,1.77,2.89655535,0.639486489,-9.627087997,1.18074867,0.91,1.98015,-5.853871964,449.095473195217,1.0258392443457,3.1329,8.39003289561362,0.408942969613547,92.6808233019815,1.39416742170677,0.8281,3.9209940225,34.2678169709052,0.0598714492362227,0.024288603,0.034497878,0.016335114,0.002061639,0.031021034,0.24,0.016865805,"091018A",0.971,0.294686624279443
"091020A",21.70587483,0.62324929,1.53,2.95265011,1.590061231,-9.71219827,1.17417264,0.895,2.08587,-5.431798276,471.145002135627,0.388439677485504,2.3409,8.71814267208301,2.52829471832924,94.326795235791,1.37868138852457,0.801025,4.3508536569,29.5044325111566,0.0544128110188212,0.034480687,0.045271255,0.018244861,0.002182887,0.011737689,0.07,0.031021034,"091020A",1.71,0.432969290874406
"091029A",21.45058625,0.255272505,1.46,4.30368998,1.593286067,-11.34678749,1.12123368,1.064,2.11535,-5.619788758,460.127650468689,0.065164051808975,2.1316,18.5217474439524,2.53856049129633,128.74958634322,1.25716496516634,1.132096,4.4747056225,31.5820256845432,0.0535069670717355,0.02563352,0.034224003,0.026782025,0.002,0.018095603,0.27,0.024127471,"091029A",2.752,0.574262829707027
"091127A",20.87872913,1.667452953,2.05,3.98466812,0.84260924,-9.844663963,1.39581701,0.758,1.80187,-5.045757491,435.921330083911,2.78039935046842,4.2025,15.8775800265443,0.709990331333378,96.9174085443909,1.94830512540534,0.574564,3.2467354969,25.4596686579826,0.0093822306004846,0.018562516,0.021935207,0.013587309,0.00244132,0.014476483,0.07,0.025217099,"091127A",0.49,0.173186268412274
"050416A",21.75162856,0.688419822,3.08,2.99481,0.397940009,-10.5559552,0.842217,0.9,2.06183,-6.435333936,473.133345012208,0.473921851322512,9.4864,8.9688869361,0.15835625076292,111.428190184407,0.709329475089,0.81,4.2511429489,41.4135228678333,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,"050416A",0.6528,0.218220304175545
"050820A",21.61964524,0.389166084,1.25,3.750945731,1.414973348,-10.01818139,1.136499703,0.9,1.96878,-5.463441557,467.409060303455,0.151450240935895,1.5625,14.0695938769071,2.00214957555033,100.363958362942,1.29163157491909,0.81,3.8760946884,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,"050820A",2.6147,0.558072259099146
