"formula_idx","wins","formula"
874,1,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
1292,1,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
1782,1,"Response ~  (log10FaSqr+log10NHSqr+log10T90+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
2006,1,"Response ~  (log10TaSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
2261,1,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
2369,1,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
2551,1,"Response ~  (log10T90Sqr+log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
2899,1,"Response ~  (AlphaSqr+PhotonIndexSqr+Alpha+log10T90+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
2955,1,"Response ~  (AlphaSqr+log10T90Sqr+log10NHSqr+Alpha+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
3000,1,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10PeakFluxSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+log10T90+Alpha+log10NHSqr+log10TaSqr+log10T90Sqr"
3115,1,"Response ~  (AlphaSqr+log10T90Sqr+Alpha+log10T90+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
3789,1,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
4119,1,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
4134,1,"Response ~  (log10T90Sqr+log10FaSqr+Alpha+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
4573,1,"Response ~  (log10FaSqr+log10TaSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
4954,1,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10T90Sqr+AlphaSqr"
5832,1,"Response ~  (AlphaSqr+log10T90Sqr+log10NHSqr+Alpha+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
6335,1,"Response ~  (AlphaSqr+log10T90Sqr+log10FaSqr+log10TaSqr+log10T90+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr"
7835,1,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Alpha+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
8062,1,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10T90Sqr+AlphaSqr"
8122,1,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
11965,1,"Response ~  (AlphaSqr+log10T90Sqr+log10FaSqr+log10NHSqr+Alpha+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
