log10T90,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,Redshift_crosscheck,GRB
0.944482672,2.08914,-4.815308569,1.0,21.2788016,1.620136055,0.297321378,0.006273143,0.1,0.009789852,0.61,050525A
1.322219295,1.90951127022931,-5.196542884,1.16,21.63005546,1.33243846,7.52171255,-0.0006217656979968,0.06,0.0038290748542292,2.82,050603A
2.194514342,1.6177,-5.623423043,1.53,21.73850309,-0.259637311,18.03329907,0.027736454,0.11,0.110547686,3.967,050730A
1.28780173,2.07525210781143,-6.508638306,1.99,20.80209017,0.164352856,6.314200491,0.0581234535102333,0.25,0.0712796339614364,1.56,050801A
1.477121255,1.8557,-5.698970004,1.54,21.25883595,0.439332694,10.19803903,0.034092117,0.13,0.069487117,1.7102,050802A
1.943988875,2.11696,-5.66756154,1.38,21.34755638,-0.017728767,10.43812723,0.027269654,0.11,0.049762909,3.5,050803A
1.414973348,1.96878,-5.463441557,1.25,21.61964524,0.389166084,22.67611617,0.030552112,0.12,0.040770502,2.6147,050820A
1.353723938,1.94709,-6.575118363,2.76,20.9708274,-0.301029996,4.070927175,0.084899673,0.38,0.130288345,0.8278,050824A
1.550228353,2.45742,-6.384049948,1.16,21.96085591,-0.420216403,5.865069501,0.075712355,0.31,0.148574428,0.297,050826A
2.259044094,1.90813,-5.316052869,1.25,22.39388568,-0.207608311,2.240000004,0.016184888,0.07,0.119080745,6.295,050904A
1.239799818,2.74883,-6.316052869,1.88,21.70983536,-0.15490196,3.773539953,0.045857181,0.17,0.086858896,3.34,050908A
0.653212514,2.2119,-5.790484985,1.37,21.44930866,0.860936621,0.450457546,0.014476483,0.06,0.019142456,2.198,050922C
0.602059991,1.89482,-6.769551079,2.4,21.71466751,0.113943352,0.469570015,0.056202815,0.23,0.053451629,0.9364,051016B
1.204119983,2.02921982175251,-6.17568341398607,1.6783282458665,20.9024195385481,0.179466033655192,30.24009631,0.0451414448022833,0.236991174642203,0.0749534429882672,3.6,051028A
1.57054294,2.06584,-5.657577319,1.51,21.97057233,0.595496222,7.089588968,0.05369459,0.2,0.076056648,2.346,051109A
1.155336037,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,3.778168861,0.069554976,0.24,0.102651423,0.08,051109B
1.776555911,2.23019,-5.389339837,1.32,21.79196559,0.424881637,3.31042292,0.014263593,0.06,0.034286406,1.55,051111A
2.144885418,2.10553,-5.76700389,1.0,21.43355223,-0.060480747,15.0870791,0.038096007,0.303030303,0.059902687,3.53,060115A
1.134495856,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,1.306782322,0.049929734,0.19,0.087834839,2.296,060124A
0.880241776,2.20424,-6.080398976,1.2,22.33966406,0.445604203,1.933560454,0.021949902,0.181818182,0.026462388,4.048,060206A
2.40654018,2.08163,-5.11577123,1.53,22.3877421,0.434568904,121.976523,0.023188831,0.09,0.044706785,3.91,060210A
