"log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10Fa_native","log10Ta_native","Alpha_native","Beta_native","Redshift_crosscheck","is_optical","GRB"
1.239799818,-10.7673117906094,3.53466862290029,1.13329770882728,1.0022034395342,2.74883,-6.316052869,1.88,21.90370028,-0.15490196,-12.61,3.26,0.82,1.8,3.34,1,"050908A"
0.653212514,-9.477555766,2.52429,1.22035,1.064,2.2119,-5.790484985,1.37,21.44930866,0.860936621,-9.60902966335154,0.441219347982127,1.00789694507448,2.49354492815784,2.198,0,"050922C"
0.602059991,-11.59006688,4.25742,1.14771,0.73,1.89482,-6.769551079,2.4,21.71466751,0.113943352,-14.5408854648177,5.26299667814755,0.85702001445627,-1.08784044606477,0.9364,0,"051016B"
1.204119983,-10.9600751246855,3.8190899067996,1.2310212399095,0.93000176834023,2.02921982175251,-6.17568341398607,1.6783282458665,20.9024195385481,0.179466033655192,-13.0714,4.04085,1.02823,1.1,3.6,1,"051028A"
1.57054294,-10.51999306,3.91123,1.22299,1.06,2.06584,-5.657577319,1.51,21.97057233,0.595496222,-12.0426975299995,4.29985421686077,1.01338035775114,2.45065408535278,2.346,0,"051109A"
1.155336037,-11.57511836,3.65548,1.251,1.06,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,-14.505986739506,3.58832677680156,1.07155853543032,2.45065408535278,0.08,0,"051109B"
1.776555911,-10.0374386946919,3.36520319783637,1.21832755364389,0.903418581185592,2.23019,-5.389339837,1.32,21.79196559,0.424881637,-10.91,2.77,1,0.76,1.55,1,"051111A"
2.144885418,-11.29499204,3.69688,0.889919,1,2.10553,-5.76700389,1,21.43355223,-0.060480747,-13.8520055096419,3.70350658528035,0.321575151832374,1.80729144327686,3.53,0,"060115A"
1.134495856,-10.6893,4.47599,1.3641,0.99,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,-12.4379604986693,5.87108486025406,1.30647291941876,1.70006433626421,2.296,0,"060124A"
0.880241776,-10.63078414,3.93814,1.17565,1.265,2.20424,-6.080398976,1.2,22.33966406,0.445604203,-12.3013497221833,4.37472109237198,0.915052798617516,4.64880977911216,4.048,0,"060206A"
2.40654018,-10.66756154,4.15028,1.20511,0.979,2.08163,-5.11577123,1.53,22.3877421,0.434568904,-12.3872100200775,4.96492023659157,0.976242699168349,1.58211451855029,3.91,0,"060210A"
1.053078443,-10.9636,2.78682,1.1892,0.81,2.01015,-6.171984936,1.74,22.49782636,0.130333768,-13.0783396367372,1.17160956827047,0.943196829590489,-0.230023589963542,4.41,0,"060223A"
2.13255996245349,-10.70553377,3.61496,1.03794,0.76,2.28823,-5.671620397,1.8,21.61973178,0.775974331,-12.4758597609376,3.47559523478319,0.629022207821341,-0.766159125026806,1.559,0,"060306A"
2.158362492,-9.792961075,3.11887,1.47655,0.98,1.94118,-5.079354999,1.7,21.65363309,0.814247596,-10.3453730097586,2.09541283893189,1.54003722074059,1.59283722925155,1.489,0,"060418A"
1.45331834,-10.55284197,3.3865,0.897152,0.87,2.02719,-5.63638802,1.46,21.45692297,0.227886705,-12.1193863986553,2.83999187620674,0.336598456336249,0.413339052112374,1.5026,0,"060502A"
2.43964843,-12.2656,4.43617,1.00735,1.38,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,-16.1179810430966,5.76030080292011,0.565485240480879,5.88192150975767,4.9,0,"060510B"
0.92890769,-10.6816826796143,3.66968890789553,1.09523674262367,0.895416872468867,2.70163,-6.634512015,2.48,21.08891889,-0.055517328,-12.44,3.64,0.74,0.68,0.44,1,"060512A"
2.47444938,-11.3053948,3.8752,1.05873,0.93,1.90677,-5.899629455,2.01,21.680967,0.222716471,-13.876291730868,4.19961439803248,0.672204082649984,1.05670169418829,3.221,0,"060526A"
1.977723605,-11.76955108,4.45991,1.21596,1.02,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,-14.9599082037634,5.82634835493186,0.998778694449291,2.02174565730217,2.1357,0,"060604A"
2.059904056,-11.26121944,4.04162,1.9179,0.835,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,-13.7731601998412,4.6626149711494,2.45674335136213,0.0380441775680892,3.78,0,"060605A"
2.009450896,-10.4034487155603,3.62913988999298,1.34132523976043,0.901433865164867,1.61002,-5.59345982,1.47,21.79614607,0.146128036,-11.78,3.53,1.25,0.72,3.07,1,"060607A"
2.036229544,-11.78251606,5.03344,1.9453,0.783,1.89544,-4.690369833,2.02,20.51216256,1.06069784,-14.9901761684643,7.42197819930002,2.51365452838497,-0.519536778897705,0.125,0,"060614A"
1.820857989,-10.9132,3.5545,0.861995,1.12,2.09345,-5.795880017,0.6,21.20847898,0.004321374,-12.9606760984265,3.30738820046851,0.263575600475229,3.0940167274287,3.425,0,"060707A"
1.008600172,-10.86966623,3.50569,1.12969,1.485,2.20484,-6.306273051,1.68,20.79066861,0.28780173,-12.8590424195732,3.1715928755446,0.8195915688376,7.00780613339052,1.92,0,"060708A"
2.060660074,-10.86012091,3.73449,1.20488,0.87,2.04425,-5.548213564,1.93,22.0125926,0.10720997,-12.8367579726386,3.80814215525348,0.975764977609398,0.413339052112374,2.711,0,"060714A"
2.062017599,-11.15058059,5.1057,1.35481,1.317,1.92492,-5.583359493,1.75,20.86562801,0.068185862,-13.5148634029042,7.62301426115213,1.28717712253766,5.20639073557795,0.54,0,"060729A"
2.162265614,-10.91009489,4.22387,1.29504,0.97,2.11591,-4.835647144,1.53,22.00679538,0.861534411,-12.9534269272074,5.16965651934409,1.16303182871813,1.4856101222389,1.9229,0,"060814A"
2.234264124,-10.5862757855051,3.76519449736978,1.31042148150069,0.934699632764984,2.18877,-5.790484985,1.64,21.59122827,0.387389826,-12.1854,3.923904,1.19811,1.11,0.7,1,"060904B"
1.638489257,-11.8827287,4.33479,1.71887,1.06,2.07859,-5.655607726,2.03,22.41960057,0.294466226,-15.2241319979456,5.47824937819596,2.04334803884915,2.45065408535278,3.686,0,"060906A"
1.285557309,-9.627087997,2.81918,1.38309,1.185,2.13395,-5.552841969,1,21.80952201,0.481442629,-9.9581267147593,1.26163900311041,1.34591610378605,3.79099292301094,1.8836,0,"060908A"
0.698970004,-10.1079054,2.455171016,1.045731532,0.63,1.8948,-5.869666232,1.74,21.36738202,0.933487288,-11.0806401456787,0.248921972635057,0.645205611358973,-2.16011151619129,0.937,0,"060912A"
0.903089987,-10.84771166,3.351,1.45111,1.357,2.00443,-6.659555885,2.54,22.50004427,0.037426498,-12.8077874118691,2.74122658149667,1.48719706222012,5.63529916362857,3.2,0,"060926A"
1.352953912,-10.77728353,3.15198,1.39098,0.83,1.94856,-5.946921557,0.9,22.10710478,0.431363764,-12.6433663211468,2.18752886450514,1.36230403030832,-0.0155693759382373,5.47,0,"060927A"
1.876852648,-9.10523174742902,3.14296941108163,1.57892969444369,0.928073957486507,1.99824,-4.35261703,1.03,21.74186197,1.164352856,-8.76,2.17,1.75,1.07,1.26,1,"061007A"
1.664641976,-10.04095861,3.23849,1.01707,0.785,1.99282,-5.528708289,1.3,20.87141063,0.78604121,-10.9243465704814,2.42821015029017,0.585674168972192,-0.498091357495174,0.3463,0,"061021A"
1.90982337,-10.03011836,3.78753,1.35185,0.9485,1.90181,-4.863279433,1.41,21.75351565,1.324282455,-10.89903898772,3.95570585191326,1.28102905377899,1.2550718421617,1.314,0,"061121A"
2.281033367,-10.6386654471995,3.65299042410027,1.17740133389325,0.907880031233399,1.9269241917552,-5.169411331,1.32,21.38058204,0.989449818,-12.3053,3.5801,0.922285,0.82,1.1588,1,"061126A"
1.853698212,-9.954677021,3.92091,1.35061,0.86,1.92748,-5.097453221,1.35,22.56660835,0.930949031,-10.7229140892749,4.32678514792537,1.27845351146116,0.306111945099721,2.088,0,"061222A"
1.946550511,-11.04866248,4.26825,1.42725,1.186,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,-13.2769259933698,5.29312704833657,1.43763864310461,3.8017156337122,2.352,0,"070110A"
1.77815125,-10.8126684459142,4.24451839840402,1.59249620245085,0.889330047938963,1.95142632719767,-5.49527903539734,1.66719216524827,21.1168251059769,0.461366700396796,-12.7448,5.250332,1.779596,0.59,1.55,1,"070125A"
1.806179974,-10.86327943,3.44468,1.2125,1.14,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,-12.844131834524,3.00185567469216,0.991592100562465,3.308470941454,1.165,0,"070208A"
1.9408513687054,-11.86327943,4.22335,0.991734,1.03,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,-15.1787258486249,5.16820981643566,0.533050023678373,2.12897276431482,1.6295,0,"070223A"
2.321184027,-11.2737,4.86926,1.89982,0.831,1.94468,-5.269217724,1.66,22.44245468,0.609594409,-13.8022972405099,6.96520957717325,2.41919028272808,-0.00484666523697199,1.4959,0,"070306A"
2.089021501,-10.695200042142,3.55030964494677,1.37830478804716,0.933591758675823,2.2428,-5.568636236,1.72,22.32139542,-0.040958608,-12.4597,3.319089,1.33119,1.09,2.95,1,"070411A"
1.320146286,-9.161150909,3.02525,1.37377,0.764,1.82568,-4.707743929,1.1,21.89306622,1.382017043,-8.87035277816688,1.83495067299506,1.32655799539726,-0.723268282221745,0.82,0,"070508A"
1.57863921,-10.01233374,3.55243,1.44502,0.98,2.00022,-5.096367484,1.1,22.27524914,0.814913181,-10.857519120325,3.30162921004457,1.4745478261592,1.59283722925155,2.0865,0,"070521A"
2.038222638,-10.24641694,3.09323,1.21432,0.76,1.97999,-5.590066877,1.34,22.56252244,0.155336037,-11.4040083578466,2.02407925706241,0.995372332028946,-0.766159125026806,2.4996,0,"070529A"
2.566790912,-10.6605045530239,4.2356048047746,2.02205174685583,0.936277531147257,1.97567939099548,-4.974694135,1.69,21.2559971173378,0.178976947,-12.376,5.2145,2.69428,1.1,0.671,1,"070612A"
1.806179974,-10.74232143,3.22974,1.64623,0.93,2.07429,-6.142667504,1.36,21.64321572,0.431363764,-12.5617440117664,2.40386659173487,1.89247110823094,1.05670169418829,0.923,0,"070714B"
2.531478917,-10.50863831,3.94739,2.5054,0.52,1.52512,-5.443697499,1.34,21.89473409,0.176091259,-12.0161887986179,4.40045571141615,3.67701037694308,-3.33960969333047,3.626,0,"070721B"
1.214843848,-11.6716204,3.92184,1.16348,0.78,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,-14.7312798244385,4.32937252043468,0.889775096998247,-0.551704911001501,2.45,0,"070802A"
