"formula_idx","wins","formula","r","rmse","bias","n_appearances"
3100,2,"Response ~  (AlphaSqr+log10NHSqr+Alpha+log10T90+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.56,0.95,-0.062,2
3432,2,"Response ~  (AlphaSqr+log10T90Sqr+PhotonIndexSqr+log10NHSqr+Alpha)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10TaSqr+log10FaSqr",0.52,1.1,-0.036,2
3809,2,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10NHSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.56,1.2,-0.29,1
4171,2,"Response ~  (AlphaSqr+log10T90Sqr+log10FaSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr",0.5,1.2,-0.19,1
4237,2,"Response ~  (log10FaSqr+log10TaSqr+log10NHSqr+Alpha+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr",0.5,1.2,-0.12,2
4360,2,"Response ~  (AlphaSqr+log10FaSqr+log10NHSqr+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr",0.34,1.2,-0.071,2
4376,2,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr",0.59,1.2,0.12,1
4577,2,"Response ~  (AlphaSqr+log10FaSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr",0.47,1.2,-0.22,9
4718,2,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10TaSqr+log10T90Sqr",0.56,1.2,-0.35,3
6279,2,"Response ~  (AlphaSqr+log10FaSqr+log10NHSqr+Alpha+log10T90+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr",0.59,1.1,-0.35,6
6350,2,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10TaSqr+log10T90Sqr",0.57,1,-0.0041,1
6355,2,"Response ~  (AlphaSqr+log10T90Sqr+log10FaSqr+log10NHSqr+Alpha+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr",0.51,1.2,-0.019,9
7299,2,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.52,1.2,-0.45,2
7792,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.41,1.2,-0.084,6
7799,2,"Response ~  (AlphaSqr+log10FaSqr+log10NHSqr+Alpha+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr",0.3,1.4,-0.12,4
