"formula_idx","wins","formula","r","rmse","bias"
2053,2,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10T90Sqr",0.49,0.17,-0.31
2314,2,"Response ~  (log10T90Sqr+log10FaSqr+log10T90+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr",0.54,0.16,-0.2
2567,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10T90+Alpha+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.37,0.17,-0.24
2627,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10NHSqr+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.59,0.16,-0.26
2848,2,"Response ~  (log10T90Sqr+log10FaSqr+log10T90+log10Fa+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr",0.47,0.17,-0.067
2987,2,"Response ~  (AlphaSqr+log10TaSqr+PhotonIndexSqr+log10PeakFluxSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10FaSqr+log10T90Sqr",0.4,0.18,-0.33
3234,2,"Response ~  (AlphaSqr+PhotonIndexSqr+log10T90+Alpha+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.42,0.17,-0.15
3242,2,"Response ~  (PhotonIndexSqr+log10NHSqr+log10PeakFluxSqr+Alpha+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10T90+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr",0.62,0.17,-0.39
3268,2,"Response ~  (AlphaSqr+log10TaSqr+PhotonIndexSqr+Alpha+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+log10FaSqr+log10T90Sqr",0.37,0.19,-0.12
3415,2,"Response ~  (log10T90Sqr+AlphaSqr+log10FaSqr+PhotonIndexSqr+Alpha)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr",0.42,0.17,-0.28
3995,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta+PhotonIndex+log10PeakFlux)^2+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.44,0.17,-0.082
4156,2,"Response ~  (log10FaSqr+log10TaSqr+log10NHSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr",0.37,0.16,-0.28
6283,2,"Response ~  (AlphaSqr+PhotonIndexSqr+log10NHSqr+log10T90+Alpha+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.48,0.17,-0.19
6296,2,"Response ~  (log10T90Sqr+AlphaSqr+PhotonIndexSqr+log10T90+Alpha+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr",0.36,0.21,-0.05
274,1,"Response ~  (log10FaSqr+Alpha+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.47,0.17,-0.15
377,1,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.48,0.16,-0.25
654,1,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr",0.47,0.16,-0.13
885,1,"Response ~  (log10T90Sqr+PhotonIndexSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr",0.56,0.16,0.092
1004,1,"Response ~  (AlphaSqr+log10PeakFluxSqr+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr",0.45,0.17,-0.17
