"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
22,2037,0.4684,145,1.0815,145,0.0046,17,9,2.7,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
23,664,0.4014,664,1.0794,12465,-0.2391,15,8,2.7,"Response ~  (log10T90Sqr+PhotonIndexSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+AlphaSqr"
24,143,0.4861,143,1.1903,143,0.2934,17,9,2.7,"Response ~  (PhotonIndexSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
25,497,0.8112,1598,1.1099,4743,-0.1726,17,9,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
26,2009,0.3503,4035,1.2599,4570,-0.1961,17,9,2.7,"Response ~  (AlphaSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
27,5151,0.506,5151,1.1386,5151,-0.0972,17,9,2.7,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
28,395,0.3885,395,1.0663,7035,0.0146,17,9,2.9,"Response ~  (log10TaSqr+log10NHSqr+log10T90)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
29,1765,0.5764,1765,0.9975,1839,-0.0064,17,9,3,"Response ~  (AlphaSqr+PhotonIndexSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
30,1186,0.5661,1186,1.2106,1186,-0.4528,17,9,3,"Response ~  (log10TaSqr+log10NHSqr+log10T90+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
31,152,0.2795,2728,1.2902,322,-0.0294,17,9,3,"Response ~  (log10TaSqr+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
