GRB,Redshift_crosscheck,log10T90,log10Fa,log10FaErr,log10Ta,log10TaErr,Alpha,AlphaErr,Beta,BetaErr,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,FluenceErr,PhotonIndexErr,PeakFluxErr
080607A,3.036,1.899984563,-10.0540393,0.11042072,3.46298403,0.069659314,1.7256074,0.037637388,1.06,0.02,2.03418,-4.619788758,1.31,22.38386741,1.36361198,3.285061929,0.0,0.04,1.1000000207809784
080710A,0.845,2.077948999,-11.23284413,0.06269498,4.09266933,0.054210787,1.52133785,0.06401643,1.3,0.150517844,2.00149,-5.853871964,1.47,20.89722339,0.0,17.43704666,2.0000000065324826e-07,0.23,0.19999999912352018
080810A,3.35,2.03666881,-9.931814138,0.031830706,3.2687548,0.039738688,1.44529526,0.036139295,1.079,0.0015,2.11482,-5.337242168,1.34,21.45079548,0.301029996,4.337190332,2.0000000249377965e-07,0.06,0.19999999927826256
080928A,1.692,2.368584372,-11.1260984,0.064484035,4.08450503,0.047916769,1.76031774,0.075970735,0.99,0.0,2.13864,-5.602059991,1.77,21.51035195,0.322219295,20.80043462,2.000000027284301e-07,0.12,0.10000000192561254
081007A,0.5295,0.958563883,-10.58502665,0.053161115,3.58176278,0.084284398,1.00469263,0.039134851,0.92,0.005,2.102,-6.148741651,2.51,21.69605744,0.414973348,2.937133306,7.999999921761344e-08,0.2,0.4000000019580541
081008A,1.9685,2.268297087,-10.79317412,0.06052989,3.85550833,0.056285684,1.47398467,0.063988679,0.84,0.025,1.98207,-5.366531544,1.69,21.1376737,0.113943352,40.34414957,1.9999999678428414e-07,0.07,0.10000000041214234
081029A,3.8479,2.431283332,-11.86327943,0.083250805,4.48156171,0.04285341,2.51960373,0.169198521,0.87,0.001,1.95818,-5.677780705,1.43,21.49704581,-0.301029996,45.6827768,1.9999999901579633e-07,0.18,0.20000000012007033
081221A,2.26,1.531478917,-9.354577731,0.0249855,2.93195749,0.031176651,1.23586126,0.012861856,0.991,0.0005,2.4947,-4.742321425,1.21,21.57331844,1.260071388,0.8019177,2.999999967033177e-07,0.13,0.4999999964444327
081230A,2.1,0.9072092264554434,-11.32975415,0.0701444,3.66959365,0.08735027,0.99376498,0.040381418,1.02,0.02,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,13.77430841,4.8500000481429126e-08,0.096969697,0.22924118008622468
090102A,1.547,1.432006687,-9.457174573,0.036239983,3.15380077,0.041590346,1.42487631,0.021786596,0.667,0.002673458,1.76997,-7.167491087,1.36,21.72376179,0.740362689,2.240000004,3.0000000533544316e-09,0.08,0.8000000059452829
090205A,4.6497,0.944482672,-11.3419886,0.13445,3.70655,0.114585,1.29089,0.084185,1.01,0.025,2.03416,-6.721246399,2.15,21.81792086,-0.301029996,1.794079127,3.000000003296744e-08,0.23,0.09999999948438888
090423A,8.26,0.989894564,-11.2798407,0.08569564,3.91521772,0.077643595,1.43267533,0.064053366,0.77,0.005,1.8158,-6.229147988,0.8,22.7516324,0.230448921,1.061728761,4.000000045633587e-08,0.5,0.20000000194267922
090424A,0.544,1.681241237,-9.050609993,0.011257098,2.99599056,0.013394814,1.1284106,0.005546887,0.924,0.0,1.96315,-4.677780705,1.19,21.63012977,1.851258349,2.27250697,0.0,0.15,1.999999939569451
090426A,2.609,0.079181246,-10.66550001,0.08725,2.64657,0.104665,1.00429,0.042666,0.64,0.0165,2.03664,-6.744727495,1.93,21.31103934,0.380211242,0.257899207,3.000000013770209e-08,0.22,0.2999999988844958
090519A,3.85,1.806179974,-11.76000021,0.21145,3.44619,0.24029,1.42452,0.3065,0.63,0.03,1.46604,-5.920818754,1.02,22.13069392,-0.22184875,8.24011649,1.0000000047182813e-07,0.2,0.1999999994073628
090529A,2.625,1.837651558,-12.1873998,0.11547934,4.472757799,0.21900534,0.8815438,0.113675222,0.64,0.125,2.22623,-6.167491087,2.0,13.51385525,-0.397940009,10.5274432,1.6999999936998276e-07,0.3,0.100000000407278
