"","log10Ta","log10NH","log10PeakFlux","log10Fa","PhotonIndex","Gamma","log10T90","Alpha","Beta","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","log10FaSqr","PhotonIndexSqr","GammaSqr","log10T90Sqr","AlphaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050820A",3.750945731,21.61964524,0.389166084,-10.01818139,1.25,1.96878,1.41497334797082,1.136499703,0.9,-5.463441557,14.0695938769071,467.409060303455,0.151450240935895,100.363958362942,1.5625,3.8760946884,2.00214957546775,1.29163157491909,0.81,29.8491936467546,0.378773543216465,0.266741013,0.238477529,0.012525701,0.0405,0.0185164313807078,0.072727273,0.0247093953343968,"050820A",2.6147,0.558072259099146
"050824A",5.08558,20.9708274,-0.301029996,-12.23882419,2.76,1.94709,1.3541084391474,0.954481,0.86,-6.575118363,25.8631239364,439.775601840591,0.09061905849176,149.788817553729,7.6176,3.7911594681,1.83360966497021,0.911033979361,0.7396,43.2321814874598,0.0782292570058625,0.06855,0.12722,0.0899785,0.01,0.0514543473223617,0.23030303,0.0789626332133755,"050824A",0.8278,0.261928672990642
"050904A",4.6841,22.39388568,-0.207608311,-11.4544,1.25,1.90813,2.24104815067164,1.82770907306845,0.848,-5.316052869,21.94079281,501.486115848909,0.0431012107962727,131.20327936,1.5625,3.6409600969,5.0222968136288,3.34052045577675,0.719104,28.2604181060031,0.0268161033458331,0.29485,0.098475,0.624745,0,0.00980902273641476,0.042424242,0.072170148569444,"050904A",6.29,0.862727528317975
"050908A",3.59910915180638,21.66138196,0,-10.7619255052256,2.04,2.10553,1.97772360528885,1.16394172024289,1.05748655448462,-6.026872146,12.9535866866164,469.215468417013,0,115.819040580026,4.1616,4.4332565809,3.91139065891672,1.35476032812197,1.11827781291575,36.3231878642306,0.130539784510126,0.801348625272142,0.609677876452289,0.329172703309701,0.248470943636881,0.0219340647449938,0.060606061,0.0210567021001345,"050908A",3.34,0.637489729512511
"050922C",2.52429,21.44930866,0.860936621,-9.477555766,1.37,2.2119,0.653212513775344,1.22035,1.064,-5.790484985,6.3720400041,460.072841991951,0.741211865378898,89.8240632976399,1.8769,4.89250161,0.426686588152704,1.4892541225,1.132096,33.5297163615105,0.0434736059021067,0.03194,0.034305,0.013275,0.013,0.0087736258877956,0.036363636,0.0116014887850822,"050922C",2.198,0.504878459410216
"051016B",4.25742,21.71466751,0.113943352,-11.59006688,2.4,1.89482,0.602059991327962,1.14771,0.73,-6.769551079,18.1256250564,471.52678506985,0.0129830874649959,134.329650282873,5.76,3.5903428324,0.362476233157826,1.3172382441,0.5329,45.8268218111901,0.0509829165954318,0.04535,0.058175,0.04854,0.005,0.0340623123358059,0.139393939,0.0323949264220647,"051016B",0.9364,0.286995073968852
"051028A",3.82760409126218,21.45058625,1.037426498,-10.9317528010352,1.38,2.04425,2.47450763911698,1.26658702213812,0.94168798961319,-5.070581074,14.650553079447,460.127650468689,1.07625373875254,119.503219302942,1.9044,4.1789580625,6.12318805604827,1.60424268464871,0.886776269781731,25.710792428007,0.0373575732783381,0.807073403895206,0.59625941281675,0.32485520678376,0.227471255757325,0.0501350050952,0.58,0.065802194705171,"051028A",3.6,0.662757831681574
"051109A",3.91123,21.97057233,0.595496222,-10.51999306,1.51,2.06584,1.5705429398819,1.22299,1.06,-5.657577319,15.2977201129,482.706048507762,0.354615750416273,110.670253982448,2.2801,4.2676949056,2.46660512601287,1.4957045401,1.1236,32.0081811204632,0.0827679937571121,0.04815,0.04637,0.019155,0.054794381,0.0325421760411363,0.121212121,0.046094938049931,"051109A",2.346,0.524525936626376
"051111A",3.41977030489845,21.96085591,-0.050609993,-10.0656986263361,1.16,2.00403,1.97772360528885,1.24201895339241,0.888839849115531,-7.167491087,11.6948289382653,482.279192299782,0.00256137139146005,101.318288836224,1.3456,4.0161362409,3.91139065891672,1.54261108058597,0.79003627737572,51.3729284822244,0.202660966173494,0.80258582142391,0.615174106972883,0.323767191298965,0.22415991366068,0.0842660934455674,0.2,0.144764827428965,"051111A",1.55,0.406540180433955
"060115A",3.69688,21.43355223,-0.060480747,-11.29499204,1,2.10553,2.14488541828714,0.889919,1,-5.76700389,13.6669217344,459.397161196138,0.00365792075767801,127.576845183663,1,4.4332565809,4.60053345758081,0.791955826561,1,33.2583338672751,0.0469357822433229,0.0812,0.123015,0.053884,0.085,0.0230884892235729,0.303030303,0.0363046589885454,"060115A",3.53,0.656098202012832
"060124A",4.47599,21.9172644,-0.050609993,-10.6893,1.84,2.00895,2.8750612633917,1.3641,0.99,-6.336299075,20.0344864801,480.366478779507,0.00256137139146005,114.26113449,3.3856,4.0358801025,8.26597726825548,1.86076881,0.9801,40.1486859678459,0.000756704468657758,0.04445,0.036665,0.01627,0.076380116,0.0302604450950157,0.115151515,0.0532332356918798,"060124A",2.296,0.517987203025078
