"","log10Ta","log10NH","log10Fa","PhotonIndex","log10PeakFlux","Alpha","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","log10PeakFluxSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050820A",3.750945731,21.61964524,-10.01818139,1.25,0.389166084,1.136499703,1.41497334797082,0.9,1.96878,-5.463441557,14.0695938769071,467.409060303455,100.363958362942,1.5625,0.151450240935895,1.29163157491909,2.00214957546775,0.81,3.8760946884,29.8491936467546,0.378773543216465,0.266741013,0.238477529,0.012525701,0.0405,0.0185164313807078,0.072727273,0.0247093953343968,"050820A",2.6147,0.558072259099146
"050824A",5.08558,20.9708274,-12.23882419,2.76,-0.301029996,0.954481,1.3541084391474,0.86,1.94709,-6.575118363,25.8631239364,439.775601840591,149.788817553729,7.6176,0.09061905849176,0.911033979361,1.83360966497021,0.7396,3.7911594681,43.2321814874598,0.0782292570058625,0.06855,0.12722,0.0899785,0.01,0.0514543473223617,0.23030303,0.0789626332133755,"050824A",0.8278,0.261928672990642
"050826A",4.76235,21.96085591,-12.33348202,1.16,-0.420216403,1.801,1.55022835305509,1.11,2.45742,-6.384049948,22.6799775225,482.279192299782,152.114778737663,1.3456,0.176581825350258,3.243601,2.40320794661591,1.2321,6.0389130564,40.7560937385588,0.0717511921200946,0.23405,0.13858,0.23538,0.03,0.0458862758416538,0.187878788,0.0900451080536063,"050826A",0.297,0.11293997608408
"050904A",4.6841,22.39388568,-11.4544,1.25,-0.207608311,1.65808546517929,2.24104815067164,0.848,1.90813,-5.316052869,21.94079281,501.486115848909,131.20327936,1.5625,0.0431012107962727,2.74924740983881,5.0222968136288,0.719104,3.6409600969,28.2604181060031,0.0268161033458331,0.29485,0.098475,0.624745,0,0.00980902273641476,0.042424242,0.072170148569444,"050904A",6.29,0.862727528317975
"050908A",3.58558884850109,22.340573,-10.7721294703767,1.82,0.255272505,1.16153937330718,0.851258348719075,1.06140916002075,2.22623,-6.552841969,12.8564473904954,499.101201968329,116.038773326558,3.3124,0.065164051808975,1.34917371574283,0.724640776263927,1.12658940497596,4.9561000129,42.9397378706878,0.039676879658603,0.79421085032217,0.60198855504506,0.328500796270686,0.25348555303555,0.0248403283013014,0.084848485,0.0789626331522811,"050908A",3.34,0.637489729512511
"050922C",2.52429,21.44930866,-9.477555766,1.37,0.860936621,1.22035,0.653212513775344,1.064,2.2119,-5.790484985,6.3720400041,460.072841991951,89.8240632976399,1.8769,0.741211865378898,1.4892541225,0.426686588152704,1.132096,4.89250161,33.5297163615105,0.0434736059021067,0.03194,0.034305,0.013275,0.013,0.0087736258877956,0.036363636,0.0116014887850822,"050922C",2.198,0.504878459410216
"051016B",4.25742,21.71466751,-11.59006688,2.4,0.113943352,1.14771,0.602059991327962,0.73,1.89482,-6.769551079,18.1256250564,471.52678506985,134.329650282873,5.76,0.0129830874649959,1.3172382441,0.362476233157826,0.5329,3.5903428324,45.8268218111901,0.0509829165954318,0.04535,0.058175,0.04854,0.005,0.0340623123358059,0.139393939,0.0323949264220647,"051016B",0.9364,0.286995073968852
"051028A",3.83295349146362,21.45058625,-10.9275297489016,2.37,0.775974331,1.25909960067407,1.78175537465247,0.947589588537957,2.24976,-5.744727495,14.6915324677232,460.127650468689,119.410906413129,5.6169,0.602136162370898,1.58533180441761,3.17465221510296,0.897926028305534,5.0614200576,33.001893991809,0.0421049044034134,0.806268730934828,0.591524691212839,0.326038487385913,0.227300161898277,0.0415592805603905,0.139393939,0.0526417553674108,"051028A",3.6,0.662757831681574
"051109A",3.91123,21.97057233,-10.51999306,1.51,0.595496222,1.22299,1.5705429398819,1.06,2.06584,-5.657577319,15.2977201129,482.706048507762,110.670253982448,2.2801,0.354615750416273,1.4957045401,2.46660512601287,1.1236,4.2676949056,32.0081811204632,0.0827679937571121,0.04815,0.04637,0.019155,0.054794381,0.0325421760411363,0.121212121,0.046094938049931,"051109A",2.346,0.524525936626376
"051109B",3.65548,21.36742302,-11.57511836,1.97,-0.259637311,1.251,1.15533603746506,1.06,2.12549,-6.591760035,13.3625340304,456.566766515626,133.983365048009,3.8809,0.0674115332633107,1.565001,1.33480135946547,1.1236,4.5177077401,43.4513003590232,0.114743908253916,0.0922,0.126645,0.12217,0.01,0.0421545307074316,0.145454545,0.0622129838718209,"051109B",0.08,0.0334237554869497
"051111A",3.3830189152953,21.01365445,-10.0681123349142,1.3,0.380211242,1.23971230622267,1.61278385671974,0.892930448453809,2.26662,-5.744727495,11.4448169812458,441.573673344005,101.366885988451,1.69,0.144560588543183,1.53688660219994,2.60107176849578,0.797324785775921,5.1375662244,33.001893991809,0.0132262962918312,0.805320541935131,0.618906065480875,0.323962454272493,0.226983653662069,0.0354526107425099,0.103030303,0.100638650276148,"051111A",1.55,0.406540180433955
"060115A",3.69688,21.43355223,-11.29499204,1,-0.060480747,0.889919,2.14488541828714,1,2.10553,-5.76700389,13.6669217344,459.397161196138,127.576845183663,1,0.00365792075767801,0.791955826561,4.60053345758081,1,4.4332565809,33.2583338672751,0.0469357822433229,0.0812,0.123015,0.053884,0.085,0.0230884892235729,0.303030303,0.0363046589885454,"060115A",3.53,0.656098202012832
"060124A",4.47599,21.9172644,-10.6893,1.84,-0.050609993,1.3641,2.8750612633917,0.99,2.00895,-6.336299075,20.0344864801,480.366478779507,114.26113449,3.3856,0.00256137139146005,1.86076881,8.26597726825548,0.9801,4.0358801025,40.1486859678459,0.000756704468657758,0.04445,0.036665,0.01627,0.076380116,0.0302604450950157,0.115151515,0.0532332356918798,"060124A",2.296,0.517987203025078
"060206A",3.93814,22.33966406,-10.63078414,1.2,0.445604203,1.17565,0.880813592280791,1.265,2.20424,-6.080398976,15.5089466596,499.060590313656,113.013571431276,1.44,0.198563105731265,1.3821529225,0.775832584346592,1.600225,4.8586739776,36.9712517073418,0.110491399420861,0.07055,0.07444,0.02867,0.013041887,0.0133029706675924,0.181818182,0.0160378107849136,"060206A",4.048,0.703119346236078
"060210A",4.15028,22.3877421,-10.66756154,1.53,0.434568904,1.20511,2.40654018043396,0.979,2.08163,-5.11577123,17.2248240784,501.210996336112,113.796869209687,2.3409,0.188850132323761,1.4522901121,5.79143564004309,0.958441,4.3331834569,26.1711152776957,0.207740121022138,0.0292,0.030365,0.02297,0.083622271,0.0140538367709601,0.054545455,0.0270950212031269,"060210A",3.91,0.691081492122968
"060218A",5.07614,21.59972155,-11.82390874,2.26,-0.602059991,1.3185,3.32221929473392,0.785,2.15785,-5.804100348,25.7671972996,466.547971037534,139.804817891848,5.1076,0.36247623276292,1.73844225,11.0371410423023,0.616225,4.6563166225,33.6875808496537,0.00916727683590926,0.1602,0.14064,0.108235,0.02,0.0254826332026628,0.103030303,0.11581186233247,"060218A",0.0331,0.0141423615450058
"060223A",2.78682,22.49782636,-10.9636,1.74,0.130333768,1.1892,1.05307844348342,0.81,2.01015,-6.171984936,7.7663657124,506.152190924711,120.20052496,3.0276,0.0169868910810778,1.41419664,1.10897420812946,0.6561,4.0407030225,38.0933980502109,0.0421049044034134,0.1982,0.23477,0.18005,0.045,0.018772691379267,0.072727273,0.0350945035988966,"060223A",4.41,0.73319726510657
"060306A",3.61496,21.61973178,-10.70553377,1.8,0.775974331,1.03794,1.78675142214556,0.76,2.28823,-5.671620397,13.0679358016,467.412802239142,114.60845330061,3.24,0.602136162370898,1.0773194436,3.19248064453919,0.5776,5.2359965329,32.1672779276664,0.0249708024012773,0.03495,0.04452,0.02498,0.01,0.014581519111212,0.060606061,0.0141083431596232,"060306A",1.559,0.408070285887185
"060418A",3.11887,21.65363309,-9.792961075,1.7,0.814247596,1.47655,2.01325866528352,0.98,1.94118,-5.079354999,9.7273500769,468.879825996343,95.9020866164651,2.89,0.662999147591779,2.1801999025,4.05321045333917,0.9604,3.7681797924,25.7998472058663,0.190629725370006,0.04904,0.057245,0.044705,0.005,0.0079942161609691,0.036363636,0.0141293054922338,"060418A",1.489,0.396024896608593
