"","Redshift_crosscheck","T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","Gamma","log10Fa","log10Ta","Alpha","Beta","log10TaErr","BetaErr","AlphaErr","T90Err","FluenceErr","PeakFluxErr","PhotonIndexErr","log10FaErr"
"GRB081221",2.26,34,-4.742321425,1.260071388,1.21,21.57331844,2.4947,-9.354577731,2.93195749,1.23586126,0.991,0.031176651,5e-04,0.012861856,0.8019177,1.81818181818182e-07,0.303030303,0.078787879,0.0249855
"GRB081230",2.1,60.7,-6.086186148,-0.15490196,1.97,20.67248024,2.08621,-11.32975415,3.66959365,0.99376498,1.02,0.08735027,0.02,0.040381418,13.77430841,4.84848484848485e-08,0.060606061,0.096969697,0.0701444
"GRB090102",1.547,27,-7.167491087,0.740362689,1.36,21.72376179,1.76997,-9.457174573,3.15380077,1.42487631,0.667,0.041590346,0.002673458,0.021786596,2.240000004,1.81818181818182e-09,0.484848485,0.048484848,0.036239983
"GRB090205",4.6497,8.8,-6.721246399,-0.301029996,2.15,21.81792086,2.03416,-11.3419886,3.70655,1.29089,1.01,0.114585,0.025,0.084185,1.794079127,1.81818181818182e-08,0.060606061,0.139393939,0.13445
"GRB090423",8.26,10.3,-6.229147988,0.230448921,0.8,22.7516324,1.8158,-11.2798407,3.91521772,1.43267533,0.77,0.077643595,0.005,0.064053366,1.061728761,2.42424242424242e-08,0.121212121,0.303030303,0.08569564
"GRB090424",0.544,48,-4.677780705,1.851258349,1.19,21.63012977,1.96315,-9.050609993,2.99599056,1.1284106,0.924,0.013394814,0,0.005546887,2.27250697,0,1.212121212,0.090909091,0.011257098
"GRB090426",2.609,1.2,-6.744727495,0.380211242,1.93,21.31103934,2.03664,-10.66550001,2.64657,1.00429,0.64,0.104665,0.0165,0.042666,0.257899207,1.81818181818182e-08,0.181818182,0.133333333,0.08725
"GRB090510",0.903,0.3,-6.468521083,0.986771734,0.98,20.64281656,1.75106,-10.11463878,3.17793555,2.00074629,0.6405,0.035002467,0.008486248,0.071440408,1.680304712,2.42424242424242e-08,0.666666667,0.121212121,0.042229995
"GRB090519",3.85,64,-5.920818754,-0.22184875,1.02,22.13069392,1.46604,-11.76000021,3.44619,1.42452,0.63,0.24029,0.03,0.3065,8.24011649,6.06060606060606e-08,0.121212121,0.121212121,0.21145
"GRB090529",2.625,100,-6.167491087,-0.397940009,2,13.51385525,2.22623,-12.1873998,4.472757799,0.8815438,0.64,0.21900534,0.125,0.113675222,10.5274432,1.03030303030303e-07,0.060606061,0.181818182,0.11547934
