GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
040924A,0.86,0.3700372136266973,-10.550014384104191,3.644131768938256,1.4969782925303052,0.7895254933553134,,,,,,,0.8577100219664924,0.6900671451774764,0.6191793020285752,0.3519809810282126,,,
041006A,0.72,1.2297112270074475,-10.66744265056792,3.845572551157715,1.454847414689172,0.6890411401370835,,,,,,,0.8576199860817123,0.6900059616153267,0.6190598440282556,0.31949315713913273,,,
050315,1.949,1.9804578922761,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309,14.0200616236825,0.0324500000000008,0.04512,0.049165,0.001,8.84848484848485e-08,0.0545454545454545,0.133333333333333
050318,1.44,1.505149978319906,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083,10.9664574115296,0.0618196900000001,0.043780336,0.0859065194999999,0.037,4.66666666666667e-08,0.0606060606060606,0.121212121212121
050319,3.24,2.1832698436828046,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588,10.9553911899328,0.0416499999999997,0.06193,0.034558,0.0089999999999999,8.96969696969697e-08,0.115151515151515,0.127272727272727
050319A,3.24,2.1698365492250433,-10.845933615592786,3.970604760811172,1.1178003919601065,0.8304635631849626,,,,,,,0.8575556689478993,0.6900059616153267,0.6193783474967213,0.3411909638157483,,,
050401,2.9,1.5224442335063197,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778,0.62535750013415,0.0194550000000007,0.02833,0.0260615,0.0174145,1.85454545454545e-07,0.0424242424242424,0.557575757575758
050401A,2.8992,1.4947678785682907,-11.207706618914237,3.8668974891374988,1.1986565683502146,0.7002060682724424,,,,,,,0.8593841127725808,0.6921950405525243,0.6199316456975935,0.3038503543340033,,,
050408A,1.24,1.5198049289165159,-11.043213103251848,3.942819825332626,1.166953082774762,0.6592679984427932,,,,,,,0.8576199860817123,0.6901458017872589,0.6200148635853266,0.31949315713913273,,,
050416A,0.6528,0.3979400086720376,-10.5559552,2.99481,0.842217,0.9,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.444072089685655,0.0484,0.070765,0.0149485,0.005,2.24242424242424e-08,0.133333333333333,0.290909090909091
050502A,3.79,1.2900181870259755,-10.737899610446156,3.7205403415042575,1.5882618611860937,0.8379068486085351,,,,,,,0.8577100219664924,0.6900059616153267,0.6191793020285752,0.3090704322358218,,,
050502B,5.2,1.2321928760104477,-10.665237347723732,3.670567790949838,1.5381909278888908,0.8900098465735433,,,,,,,0.8594434440955487,0.6916381534458952,0.6345124463020971,0.30410096135677617,,,
050505,4.27,1.7701152947871017,-11.04817696,4.270583544,1.462094791,0.973,2.01835,-5.603800653,1.41,22.23063027,0.267171728,6.83897067866905,0.0327217700000002,0.030067592,0.035926291,0.0005,1.08484848484848e-07,0.0727272727272727,0.187878787878788
050525A,0.61,0.9359691626871292,-10.313842654592344,3.548329311408229,1.3103595691330057,0.7485874235256642,,,,,,,0.8580610253642749,0.6908422623923082,0.619489562824782,0.3047379401771182,,,
050603A,2.82,1.3111466000691114,-10.399706203030622,3.97407787774599,1.8831780060740262,0.9086180601324747,,,,,,,0.8596755936715625,0.6904865435568259,0.6222375423285693,0.3047379401771182,,,
