GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
071025A,5.0,2.3768323492908072,-10.744047525454343,3.5978096999245954,1.4201281613026788,0.8896968455111065,,,,,,,0.7907256800080926,0.5955330576892903,0.28408374168084827,0.20480672457174387,,,
071112C,0.82,1.1760912590556813,-10.424330391275038,3.3278642820547115,1.1986708091186542,0.8688986982224778,,,,,,,0.7853580260506332,0.6112300456563113,0.2799915494786585,0.20803174403624008,,,
071117A,1.331,0.8195439355418687,-11.23542972,3.901990464,1.104952391,0.94,2.0457,-5.619788758,1.57,22.04291793,1.053078443,1.824859447,0.101024385,0.117162967,0.089387802,0.01,6.06060606060606e-08,0.036363636,0.242424242
080310A,2.42,2.5622928644564746,-11.3990271,4.32608056,1.59590648,0.878,2.09352,-5.638272164,2.32,10.56142698,0.113943352,17.39875121,0.04247343,0.03798676,0.065276352,0.0375,1.21212121212121e-07,0.096969697,0.121212121
080319B,0.937,1.6989700043360187,-12.15181088,5.36799912,1.42250979,0.73,1.81426,-4.091514981,1.04,20.8771334,1.394451681,0.179108908,0.097779455,0.087626454,0.075139905,0.0,6.06060606060606e-07,0.012121212,0.303030303
080319C,1.95,1.5314789170422551,-8.91721463,3.19029,1.45203,1.94,1.61029,-5.443697499,1.37,21.75037415,0.716003344,8.885029446,0.05004,0.04713,0.02854,0.199995173,6.06060606060606e-08,0.042424242,0.181818182
080330A,1.51,1.7831886910752577,-10.513774551365753,3.6480765303390275,1.303499471532413,0.8603171875991924,,,,,,,0.782727038563034,0.5823766469099554,0.28678676164928185,0.2065834409392982,,,
080411A,1.03,1.7481880270062005,-10.11350927,4.20932562,1.28909841,0.91,1.97674,-4.578396073,1.75,21.57289018,1.635483747,1.000967534,0.06043543,0.049275581,0.010296793,0.0,6.06060606060606e-08,0.018181818,0.545454545
080413B,1.1,0.8438554226231612,-11.159382954449331,4.429330672519871,1.8261235119043777,0.8784427211285437,,,,,,,0.8015221101335168,0.617457350369822,0.303007294858078,0.20215349388537152,,,
080430A,0.767,1.209515014542631,-11.17198494,4.21762911,0.99269763,3.18,2.03541,-5.920818754,1.73,21.51787914,0.414973348,2.183113364,0.028180965,0.038388523,0.020935069,0.0755,6.06060606060606e-08,0.054545455,0.121212121
080516A,3.2,0.7634279935629372,-11.12090412,3.77452827,0.94016916,1.48,2.3315,-6.585026652,1.82,22.03528962,0.255272505,0.213016433,0.077803665,0.111057696,0.084888358,0.03,2.42424242424242e-08,0.163636364,0.181818182
080603A,1.69,1.7781512503836436,-10.682962915563024,3.76269553440138,1.2294272399637909,0.8875279411882808,,,,,,,0.78567880054828,0.6097447690457694,0.2801502577977147,0.21074112850583904,,,
080603B,2.6893,1.7781512503836436,-10.633660016057577,3.907296858882082,1.3626935899513053,0.8788630843351984,,,,,,,0.7872657744786906,0.6046042633342652,0.28086762458764536,0.2035337794154411,,,
080607A,3.036,1.8976270912904414,-10.0540393,3.46298403,1.7256074,1.06,2.03418,-4.619788758,1.31,22.38386741,1.36361198,3.285061929,0.11042072,0.069659314,0.037637388,0.02,0.0,0.024242424,0.666666667
080710A,0.845,2.0791812460476247,-11.23284413,4.09266933,1.52133785,1.3,2.00149,-5.853871964,1.47,20.89722339,0.0,17.43704666,0.06269498,0.054210787,0.06401643,0.150517844,1.21212121212121e-07,0.139393939,0.121212121
080721A,2.591,1.209515014542631,-8.714442691,2.87876286,1.33437559,0.735,1.9433,-4.920818754,1.11,21.79728278,1.320146286,144.0,0.007019299,0.007554816,0.006435673,0.0,6.06060606060606e-07,0.048484848,1.090909091
080810A,3.35,2.0253058652647704,-9.931814138,3.2687548,1.44529526,1.079,2.11482,-5.337242168,1.34,21.45079548,0.301029996,4.337190332,0.031830706,0.039738688,0.036139295,0.0015,1.21212121212121e-07,0.036363636,0.121212121
080905B,2.374,2.1072099696478683,-10.11125904,3.67820615,1.36946226,0.375,1.86248,-5.744727495,1.78,22.33533151,-0.301029996,28.05833332,0.03236457,0.038825489,0.033301752,0.00558525,1.21212121212121e-07,0.090909091,0.060606061
080913A,6.73,0.8970770032094203,-11.53323327816538,4.401983856841806,1.2646975013794775,0.9045581907556709,,,,,,,0.8342780508399148,0.6145992424475992,0.298582086524042,0.20965836430716972,,,
080916A,0.6887,1.7781512503836436,-10.75269955,3.60698,0.998947,0.83,1.88453,-5.397940009,1.17,21.7431239,0.431363764,6.325897569,0.0592,0.073495,0.0260505,0.01,6.06060606060606e-08,0.127272727,0.121212121
080928A,1.692,2.4471580313422194,-11.1260984,4.08450503,1.76031774,0.99,2.13864,-5.602059991,1.77,21.51035195,0.322219295,20.80043462,0.064484035,0.047916769,0.075970735,0.0,1.21212121212121e-07,0.072727273,0.060606061
