"","z","T90","class","logFa","logFaErr","logT_a","logTaErr","Alpha","AlphaErr","Beta","betaErr","Fluence","PhotonIndex","NH","PeakFlux","PhotonIndexErr","PeakFluxErr"
"160425A",0.555,304.58,"L",-12.4781,0.257417,3.623299,0.431716,0.859364,0.204329,1.5,0.09,21,2.2,11.3529,2.8,0.18,0.2
"160804A",0.736,144.2,"L",-12.9742,0.063504,4.72111,0.077461,1.018609,0.087949,0.9,0.07,114,1.4,2.00515,2.9,0.23,0.3
"161014A",2.823,18.3,"L",-12.6812,0.140665,3.993669,0.162303,1.360776,0.140234,0.8,0.06,19,1.47,15.3665,2.9,0.15,0.6
"161023A",2.71,44,"L",-11.91,0.05,4.55,0.04,1.36,0.02,0.66,0.08,NA,NA,NA,NA,NA,NA
"161219B",0.1475,6.94,"L-SN-C",-12.9799,0.075567,6.538578,0.110939,0.890149,0.142427,0.49723,0.01068,15,1.29,1.46524,5.3,0.35,0.4
"170113A",1.968,20.66,"L",-12.5021,0.110016,3.874501,0.186127,1.095671,0.149224,0.8,0.04,6.7,0.75,2.77299,1.1,0.59,0.1
"170405A",3.51,164.7,"L",-12.7562,0.259204,4.195041,0.180551,1.640802,0.148582,0.8,0.05,37,1.59,1.62265e-08,NA,0.12,NA
"170604A",1.329,26.7,"L-XRF",-12.2206,0.232991,3.774653,0.434719,0.647616,0.061559,0.8,0.05,51,1.31,1.4473,4.2,0.12,0.9
"170607A",0.557,23,"L",-11.9084,0.023499,4.186609,0.035487,0.979571,0.024256,0.9,0.04,75,1.61,0.798062,NA,0.07,NA
"170714A",0.793,1000,"UL",-13.2172,0.263786,4.460403,0.217775,1.851865,0.533548,0.9,0.03,28,1.76,1.171061,0.4,0.17,0.2
"180115A",2.487,40.9,"L",-11.6085,0.057564,3.061361,0.086722,0.97054,0.036237,0.9,0.06,7.6,1.66,0.411125,0.6,0.22,0.2
"180205A",1.409,15.5,"L",-12.8827,0.024501,5.013912,0.030888,1.074976,0.047995,0.9,0.09,10,2.04,3.11456,3.4,0.13,0.3
"180325A",2.248,94.1,"L",-12.717,0.072161,3.915432,0.045784,1.426558,0.049597,1.13703,0.1041,65,1.18,13.9058,9.4,0.05,0.3
"181010A",1.39,16.4,"L",-13.2571,0.240586,3.523935,0.230566,1.570878,0.289703,0.9,0.05,6.9,1.52,18.9833,1.4,0.15,0.2
"181201A",0.45,19.2,"L",-11.6955,0.026476,4.749372,0.024124,1.151212,0.006098,0.57781,0.02953,NA,NA,NA,NA,NA,NA
"191011A",1.722,7.37,"L",-12.8184,0.089478,3.303409,0.236045,0.811693,0.140267,0.9,0.09,3.3,1.94,4.47028,1.8,0.17,0.2
"200613A",1.2255,381,"L",-12.785,0.113922,5.199503,0.166694,0.923123,0.132474,0.9,0.09,NA,NA,NA,NA,NA,NA
"200829A",1.25,13.04,"L",-10.8633,0.026536,3.317225,0.036463,1.301598,0.022447,0.9,0.04,510,0.83,1.22933,98.7,0.03,1.6
"201014A",4.56,36.2,"L",-13.7541,0.092274,5.031584,0.110179,1.038298,0.170451,0.9,0.15,3.1,2.55,14.2058,0.3,0.37,0.2
"201015A",0.426,9.78,"L",-12.8744,0.09442,4.275441,0.229803,0.481067,0.027144,1.1,0.24,2,3.03,2.26653,1.8,0.68,0.4
"201020A",2.903,14.17,"L",-12.091,0.128558,3.793643,0.192264,0.728842,0.056032,1.1,0.11,9.2,2.25,0.856219,2.1,0.14,0.2
"201021C",1.07,24.38,"L",-11.1691,0.102098,2.88042,0.137291,1.034879,0.035385,0.6,0.09,10,1.63,0.564931,1,0.15,0.2
"020124A",3.198,45.91,"L",-12.7747,0.05493,4.454184,0.065307,1.961572,0.072088,1.32,0.25,NA,NA,NA,NA,NA,NA
"021004A",2.34,100,"L",-12.92,0.02,5.4,0.02,1.33,0.03,0.67,0.14,NA,NA,NA,NA,NA,NA
"210204A",0.876,200,"L",-12.0073,0.017214,4.489641,0.039841,1.06783,0.028803,0.73,0.16,NA,NA,NA,NA,NA,NA
"210210A",0.715,6.6,"L",-11.7476,0.033076,3.875593,0.03022,1.44657,0.031618,0.81,0.07,9.8,1.53,1.327992,7,0.58,0.5
"030226A",1.99,22.09,"L",-13.1407,0.064136,4.965035,0.032442,2.121816,0.132162,0.57,0.12,NA,NA,NA,NA,NA,NA
"030328A",1.52,199.2,"L",-12.7,0.02,4.38,0.02,1.25,0.04,0.36,0.45,NA,NA,NA,NA,NA,NA
"030329A",0.17,62.9,"SN-A",-11.76,0.09,5.5,0.05,1.46,0.03,0.41,0.17,NA,NA,NA,NA,NA,NA
"030429A",2.658,10.3,"XRF",-14.0764,0.8207,5.45886,0.28446,3.03421,1.50176,0.22,0.24,NA,NA,NA,NA,NA,NA
"040924A",0.86,2.39,"SN-C",-12.2,0.04,3.5,0.04,1.3,0.02,0.63,0.48,NA,NA,NA,NA,NA,NA
"041006A",0.72,17.4,"SN-C",-12.45,0.03,4.08,0.03,1.24,0.01,0.36,0.27,NA,NA,NA,NA,NA,NA
"050319A",3.24,152.54,"XRR",-12.83,0.02,4.44,0.03,0.76,0.03,0.74,0.42,13.1,2.02,0.865674,1.52,0.19,0.21
"050401A",2.8992,32.09,"L",-13.6002,0.12095,4.1414,0.161195,0.87515,0.047862,0.39,0.05,82.2,1.4,13.3568,10.7,0.07,0.92
"050408A",1.24,34,"L",-13.25,0.03,4.36,0.05,0.83,0.05,0.28,0.27,NA,NA,NA,NA,NA,NA
"050416A",0.65,2.49,"XRF-D-IS-SN",-13.54,0.05,4.15,0.06,0.94,0.08,0.92,0.3,3.67,3.08,5.64454,4.88,0.22,0.48
"050502B",3.793,17.5,"L",-12.4453,0.122846,3.576116,0.139983,1.358692,0.198462,0.9,0.06,NA,NA,NA,NA,0.14,0.13
"050502A",3.79,20,"L",-12.6,0.04,3.72,0.03,1.43,0.02,0.76,0.16,NA,NA,NA,NA,NA,NA
"050525A",0.61,8.83,"SN-B-XRR",-11.6972,0.0658,3.22416,0.10234,1.03423,0.034343,0.52,0.08,153,1,1.90021,41.7,0.1,0.94
"050603A",2.82,21,"L",-11.88,0.13,4.45,0.08,1.85,0.09,0.95,0.08,63.6,1.16,4.26634,21.5,0.06,1.07
"050730A",3.97,156.5,"L",-12.3658,0.044456,4.344142,0.054968,1.574343,0.069551,0.52,0.05,23.8,1.53,5.4765,0.55,0.11,0.14
"050801A",1.56,19.4,"XRR",-10.98,0.02,2.64,0.02,1.19,0.01,0.69,0.34,3.1,1.99,0.634001334,1.46,0.25,0.14
"050802A",1.71,30,"L",-11.61,0.08,2.91,0.09,0.91,0.01,0.72,0.03,20,1.54,1.81483,2.75,0.13,0.44
"050820A",2.61,244.69,"L",-11.97,0.01,4.46,0.02,1.02,0.01,0.72,0.03,34.4,1.25,4.16529,2.45,0.12,0.23
"050824A",0.83,22.58,"XRF-SN-E",-12.5,0.03,3.65,0.06,0.65,0.01,0.45,0.18,2.66,2.76,0.935034,0.5,0.38,0.15
"050904A",6.295,181.57,"UL",-14.18,0.12808,5.539472,0.069062,2.332396,0.187665,1,0.09,48.3,1.25,24.7677,0.62,0.07,0.17
"050908A",3.34,17.37,"XRR",-12.61,0.08,3.26,0.13,0.82,0.08,1.8,0.09,4.83,1.88,3.85483e-07,0.7,0.17,0.14
"050922C",2.2,4.54,"IS",-11.65,0.01,3.77,0.01,1.25,0.01,0.56,0.01,16.2,1.37,2.8139,7.26,0.06,0.32
"051028A",3.6,16,"SN-B",-13.0714,0.2287,4.04085,0.246865,1.02823,0.1334,1.1,0.18,NA,NA,NA,NA,NA,NA
"051109A",2.35,37.23,"L",-12.14,0.03,3.74,0.04,0.81,0.02,0.96,0.04,22,1.51,9.34485,3.94,0.2,0.69
"051111A",1.55,59.78,"L",-10.91,0.03,2.77,0.04,1,0.04,0.76,0.07,40.8,1.32,6.19392,2.66,0.06,0.21
"060124A",2.3,13.63,"XRR",-11.66,0.03,3.63,0.04,0.88,0,0.73,0.08,4.61,1.84,8.26541,0.89,0.19,0.18
"060206A",4.05,7.59,"XRR-IS",-12.0107,0.004353,4.293881,0.004134,1.255402,0.00376,0.77,0.01,8.31,1.2,21.8607,2.79,0.3,0.17
"060210A",3.91,255,"L",-12.4544,0.039346,3.243171,0.035759,1.327381,0.053451,0.99,0.03,76.6,1.53,24.4198,2.72,0.09,0.28
"060418A",1.49,144,"XRR",-10.4315,0.021082,2.578446,0.02144,1.179912,0.0063,0.69,0.11,83.3,1.7,4.50436,6.52,0.06,0.35
"060512A",0.44,8.49,"XRF",-12.44,0.03,3.64,0.05,0.74,0.02,0.68,0.05,2.32,2.48,2.3234e-05,0.88,0.3,0.2
"060526A",3.21,298.16,"XRR",-12.2,0.01,4.19,0.01,1.12,0.01,0.65,0.06,12.6,2.01,1.29284e-05,1.67,0.24,0.18
"060605A",3.78,114.79,"XRR",-11.3667,0.041244,3.218963,0.054576,1.021558,0.072783,0.94,0.5,6.97,1.55,5.93387,0.46,0.2,0.12
"060607A",3.07,99.3,"L",-11.78,0.03,3.53,0.04,1.25,0.05,0.72,0.27,25.5,1.47,6.25383,1.4,0.08,0.13
"060708A",1.92,10.2,"L",-11.6007,0.0317,3.15661,0.0831,0.820982,0.033617,0.88,0.05,4.94,1.68,0.617545,1.94,0.12,0.14
"060714A",2.71,114.99,"XRR",-12.8093,0.046522,4.218794,0.074159,1.123968,0.054273,0.44,0.04,28.3,1.93,10.2942,1.28,0.11,0.13
"060729A",0.54,115.35,"XRR-SN-E",-12.15,0.03,5.07,0.03,1.26,0.06,0.67,0.07,26.1,1.75,0.913472,1.17,0.14,0.13
"060904B",0.7,171.47,"XRR-SN-C",-12.1854,0.018294,3.923904,0.024033,1.19811,0.027284,1.11,0.1,16.2,1.64,3.90147,2.44,0.14,0.21
"060927A",5.46,22.54,"XRR",-12.19,0.26,3.24,0.23,1.26,0.06,0.86,0.03,11.3,0.9,12.7969,2.7,0.4,0.17
"061007A",1.26,75.31,"L",-8.76,0.07,2.17,0.03,1.75,0.01,1.07,0.19,444,1.03,5.51902,14.6,0.03,0.37
"061021A",4.6,46.2,"L",-12.4195,0.0677,4.823673,0.067494,1.736351,0.108429,0.88,0.03636,29.6,1.3,0.743722,6.11,0.06,0.27
"061121A",1.31,81.25,"L",-12.27,0.04,3.85,0.05,1,0.01,0.81,0.0363,137,1.41,5.66912,21.1,0.03,0.46
"061126A",1.1588,191,"L",-12.3053,0.08165,3.5801,0.101225,0.922285,0.025959,0.82,0.09,67.7,1.32,2.40205,9.76,0.06,0.38
"070110A",2.35,88.42,"XRR",-12.9,0.06,4.44,0.1,0.99,0.05,1,0.14,16.2,1.58,2.50592,0.6,0.12,0.12
"070125A",1.55,60,"L",-12.7448,0.027168,5.250332,0.017308,1.779596,0.052941,0.59,0.1,NA,NA,NA,NA,NA,NA
"070208A",1.17,64,"XRR",-12.723,0.043394,2.851438,0.100608,0.502246,0.017994,1.03,0.11,4.45,1.94,7.32362,0.9,0.36,0.22
"070318A",0.836,74.6,"L",-11.1627,0.0748,3.01049,0.10326,0.999465,0.106657,0.85,0.5757,24.8,1.42,7.54446,1.76,0.08,0.15
"070411A",2.95,122.75,"XRR",-12.4597,0.115184,3.319089,0.105245,1.33119,0.219221,1.09,0.11,27,1.72,20.9602,0.91,0.1,0.13
"070419A",0.97,160,"XRF-SN-D",-12.67,0.12,3.27,0.07,1.4,0.05,0.6,0.36,5.58,2.35,4.44549,0.2,0.25,0.1
"070612A",0.671,365.2,"L",-12.376,0.35375,5.2145,0.14528,2.69428,0.53173,1.1,0.3333,106,1.69,NA,1.51,0.1,0.38
"070810A",2.17,11.03,"XRR",-12.45,0.11,3.77,0.12,1.5,0.11,1.01,0.08,6.9,2.04,8.53108,1.9,0.14,0.2
"071003A",1.6,148.13,"L",-13.16,0.07,5.51,0.06,2.17,0.15,0.35,0.11,83,1.36,0.740868,6.3,0.07,0.4
"071010A",0.99,6.2,"L",-13.1705,0.060832,5.172418,0.033281,2.253787,0.122333,0.61,0.12,2,2.33,13.7895,0.8,0.37,0.3
"071010B",0.947,35.7,"L",-11.8207,0.0527,3.16101,0.19345,0.633623,0.053512,0.68,0.14,44,1.53,1.99743,7.7,0.22,0.3
"071025A",5,238.14,"XRR",-12.58,0.03,3.37,0.02,1.41,0.01,0.93,0.05,65,1.79,1.177832,1.6,0.05,0.2
